FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,167.926,0,5.95,4310.001,2.628,2.813
20,377.629,0,2.638,4651.47,2.689,1.426
30,370.576,4,2.686,4664.902,2.791,2.782
40,372.01,4,2.677,4823.092,2.894,1.165
50,363.227,4,2.741,4836.287,2.769,1.207
60,340.913,4,2.922,4849.679,2.672,1.649
70,349.406,4,2.853,4863.95,2.954,2.329
80,383.833,4,2.598,4878.044,2.913,2.462
90,323.75,4,3.07,4892.375,2.566,2.595
100,342.079,4,2.914,4906.017,2.909,1.926
110,346.897,4,2.873,4921.07,3.253,2.298
120,362.674,8,2.75,4560.796,6.66,3.195
130,349.993,8,2.846,4574.311,2.556,2.322
140,388.802,8,2.564,4588.022,2.649,2.474
150,342.853,8,2.908,4601.034,2.898,1.776
160,301.723,8,3.303,4615.496,2.756,1.802
170,407.664,8,2.443,4629.66,2.536,1.639
180,406.124,8,2.451,4642.659,2.526,1.404
190,359.002,8,2.776,4656.415,2.837,1.82
200,427.844,12,2.325,4772.202,2.429,3.205
210,487.829,16,2.039,5008.564,184.407,2.833
220,480.054,16,2.074,5016.949,2.253,1.172
230,500.977,16,1.987,5025.329,2.047,1.163
240,506.817,16,1.964,5033.721,2.027,1.166
250,485.508,16,2.05,5042.097,1.984,1.171
260,491.014,16,2.027,5050.515,1.997,1.152
270,458.968,16,2.169,5058.901,1.991,1.156
280,499.002,16,1.995,5067.296,1.984,1.161
290,481.047,16,2.069,5075.688,2.045,1.181
300,472.88,16,2.107,5084.079,1.938,1.172
310,503.297,16,1.979,5092.459,2.002,1.167
320,511.378,16,1.948,5100.854,1.988,1.458
330,450.126,16,2.212,5109.238,2.214,1.486
340,3,20,335.147,5127.548,1.973,1.476
350,507.666,20,1.96,5136.082,1.981,1.19
360,514.456,20,1.935,5144.479,1.976,1.155
370,503.145,20,1.978,5152.866,2.172,1.169
380,499.6,20,1.992,5161.258,1.981,1.175
390,447.067,20,2.233,5169.642,1.958,1.173
400,465.268,20,2.139,5178.033,2.042,1.176
410,508.828,20,1.961,5186.421,1.955,1.169
420,13.791,24,72.498,5197.44,1.986,1.285
430,444.721,24,2.241,5211.755,2,1.174
440,408.697,24,2.438,5220.148,2.007,1.155
450,463.113,24,2.15,5228.539,2.179,1.173
460,490.822,24,2.029,5236.921,2.155,1.168
470,498.082,24,1.999,5245.324,1.962,1.162
480,463.027,24,2.153,5253.715,1.942,1.171
490,517.464,24,1.924,5262.107,1.999,1.174
500,513.611,24,1.937,5270.495,1.964,1.171
510,460.596,24,2.162,5278.887,1.996,1.16
520,501.63,24,1.985,5287.322,2.009,1.158
530,502.892,28,1.98,5301.134,1.963,2.89
540,500.225,28,1.99,5309.552,2.271,1.152
550,496.204,28,2.006,5317.953,2.031,1.163
560,501.228,28,1.986,5326.37,2.258,1.165
570,502.26,28,1.981,5334.775,2.006,1.168
580,511.587,28,1.947,5343.183,1.971,1.176
590,483.045,28,2.057,5351.609,2.021,1.307
600,457.792,28,2.181,5360.01,1.997,1.305
610,461.425,28,2.159,5368.424,1.996,1.296
620,502.386,28,1.982,5376.835,1.966,1.285
630,462.129,28,2.155,5385.24,2.028,1.49
640,503.043,28,1.979,5393.657,1.983,1.498
650,483.536,28,2.058,5402.068,2.005,1.168
660,496.697,28,2.003,5410.511,2.191,1.172
670,492.684,32,2.021,5418.915,1.987,1.173
680,491.425,32,2.023,5432.066,2.028,1.165
690,497.191,32,2.002,5440.478,2.04,1.172
700,462.642,32,2.152,5448.895,2.029,1.164
710,496.032,32,2.006,5457.311,2.218,1.172
720,446.369,32,2.231,5465.733,2.073,1.174
730,491.232,32,2.027,5474.158,2.227,1.495
740,500.826,32,1.987,5482.578,2.012,1.487
750,507.64,32,1.961,5491.009,2.218,1.456
760,510.986,32,1.947,5499.425,2.147,1.443
770,411.201,32,2.429,5507.845,2.268,1.47
780,446.828,32,2.23,5516.276,2.134,1.485
790,508.44,32,1.958,5524.707,1.962,1.472
800,500.977,32,1.988,5533.135,2.07,1.502
810,495.197,32,2.01,5541.559,2.194,1.467
820,503.981,32,1.975,5549.959,1.972,1.456
830,492.296,32,2.024,5558.383,1.933,1.166
840,473.776,36,2.102,5571.411,1.995,1.173
850,466.875,36,2.133,5579.835,2.11,1.205
860,456.621,36,2.18,5588.264,2.181,1.161
870,495.442,36,2.009,5596.686,2.006,1.158
880,505.127,36,1.971,5605.096,2.004,1.154
890,510.517,36,1.951,5613.51,1.993,1.177
900,496.45,36,2.006,5621.934,2.008,1.179
910,505.919,36,1.967,5630.358,1.969,1.292
920,501.832,36,1.982,5638.787,1.997,1.472
930,515.677,36,1.93,5647.191,2.001,1.45
940,481.788,36,2.066,5655.619,2.143,1.324
950,497.018,36,2.003,5664.041,1.98,1.169
960,491.352,36,2.026,5672.472,1.998,1.162
970,432.171,36,2.306,5680.912,1.966,1.163
980,445.891,36,2.235,5689.34,1.99,1.167
990,449.863,36,2.215,5697.763,2.055,1.172
1000,439.059,36,2.269,5706.175,1.989,1.172
1010,506.406,36,1.965,5714.617,2.006,1.166
1020,228.311,40,4.372,5727.148,2.036,1.166
1030,463.07,40,2.15,5735.684,2.003,1.219
1040,495.099,40,2.011,5744.124,2.228,1.153
1050,460.872,40,2.16,5752.581,1.98,1.157
1060,505.433,40,1.97,5761.017,1.958,1.165
1070,498.355,40,1.998,5769.469,2.007,1.18
1080,504.821,40,1.97,5777.922,1.988,1.305
1090,510.282,40,1.951,5786.366,2.003,1.466
1100,500.851,40,1.988,5794.822,2.038,1.333
1110,518.376,40,1.919,5803.266,1.985,1.163
1120,502.614,40,1.98,5811.708,2.033,1.173
1130,508.932,40,1.956,5820.175,1.999,1.171
1140,506.971,40,1.963,5828.616,1.95,1.164
1150,503.17,40,1.977,5837.061,1.961,1.172
1160,444.365,40,2.242,5845.516,2.029,1.165
1170,430.942,40,2.311,5853.945,2.001,1.172
1180,441.696,40,2.255,5862.401,1.967,1.163
1190,6.551,44,152.628,5874.879,1.973,1.156
1200,491.545,44,2.025,5883.405,2.341,1.209
1210,493.535,44,2.017,5891.852,1.981,1.148
1220,503.423,44,1.977,5900.308,2.078,1.147
1230,502.285,44,1.984,5908.733,2.168,1.15
1240,493.681,44,2.015,5917.19,2.065,1.183
1250,491.376,44,2.025,5925.63,2.008,1.308
1260,506.098,44,1.966,5934.079,2.035,1.283
1270,499.675,44,1.991,5942.538,1.98,1.471
1280,469.528,44,2.12,5950.982,2.089,1.473
1290,504.668,44,1.972,5959.431,2.08,1.448
1300,432.769,44,2.302,5967.916,2.042,1.476
1310,437.12,44,2.28,5976.36,2.014,1.468
1320,505.051,44,1.971,5984.811,1.978,1.339
1330,500.2,44,1.99,5993.266,2.072,1.176
1340,497.315,44,2.002,6001.725,2.044,1.168
1350,508.88,44,1.956,6010.149,2.177,1.16
1360,412.558,48,2.415,6020.758,1.983,1.165
1370,502.26,48,1.981,6029.201,1.985,1.207
1380,488.019,48,2.039,6037.658,2.006,1.16
1390,500.526,48,1.989,6046.081,2.041,1.169
1400,492.756,48,2.022,6054.534,2.005,1.165
1410,504.159,48,1.974,6062.974,2.075,1.163
1420,498.554,48,1.996,6071.424,1.988,1.167
1430,494.829,48,2.01,6079.868,1.972,1.168
1440,495.589,48,2.011,6088.304,2.022,1.164
1450,499.002,48,1.995,6096.756,2.302,1.167
1460,493.389,48,2.018,6105.208,2.306,1.163
1470,504.898,48,1.971,6113.657,2.344,1.165
1480,511.666,48,1.939,6122.121,2.251,1.161
1490,496.845,48,2.003,6130.558,2.29,1.17
1500,505.791,48,1.968,6139.002,2.328,1.149
1510,509.502,48,1.953,6147.45,1.951,1.167
1520,508.311,48,1.958,6155.895,1.986,1.172
1530,501.53,48,1.985,6164.347,2.007,1.299
1540,511.065,48,1.948,6172.784,1.985,1.474
1550,504.083,48,1.975,6181.232,2.164,1.502
1560,504.847,52,1.971,6192.341,2.095,0
1570,500.826,52,1.988,6200.802,2.052,1.162
1580,486.547,52,2.046,6209.256,2.324,1.161
1590,499.002,52,1.995,6217.693,2.257,1.162
1600,501.253,52,1.985,6226.138,2.227,1.164
1610,498.405,52,1.998,6234.578,2.013,1.164
1620,498.455,52,1.997,6243.039,1.975,1.165
1630,496.82,52,2.004,6251.475,2.078,1.159
1640,470.943,52,2.114,6259.923,2.022,1.16
1650,441.657,52,2.255,6268.376,2.119,1.166
1660,516.182,52,1.928,6276.816,1.997,1.17
1670,474.293,52,2.099,6285.287,1.975,1.161
1680,513.716,52,1.937,6293.708,2.162,1.161
1690,497.413,52,2.002,6302.157,1.988,1.168
1700,506.714,52,1.965,6310.617,2.001,1.164
1710,497.859,52,1.999,6319.058,1.989,1.146
1720,450.816,52,2.211,6327.513,2.261,1.15
1730,500.776,52,1.987,6335.963,1.967,1.167
1740,469.109,52,2.122,6344.413,1.999,1.164
1750,435.92,52,2.286,6352.868,2.136,1.151
1760,6.515,56,153.493,6365.32,1.971,1.145
1770,467.814,56,2.128,6373.852,2.076,1.213
1780,499.102,56,1.995,6382.289,2.081,1.162
1790,505.229,56,1.97,6390.746,2.031,1.164
1800,500.375,56,1.99,6399.181,1.965,1.16
1810,501.505,56,1.985,6407.647,2.001,1.164
1820,500.927,56,1.987,6416.084,2.036,1.162
1830,415.887,56,2.396,6424.557,2.003,1.161
1840,436.053,56,2.285,6432.989,2.018,1.153
1850,423.066,56,2.354,6441.425,1.997,1.147
1860,495.123,56,2.011,6449.899,1.952,1.155
1870,455.664,56,2.186,6458.351,2.029,1.173
1880,480.215,56,2.073,6466.778,2.233,1.147
1890,496.106,56,2.007,6475.224,1.966,1.149
1900,423.442,56,2.352,6483.669,1.976,1.167
1910,491.594,56,2.024,6492.122,1.99,1.166
1920,499.351,56,1.993,6500.552,1.987,1.172
1930,494.022,60,2.014,6510.46,2.026,2.869
1940,471.765,60,2.11,6518.9,2.004,1.186
1950,412.133,60,2.418,6527.394,2.346,1.17
1960,423.442,60,2.351,6535.819,1.988,1.164
1970,495.565,60,2.009,6544.25,2.315,1.167
1980,495.172,60,2.012,6552.698,1.977,1.161
1990,488.162,60,2.038,6561.143,2.015,1.164
2000,493.364,60,2.016,6569.583,2.026,1.151
2010,481.533,60,2.067,6303.522,2.032,1.149
