FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,134.398,0,7.428,4311.429,2.891,3.442
20,320.133,0,3.11,4671.069,3.255,1.35
30,103.218,4,9.679,4837.81,2.597,1.383
40,283.382,4,3.517,4853.4,2.86,1.417
50,295.081,4,3.38,4869.459,3.159,2.09
60,287.365,4,3.473,4884.619,3.218,2.76
70,322.466,4,3.09,4899.37,3.031,2.793
80,275.756,4,3.617,4916.478,3.879,0
90,357.654,4,2.786,4931.145,2.82,1.496
100,335.796,8,2.965,4945.501,3.098,2.069
110,294.118,8,3.392,5004.172,3.06,2.388
120,362.24,8,2.757,5019.995,3.205,2.707
130,296.762,8,3.359,4523.207,2.989,1.396
140,276.167,8,3.615,4540.048,3.353,2.734
150,304.971,8,3.271,4555.676,2.978,3.439
160,318.38,8,3.139,4572.109,3.232,3.16
170,341.018,8,2.928,4587.288,2.943,0
180,264.971,8,3.731,4603.354,3.957,3.484
190,362.529,8,2.755,4618.996,3.534,2.639
200,292.817,8,3.404,4633.651,2.889,2.998
210,321.069,8,3.115,4649.461,3.806,3.546
220,9.348,12,106.98,5024.414,3.377,2.635
230,386.698,12,2.578,5033.392,2.302,1.391
240,429.867,12,2.317,5042.282,2.261,1.427
250,425.351,16,2.355,5055.632,96.525,3.589
260,431.444,16,2.31,5064.533,2.573,2.177
270,406.537,16,2.452,5073.439,2.358,2.204
280,435.066,16,2.291,5082.33,2.305,2.212
290,392.526,16,2.539,5091.255,2.288,2.394
300,434.953,16,2.289,5100.136,2.27,0
310,435.237,16,2.29,5109.039,2.323,2.228
320,431.909,16,2.307,5117.911,2.568,2.501
330,434.783,16,2.291,5126.812,2.348,2.223
340,436.167,16,2.285,5135.715,2.277,2.407
350,365.577,16,2.723,5144.637,2.285,1.934
360,432.938,16,2.302,5153.528,2.57,2.52
370,432.826,16,2.304,5162.433,2.535,2.048
380,388.108,16,2.567,5171.308,2.327,2.267
390,390.137,16,2.558,5180.219,2.298,2.042
400,431.593,16,2.309,5189.108,2.584,2.326
410,435.313,16,2.29,5198.017,2.283,2.24
420,418.183,20,2.382,5214.684,144.133,3.537
430,343.985,20,2.898,5223.582,2.366,2.502
440,419.076,20,2.378,5232.494,2.429,2.191
450,378.015,20,2.615,5241.417,2.338,2.509
460,384.157,20,2.593,5250.317,2.365,2.214
470,430.886,20,2.31,5259.205,2.371,2.485
480,408.864,20,2.438,5268.12,2.315,2.214
490,431.462,20,2.31,5277.028,2.309,2.309
500,372.135,20,2.681,5285.943,2.437,2.142
510,422.012,20,2.364,5294.791,2.335,2.449
520,433.764,20,2.297,5303.75,2.358,2.047
530,421.834,20,2.365,5312.659,2.572,2.238
540,425.876,20,2.34,5321.553,2.474,2.063
550,432.059,20,2.307,5330.444,2.469,2.225
560,417.432,24,2.388,5344.695,2.379,1.453
570,429.387,24,2.32,5353.574,2.514,2.142
580,387.372,24,2.573,5362.445,2.366,2.43
