FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,160.64,0,6.213,4310.829,2.87,3.435
20,354.032,0,2.815,4658.855,2.809,0
30,363.121,0,2.744,4672.533,2.373,0
40,352.473,4,2.83,4831.846,3.45,3.3
50,375.347,4,2.655,4847.243,3.181,1.64
60,344.97,4,2.888,4861.272,2.752,1.465
70,371.775,4,2.68,4875.401,2.735,1.533
80,279.783,4,3.563,4892.104,3.404,3.026
90,348.286,4,2.861,4906.896,3.34,3.048
100,299.742,4,3.327,4922.174,3.088,3.007
110,309.962,4,3.212,4936.637,2.916,2.332
120,315.129,8,3.167,4543.443,3.308,3.401
130,281.547,8,3.541,4559.489,3.001,2.13
140,309.052,8,3.224,4575.194,3.051,0
150,299.446,8,3.326,4591.453,3.019,0
160,283.793,8,3.516,4607.705,3.248,1.955
170,280.057,8,3.564,4622.933,3.193,2.668
180,286.599,8,3.479,4640.074,3.698,0
190,327.45,8,3.044,4655.529,3.596,2.008
200,435.483,12,2.288,4733.901,5.169,0
210,379.708,12,2.627,4737.627,2.595,2.44
220,397.599,12,2.503,4741.21,2.692,0
230,454.566,12,2.194,4744.974,2.604,2.383
240,394.058,12,2.534,4748.935,2.929,2.25
250,397.662,12,2.507,4753.707,2.2,1.399
260,390.762,12,2.418,4760.734,2.397,2.368
270,408.547,12,2.438,4782.746,2.963,2.787
280,385.981,16,2.583,5081.095,2.248,3.44
290,450.979,16,2.211,5090.075,2.259,1.705
300,410.189,16,2.428,5099.082,2.242,1.425
310,447.768,16,2.225,5108.027,2.385,1.433
320,447.147,16,2.229,5117.015,2.28,1.636
330,418.113,16,2.384,5126.001,2.44,1.529
340,451.06,16,2.207,5135.006,2.378,0
350,430.478,16,2.315,5143.99,2.514,1.425
360,440.684,16,2.261,5152.971,2.696,1.781
370,450.187,16,2.213,5161.947,2.764,2.433
380,446.19,16,2.232,5170.917,2.196,1.71
390,455.415,16,2.185,5179.901,2.442,2.3
400,451.06,16,2.208,5188.885,2.373,1.426
410,455.934,16,2.185,5197.877,2.212,1.732
420,441.443,20,2.255,5217.527,2.232,0
430,440.82,20,2.266,5226.494,2.255,2.375
440,404.727,20,2.464,5235.513,2.247,2.038
450,446.209,20,2.233,5244.516,2.249,2.213
460,453.7,20,2.197,5253.47,2.297,2.05
470,449.277,20,2.218,5262.456,2.446,2.2
480,447.748,20,2.225,5271.436,2.274,2.233
490,445.375,20,2.238,5280.408,2.381,2.241
500,384.113,20,2.595,5289.413,2.251,2.068
510,394.104,24,2.528,5305.693,203.547,3.167
520,384.823,24,2.589,5314.773,2.412,2.274
530,443.203,24,2.249,5323.759,2.421,2.165
540,440.354,24,2.261,5332.751,2.288,2.47
550,436.834,24,2.282,5341.767,2.515,2.088
560,438.039,24,2.276,5350.758,2.447,2.119
570,437.139,24,2.277,5359.72,2.282,2.291
580,376.039,24,2.648,5368.677,2.293,0
590,430.867,24,2.314,5377.631,2.429,2.149
600,437.407,24,2.278,5386.585,2.283,1.731
610,439.947,24,2.265,5395.534,2.573,2.148
620,396.668,24,2.513,5404.498,2.435,2.389
630,435.199,28,2.29,5413.456,2.302,2.267
640,400.16,28,2.49,5426.984,2.341,1.476
650,426.548,28,2.335,5435.967,2.343,2.298
660,430.515,28,2.313,5444.937,2.318,2.305
670,437.101,28,2.279,5453.913,2.324,2.238
680,435.578,28,2.288,5462.848,2.294,2.253
690,378.63,28,2.632,5471.822,2.814,2.171
700,442.811,28,2.249,5480.784,2.313,1.885
