FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,153.252,0,6.519,4301.726,2.674,2.966
20,401.655,0,2.48,4641.132,2.72,1.576
30,361.572,4,2.765,4655.916,3.181,2.248
40,398.597,4,2.499,4799.673,3.013,1.75
50,388.199,4,2.564,4813.646,3.101,1.66
60,353.145,4,2.822,4828.745,3.423,2.877
70,360.166,4,2.767,4843.384,2.682,2.178
80,374.883,4,2.657,4857.146,2.697,2.718
90,292.972,4,3.406,4871.702,3.059,1.632
100,313.322,4,3.181,4884.573,2.543,1.363
110,327.751,4,3.042,4898.829,2.457,1.866
120,326.595,8,3.052,4912.568,2.678,2.604
130,336.259,8,2.963,5011.813,2.559,0
140,295.456,8,3.375,5026.284,2.844,2.515
150,351.111,8,2.836,4528.747,3.487,0
160,396.857,8,2.513,4542.898,2.964,1.901
170,356.901,8,2.798,4556.928,3.181,1.997
180,288.492,8,3.458,4571.408,2.64,1.977
190,392.958,8,2.541,4584.467,3.132,1.501
200,340.704,8,2.922,4599.084,2.753,1.755
210,341.076,8,2.922,4613.158,2.845,1.94
220,355.164,8,2.806,4627.32,2.703,2.822
230,404.776,12,2.457,4744.494,3.105,2.992
240,424.755,12,2.344,4748.395,2.547,1.671
250,437.809,12,2.276,4752.079,2.976,1.659
260,435.218,12,2.29,4755.46,2.227,0
270,496.303,12,2.006,4758.512,2.295,1.373
280,377.629,12,2.642,4764.732,2.446,1.336
290,452.141,12,2.206,4772.373,2.33,1.635
300,3,16,354.925,5102.641,2.514,1.521
310,498.455,16,2,5111.341,2.001,0
320,507.305,16,1.959,5119.843,2.256,0
330,489.333,16,2.04,5128.348,2.261,1.351
340,494.584,20,2.013,5141.562,146.96,3.414
350,492.223,20,2.027,5150.04,2.014,1.425
360,492.538,20,2.021,5158.532,1.998,1.371
370,506.688,20,1.963,5167.021,1.991,1.349
380,508.854,20,1.954,5175.511,2.012,1.356
390,492.538,20,2.019,5183.991,2.019,0
400,500.1,20,1.989,5192.468,1.963,1.36
410,445.414,20,2.235,5200.938,2.017,1.398
420,502.386,20,1.98,5209.447,1.945,1.357
430,506.175,20,1.966,5217.954,2.656,1.399
440,495,20,2.009,5226.457,2.198,1.358
450,501.354,20,1.984,5234.937,2.141,1.366
460,500.45,20,1.991,5243.403,1.973,1.375
470,492.029,20,2.022,5251.88,2.014,0
480,502.765,20,1.977,5260.37,1.999,0
490,494.071,20,2.015,5268.839,2.15,1.378
500,496.5,20,2.005,5277.341,2.133,1.365
510,500.651,24,1.988,5293.88,1.996,3.045
520,502.689,24,1.978,5302.413,2.406,0
530,495.221,24,2.008,5310.887,1.95,0
540,501.379,24,1.985,5319.372,2.016,1.379
550,496.796,24,2.004,5327.838,2.066,1.481
560,499.575,24,1.992,5336.331,2.238,1.409
570,507.279,24,1.964,5344.814,2.195,1.351
580,501.505,24,1.986,5353.303,2.224,1.465
590,508.621,24,1.956,5361.781,2.197,1.677
600,503.525,24,1.976,5370.245,2.336,1.651
610,512.584,24,1.942,5378.72,2.267,1.646
620,495.712,24,2.008,5387.217,2.277,1.385
630,492.029,28,2.025,5403.005,4.457,0
640,502.765,28,1.978,5411.482,2.053,0
650,507.666,28,1.959,5419.952,2.084,0
660,439.599,28,2.266,5428.464,2.004,1.39
670,434.631,28,2.291,5436.977,1.978,1.411
680,441.774,28,2.254,5445.462,2.258,1.459
690,478.354,28,2.079,5453.978,1.985,0
700,509.113,28,1.955,5462.453,2.465,1.392
710,504.668,28,1.972,5470.937,1.934,1.397
720,494.218,28,2.012,5479.443,1.948,0
730,481.765,28,2.065,5487.924,2.049,0
740,501.052,28,1.987,5496.418,1.986,1.387
750,501.379,28,1.985,5504.891,2.021,1.399
760,471.231,32,2.111,5518.078,2.013,3.059
770,465.679,32,2.138,5526.58,2.09,1.45
780,426.148,32,2.34,5535.078,2.183,1.547
790,442.439,32,2.251,5543.575,1.995,1.552
800,453.042,32,2.197,5552.095,2.151,1.682
810,433.839,32,2.296,5560.58,2.065,1.62
820,443.203,32,2.247,5569.074,1.938,1.422
830,491.039,32,2.028,5577.568,2.25,1.375
840,487.9,32,2.04,5586.097,2.012,1.447
850,494.438,32,2.013,5594.608,1.983,1.394
860,497.463,32,2.001,5603.136,1.982,1.405
870,489.98,32,2.032,5611.655,2.046,1.378
880,505.306,32,1.969,5620.157,2.028,1.358
890,504.847,32,1.97,5628.658,1.942,0
900,492.247,32,2.023,5637.167,2.046,1.365
910,500.35,32,1.989,5645.666,1.961,1.438
920,510.386,32,1.95,5654.18,1.989,1.386
930,500.551,36,1.988,5662.741,1.926,1.42
940,502.968,36,1.981,5671.23,1.965,1.385
950,502.791,36,1.981,5679.739,2.248,1.384
960,433.633,36,2.296,5688.237,2.264,1.425
970,502.993,36,1.98,5696.738,2.331,1.414
980,491.014,36,2.026,5705.293,2.586,1.419
990,508.906,36,1.955,5713.781,2.038,1.374
1000,499.725,36,1.992,5722.286,2.016,1.629
1010,512.111,36,1.943,5730.787,2.046,1.657
1020,505.868,36,1.968,5739.291,2.034,1.621
1030,503.626,36,1.976,5747.89,1.963,1.687
1040,498.728,36,1.996,5756.422,1.958,1.385
1050,495.27,36,2.008,5764.922,2.132,1.4
1060,499.077,36,1.994,5773.442,2.018,1.405
1070,512.348,36,1.943,5781.953,2.012,1.42
1080,506.663,36,1.963,5790.458,1.97,1.398
1090,503.677,36,1.979,5798.992,2.019,0
1100,495.835,36,2.007,5807.517,1.985,1.391
1110,503.601,36,1.974,5816.022,1.972,1.431
1120,448.471,36,2.221,5824.535,2.019,1.425
1130,460.851,36,2.164,5833.045,2.256,1.443
1140,485.131,36,2.057,5841.569,2.398,1.411
1150,433.595,36,2.297,5850.076,2.077,1.416
1160,431.258,36,2.308,5858.609,1.93,0
1170,248.287,40,4.023,5871.812,2.222,1.435
1180,511.038,40,1.946,5880.368,2.021,1.459
1190,508.311,40,1.958,5888.902,1.99,1.639
1200,489.213,40,2.034,5897.551,2.047,1.402
1210,501.756,40,1.984,5906.087,1.989,1.429
1220,494.242,40,2.014,5914.634,1.989,1.365
1230,503.195,40,1.978,5923.196,1.987,1.419
1240,513.584,40,1.938,5931.723,1.986,1.394
1250,509.788,40,1.952,5940.252,1.995,1.361
1260,497.537,40,1.999,5948.8,2.125,1.396
1270,502.487,40,1.979,5957.356,2.046,0
1280,497.29,40,2,5965.914,1.94,1.415
1290,497.216,40,2,5974.447,2.013,1.413
1300,504.134,40,1.977,5982.997,1.97,1.407
1310,509.554,40,1.955,5991.51,2,1.399
1320,507.022,40,1.965,6000.041,2.186,1.372
1330,507.022,40,1.961,6008.597,1.97,1.602
1340,505.817,44,1.968,6017.152,1.958,1.643
1350,443.027,44,2.249,6033.143,2.047,0
1360,495.712,44,2.008,6041.665,2.155,1.372
1370,486.973,44,2.044,6050.189,2.013,1.382
1380,461.318,44,2.156,6058.716,2.018,0
1390,498.033,44,1.997,6067.248,1.997,0
1400,496.45,44,2.006,6075.766,2.016,1.394
1410,478.652,44,2.079,6084.297,1.982,1.392
1420,464.619,44,2.143,6092.83,1.995,1.422
1430,514.642,44,1.935,6101.383,1.953,1.385
1440,501.354,44,1.983,6109.92,1.985,1.578
1450,429.646,44,2.318,6118.447,2.135,1.445
1460,8.028,48,124.549,6130.37,2.151,1.419
1470,449.802,48,2.216,6138.987,1.977,1.379
1480,504.414,48,1.971,6147.509,2.216,1.423
1490,513.057,48,1.941,6156.048,1.956,1.517
1500,511.221,48,1.949,6164.588,2.178,1.431
1510,517.438,48,1.924,6173.143,1.956,1.66
1520,503.778,48,1.976,6181.681,1.947,1.691
1530,500,48,1.99,6190.241,1.985,1.41
1540,447.968,48,2.223,6198.775,2.434,1.404
1550,505.945,48,1.968,6207.294,2.355,1.624
1560,506.201,48,1.97,6215.823,2.053,1.656
1570,500.902,48,1.987,6224.37,2.006,1.389
1580,504.796,48,1.971,6232.917,2.01,1.358
1590,502.614,48,1.98,6241.479,2.043,1.41
1600,495.589,48,2.008,6249.997,1.989,1.411
1610,505.28,48,1.973,6258.543,2.033,1.385
1620,499.476,48,1.991,6267.084,1.993,1.399
1630,505.102,48,1.967,6275.634,1.994,1.406
1640,508.388,48,1.957,6284.184,2.152,1.369
1650,501.731,52,1.987,6295.591,2.02,0
1660,510.465,52,1.952,6304.126,1.974,1.428
1670,502.942,52,1.979,6312.684,1.96,1.668
1680,490.148,52,2.03,6321.224,1.937,1.709
1690,496.106,52,2.006,6329.764,2.157,1.736
1700,420.08,52,2.371,6338.325,2.021,1.476
1710,425.405,52,2.342,6346.882,1.945,1.405
1720,419.076,52,2.376,6355.414,2.203,1.387
1730,443.145,52,2.249,6363.959,1.99,1.4
1740,424.61,52,2.347,6372.502,1.957,1.387
1750,460.829,52,2.16,6381.045,1.982,1.4
1760,503.601,52,1.976,6389.592,2.008,1.391
1770,491.497,52,2.023,6398.118,1.992,0
1780,493.852,52,2.016,6406.652,2.063,1.431
1790,479.8,52,2.075,6415.189,1.961,1.392
1800,510.908,52,1.949,6423.715,2.006,1.404
1810,495.099,52,2.013,6432.232,1.954,1.399
1820,508.13,52,1.958,6440.779,1.967,1.651
1830,483.395,56,2.059,6453.446,1.987,1.603
1840,493.876,56,2.014,6461.971,2.018,1.432
1850,494.878,56,2.011,6470.497,2.02,1.62
1860,428.743,56,2.323,6479.058,2.015,1.613
1870,439.85,56,2.263,6487.585,2.001,1.655
1880,419.586,56,2.375,6496.146,2.003,1.397
1890,417.084,56,2.388,6504.656,1.956,1.409
1900,483.092,56,2.061,6513.191,2.157,1.565
1910,494.266,56,2.014,6521.741,2.018,1.728
1920,504.337,56,1.973,6530.251,2.028,1.605
1930,464.922,56,2.141,6538.786,2.133,1.651
1940,500.425,56,1.989,6547.31,2.011,1.648
1950,514.615,56,1.933,6555.835,2.168,1.621
1960,512.348,56,1.942,6564.385,2.02,1.597
1970,508.569,56,1.957,6572.933,2.333,1.373
1980,498.256,56,1.998,6581.478,2.361,1.398
1990,493.437,56,2.017,6590.008,2.275,1.389
2000,416.945,60,2.388,6600.588,71.6,3.407
2010,412.729,60,2.414,6332.199,2.206,1.523
2020,482.486,60,2.065,5953.818,2.096,1.57
2030,478.698,60,2.08,5867.759,2.052,1.38
2040,492.659,60,2.021,5777.587,2.045,1.369
2050,456.059,60,2.178,5674.265,2.066,1.392
2060,435.958,60,2.282,5522.526,2.486,1.457
2070,430.515,60,2.319,5342.174,2.475,1.537
2080,468.011,60,2.129,5089.363,2.248,1.403
2090,488.377,60,2.039,4843.526,2.056,1.372
2100,417.38,60,2.389,4820.442,2.058,1.357
2110,433.839,60,2.296,4820.334,2.094,1.397
2120,458.253,60,2.178,4820.213,1.996,1.453
2130,435.237,60,2.287,4817.098,2.085,1.566
2140,488.21,60,2.042,4816.744,2.379,1.414
2150,427.277,60,2.33,4811.99,2.391,1.424
2160,504.77,60,1.972,4811.823,2.016,1.398
2170,427.077,60,2.331,4811.722,2.292,1.378
2180,401.188,60,2.341,4811.559,2.084,1.654
2190,22.775,64,43.893,4812.25,2.432,0
2200,433.351,64,2.299,4812.1,2.354,1.632
2210,490.533,64,2.037,4812.006,2.43,1.469
2220,494.805,64,2.014,4811.871,2.539,1.365
2230,434.48,64,2.292,4807.294,2.354,1.485
2240,492.393,64,2.023,4807.445,2.033,1.612
2250,464.403,64,2.144,4807.735,2.036,1.622
2260,411.032,64,2.425,4808.117,2.074,1.644
2270,432.751,64,2.304,4808.474,2.015,1.366
2280,421.443,64,2.363,4808.905,1.97,1.502
2290,506.611,64,1.965,4809.279,2.353,1.347
2300,493.024,64,2.017,4808.218,2.552,0
2310,441.443,64,2.257,4801.044,2.093,1.368
2320,468.318,64,2.127,4801.113,2.389,1.619
2330,468.055,64,2.126,4801.217,1.978,1.348
2340,462.385,64,2.155,4801.142,2.187,1.36
2350,473.082,64,2.101,4801.271,2.207,0
2360,479.019,64,2.077,4801.328,2.213,0
2370,411.472,64,2.42,4801.42,2.009,1.359
2380,408.147,64,2.438,4801.424,2.093,1.353
2390,506.586,64,1.965,4801.675,2.062,1.341
2400,508.647,68,1.957,4801.691,2.422,1.552
2410,508.156,68,1.962,4801.799,2.326,1.373
2420,452.96,68,2.196,4801.894,2.463,1.425
2430,502.689,68,1.979,4801.911,2.427,1.435
2440,494.682,68,2.014,4801.955,2.206,1.403
2450,494.34,68,2.017,4802.093,2.216,1.396
2460,408.931,68,2.435,4802.299,1.998,1.557
2470,395.101,68,2.52,4802.415,2.04,1.518
2480,485.649,68,2.049,4802.482,2.606,1.396
2490,488.019,68,2.042,4802.548,2.051,1.353
2500,428.009,68,2.329,4802.573,2.401,1.42
2510,482.114,68,2.063,4802.401,2.483,1.39
2520,478.171,68,2.084,4802.464,2.037,1.41
2530,497.587,68,1.999,4802.539,2.148,0
2540,397.298,68,2.471,4802.66,2.067,1.386
2550,410.324,68,2.427,4802.709,2.091,1.398
2560,418.2,68,2.383,4802.742,2.251,1.412
2570,439.425,68,2.265,4802.872,2.313,1.387
2580,464.08,68,2.146,4802.97,2.107,1.399
2590,499.8,68,1.992,4803.098,2.006,1.41
2600,483.957,68,2.055,4803.256,2.119,1.403
2610,452.858,68,2.2,4803.315,2.396,1.365
2620,472.077,68,2.111,4803.376,2.308,1.672
2630,487.805,72,2.044,4803.385,2.082,1.476
2640,484.872,72,2.05,4803.456,2.39,1.392
2650,414.388,72,2.407,4803.648,2.32,1.715
2660,402.059,72,2.478,4803.733,2.044,1.657
2670,423.675,72,2.351,4803.744,2.526,1.375
2680,327.708,72,3.036,4803.881,2.035,1.401
2690,498.355,72,1.997,4803.896,2.158,1.415
2700,487.638,72,2.04,4803.973,2.031,0
2710,487.306,72,2.041,4804.07,2.565,1.409
2720,487.591,72,2.044,4804.171,1.986,1.41
2730,400.93,72,2.483,4804.215,2.11,1.398
2740,386.937,72,2.575,4804.297,2.069,1.756
2750,386.608,72,2.577,4804.386,2.324,1.42
2760,504.745,72,1.973,4804.347,2.554,1.421
2770,502.311,72,1.982,4804.444,2.463,1.411
2780,507.898,72,1.959,4804.518,2.446,1.354
2790,485.248,72,2.053,4804.645,2.046,1.404
2800,498.505,72,1.997,4804.758,2.41,1.389
2810,461.233,72,2.157,4804.893,2.05,1.404
2820,474.293,72,2.097,4805.075,2.055,1.592
2830,503.677,72,1.978,4805.18,2.104,1.619
2840,391.007,72,2.545,4805.296,2.375,1.407
2850,23.093,76,43.292,4806.222,2.1,1.408
2860,403.356,76,2.472,4806.424,2.585,1.702
2870,464.814,76,2.14,4806.501,2.516,1.423
2880,473.53,76,2.101,4806.599,2.039,1.403
2890,458.737,76,2.171,4806.734,2.197,1.357
2900,487.14,76,2.042,4806.845,2.113,1.399
2910,507.279,76,1.962,4806.863,2.027,1.392
2920,503.905,76,1.977,4806.952,2.164,1.41
2930,411.286,76,2.424,4807.025,2.278,1.474
2940,470.345,76,2.116,4807.172,2.254,1.425
2950,481.047,76,2.069,4807.241,2.509,1.38
2960,470.81,76,2.115,4807.317,2.423,1.76
2970,493.559,76,2.02,4807.489,1.996,1.675
2980,476.781,76,2.088,4807.594,2.004,1.668
2990,397.551,76,2.506,4807.676,2.217,1.552
3000,478.423,76,2.083,4807.859,2,1.397
3010,436.853,76,2.281,4807.97,2.114,1.389
3020,474.631,76,2.1,4808.114,2,1.401
3030,418.69,76,2.378,4808.161,2.101,1.361
3040,420.203,76,2.372,4808.248,1.993,1.405
3050,462.086,76,2.154,4808.33,2.21,1.626
3060,187.427,80,5.326,4811.276,9.069,3.08
3070,484.614,80,2.053,4288.916,2.308,0
3080,498.256,80,1.997,4288.937,2.408,1.576
3090,438.577,80,2.271,4288.919,2.483,1.67
3100,486.169,80,2.049,4288.856,2.512,1.537
3110,498.853,80,1.995,4288.938,2.002,1.421
3120,393.345,80,2.532,4288.986,2.007,1.408
3130,439.754,80,2.265,4289.003,2.005,1.399
3140,490.22,80,2.033,4289.095,2.093,1.362
3150,409.182,80,2.437,4289.15,2.288,1.681
3160,479.639,80,2.074,4289.225,2.301,1.392
3170,498.355,80,1.995,4289.249,2.11,0
3180,432.732,80,2.302,4289.192,2.489,1.545
3190,416.406,80,2.393,4289.289,2.154,1.668
3200,425.786,84,2.34,4289.358,2.523,1.523
3210,496.475,84,2.006,4289.381,2.118,1.409
3220,495.393,84,2.011,4289.457,2.084,1.398
3230,459.369,84,2.167,4289.414,1.989,1.369
3240,483.887,84,2.057,4289.468,2.287,1.648
3250,486.027,84,2.047,4289.465,1.995,1.398
3260,505.153,84,1.971,4289.516,1.961,1.413
3270,496.278,84,2.008,4289.536,1.993,1.407
3280,488.52,84,2.039,4289.577,2.041,1.366
3290,487.638,84,2.042,4289.625,2.151,1.401
3300,435.958,84,2.282,4289.518,2.457,1.377
3310,495.197,84,2.011,4289.572,2.562,1.4
3320,469.792,84,2.122,4289.621,2.011,1.405
3330,492.975,84,2.019,4289.629,1.996,1.398
3340,479.134,84,2.075,4289.662,2.071,0
3350,499.55,84,1.993,4289.456,2.071,1.427
3360,486.192,84,2.05,4289.468,2.087,1.4
3370,503.601,84,1.981,4289.457,1.985,1.398
3380,439.541,84,2.266,4289.382,2.103,1.415
3390,496.648,84,2.005,4289.295,2.197,1.36
3400,407.398,84,2.445,4289.324,2.441,1.391
3410,438.154,84,2.273,4289.308,2.048,1.633
3420,493.437,84,2.017,4289.266,2.002,1.603
3430,423.747,88,2.351,4289.23,2.233,1.422
3440,433.05,88,2.3,4289.268,2.35,1.538
3450,459.834,88,2.163,4289.261,2.028,1.427
3460,501.731,88,1.986,4289.209,2.217,1.408
3470,469.263,88,2.121,4288.967,2.054,1.402
3480,416.389,88,2.393,4288.967,2.436,1.429
3490,440.995,88,2.282,4288.88,3.47,3.157
