FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,160.015,0,6.24,4323.385,3.01,2.949
20,378.487,0,2.633,4668.751,3.349,0
30,354.534,4,2.812,4681.33,2.914,1.838
40,321.223,4,3.108,4871.987,3.525,2.917
50,353.057,4,2.823,4886.059,3.4,2.848
60,309.081,4,3.222,4900.719,3.062,0
70,292.989,4,3.397,4916.415,3.475,3.771
80,276.939,4,3.594,4931.677,3.144,2.962
90,159.885,8,6.247,4522.172,3.043,2.915
100,309.713,8,3.217,4538.58,3.208,1.674
110,347.126,8,2.873,4553.381,3.369,1.916
120,338.181,8,2.949,4567.733,2.886,2.011
130,302.7,8,3.287,4583.462,3.09,3.011
140,352.386,8,2.824,4599.505,3.683,0
150,292.783,8,3.405,4615.801,3.669,0
160,351.952,8,2.831,4630.239,2.959,1.413
170,306.091,8,3.257,4645.024,3,1.436
180,341.285,8,2.922,4661.664,3.357,0
190,247.323,12,4.034,4783.92,3.191,2.548
200,440.82,16,2.263,5011.368,2.632,3.093
210,372.245,16,2.678,5020.138,2.598,2.015
220,446.568,16,2.231,5028.882,2.232,2.434
230,394.898,16,2.523,5037.649,2.255,2.151
240,417.851,16,2.385,5046.371,2.262,2.176
250,446.728,16,2.229,5055.106,2.25,2.219
260,437.963,16,2.277,5063.86,2.539,2.067
270,396.511,16,2.515,5072.612,2.776,2.017
280,410.122,16,2.429,5081.393,2.776,2.161
290,425.967,16,2.339,5090.139,2.594,2.25
300,409.651,16,2.433,5098.845,2.516,2.181
310,352.187,16,2.826,5107.592,2.28,2.356
320,445.077,16,2.239,5116.335,2.231,2.155
330,5.658,20,176.735,5132.773,2.237,2.298
340,386.728,20,2.577,5141.585,2.276,1.465
350,441.891,20,2.255,5150.297,2.336,2.538
360,445.613,20,2.237,5159.031,2.243,2.074
370,440.141,20,2.263,5167.791,2.557,2.233
380,440.626,20,2.259,5176.531,2.331,2.466
390,413.856,20,2.409,5185.265,2.297,2.102
400,401.768,20,2.481,5194.017,2.621,2.865
410,437.828,20,2.278,5202.741,2.51,2.006
420,447.467,20,2.226,5211.497,2.261,2.42
430,442.439,20,2.25,5220.221,2.277,0
440,441.073,20,2.259,5228.981,2.234,2.11
450,401.816,20,2.484,5237.72,2.245,2.341
460,445.295,20,2.238,5246.467,2.284,1.981
470,426.003,24,2.343,5258.442,2.257,3.2
480,431.462,24,2.309,5267.191,2.56,2.525
490,363.531,24,2.741,5275.969,2.537,0
500,397.614,24,2.503,5284.711,2.301,2.271
510,382.731,24,2.606,5293.494,2.749,2.719
520,394.602,24,2.526,5302.276,2.304,2.356
530,436.719,24,2.282,5311.037,2.536,2.406
540,417.066,24,2.39,5319.786,2.322,2.528
550,392.434,24,2.541,5328.542,2.683,2.489
560,391.175,24,2.546,5337.3,2.298,2.349
570,437.101,24,2.28,5346.059,2.314,2.307
580,431.648,24,2.309,5354.817,2.279,2.529
590,403.633,24,2.469,5363.584,2.304,2.015
600,432.152,24,2.306,5372.337,2.37,2.217
610,432.975,24,2.303,5381.082,2.321,2.537
620,366.448,24,2.721,5389.86,2.32,2.238
630,431.742,24,2.307,5398.613,2.606,2.03
640,439.001,24,2.27,5407.355,2.286,2.193
650,432.339,28,2.322,5421.281,2.329,0
660,423.352,28,2.328,5430.064,2.544,1.95
670,429.387,28,2.321,5438.831,2.405,2.135
680,403.226,28,2.468,5447.601,2.324,2.502
690,431.648,28,2.308,5456.381,2.373,2.214
700,421.532,28,2.365,5465.147,2.305,2.497
710,341.472,28,2.886,5473.933,2.65,2.148
720,386.429,28,2.579,5482.73,2.872,2.311
730,423.747,28,2.353,5491.481,2.665,2.49
740,418.41,28,2.38,5500.285,2.318,2.221
750,435.711,28,2.288,5509.032,2.31,2.566
760,433.52,28,2.297,5517.86,2.277,0
770,429.24,28,2.32,5526.59,2.326,2.186
780,392.526,28,2.538,5535.381,2.314,1.997
790,414.559,32,2.403,5549.897,2.385,3.166
