FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,153.447,0,6.51,4278.368,2.861,3.214
20,293.015,0,3.398,4620.946,3.005,1.487
30,343.442,4,2.898,4634.4,2.823,1.203
40,434.65,4,2.291,4728.698,5.638,2.837
50,358.372,4,2.78,4743.213,3.044,2.015
60,354.572,4,2.811,4757.258,2.732,2.836
70,363.782,4,2.743,4771.072,3.449,1.897
80,339.986,4,2.93,4785.865,2.833,3.198
90,298.963,4,3.333,4799.63,2.959,1.474
100,402.35,4,2.478,4812.971,2.314,1.173
110,377.117,4,2.638,4827.116,2.806,1.167
120,361.389,4,2.76,4841.016,2.89,1.159
130,389.272,4,2.561,4854.948,3.079,1.219
140,354.208,4,2.81,4868.606,3.56,2.298
150,7.532,8,132.751,4950.748,2.74,3.097
160,322.789,8,3.085,4966.294,3.185,1.332
170,313.146,8,3.184,4980.504,3.583,1.358
180,324.612,8,3.07,4995.13,3.106,1.249
190,340.75,8,2.923,5009.228,3.134,1.384
200,315.119,8,3.167,5023.614,2.969,1.531
210,344.376,8,2.897,4525.344,3.002,1.183
220,357.258,8,2.786,4538.823,2.889,1.448
230,341.88,8,2.919,4552.849,2.611,1.746
240,299.581,8,3.327,4566.694,2.54,1.667
250,345.758,8,2.884,4581.223,2.986,1.711
260,316.586,8,3.154,4594.346,2.527,1.816
270,299.231,12,3.332,4680.669,2.711,2.33
280,201.629,12,4.924,4693.718,2.322,1.31
290,290.436,12,3.433,4708.222,3.735,2.553
300,355.164,12,2.805,4722.14,2.64,2.629
310,432.601,12,2.304,4727.826,2.599,1.28
320,420.592,12,2.37,4731.181,2.13,1.236
330,411.184,12,2.425,4734.782,1.995,2.31
340,451.814,12,2.207,4738.121,2.309,1.181
350,462.428,12,2.15,4741.551,2.464,1.417
360,423.083,12,2.357,4744.864,2.013,1.218
370,360.815,12,2.762,4748.398,2.728,1.81
380,445.891,12,2.233,4754.275,2.209,1.388
390,478.08,12,2.082,4761.334,2.35,1.52
400,5.191,16,192.603,5029.548,2.674,1.175
410,450.613,16,2.211,5173.359,2.109,1.193
420,496.032,16,2.007,5181.77,2.039,1.174
430,507.692,16,1.959,5190.154,1.964,1.177
440,435.01,16,2.289,5198.544,2.185,1.176
450,501.278,16,1.987,5206.94,2.245,1.181
460,501.429,16,1.985,5215.347,2.26,1.313
470,433.426,16,2.299,5223.744,2.208,1.461
480,518.457,16,1.919,5232.118,1.988,1.448
490,501.53,16,1.984,5240.522,2.172,1.47
500,508.958,16,1.955,5248.912,1.998,1.175
510,514.483,16,1.935,5257.315,1.996,1.172
520,494.878,20,2.014,5268.412,2.815,0
530,502.185,20,1.979,5276.826,1.95,1.44
540,461.83,20,2.158,5285.222,2.152,1.293
550,501.832,20,1.983,5293.616,2.006,1.436
560,459.791,20,2.166,5302.008,1.971,1.491
570,442.909,20,2.251,5310.392,2.026,1.315
580,437.752,20,2.274,5318.799,2.025,1.499
590,496.82,20,2.004,5327.196,2.032,1.466
600,493.803,20,2.019,5335.588,2.034,1.493
610,515.836,20,1.929,5343.975,1.98,1.48
620,491.981,20,2.024,5352.365,1.932,1.179
630,488.878,20,2.039,5360.745,2.031,1.171
640,511.012,20,1.948,5369.148,2.026,1.171
650,512.479,20,1.942,5377.54,1.948,1.172
660,500.075,20,1.99,5385.961,1.956,1.175
670,510.96,20,1.948,5394.354,1.974,1.177
680,469.506,20,2.121,5402.742,2.138,1.17
690,496.623,20,2.005,5411.131,2.018,1.179
700,499.226,20,1.992,5419.533,1.977,0
710,500.25,20,1.988,5427.923,2.174,1.18
720,503.094,20,1.979,5436.319,2.209,1.174
730,439.715,24,2.265,5448.085,92.97,3.245
740,443.656,24,2.246,5456.47,2.103,1.176
750,436.414,24,2.289,5464.878,2.225,1.172
760,499.725,24,1.992,5473.269,1.951,1.172
770,496.697,24,2.005,5481.661,1.968,1.185
780,509.087,24,1.955,5490.06,1.985,1.182
790,511.928,24,1.944,5498.449,2.001,1.443
800,485.084,24,2.054,5506.868,2.019,1.493
810,493.974,24,2.015,5515.269,1.983,1.45
820,501.882,24,1.983,5523.645,2.048,1.326
830,502.487,24,1.981,5532.062,2.014,1.175
840,498.206,24,1.998,5540.467,2.144,1.176
850,502.437,24,1.982,5548.879,2.011,1.178
860,513.163,24,1.939,5557.282,1.942,1.179
870,508.75,24,1.956,5565.667,2.022,1.173
880,498.803,24,1.995,5574.087,2.035,1.174
890,483.723,24,2.059,5582.484,1.995,1.179
900,504.694,24,1.971,5590.909,2.267,1.17
910,516.662,24,1.929,5599.309,2.218,1.178
920,505.945,24,1.967,5607.693,2.251,1.181
930,511.143,28,1.947,5618.769,69.032,0
940,488.067,28,2.04,5627.167,2.069,1.545
950,504.49,28,1.973,5635.591,1.995,1.462
960,507.279,28,1.962,5643.975,1.943,1.469
970,512.216,28,1.943,5652.379,1.986,1.175
980,497.166,28,2.002,5660.767,2.192,1.177
990,436.738,28,2.28,5669.164,1.991,1.177
1000,441.404,28,2.256,5677.584,2.005,1.176
1010,449.337,28,2.217,5685.969,1.948,1.176
1020,441.599,28,2.256,5694.374,1.941,1.177
1030,435.407,28,2.288,5702.854,1.982,1.181
1040,496.426,28,2.006,5711.258,2.136,1.176
1050,503.119,28,1.981,5719.667,1.95,1.174
1060,499.376,28,1.993,5728.052,1.974,1.167
1070,464.188,28,2.145,5736.458,1.959,1.19
1080,493.243,28,2.018,5744.851,1.963,1.301
1090,496.894,28,2.003,5753.264,2.067,1.468
1100,491.836,28,2.023,5761.68,1.955,1.472
1110,496.155,28,2.006,5770.077,1.987,1.178
1120,497.438,28,2.001,5778.488,1.952,1.179
1130,508.311,28,1.958,5786.881,1.977,1.177
1140,500.526,32,1.989,5796.709,2.136,1.178
1150,499.251,32,1.994,5805.107,2.048,1.233
1160,499.226,32,1.993,5813.515,1.956,1.167
1170,491.836,32,2.025,5821.922,1.976,1.169
1180,509.139,32,1.957,5830.313,1.979,1.183
1190,504.821,32,1.971,5838.751,1.977,1.291
