FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,148.792,0,6.717,4331.675,3.03,3.079
20,343.23,0,2.904,4681.705,3.096,1.352
30,5.837,4,171.294,4790.562,2.801,1.958
40,327.987,4,3.04,4808.42,2.82,1.327
50,342.877,4,2.907,4823.303,3.272,1.662
60,357.987,4,2.782,4838.645,3.238,1.476
70,336.939,4,2.965,4852.649,2.879,1.81
80,328.742,4,3.032,4866.637,2.745,1.356
90,334.594,4,2.972,4880.018,2.962,1.435
100,325.298,4,3.065,4894.317,2.932,3.49
110,319.53,4,3.119,4908.543,3.102,1.533
120,354.887,4,2.811,4922.021,2.941,2.623
130,311.847,4,3.195,4937.158,3.104,1.986
140,283.198,8,3.529,4511.409,2.8,3.135
150,344.911,8,2.889,4525.518,3.306,1.537
160,352.361,8,2.829,4540.253,3.055,2.571
170,304.85,8,3.271,4554.386,2.843,1.867
180,308.785,8,3.229,4570.769,3.304,2.543
190,303.242,8,3.291,4586.978,3.255,2.658
200,298.945,8,3.335,4602.49,3.254,1.577
210,305.148,8,3.272,4618.715,3.258,1.362
220,310.366,8,3.213,4633.864,2.883,1.639
230,295.946,8,3.367,4648.563,2.841,1.332
240,301.741,8,3.31,4664.417,3.243,1.483
250,379.435,12,2.632,4725.892,111.529,3.563
260,437.12,12,2.28,4729.564,2.516,1.612
270,385.446,12,2.594,4733.352,2.672,2.082
280,349.101,12,2.851,4737.175,2.538,1.482
290,419.147,12,2.371,4740.941,2.56,0
300,371.706,12,2.681,4744.761,2.807,1.96
310,423.066,12,2.356,4752,3.046,1.553
320,359.66,12,2.771,4767.308,2.22,0
330,406.157,16,2.454,5110.864,190.182,3.22
340,341.518,16,2.918,5119.635,2.249,1.416
350,456.558,16,2.182,5128.346,2.794,1.548
360,445.851,16,2.235,5137.065,2.501,1.559
370,449.398,16,2.218,5145.772,2.228,1.415
380,443.203,16,2.253,5154.515,2.27,1.423
390,438.193,16,2.272,5163.23,2.237,1.722
400,400.176,16,2.491,5171.972,2.214,1.556
410,449.357,16,2.216,5180.661,2.896,1.406
420,443.086,16,2.251,5189.397,2.248,1.75
