FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,157.193,0,6.355,8175.581,2.574,2.779
20,369.946,0,2.696,8517.816,3.046,0
30,300.996,4,3.315,8639.142,3.451,1.334
40,351.927,4,2.828,8653.03,2.749,1.275
50,344.804,4,2.892,8668.397,2.877,1.911
60,357.859,4,2.787,8680.781,2.441,1.246
70,360.646,4,2.769,8694.986,2.994,1.311
80,383.553,4,2.596,8708.612,2.608,0
90,373.804,4,2.671,8722.208,2.985,1.381
100,317.551,4,3.139,8735.874,2.964,1.902
110,401.171,4,2.487,8750.393,2.905,0
120,365.871,4,2.726,8764.108,2.476,1.529
130,371.609,4,2.677,8778.523,2.629,1.257
140,337.359,8,2.957,8855.372,36.261,2.78
150,347.367,8,2.87,8870.289,2.631,2.718
160,307.863,8,3.239,8884.922,2.835,2.323
170,285.657,8,3.488,8898.654,2.921,1.207
180,182.206,8,5.48,8420.508,2.513,1.247
190,348.432,8,2.86,8434.58,2.75,1.17
