FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,137.853,0,7.248,4303.856,2.7,3.39
20,308.1,0,3.238,4647.282,3.093,1.386
30,109.025,4,9.169,4783.342,2.803,1.868
40,264.662,4,3.77,4798.759,3.267,2.757
50,308.015,4,3.238,4813.721,3.158,2.496
60,277.362,4,3.601,4829.949,3.677,3.265
70,324.296,4,3.079,4846.991,3.654,2.973
80,298.018,4,3.345,4862.347,3.398,2.822
90,337.986,4,2.952,4878.317,3.346,2.158
100,300.093,4,3.321,4893.847,3.552,2.943
110,309.895,4,3.216,4909.682,3.307,0
120,6.869,8,145.566,5007.582,2.739,0
130,300.915,8,3.318,4513.936,3.612,3.03
140,309.866,8,3.215,4533.257,5.651,6.038
150,309.991,8,3.209,4548.262,2.742,2.482
160,331.082,8,3.013,4564.567,3.178,3.118
170,350.459,8,2.844,4580.876,3.998,0
180,299.204,8,3.33,4595.493,3.308,2.687
190,258.94,8,3.853,4610.514,3.277,2.475
200,328.407,8,3.035,4625.888,3.551,2.706
210,235.899,8,4.231,4642.459,3.373,4.492
220,303.988,12,3.278,4682.989,50.481,3.968
230,298.909,12,3.343,4698.791,3.213,3.131
240,293.315,12,3.397,4715.324,3.056,2.615
250,394.571,12,2.525,4721.949,2.604,2.418
260,346.176,12,2.875,4725.418,2.265,0
270,401.332,12,2.485,4729.124,2.678,0
280,386.548,12,2.576,4732.6,2.555,2.277
290,352.262,12,2.826,4736.34,2.641,2.097
300,300.354,12,3.32,4740.329,2.816,2.851
310,331.17,12,3.017,4745.839,2.634,2.507
320,385.119,12,2.588,4753.577,2.61,2.229
330,383.656,12,2.6,4774.157,2.859,0
340,431.109,16,2.31,5126.962,2.877,0
350,391.267,16,2.548,5135.832,2.258,1.43
360,393.484,16,2.533,5144.745,2.244,1.862
370,437.101,16,2.278,5153.641,2.272,0
380,388.123,16,2.568,5162.533,2.272,1.414
390,438.404,16,2.272,5171.415,2.268,1.729
400,442.635,16,2.252,5180.295,2.257,1.416
410,392.311,16,2.54,5189.173,2.561,1.445
420,440.354,16,2.263,5198.052,2.271,1.535
430,446.05,16,2.235,5206.958,2.284,1.431
440,358.873,16,2.777,5215.883,2.214,1.661
450,381.781,16,2.61,5224.739,2.787,1.636
460,448.773,16,2.219,5233.612,2.24,1.529
470,444.01,16,2.243,5242.514,2.269,1.44
480,14.056,20,71.131,5256.495,2.53,1.449
490,371.416,20,2.681,5267.431,2.33,1.546
500,429.258,20,2.321,5276.311,2.312,2.499
510,435.35,20,2.289,5285.2,2.299,2.186
520,429.923,20,2.318,5294.134,2.344,2.21
530,404.809,20,2.464,5302.993,2.318,2.429
540,435.502,20,2.288,5311.876,2.277,2.172
550,438.059,20,2.274,5320.764,2.304,2.477
560,430.719,20,2.311,5329.674,2.282,2.049
570,438.289,20,2.274,5338.548,2.624,2.215
580,421.319,20,2.367,5347.416,2.301,2.566
590,435.996,20,2.288,5356.317,2.272,2.098
600,382.98,20,2.6,5365.235,2.279,2.179
610,435.388,20,2.289,5374.117,2.878,2.585
620,436.205,20,2.284,5383.014,2.605,2.473
630,430.942,20,2.312,5391.92,2.279,1.952
640,429.627,20,2.319,5400.797,2.34,2.204
650,425.822,24,2.341,5413.739,2.323,0
660,426.494,24,2.337,5422.677,2.336,2.416
670,428.247,24,2.328,5431.582,2.305,2.285
680,426.076,24,2.339,5440.505,2.288,2.208
690,432.246,24,2.307,5449.422,2.342,2.767
700,431.053,24,2.312,5458.33,2.632,2.043
710,429.019,24,2.322,5467.249,2.354,2.241
720,422.458,24,2.36,5476.152,2.338,1.995
730,430.83,24,2.313,5485.071,2.416,2.339
740,419.147,24,2.377,5493.999,2.303,2.268
750,436.034,24,2.285,5502.894,2.539,2.262
760,432.003,24,2.31,5511.806,2.299,2.558
770,354.183,24,2.815,5520.705,2.312,2.363
780,426.821,24,2.335,5529.562,2.308,2.501
790,430.645,24,2.314,5538.396,2.47,2.43
800,400.786,24,2.487,5547.252,2.585,2.771
810,433.482,28,2.299,5556.091,2.297,2.268
820,433.821,28,2.296,5566.799,2.999,1.684
830,422.726,28,2.359,5575.644,2.412,2.426
840,423.567,28,2.354,5584.49,2.367,2.273
850,423.675,28,2.353,5593.322,2.353,2.6
860,421.23,28,2.365,5602.192,2.384,2.289
870,428.835,28,2.324,5611.051,2.427,2.588
880,355.923,28,2.838,5619.905,2.657,2.315
890,420.433,28,2.369,5628.771,2.356,1.995
900,375.728,28,2.652,5637.621,2.399,2.216
910,421.941,28,2.361,5646.455,2.374,0
920,423.066,28,2.355,5655.301,2.721,2.671
930,376.293,28,2.65,5664.124,2.337,1.969
940,385.401,28,2.585,5673.005,2.368,2.236
950,415.196,28,2.401,5681.869,2.424,2.191
960,421.834,28,2.363,5690.696,2.365,2.462
970,428.706,28,2.325,5699.555,2.4,2.228
980,345.375,28,2.887,5708.381,2.485,2.516
990,419.076,28,2.378,5717.254,3.222,2.768
1000,346.476,32,2.881,5730.461,89.416,3.682
1010,429.96,32,2.317,5739.307,2.895,2.329
1020,418.165,32,2.383,5748.202,2.384,1.81
1030,421.621,32,2.364,5757.126,2.42,2.266
1040,367.256,32,2.714,5766.039,2.364,2.07
1050,392.111,32,2.548,5774.9,2.44,2.256
1060,407.764,32,2.442,5783.77,2.706,2.098
1070,348.87,32,2.856,5792.645,2.356,2.327
1080,379.061,32,2.63,5801.503,2.408,2.266
1090,424.412,32,2.349,5810.345,2.332,2.569
1100,420.398,32,2.371,5819.209,2.7,2.209
1110,340.669,32,2.926,5828.091,2.356,2.678
1120,375.855,32,2.652,5836.973,2.395,2.341
1130,424.827,32,2.346,5845.829,2.359,2.217
1140,427.15,32,2.332,5854.696,2.342,2.279
1150,427.04,32,2.335,5863.59,2.539,2.061
1160,10.618,36,94.171,5876.26,2.895,2.598
1170,385,36,2.588,5885.159,2.438,1.536
1180,411.336,36,2.423,5894.053,2.41,2.364
1190,412.933,36,2.413,5902.9,2.942,2.544
1200,411.777,36,2.419,5911.776,2.396,2.085
1210,419.604,36,2.374,5920.657,2.383,2.309
1220,419.868,36,2.372,5929.514,2.387,2.109
1230,341.892,36,2.917,5938.366,2.431,2.911
1240,334.426,36,2.978,5947.231,2.755,2.863
1250,396.008,36,2.516,5956.112,2.473,2.43
1260,401.204,36,2.483,5964.987,2.371,2.192
1270,417.554,36,2.384,5973.859,2.417,2.584
1280,411.726,36,2.42,5982.76,2.571,2.487
1290,384.867,36,2.59,5991.626,2.733,2.696
1300,421.745,36,2.363,6000.5,2.448,2.538
1310,409.417,36,2.431,6009.365,2.43,2.037
1320,420.858,40,2.367,6018.252,2.395,2.358
1330,405.564,40,2.455,6029.041,2.412,0
1340,415.403,40,2.398,6037.929,2.446,2.636
1350,412.899,40,2.413,6046.815,2.455,2.344
1360,418.48,40,2.383,6055.703,2.512,2.716
1370,413.531,40,2.409,6064.603,2.423,2.38
1380,418.078,40,2.383,6073.489,2.397,2.641
1390,412.592,40,2.415,6082.367,2.48,2.559
1400,408.58,40,2.437,6091.253,2.507,0
1410,401.816,40,2.478,6100.157,2.757,0
1420,410.492,40,2.425,6109.039,2.729,2.687
1430,414.852,40,2.402,6117.948,2.585,2.627
1440,369.877,40,2.698,6126.853,2.42,2.595
1450,406.636,40,2.452,6135.742,2.801,3.134
1460,400.416,40,2.488,6144.592,2.702,2.367
1470,416.875,40,2.39,6153.437,2.392,2.699
1480,412.694,40,2.415,6162.293,2.758,3.106
1490,415.628,40,2.396,6171.139,2.371,2.502
1500,411.624,40,2.42,6179.97,2.438,2.432
1510,408.998,44,2.436,6190.677,2.518,0
1520,404.351,44,2.462,6199.566,2.482,0
1530,410.139,44,2.43,6208.413,2.398,2.564
1540,409.5,44,2.433,6217.256,2.52,2.013
1550,407.398,44,2.446,6226.12,2.473,2.743
1560,407.299,44,2.447,6234.994,2.455,2.446
1570,336.451,44,2.961,6243.827,2.414,2.357
1580,413.685,44,2.409,6252.677,2.714,2.678
1590,367.229,44,2.714,6261.514,2.548,2.612
1600,400.898,44,2.484,6270.394,2.59,2.149
1610,388.712,44,2.565,6279.228,2.713,2.745
1620,401.445,44,2.481,6288.089,2.498,2.275
1630,404.563,44,2.463,6296.958,2.418,2.078
1640,400.032,44,2.491,6305.812,3.096,2.951
1650,303.85,44,3.281,6314.676,2.541,3.059
1660,371.899,44,2.68,6323.52,2.434,2.314
1670,400.24,44,2.488,6332.386,2.975,2.612
1680,401.139,44,2.482,6341.22,2.449,0
1690,384.084,48,2.596,6352.062,2.499,0
1700,393.654,48,2.528,6360.947,2.519,0
