FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,148.306,0,6.732,4313.696,3.43,3.29
20,221.391,0,4.498,4654.899,2.798,2.128
30,4.715,4,212.073,4777.64,2.486,2.27
40,233.596,4,4.308,4796.977,3.269,1.43
50,297.779,4,3.353,4812.192,2.994,1.473
60,311.333,4,3.205,4827.816,3.657,2.933
70,333.734,4,2.987,4842.283,2.853,2.106
80,311.449,4,3.204,4858.377,3.477,2.924
90,307.815,4,3.238,4873.972,2.818,3.311
100,289.277,4,3.448,4889.415,3.281,1.508
110,291.511,4,3.424,4906.557,3.678,3.271
120,301.659,8,3.313,4985.328,3.178,1.418
130,269.745,8,3.699,5003.036,3.846,3.215
140,276.893,8,3.6,5019.615,3.106,1.532
150,278.73,8,3.573,4523.501,3.098,3.39
160,297.256,8,3.354,4539.21,3.535,3.305
170,292.851,8,3.404,4555.345,3.234,2.849
180,321.719,8,3.103,4571.199,3.265,1.605
190,294.577,8,3.389,4587.294,3.337,1.591
200,307.324,8,3.25,4602.895,3.514,2.372
210,304.34,8,3.274,4619.593,3.445,3.262
220,204.023,8,4.884,4637.296,5.192,3.18
230,277.523,12,3.593,4719.12,3.07,2.99
240,318.218,12,3.135,4729.003,3.291,1.564
250,415.369,12,2.402,4733.055,2.809,1.426
260,385.892,12,2.582,4736.637,2.363,1.803
270,377.572,12,2.64,4740.967,2.826,1.681
280,308.119,12,3.24,4744.969,2.557,1.845
290,428.743,12,2.324,4749.168,2.914,1.431
300,329.728,12,3.025,4755.447,2.518,1.757
310,377.958,12,2.64,4763.446,2.511,1.777
320,8.241,16,121.351,5109.094,2.56,1.867
330,411.455,16,2.423,5117.757,2.484,1.674
340,422.03,16,2.362,5126.421,2.37,2.051
350,355.834,16,2.801,5135.016,2.322,2.079
360,430.756,16,2.313,5143.618,2.332,2.285
370,426.294,16,2.336,5152.165,2.404,2.4
380,423.944,16,2.348,5160.765,2.843,2.232
390,406.934,16,2.45,5169.397,2.787,2.118
400,428.137,16,2.328,5177.993,2.349,2.383
410,422.761,16,2.358,5186.564,2.334,2.185
420,385.981,16,2.581,5195.16,2.34,2.416
430,419.604,16,2.376,5203.754,2.34,1.973
440,359.919,20,2.771,5218.717,88.564,3.536
450,411.963,20,2.419,5227.281,2.414,2.119
460,407.133,20,2.443,5235.845,2.402,1.991
470,430.126,20,2.318,5244.396,2.588,2.415
480,394.524,20,2.525,5252.951,2.423,2.158
490,383.48,20,2.6,5261.509,2.331,2.362
500,425.822,20,2.341,5270.061,2.348,2.174
510,428.706,20,2.325,5278.605,2.352,2.32
520,342.126,20,2.879,5287.197,2.398,2.126
530,368.121,20,2.711,5295.765,2.374,1.85
540,427.35,20,2.333,5304.3,2.394,2.156
550,375.446,20,2.656,5312.886,2.369,2.152
560,420.398,20,2.37,5321.436,2.439,1.813
570,379.262,20,2.628,5330.016,2.363,2.173
580,422.279,20,2.359,5338.585,2.868,2.21
590,421.23,20,2.366,5347.166,2.621,2.002
600,370.165,20,2.694,5355.72,2.363,2.101
610,428.229,24,2.331,5366.391,2.396,1.457
620,411.556,24,2.422,5374.995,2.409,2.054
630,345.209,24,2.888,5383.579,2.389,2.307
640,310.405,24,3.213,5392.167,2.88,2.653
650,412.95,24,2.414,5400.792,2.371,2.198
660,422.815,24,2.357,5409.392,2.935,2.505
670,420.115,24,2.373,5417.985,2.434,2.206
680,420.628,24,2.37,5426.581,2.384,2.346
690,424.809,24,2.347,5435.16,2.804,2.193
700,425.405,24,2.343,5443.76,2.682,2.091
710,342.83,24,2.909,5452.324,2.648,2.365
720,375.319,24,2.657,5460.93,2.368,2.2
730,422.494,24,2.359,5469.514,2.398,2.101
740,423.066,24,2.356,5478.12,2.861,2.261
750,414.13,24,2.406,5486.71,2.403,2.069
760,377.843,24,2.638,5495.309,2.396,2.203
770,406.785,24,2.449,5503.904,2.387,2.021
780,421.212,24,2.366,5512.49,2.382,2.309
790,402.804,28,2.474,5524.284,3.369,3.455
800,399.505,28,2.495,5532.906,2.559,1.448
810,394.695,28,2.527,5541.516,2.724,1.694
820,337.849,28,2.918,5550.206,2.412,2.266
830,419.27,28,2.377,5558.846,2.389,1.502
840,347.331,28,2.871,5567.459,2.426,1.495
850,416.025,28,2.396,5576.07,2.392,1.813
860,402.366,28,2.478,5584.662,2.357,1.439
870,412.116,28,2.418,5593.304,2.374,1.583
880,415.351,28,2.4,5601.923,2.858,2.296
890,393.128,28,2.535,5610.536,2.363,1.428
900,362.175,28,2.754,5619.161,2.392,1.477
910,422.119,28,2.361,5627.78,2.393,1.426
920,405.861,28,2.456,5636.39,2.71,1.414
930,363.227,28,2.746,5645,2.43,1.762
940,410.526,28,2.427,5653.591,2.62,1.674
950,347.536,28,2.87,5662.222,2.443,1.438
960,399.186,32,2.497,5671.467,2.739,2.213
970,330.994,32,2.974,5680.094,2.688,2.333
980,353.769,32,2.819,5688.715,2.59,2.194
990,407.814,32,2.445,5697.452,2.495,1.938
1000,410.543,32,2.425,5706.099,2.589,2.397
1010,411.286,32,2.424,5714.736,2.447,2.309
1020,360.464,32,2.765,5723.38,2.743,2.407
1030,340.02,32,2.933,5732.124,2.746,2.172
1040,408.413,32,2.441,5740.775,2.547,2.42
1050,399.984,32,2.493,5749.427,2.462,2.211
1060,406.967,32,2.45,5758.079,2.95,2.622
1070,336.678,32,2.963,5766.727,2.713,2.142
1080,368.229,32,2.729,5775.393,2.772,2.213
1090,352.311,32,2.831,5784.036,2.745,2.605
1100,361.834,32,2.757,5792.706,2.92,2.59
