FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,146.128,0,6.836,4334.626,2.932,2.971
20,275.262,0,3.62,4673.677,3.571,1.442
30,5.059,4,197.666,4797.435,2.624,1.592
40,349.369,4,2.852,4814.426,2.835,1.416
50,404.744,4,2.462,4828.004,2.601,2.508
60,306.617,4,3.252,4841.428,3,1.591
70,353.245,4,2.821,4857.277,3.228,2.966
80,319.224,4,3.125,4870.288,2.508,1.351
90,359.557,4,2.774,4885.06,3.452,1.36
100,321.378,4,3.097,4897.562,2.493,1.367
110,352.336,4,2.825,4910.706,3.18,1.814
120,282.534,4,3.524,4924.323,2.848,1.416
130,359.648,4,2.767,4937.729,2.82,1.584
140,297.036,8,3.358,5004.255,2.728,2.973
150,380.749,8,2.618,5017.393,2.494,1.912
160,367.512,8,2.712,5030.472,3.175,1.751
170,316.746,8,3.153,5043.623,2.627,1.585
180,356.341,8,2.803,4545.638,2.689,2.95
190,361.703,8,2.757,4559.386,2.912,2.925
200,362.463,8,2.75,4572.557,2.879,1.435
210,268.032,8,3.719,4587.068,2.971,2.612
220,346.141,8,2.878,4602.654,3.273,2.914
230,341.472,8,2.917,4617.244,2.974,2.796
240,344.436,8,2.894,4630.889,3.702,3.194
250,311.323,8,3.203,4644.617,2.687,3.187
260,278.373,8,3.587,4658.41,2.863,3.149
270,251.117,12,3.982,4749.407,3,3.361
280,415.783,12,2.395,4753.379,2.413,1.782
290,471.631,12,2.107,4756.758,2.313,1.551
300,406.785,12,2.448,4760.6,2.876,0
310,455.456,12,2.181,4764.045,2.295,1.365
320,432.414,12,2.303,4767.886,1.992,1.449
330,408.814,12,2.434,4771.254,2.34,1.34
340,377.715,12,2.643,4776.427,2.379,1.361
350,395.617,12,2.525,4783.347,2.28,1.362
360,451.406,12,2.206,4803.941,2.463,1.836
370,446.03,16,2.227,5168.667,2.184,3.346
380,494.731,16,2.017,5177.14,2.029,1.383
390,499.9,16,1.991,5185.641,1.991,1.354
400,444.129,16,2.246,5194.126,2.213,1.398
410,435.256,16,2.289,5202.591,2.046,1.68
420,441.326,16,2.256,5211.04,2.154,1.592
430,495.295,16,2.008,5219.533,1.966,1.381
440,484.567,16,2.052,5228.014,2.009,1.36
450,478.492,16,2.078,5236.498,1.978,1.345
460,507.743,16,1.963,5244.979,2.154,1.35
470,497.537,16,2.001,5253.447,2.03,1.341
480,459.137,16,2.169,5261.936,1.99,1.36
490,494.902,16,2.013,5270.423,2.138,1.356
500,512.873,16,1.941,5278.922,2.142,1.364
510,493.389,20,2.015,5291.322,1.95,0
520,436.662,20,2.28,5299.868,2.011,0
530,500.4,20,1.992,5308.353,2.069,0
540,495.491,20,2.006,5316.806,2.015,1.356
550,498.927,20,1.994,5325.279,1.997,1.387
560,509.788,20,1.953,5333.782,2.014,1.35
570,438.02,20,2.274,5342.27,2.151,1.364
580,437.426,20,2.277,5350.755,2.2,1.37
590,444.919,20,2.238,5359.222,2.16,1.374
600,488.759,20,2.037,5367.714,2,1.359
610,482.579,20,2.063,5376.181,2.01,1.402
620,486.239,20,2.05,5384.683,1.968,1.386
630,501.832,20,1.985,5393.159,2.181,1.539
640,499.8,20,1.991,5401.61,1.968,1.647
650,498.803,20,1.995,5410.075,1.972,1.647
660,485.107,20,2.052,5418.541,2.01,1.637
670,484.074,20,2.057,5427.022,1.994,1.611
680,460.151,20,2.164,5435.52,2.022,1.604
690,496.45,20,2.011,5443.981,2.012,1.684
700,502.21,20,1.982,5452.464,2.239,1.455
710,486.973,24,2.043,5464.927,91.768,3.463
720,414.216,24,2.406,5473.396,2.04,1.68
730,447.247,24,2.228,5481.867,2.02,1.618
740,435.806,24,2.283,5490.347,2.014,1.332
750,496.5,24,2.005,5498.843,2.022,1.353
760,493.17,24,2.019,5507.337,2.182,1.413
770,496.672,24,2.004,5515.824,1.958,1.366
780,499.351,24,1.993,5524.306,1.998,1.352
790,491.352,24,2.026,5532.807,2.154,1.352
800,491.836,24,2.023,5541.293,2.023,1.345
810,498.828,24,1.997,5549.788,1.993,1.354
820,500.676,24,1.988,5558.273,2.037,1.362
830,506.073,24,1.972,5566.771,2.323,1.408
840,495.688,24,2.006,5575.253,2.28,1.342
850,509.71,24,1.956,5583.766,2.266,1.371
860,460.872,24,2.161,5592.242,2.39,1.452
870,498.38,24,1.999,5600.71,2.069,1.652
880,515.358,24,1.936,5609.189,2.038,1.66
890,470.987,24,2.114,5617.66,2.077,1.583
900,487.258,24,2.042,5626.143,2.086,1.63
910,456.809,28,2.179,5636.057,2.143,0
920,495.884,28,2.007,5644.55,2.017,1.596
930,432.414,28,2.304,5653.037,2.175,1.597
940,449.6,28,2.216,5661.538,2.005,1.665
950,425.641,28,2.34,5670.028,1.938,1.397
960,442.674,28,2.254,5678.508,1.973,1.394
970,437.006,28,2.28,5687.035,2.064,1.396
980,493.827,28,2.016,5695.536,1.976,1.398
990,493.51,28,2.016,5704.013,1.98,1.395
1000,482.556,28,2.063,5712.492,2.004,1.379
1010,441.287,28,2.258,5720.955,2.007,1.409
1020,496.376,28,2.005,5729.462,2.18,1.411
1030,500.701,28,1.988,5738.062,2.004,1.401
1040,502.715,28,1.981,5746.54,2.005,1.395
1050,493.243,28,2.018,5755.052,2.057,1.376
