FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,141.445,0,7.061,4315.826,2.676,3.345
20,391.773,0,2.54,4664.334,3.164,1.582
30,397.03,4,2.509,4677.365,3.02,1.648
40,288.509,4,3.456,4776.265,3.219,1.465
50,283.463,4,3.518,4791.437,3.283,3.164
60,285.739,4,3.488,4806.691,3.041,2.941
70,316.066,4,3.154,4822.074,3.21,3.178
80,351.704,4,2.827,4836.699,2.936,0
90,346.117,4,2.88,4850.972,3.223,2.697
100,325.119,4,3.069,4865.796,3.234,2.584
110,311.371,4,3.202,4881.683,3.276,3.075
120,310.762,4,3.208,4897.213,3.468,4.135
130,347.681,4,2.87,4911.936,2.903,2.129
140,299.267,4,3.331,4927.356,3.619,0
150,321.44,8,3.098,5010.858,3.478,3.368
160,323.803,8,3.077,4513.948,3.263,0
170,313.018,8,3.18,4529.984,3.356,3.058
180,301.196,8,3.309,4545.091,2.934,2.135
190,322.945,8,3.089,4559.776,3.201,1.71
200,314.644,8,3.173,4575.306,3.356,1.763
210,299.751,8,3.327,4591.249,3.322,2.533
220,282.566,8,3.527,4606.675,3.256,3.244
230,277.085,8,3.604,4621.601,3.373,2.044
240,263.29,8,3.764,4638.98,3.182,1.588
250,247.194,12,4.04,4725.569,3.662,1.537
260,312.49,12,3.172,4729.481,2.682,2.106
270,365.217,12,2.731,4734.123,3.791,3.954
280,365.457,12,2.728,4737.854,2.592,2.198
290,398.121,12,2.51,4741.659,2.597,2.536
300,455.415,12,2.188,4745.196,2.428,2.216
310,350.042,12,2.848,4752.58,2.808,2.26
320,339.34,12,2.96,4767.595,2.34,1.838
330,431.76,16,2.308,5118.322,110.041,3.358
340,391.834,16,2.542,5127.267,2.228,1.437
350,440.063,16,2.264,5136.189,2.256,2.169
360,444.8,16,2.239,5145.116,2.226,2.317
370,449.357,16,2.218,5154.044,2.42,2.24
380,433.407,16,2.298,5162.993,2.211,1.732
390,440.975,16,2.26,5171.921,2.244,2.211
400,413.668,16,2.409,5180.838,2.537,2.558
410,438.789,16,2.271,5189.785,2.225,2.19
420,437.828,16,2.276,5198.725,2.249,2.453
430,443.42,16,2.246,5207.656,2.465,1.819
440,447.107,16,2.227,5216.584,2.422,2.232
450,444.86,16,2.242,5225.508,2.313,2.286
460,410.256,16,2.425,5234.462,2.242,0
470,312.432,20,3.197,5248.418,2.224,2.134
480,438.597,20,2.269,5257.317,2.3,0
490,400.673,20,2.486,5266.238,2.236,1.415
500,445.256,20,2.24,5275.11,2.28,1.744
510,433.539,20,2.298,5284.018,2.642,1.433
520,387.012,20,2.573,5292.958,2.249,1.663
530,443.557,20,2.25,5301.847,2.277,1.407
540,445.971,20,2.233,5310.746,2.24,1.413
550,439.464,20,2.265,5319.661,2.223,1.681
560,445.911,20,2.234,5328.54,2.238,1.427
570,417.049,20,2.389,5337.446,2.278,1.434
580,442.595,20,2.251,5346.35,2.271,1.689
590,391.236,20,2.546,5355.228,2.576,1.418
600,415.369,20,2.398,5364.179,2.378,1.776
610,440.16,20,2.264,5373.047,2.221,1.462
620,445.097,20,2.236,5381.928,2.257,1.406
630,447.107,20,2.229,5390.831,2.246,1.437
640,436.186,20,2.25,5399.723,2.296,1.678
650,448.29,20,2.225,5408.622,2.274,1.424
660,333.946,24,2.986,5419.719,2.338,1.513
670,437.963,24,2.274,5428.641,2.651,2.112
680,439.464,24,2.269,5437.599,2.525,2.623
690,425.55,24,2.341,5446.538,2.471,2.117
700,391.481,24,2.545,5455.504,2.729,2.515
710,439.502,24,2.267,5464.424,2.297,2.183
720,438.193,24,2.276,5473.373,2.31,2.352
730,442.106,24,2.251,5482.303,2.492,0
740,437.044,24,2.279,5491.268,2.281,2.206
750,429.387,24,2.321,5500.215,2.627,1.871
760,386.623,24,2.577,5509.178,2.278,2.06
770,431.891,24,2.308,5518.107,2.267,2.253
780,406.918,24,2.448,5527.042,2.246,2.064
790,441.053,24,2.258,5535.997,2.774,2.037
800,429.166,24,2.322,5544.95,2.302,2.355
810,434.594,24,2.294,5553.899,2.272,2.061
820,385.743,24,2.583,5562.87,2.31,2.23
830,350.324,24,2.847,5571.814,2.32,2.524
840,436.777,24,2.281,5580.738,2.596,2.438
850,421.852,28,2.363,5592.889,2.333,0
860,432.227,28,2.307,5601.844,2.612,2.511
870,423.639,28,2.349,5610.844,2.468,1.948
880,438.423,28,2.272,5619.802,2.636,2.403
890,377.245,28,2.64,5628.797,2.295,1.829
900,430.422,28,2.314,5637.767,2.526,2.328
910,351.013,28,2.842,5646.738,2.573,2.309
920,349.54,28,2.853,5655.707,2.634,2.875
930,384.527,28,2.591,5664.694,2.311,2.296
940,396.385,28,2.512,5673.677,2.326,2.546
950,437.388,28,2.277,5682.626,2.553,2.27
960,361.154,28,2.761,5691.587,2.331,2.483
970,362.582,28,2.752,5700.583,2.347,2.21
980,401.913,28,2.479,5709.563,2.336,2.214
990,434.499,28,2.294,5718.536,2.352,2.336
1000,418.235,28,2.387,5727.503,2.638,2.495
1010,431.518,28,2.31,5736.48,2.295,2.295
1020,433.426,32,2.299,5745.453,2.307,2.475
1030,408.747,32,2.438,5757.128,2.572,1.415
1040,428.761,32,2.323,5766.138,2.477,2.197
1050,425.749,32,2.34,5775.124,2.317,2.543
1060,425.333,32,2.342,5784.131,2.335,2.167
1070,420.574,32,2.368,5793.119,2.409,2.455
1080,426.603,32,2.334,5802.114,2.66,0
1090,429.092,32,2.322,5811.112,2.3,2.241
1100,368.406,32,2.709,5820.119,2.315,1.804
1110,427.113,32,2.334,5829.109,2.566,2.61
1120,421.941,32,2.359,5838.113,2.347,2.336
1130,422.315,32,2.357,5847.084,2.834,2.994
1140,429.867,32,2.318,5856.091,2.465,2.179
