FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,120.136,0,8.318,7877.714,2.911,3.453
20,313.273,0,3.185,8199.308,3.522,1.379
30,316.706,4,3.152,8216.139,2.99,1.921
40,342.442,4,2.908,8232.062,3.359,3.089
50,308.318,4,3.232,8248.071,3.764,2.673
60,290.428,4,3.431,8283.068,4.066,0
70,277.323,4,3.598,8299.775,3.469,2.439
80,293.29,4,3.399,8316.091,3.165,1.791
90,279.58,4,3.567,8332.322,4.395,3.27
100,372.148,4,2.672,8348.109,3.799,1.971
110,338.272,4,2.944,8362.479,3.133,1.787
120,302.307,4,3.296,8377.157,2.799,2.617
130,290.664,4,3.433,8392.64,3.195,2.069
140,316.616,4,3.15,8408.433,3.506,1.948
150,314.663,4,3.167,8423.576,3.343,2.475
160,303.214,4,3.288,8439.936,3.716,1.549
170,318.248,8,3.131,8460.26,3.509,3.482
180,312.881,8,3.19,8476.394,3.045,1.999
190,296.103,8,3.371,8492.323,3.566,1.91
200,287.911,8,3.466,8507.559,2.969,2.888
210,265.463,8,3.757,8523.129,2.788,1.441
220,294.005,8,3.391,8538.257,3.279,1.436
230,304.971,8,3.274,8042.158,3.649,1.483
240,296.939,8,3.357,8058.089,3.412,3.101
250,326.755,8,3.056,8073.008,3.358,1.542
260,317.219,8,3.149,8087.935,3.399,1.563
270,323.321,8,3.078,8102.853,3.506,3.274
280,288.951,8,3.453,8118.485,2.957,2.425
290,305.465,8,3.266,8133.954,3.327,1.609
300,297.557,8,3.356,8148.936,3.562,3.424
310,299.276,12,3.33,8164.586,3.835,2.187
320,288.376,12,3.454,8180.118,3.588,2.355
330,305.876,12,3.259,8195.684,3.243,2.363
340,283.785,12,3.512,8211.255,3.83,2.274
350,294.196,12,3.391,8226.798,3.403,2.469
360,376.378,12,2.65,8236.343,2.854,1.508
370,336.882,12,2.959,8239.966,2.886,1.456
380,346.129,12,2.878,8244.29,3.054,3.035
390,354.912,12,2.805,8248.324,2.79,2.743
400,420.027,12,2.372,8252.09,2.506,1.686
410,367.269,12,2.715,8256.346,2.936,1.923
420,363.214,12,2.741,8261.735,3.006,1.714
430,391.007,12,2.547,8269.602,2.853,2.627
440,72.377,16,13.817,8519.673,2.794,2.064
450,278.575,16,3.575,8338.069,3.544,1.511
460,307.125,16,3.241,8333.969,2.824,2.865
470,313.215,16,3.182,8333.242,3.218,2.555
480,317.209,16,3.137,8342.781,2.999,1.805
490,405.268,16,2.464,8347.338,2.807,1.771
500,413.719,16,2.408,8347.433,2.376,1.602
510,409.886,16,2.431,8347.514,2.422,1.768
520,404.94,16,2.462,8347.627,2.426,1.536
530,355.593,16,2.804,8347.767,2.381,1.585
540,405.68,16,2.457,8347.847,2.397,1.656
550,425.659,16,2.341,8347.948,2.994,1.737
560,421.088,16,2.367,8348.105,2.318,1.645
570,390.061,20,2.556,8348.217,3.459,1.492
580,401.897,20,2.479,8348.347,2.472,1.382
590,390.9,20,2.55,8348.492,2.544,2.032
600,389.105,20,2.562,8348.587,2.52,1.761
610,419.041,20,2.379,8348.821,2.379,1.476
620,382.044,20,2.606,8348.966,2.375,1.434
630,413.36,20,2.411,8349.096,2.342,1.434
640,402.576,20,2.477,8349.167,2.592,1.758
650,413.531,20,2.41,8349.262,2.46,1.438
660,379.665,20,2.626,8349.411,2.422,1.558
670,416.424,20,2.393,8349.476,2.426,1.648
680,411.845,20,2.419,8349.567,2.611,1.417
690,409.249,20,2.436,8349.638,2.399,1.694
700,374.406,20,2.663,8349.75,2.38,1.367
710,418.06,20,2.384,8349.869,2.571,1.563
720,412.558,20,2.416,8349.976,2.458,1.515
730,383.186,20,2.595,8350.095,2.61,1.975
740,415.559,20,2.398,8350.186,2.369,1.372
750,370.535,20,2.69,8350.344,2.492,1.835
760,426.548,20,2.335,8350.375,2.422,1.493
770,362.726,24,2.749,8350.558,2.58,1.766
780,394.151,24,2.529,8350.679,2.725,2.676
790,371.168,24,2.686,8350.927,3.135,1.365
800,375.094,24,2.658,8351.083,2.515,1.449
810,415.248,24,2.401,8351.172,2.442,1.371
820,421.638,24,2.363,8351.267,2.695,1.481
830,410.694,24,2.427,8351.395,2.6,1.543
840,377.644,24,2.64,8351.513,2.424,1.528
850,423.424,24,2.353,8351.597,2.385,1.574
860,347.512,24,2.869,8351.694,2.653,1.451
870,414.628,24,2.403,8351.739,2.408,1.501
880,424.556,24,2.347,8351.881,2.385,1.571
890,425.659,24,2.341,8352.042,2.412,1.375
900,412.575,24,2.416,8352.093,2.363,1.614
910,409.668,24,2.433,8352.283,2.391,1.359
920,376.761,24,2.655,8352.425,2.573,1.74
930,377.515,24,2.637,8352.507,2.657,1.662
940,426.348,24,2.337,8352.57,2.656,1.354
950,391.988,24,2.543,8352.627,2.575,1.388
960,290.968,28,3.429,8352.801,2.472,1.984
970,401.155,28,2.485,8353.07,2.558,1.413
980,413.257,28,2.412,8353.183,2.581,1.643
990,400.705,28,2.488,8353.288,3.279,1.803
1000,410.745,28,2.427,8353.459,2.633,1.363
1010,381.112,28,2.619,8353.551,2.435,1.544
1020,391.665,28,2.544,8353.643,2.425,1.786
1030,368.868,28,2.703,8353.743,2.666,1.615
1040,401.091,28,2.486,8353.81,2.608,1.49
1050,380.561,28,2.62,8353.945,2.684,1.748
1060,410.357,28,2.429,8354.018,2.566,1.448
1070,345.961,28,2.88,8354.171,2.444,1.516
1080,411.083,28,2.424,8354.275,2.549,2.285
1090,412.797,28,2.414,8354.348,2.449,1.488
1100,415.127,28,2.401,8354.457,2.387,1.404
1110,376.463,28,2.648,8354.561,2.399,1.508
1120,405.055,28,2.461,8354.728,2.419,1.503
1130,410.341,28,2.433,8354.877,2.642,1.846
1140,412.218,28,2.418,8355.095,2.43,1.386
1150,403.388,28,2.471,8355.329,2.41,1.692
1160,383.656,32,2.599,8355.486,2.486,1.619
1170,394.415,32,2.527,8355.559,2.548,1.447
1180,353.632,32,2.82,8355.732,2.543,1.742
1190,395.413,32,2.521,8355.856,2.532,1.653
1200,391.007,32,2.549,8356.112,2.678,1.925
1210,374.336,32,2.663,8356.291,2.394,1.527
1220,411.489,32,2.423,8356.406,2.465,1.422
1230,409.35,32,2.435,8356.525,2.843,1.912
1240,412.388,32,2.417,8356.656,2.483,1.461
1250,370.686,32,2.69,8356.814,2.451,1.598
1260,407.498,32,2.445,8356.946,2.423,1.776
1270,404.793,32,2.462,8357.133,2.701,1.621
1280,392.095,32,2.541,8357.365,2.433,1.703
1290,386.802,32,2.579,8357.538,2.498,1.762
1300,419.287,32,2.377,8357.711,2.727,1.465
1310,343.371,32,2.904,8357.862,2.696,1.429
1320,381.446,32,2.617,8358.021,2.46,1.506
1330,379.406,32,2.627,8358.141,2.481,1.651
1340,411.489,32,2.422,8358.277,2.695,1.699
1350,406.471,32,2.452,8358.425,2.41,1.49
1360,394.695,36,2.526,8358.643,2.601,1.738
1370,389.151,36,2.562,8358.745,2.522,1.506
1380,401.606,36,2.483,8358.991,3.575,1.487
1390,321.481,36,3.102,8359.187,2.456,1.38
1400,400.641,36,2.484,8359.361,2.439,1.766
1410,361.794,36,2.756,8359.57,2.692,2.573
1420,370.659,36,2.689,8359.777,2.418,1.38
1430,407.697,36,2.445,8359.855,2.447,1.749
1440,321.378,36,3.102,8359.998,2.759,1.777
1450,390.351,36,2.553,8360.17,2.696,1.878
1460,410.038,36,2.431,8360.311,2.492,1.37
1470,399.76,36,2.493,8360.499,2.475,1.586
1480,405.4,36,2.459,8360.627,2.455,1.445
1490,368.772,36,2.703,8360.835,2.597,1.729
1500,411.1,36,2.425,8361.041,2.388,1.433
1510,379.478,36,2.627,8361.161,2.66,1.531
1520,418.008,36,2.385,8361.304,2.433,1.649
1530,297.486,36,3.349,8361.47,2.465,1.585
1540,401.043,36,2.485,8361.613,2.514,1.815
1550,387.357,40,2.574,8361.724,2.853,2.084
1560,363.042,40,2.746,8361.987,2.456,1.642
1570,404.073,40,2.467,8362.121,2.466,1.583
1580,338.708,40,2.945,8362.217,2.897,1.868
1590,268.348,40,3.718,8362.374,2.451,1.454
1600,379.809,40,2.625,8362.601,2.424,1.839
1610,400.769,40,2.487,8362.751,2.499,1.611
1620,403.519,40,2.474,8362.871,3.155,2.978
1630,384.423,40,2.593,8363.021,2.465,1.743
1640,400.192,40,2.49,8363.217,2.714,1.978
1650,408.363,40,2.441,8363.363,2.556,1.728
1660,379.276,40,2.629,8363.54,2.408,1.401
1670,401.139,40,2.485,8363.714,2.462,1.906
1680,413.274,40,2.411,8364.025,2.484,1.538
1690,359.829,40,2.768,8364.093,2.698,1.666
1700,393.453,40,2.533,8364.329,2.482,1.596
1710,397.204,40,2.509,8364.337,2.71,1.644
1720,373.148,40,2.718,8364.517,2.992,2.198
1730,402.204,40,2.479,8364.785,2.813,2.491
1740,385.163,44,2.588,8364.894,2.813,1.504
1750,355.923,44,2.801,8365.07,2.6,1.421
1760,397.188,44,2.509,8365.207,2.788,1.761
1770,345.77,44,2.88,8045.699,2.631,3.076
1780,384.645,44,2.591,7708.437,2.694,1.442
1790,383.494,44,2.601,7618.783,2.801,1.408
1800,359.958,44,2.77,7519.104,2.766,2.17
1810,394.415,44,2.527,7327.821,2.843,1.791
1820,321.213,44,3.104,7057.407,2.772,1.428
1830,336.564,44,2.963,6787.497,3.756,1.382
1840,313.018,44,3.186,6579.775,2.713,2.345
1850,381.345,44,2.613,6579.727,2.454,1.681
1860,289.998,44,3.435,6579.686,2.553,1.421
1870,404.94,44,2.46,6579.719,3.092,1.755
1880,346.009,44,2.882,6579.693,2.467,1.411
1890,405.088,44,2.459,6579.737,2.44,1.497
1900,410.458,44,2.428,6579.704,2.466,1.543
1910,296.165,44,3.317,6575.691,2.753,1.394
1920,344.839,48,2.893,6575.994,2.436,1.446
1930,384.986,48,2.591,6576.013,2.959,1.649
1940,381.811,48,2.611,6576.05,3.408,2.011
1950,311.789,48,3.201,6576.096,2.614,2.489
1960,404.694,48,2.464,6576.12,2.741,2.131
1970,406.636,48,2.451,6576.172,2.545,1.741
1980,358.706,48,2.78,6576.311,2.826,1.456
1990,404.187,48,2.465,6576.117,2.676,1.566
2000,368.636,48,2.727,6576.24,2.482,1.655
2010,389.666,48,2.556,6267.73,2.528,2.452
2020,398.042,48,2.503,5904.818,2.842,3.127
2030,358.822,48,2.78,5802.25,2.507,1.484
2040,392.896,48,2.537,5702.941,2.623,1.624
2050,365.297,48,2.728,5477.678,2.578,1.841
2060,384.823,48,2.595,5270.089,2.661,1.965
2070,370.425,48,2.691,4964.254,2.591,1.419
2080,380.416,48,2.621,4780.556,2.858,1.619
2090,400.144,48,2.49,4780.264,2.58,2.618
2100,378.286,48,2.634,4780.174,2.465,3.333
2110,388.214,52,2.566,4780.065,3.742,2.501
2120,351.247,52,2.836,4780.035,2.643,1.418
2130,360.581,52,2.762,4779.77,3.46,1.412
2140,402.804,52,2.477,4779.56,3.083,1.52
2150,396.338,52,2.515,4779.371,2.466,2.228
2160,404.891,52,2.461,4779.12,2.728,2.152
2170,385.936,52,2.584,4778.624,2.776,2.053
2180,390.946,52,2.554,4778.352,2.594,1.959
2190,394.914,52,2.526,4778.102,2.841,1.712
2200,394.4,52,2.528,4778.048,2.886,2.596
2210,405.301,52,2.459,4777.957,2.991,3.164
2220,409.333,52,2.435,4777.824,2.578,1.424
2230,366.314,52,2.722,4774.246,2.491,1.513
2240,400,52,2.492,4774.058,2.696,2.049
2250,404.858,52,2.466,4773.825,2.709,2.342
2260,389.696,52,2.559,4773.665,2.518,1.883
2270,404.04,52,2.467,4773.375,2.524,1.412
2280,402.431,52,2.476,4773.071,2.453,1.405
2290,404.563,52,2.464,4772.91,2.456,2.103
2300,296.288,56,3.367,4772.582,2.586,2.395
2310,374.756,56,2.66,4772.179,2.594,2.906
2320,386.578,56,2.579,4771.9,2.596,3.089
2330,388.999,56,2.562,4771.727,2.631,3.102
2340,382.336,56,2.607,4771.445,2.604,1.504
2350,407.216,56,2.447,4771.286,2.48,1.78
2360,363.28,56,2.744,4771.24,2.516,1.451
2370,371.25,56,2.686,4771.383,2.726,2.667
2380,406.355,56,2.453,4771.458,2.608,2.205
2390,356.913,56,2.794,4771.653,2.518,1.578
2400,372.689,56,2.675,4771.855,2.583,2.01
2410,413.479,56,2.41,4772.09,2.511,1.634
2420,386.608,56,2.578,4772.289,2.512,1.581
2430,395.757,56,2.519,4772.546,2.479,1.79
2440,390.32,56,2.554,4771.363,2.717,1.806
2450,409.082,56,2.436,4762.182,2.463,2.005
2460,353.632,56,2.835,4760.552,2.526,1.752
2470,379.262,56,2.63,4759.115,2.717,1.428
2480,361.206,60,2.76,4757.809,2.511,1.514
2490,378.802,60,2.632,4756.54,2.645,1.661
2500,340.148,60,2.931,4756.543,2.889,2.962
2510,384.069,60,2.596,4756.616,2.626,3.067
2520,381.083,60,2.616,4756.847,2.552,3.111
2530,400.128,60,2.491,4756.975,2.458,1.409
2540,385.163,60,2.588,4757.059,2.764,1.634
2550,383.289,60,2.6,4757.162,2.634,1.468
2560,391.942,60,2.543,4757.183,2.591,1.88
2570,283.15,60,3.538,4757.332,2.478,2.601
2580,314.228,60,3.176,4757.428,2.496,1.472
2590,376.11,60,2.65,4757.512,2.546,2.546
2600,365.551,60,2.728,4757.605,2.694,2.093
2610,398.851,60,2.499,4757.681,2.608,1.432
2620,391.711,60,2.545,4757.774,2.508,1.392
2630,360.308,60,2.767,4757.926,2.534,1.715
2640,405.68,60,2.458,4758.008,2.505,2.332
2650,406.537,60,2.452,4758.105,2.855,1.976
2660,401.171,60,2.485,4758.152,2.545,2.112
2670,365.965,64,2.704,4758.327,2.712,1.746
2680,347.174,64,2.872,4758.435,2.884,1.428
2690,370.576,64,2.691,4758.71,2.666,1.738
