FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,130.854,0,7.637,4323.707,2.73,3.426
20,325.024,0,3.062,4677.37,2.762,1.401
30,56.39,4,17.724,4701.922,2.674,1.774
40,296.956,4,3.364,4718.919,3.482,1.634
50,302.838,4,3.3,4735.395,3.203,1.969
60,297.071,4,3.356,4751.9,3.135,2.521
70,302.179,4,3.295,4768.044,3.466,1.493
80,264.753,4,3.771,4783.84,3.486,1.524
90,278.249,4,3.587,4801.955,3.304,2.931
100,286.607,4,3.479,4818.453,3.457,2.845
110,333.389,4,2.992,4834.433,3.535,0
120,270.102,4,3.689,4851.188,3.425,3.483
130,304.915,4,3.272,4867.382,3,2.861
140,323.164,4,3.088,4882.7,2.973,2.299
150,299.025,4,3.34,4899.377,3.39,2.449
160,319.509,4,3.126,4915.522,2.988,1.651
170,309.148,4,3.221,4931.812,3.616,1.712
180,273.845,8,3.647,4950.527,3.623,3.214
190,256.128,8,3.895,4967.307,3.322,3.303
200,311.187,8,3.203,4982.788,3.459,0
210,287.2,8,3.479,4999.587,3.404,3.864
220,300.075,8,3.325,5016.229,3.762,0
230,32.908,8,30.375,4518.683,3.369,0
240,323.029,8,3.09,4535.593,3.416,0
250,279.353,8,3.564,4552.438,3.774,3.521
260,303.076,8,3.289,4569.225,3.66,0
270,276.763,8,3.605,4585.945,3.323,2.272
280,285.665,8,3.494,4602.802,3.632,3.021
290,269.128,8,3.706,4621.266,4.365,3.643
300,319.918,8,3.119,4637.852,3.369,2.924
310,189.879,12,5.26,4655.645,3.375,2.813
320,280.828,12,3.55,4672.086,3.218,2.24
330,275.657,12,3.615,4689.766,4.148,2.561
340,300.598,12,3.316,4706.94,3.603,1.471
350,284.722,12,3.502,4724.062,3.226,1.726
360,349.516,12,2.848,4729.467,3.005,1.695
370,399.537,12,2.494,4733.441,2.745,0
380,321.709,12,3.098,4737.331,2.542,0
390,370.975,12,2.689,4741.465,2.755,2.062
400,240.97,12,4.133,4745.898,4.733,3.72
410,371.099,12,2.679,4749.801,2.872,1.67
420,363.266,12,2.742,4757.154,2.746,1.764
430,366.811,12,2.722,4772.539,2.555,1.832
440,355.454,16,2.803,5057.77,11.283,3.637
450,335.379,16,2.973,5091.708,2.835,2.364
