FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,138.336,0,7.217,4306.052,2.99,3.004
20,354.17,0,2.81,4647.855,3.524,1.559
30,67.558,4,14.793,4667.774,3.062,1.146
40,280.97,4,3.55,4684.763,3.267,2.592
50,303.141,4,3.288,4701.2,3.351,1.924
60,284.067,4,3.511,4737.748,3.701,2.637
70,266.383,4,3.747,4754.738,3.706,2.794
80,266.525,4,3.741,4770.976,3.281,1.631
90,353.544,4,2.816,4786.809,3.338,2.267
100,265.781,4,3.751,4802.282,3.111,3.02
110,312.764,4,3.187,4818.261,3.033,1.341
120,342.489,4,2.905,4832.387,2.719,1.226
130,350.422,4,2.842,4847.426,3.446,1.929
140,311.216,4,3.205,4863.519,3.03,2.308
150,363.28,4,2.744,4878.298,2.929,1.692
160,344.982,4,2.891,4893.534,3.045,1.307
170,224.175,8,4.455,4910.265,3.219,2.591
180,301.241,8,3.313,4927.382,3.654,1.936
190,363.412,8,2.741,4943.304,2.934,2.586
200,304.46,8,3.275,4959.37,3.144,1.822
210,333.734,8,2.99,4975.714,3.624,1.647
220,288.859,8,3.454,4992.251,3.355,2.525
230,316.166,8,3.152,5008.419,3.422,2.539
240,297.85,8,3.346,5024.532,3.293,1.418
250,279.877,8,3.566,4528.023,3.235,2.647
260,332.745,8,2.998,4544.676,3.141,1.986
270,290.706,8,3.429,4559.946,3.411,2.617
280,338.914,8,2.941,4574.71,2.947,2.221
290,256.581,8,3.887,4591.978,2.973,1.483
300,307.031,8,3.247,4607.54,3.111,1.945
310,330.852,8,3.012,4623.207,3.092,1.857
320,349.553,12,2.855,4640.614,3.764,2.744
330,271.54,12,3.674,4657.246,3.115,1.447
340,304.627,12,3.276,4673.638,2.802,1.246
350,351,12,2.841,4688.836,3.127,2.011
360,320.718,12,3.11,4705.676,2.852,1.809
370,243.819,12,4.09,4721.781,2.856,2.641
380,352.609,12,2.826,4726.268,2.75,1.621
390,364.007,12,2.742,4730.177,2.528,1.671
400,339.075,12,2.939,4734.147,2.413,2.539
410,349.43,12,2.852,4738.229,2.812,2.104
420,418.603,12,2.352,4741.956,2.583,2.507
430,349.822,12,2.852,4745.74,2.46,1.2
440,411.828,12,2.42,4755.309,3.964,2.647
450,357.769,12,2.788,4775.884,2.8,1.53
460,349.077,16,2.86,5060.076,3.28,2.641
470,339.328,16,2.943,5095.75,2.712,1.586
480,360.581,16,2.767,5130.966,2.858,1.257
490,344.97,16,2.89,5166.118,2.664,1.221
500,331.192,16,3.007,5199.222,2.922,1.563
510,360.894,16,2.759,5234.85,2.646,1.535
520,398.105,16,2.504,5259.46,2.654,2.085
530,411.607,16,2.396,5267.879,2.629,1.762
540,399.233,16,2.497,5276.303,2.371,1.159
550,417.694,16,2.386,5284.735,2.339,1.385
560,438.577,16,2.272,5293.16,2.4,1.324
570,397.883,16,2.506,5301.572,2.623,1.219
580,429.941,16,2.318,5310.003,2.448,1.606
590,443.833,16,2.246,5318.415,2.319,1.321
600,392.788,20,2.538,5326.883,2.306,1.581
610,411.997,20,2.419,5335.311,2.492,1.186
620,409.651,20,2.433,5343.726,2.494,2.179
630,408.013,20,2.443,5352.227,2.335,1.769
640,427.077,20,2.334,5360.646,2.346,1.169
650,426.112,20,2.339,5369.052,2.529,2.265
660,380.17,20,2.622,5377.495,2.422,1.145
670,375.53,20,2.654,5385.913,2.483,1.188
680,418.708,20,2.38,5394.343,2.332,1.656
690,395.617,20,2.52,5402.757,2.417,1.603
700,423.083,20,2.356,5411.18,2.586,1.171
710,426.003,20,2.339,5419.611,2.358,1.593
720,420.946,20,2.368,5428.027,2.4,1.2
730,419.516,20,2.376,5436.444,2.368,1.5
740,431.835,20,2.308,5444.862,2.529,1.99
750,430.812,20,2.314,5453.289,2.389,1.335
760,393.949,20,2.53,5461.719,2.385,1.228
770,394.586,20,2.526,5470.14,2.34,1.416
780,411.607,20,2.422,5478.542,2.416,1.824
790,419.094,20,2.379,5486.958,2.401,1.521
800,429.886,20,2.322,5495.358,2.311,1.466
810,422.494,24,2.359,5503.912,3.128,1.982
820,427.497,24,2.332,5512.338,2.438,1.241
830,418.989,24,2.379,5520.754,2.562,1.295
840,435.18,24,2.29,5529.177,2.419,1.672
850,423.227,24,2.355,5537.596,2.312,1.227
860,414.817,24,2.402,5546.018,2.46,1.416
870,419.34,24,2.377,5554.441,2.333,1.394
880,404.891,24,2.462,5562.847,2.343,1.285
890,427.899,24,2.329,5571.271,2.388,1.422
900,392.003,24,2.543,5579.702,2.468,1.341
910,433.013,24,2.301,5588.114,2.298,1.16
920,402.852,24,2.474,5596.537,2.331,1.516
930,432.676,24,2.303,5604.964,2.39,1.251
940,439.754,24,2.268,5613.395,2.349,1.487
950,401.461,24,2.483,5621.819,2.377,1.776
960,427.46,24,2.334,5630.265,2.313,1.432
970,430.663,24,2.314,5638.688,2.567,1.564
980,395.617,24,2.52,5647.116,2.467,1.677
990,412.643,24,2.414,5655.555,2.359,1.148
1000,391.221,24,2.548,5663.978,2.398,2.102
1010,347.633,28,2.869,5672.446,2.349,1.286
1020,406.24,28,2.454,5680.874,2.762,1.171
1030,404.973,28,2.461,5689.39,2.448,1.566
1040,391.129,28,2.548,5697.824,2.476,1.74
1050,405.088,28,2.46,5706.252,2.715,1.573
1060,366.22,28,2.722,5714.765,2.418,1.647
1070,380.546,28,2.619,5723.207,2.577,1.62
1080,403.763,28,2.469,5731.625,2.692,1.649
1090,418.883,28,2.379,5740.054,2.387,1.292
1100,426.512,28,2.337,5748.489,2.469,1.293
1110,383.45,28,2.599,5756.933,2.423,1.506
1120,430.496,28,2.318,5765.348,2.363,1.202
1130,402.771,28,2.475,5773.779,2.606,1.61
1140,404.318,28,2.465,5782.207,2.934,1.646
1150,370.274,28,2.689,5790.649,2.421,1.282
1160,409.635,28,2.433,5799.117,2.36,1.22
1170,430.775,28,2.313,5807.574,2.404,1.528
1180,391.129,28,2.549,5816.021,2.846,1.235
1190,423.585,28,2.353,5824.476,2.377,1.153
1200,379.708,28,2.625,5832.942,2.398,1.908
1210,349.223,32,2.855,5841.414,2.342,1.242
1220,371.044,32,2.689,5849.873,2.529,1.153
1230,311.905,32,3.197,5858.346,2.608,1.659
1240,401.188,32,2.485,5866.891,2.43,2.554
1250,415.179,32,2.4,5875.35,2.641,1.152
1260,358.295,32,2.782,5883.793,2.41,1.585
1270,385.267,32,2.588,5892.263,2.416,1.602
1280,422.333,32,2.359,5900.71,2.469,1.244
1290,398.438,32,2.504,5909.173,2.571,1.286
1300,403.779,32,2.469,5917.648,2.728,1.426
