FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,164.837,0,6.057,4347.722,2.709,3.327
20,396.621,0,2.512,4696.481,2.7,3.269
30,387.537,0,2.563,4709.746,2.616,2.988
40,285.878,4,3.489,4738.383,3.2,2.969
50,296.051,4,3.375,4755.891,3.602,3.071
60,331.214,4,3.011,4772.997,3.23,2.916
70,281.468,4,3.547,4789.922,3.338,2.835
80,273.388,4,3.651,4807.225,3.439,2.973
90,283.334,4,3.545,4823.084,3.574,3.36
100,300.309,4,3.318,4839.435,3.529,3.053
110,323.332,4,3.087,4855.387,3.072,0
120,288.892,4,3.453,4870.493,3.261,2.28
130,308.128,4,3.234,4886.727,3.461,2.799
140,301.595,4,3.307,4903.241,3.82,4.02
150,279.979,4,3.566,4920.046,3.407,2.77
160,285.453,4,3.495,4935.218,2.991,3.101
170,277.508,4,3.598,4951.991,3.604,3.287
180,290.563,8,3.433,4970.385,3.564,2.488
190,265.555,8,3.756,4988.175,3.645,0
200,274.718,8,3.629,5004.58,3.893,3.227
210,293.462,8,3.394,5021.221,3.648,1.913
220,322.425,8,3.091,4524.949,3.249,3.021
230,275.52,8,3.614,4541.881,3.57,0
240,325.235,8,3.067,4557.105,3.032,0
250,291.273,8,3.424,4573.433,2.98,2.218
260,274.808,8,3.622,4589.885,3.265,0
270,279.189,8,3.57,4606.837,3.442,1.872
280,308.109,8,3.235,4622.63,3.262,2.795
290,269.012,8,3.707,4640.17,3.937,2.28
300,293.049,8,3.403,4656.777,3.323,1.785
310,292.637,12,3.41,4674.085,3.372,2.993
320,261.993,12,3.806,4692.992,3.79,0
330,279.197,12,3.57,4711.091,3.667,2.966
340,359.984,12,2.771,4722.731,3.257,2.972
350,347.379,12,2.867,4726.82,2.993,3.562
360,366.596,12,2.719,4730.805,2.681,2.04
370,357.117,12,2.792,4735.122,2.873,2.28
380,343.053,12,2.902,4739.044,2.692,2.038
390,381.621,12,2.614,4742.828,2.711,1.918
400,373.594,12,2.666,4748.408,2.74,3.111
410,347.741,12,2.861,4756.554,2.744,2.11
420,4.973,16,201.065,5027.04,4.525,2.652
430,345.65,16,2.887,5073.095,2.793,1.444
440,356.646,16,2.797,5106.916,2.716,2.438
450,361.52,16,2.755,5140.78,2.684,2.186
460,362.529,16,2.746,5177.465,2.999,2.642
470,367.35,16,2.713,5207.58,2.771,3.202
480,339.478,16,2.94,5241.015,2.74,2.734
490,407.764,16,2.445,5260.01,2.538,2.489
500,407.864,16,2.443,5268.899,2.418,2.103
510,391.099,16,2.547,5277.782,2.436,0
520,399.664,16,2.493,5286.763,2.436,2.52
530,400.352,16,2.488,5295.658,2.534,2.241
540,404.694,16,2.461,5304.561,2.407,0
550,401.204,16,2.484,5313.471,2.447,2.666
560,409.802,16,2.432,5322.346,2.418,2.196
570,383.597,16,2.597,5331.259,2.491,2.551
580,408.647,16,2.439,5340.136,2.427,2.293
590,396.401,16,2.513,5349.054,2.522,2.204
600,370.096,20,2.693,5358.353,2.519,1.957
610,391.405,20,2.545,5367.191,2.494,2.372
620,400.641,20,2.482,5376.059,2.502,2.405
630,368.908,20,2.701,5384.914,2.476,2.157
640,405.68,20,2.456,5393.778,2.671,2.823
650,386.653,20,2.577,5402.643,2.783,2.446
660,376.378,20,2.648,5411.495,2.552,2.206
670,398.692,20,2.497,5420.358,3.223,2.538
680,393.221,20,2.532,5429.199,2.729,2.333
690,337.61,20,2.955,5438.062,2.528,2.595
700,409.786,20,2.433,5446.916,2.672,2.379
710,401.059,20,2.484,5455.779,2.612,2.349
720,380.735,20,2.617,5464.619,2.49,2.294
730,375.912,20,2.65,5473.475,2.576,2.627
740,388.199,20,2.56,5482.349,2.682,2.287
750,406.223,20,2.453,5491.222,2.695,2.254
760,339.029,20,2.944,5500.07,2.84,2.615
770,388.44,20,2.566,5508.957,2.548,2.462
780,385.015,20,2.588,5517.813,2.709,2.362
790,382.029,24,2.609,5527.4,2.676,2.607
800,395.946,24,2.517,5536.322,2.561,2.037
810,389.909,24,2.556,5545.245,2.775,2.203
820,348.614,24,2.86,5554.168,3.146,2.557
830,392.48,24,2.538,5563.104,2.558,2.103
840,394.804,24,2.526,5572.003,2.763,2.602
850,388.878,24,2.563,5580.921,2.615,2.266
860,397.172,24,2.512,5589.853,2.502,2.18
870,399.377,24,2.495,5598.764,2.527,2.561
880,397.583,24,2.506,5607.691,2.583,2.27
890,365.23,24,2.729,5616.601,2.53,2.318
900,393.577,24,2.532,5625.54,2.6,2.243
910,397.125,24,2.509,5634.444,2.728,2.525
920,368.094,24,2.71,5643.293,2.859,2.572
930,370.083,24,2.694,5652.211,2.536,2.025
940,395.71,24,2.518,5661.084,2.787,2.251
950,370.59,24,2.689,5669.953,2.716,2.068
960,394.337,24,2.53,5678.819,2.604,2.598
970,395.538,24,2.519,5687.692,2.58,2.126
980,380.822,28,2.616,5697.158,2.67,2.511
990,382.19,28,2.608,5706.082,2.659,2.246
1000,389.075,28,2.56,5714.981,2.802,0
1010,374.223,28,2.663,5723.883,2.568,2.736
1020,336.202,28,2.963,5732.799,2.861,3.018
1030,366.448,28,2.719,5741.792,2.821,2.551
1040,391.85,28,2.545,5750.665,2.582,2.675
1050,373.12,28,2.672,5759.592,2.592,2.464
1060,389.09,28,2.561,5768.496,2.831,2.389
1070,381.636,28,2.607,5777.385,2.632,0
1080,390.9,28,2.549,5786.31,2.555,2.759
1090,370.563,28,2.689,5795.224,2.79,3.073
1100,392.85,28,2.537,5804.173,2.57,2.659
1110,387.372,28,2.572,5813.107,3.008,2.528
