FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,190.465,0,16.025,1839.022,2.013,2.941
20,297.805,0,3.354,1839.528,1.983,0
30,597.907,0,1.672,1839.549,1.912,1.316
40,597.051,0,1.655,1839.565,1.69,1.322
50,199.171,4,6.316,1843.448,1.704,1.31
60,591.541,4,1.674,1843.477,2.29,0
70,518.484,4,1.896,1843.503,1.75,1.515
80,544.425,4,1.829,1843.518,1.763,1.372
90,504.159,4,1.974,1843.542,1.714,1.339
100,593.507,4,1.675,1843.561,1.68,1.79
110,596.374,4,1.676,1843.573,1.727,1.341
120,576.768,4,1.739,1843.591,1.671,1.381
130,520.86,4,1.923,1843.607,1.728,1.354
140,599.341,4,1.671,1843.631,1.687,1.661
150,526.316,4,1.888,1843.65,1.68,1.316
160,534.96,4,1.826,1843.669,1.682,1.351
170,593.049,4,1.687,1843.685,1.72,1.34
180,539.345,4,1.835,1843.711,1.925,1.709
190,590.284,4,1.685,1843.73,1.973,1.317
200,592.909,4,1.685,1843.75,1.694,1.358
210,518.001,4,1.922,1843.769,1.664,1.328
220,596.588,4,1.658,1843.785,1.668,1.663
230,542.241,4,1.846,1843.804,1.702,1.341
240,575.772,4,1.739,1843.824,1.672,1.355
250,591.681,4,1.686,1843.843,1.677,1.346
260,598.05,4,1.659,1843.867,1.924,1.547
270,571.461,8,1.741,1848.979,1.662,1.348
280,537.982,8,1.87,1849.002,1.904,0
290,596.872,8,1.687,1849.018,1.737,1.327
300,590.214,8,1.69,1849.036,1.718,1.448
310,504.49,8,1.98,1849.056,1.669,1.331
320,513.795,8,1.944,1849.075,1.663,1.518
330,588.408,8,1.698,1849.091,1.742,1.347
340,528.653,8,1.909,1849.113,1.703,1.677
350,597.193,8,1.672,1849.133,1.701,1.373
360,515.039,8,1.944,1849.155,1.958,1.336
370,595.77,8,1.676,1849.174,1.681,1.321
380,598.372,8,1.692,1849.186,1.919,1.326
390,587.096,8,1.705,1849.205,1.688,1.319
400,586.614,8,1.708,1849.226,1.668,1.31
410,602.482,8,1.663,1849.241,1.684,1.33
420,590.982,8,1.691,1849.266,1.707,1.346
430,598.551,8,1.669,1849.284,1.821,1.343
440,567.376,8,1.74,1849.304,1.699,1.353
450,584.215,8,1.71,1849.327,1.723,1.366
460,529.493,8,1.91,1849.339,1.682,1.33
470,602.228,8,1.659,1849.362,1.851,1.63
480,590.493,8,1.7,1849.382,1.665,1.363
490,9.801,12,101.66,1854.469,1.817,1.657
500,579.206,12,1.716,1854.499,2.12,0
510,598.265,12,1.669,1854.518,1.659,1.648
520,599.664,12,1.666,1854.534,1.695,1.325
530,504.643,12,1.971,1854.554,1.84,1.627
540,597.229,12,1.671,1854.572,1.716,1.361
550,528.961,12,1.889,1854.592,1.702,1.686
560,578.938,12,1.698,1854.615,1.937,1.345
570,564.653,12,1.765,1854.63,1.991,1.376
580,539.695,12,1.846,1854.65,1.741,1.35
590,487.662,12,2.034,1854.669,1.719,1.322
600,518.108,12,1.9,1854.689,1.706,1.52
610,544.959,12,1.829,1854.712,1.917,1.371
620,591.856,12,1.68,1854.728,1.857,1.335
630,589.31,12,1.68,1854.744,1.885,1.332
640,543.596,12,1.842,1854.763,1.746,1.347
650,538.01,12,1.83,1854.779,1.692,1.759
660,576.037,12,1.725,1854.81,1.899,1.35
670,586.82,12,1.703,1854.826,1.683,1.646
680,585.514,12,1.697,1854.845,1.827,1.373
690,520.86,12,1.936,1854.865,1.74,1.319
700,587.061,12,1.7,1854.88,1.818,1.367
710,547.405,12,1.813,1854.904,1.868,1.359
720,517.464,16,1.923,1858.747,1.81,0
730,603.573,16,1.666,1858.772,1.686,1.34
740,594.424,16,1.696,1858.791,1.687,1.686
750,551.968,16,1.819,1858.814,1.672,1.359
760,601.721,16,1.658,1858.83,1.758,1.345
770,576.701,16,1.738,1858.848,1.832,1.335
780,599.772,16,1.675,1858.869,1.729,1.322
790,514.509,16,1.94,1858.887,1.69,1.349
800,509.035,16,1.972,1858.911,1.854,1.346
810,594.318,16,1.679,1858.93,1.74,1.591
820,599.233,16,1.652,1858.946,1.725,1.351
830,589.032,16,1.704,1858.966,1.842,1.609
840,579.677,16,1.725,1858.977,1.682,1.334
850,574.713,16,1.729,1859.001,1.936,1.349
860,601.142,16,1.67,1859.02,1.664,1.354
870,586.441,16,1.707,1859.04,1.953,1.372
880,508.053,16,1.931,1859.056,1.869,1.358
890,551.42,16,1.821,1859.075,1.816,1.356
900,576.502,16,1.684,1859.095,1.892,1.74
910,580.821,16,1.706,1859.114,1.693,1.342
920,511.823,16,1.992,1859.134,1.661,1.353
930,588.443,16,1.701,1859.153,1.718,1.362
940,582.886,16,1.735,1859.169,1.7,1.333
950,590.528,20,1.703,1864.254,1.665,1.335
960,592.522,20,1.697,1864.274,1.961,1.364
970,590.493,20,1.692,1864.289,1.68,1.324
980,578.737,20,1.725,1864.313,1.677,1.356
990,549.058,20,1.834,1864.332,1.695,1.36
1000,543.922,20,1.824,1864.352,1.659,1.342
1010,587.717,20,1.694,1864.372,1.663,1.524
1020,540.219,20,1.864,1864.383,1.691,1.33
1030,577.167,20,1.709,1864.408,1.675,1.646
1040,549.239,20,1.833,1864.454,1.95,1.307
1050,584.146,20,1.712,1864.509,1.981,1.372
1060,601.54,20,1.671,1864.562,1.886,1.423
1070,592.487,20,1.687,1864.615,1.948,1.345
1080,512.269,20,1.968,1864.667,1.839,1.754
1090,545.852,20,1.813,1864.725,1.68,1.387
1100,607.755,20,1.647,1864.79,1.777,1.348
1110,548.396,20,1.822,1864.844,1.706,1.327
1120,597.193,20,1.669,1864.903,1.998,1.352
1130,542.977,20,1.819,1864.95,1.678,1.632
1140,596.659,20,1.685,1865.012,1.887,1.358
1150,593.613,20,1.683,1865.071,1.731,1.624
1160,600.565,20,1.665,1865.126,1.744,1.349
1170,609.83,24,1.646,1865.184,1.646,1.461
1180,593.155,24,1.681,1869.073,1.944,0
1190,591.506,24,1.68,1869.128,1.895,1.376
1200,590.423,24,1.704,1869.186,1.68,1.404
1210,605.657,24,1.643,1869.237,1.696,1.626
1220,600.204,24,1.665,1869.296,1.687,1.342
1230,598.265,24,1.666,1869.35,1.95,1.502
1240,586.441,24,1.707,1869.413,1.914,1.359
1250,592.628,24,1.687,1869.468,1.668,1.517
1260,475.964,24,2.077,1869.522,1.855,1.341
1270,526.122,24,1.906,1869.581,1.92,1.385
1280,595.486,24,1.68,1869.635,1.724,1.359
1290,600.312,24,1.662,1869.694,2.009,1.357
1300,602.156,24,1.646,1869.765,1.673,1.471
1310,594.955,24,1.68,1869.819,1.694,1.372
1320,594.672,24,1.677,1869.874,1.936,1.648
1330,591.926,24,1.693,1869.936,1.676,1.347
1340,566.187,24,1.734,1869.995,1.682,1.599
1350,597.907,24,1.665,1870.053,1.71,1.339
1360,592.382,24,1.679,1870.101,1.836,1.768
1370,586.545,24,1.717,1870.156,1.815,1.357
1380,600.132,24,1.649,1870.211,1.666,1.32
1390,584.01,24,1.711,1870.26,1.708,1.349
1400,603.61,24,1.658,1870.328,1.94,1.335
1410,602.736,28,1.659,1870.443,1.706,1.338
1420,593.577,28,1.674,1870.497,1.869,1.356
1430,586.545,28,1.708,1870.551,2.213,1.673
1440,498.853,28,1.997,1870.613,1.682,1.356
1450,523.917,28,1.906,1870.664,1.987,1.384
1460,590.772,28,1.7,1870.723,1.907,1.351
1470,578.369,28,1.737,1870.779,1.81,1.376
1480,594.601,28,1.682,1870.835,1.962,1.599
1490,545.524,28,1.822,1870.895,1.843,1.364
1500,570.093,28,1.764,1870.954,1.697,1.354
1510,505.127,28,1.998,1871.009,1.746,1.343
1520,588.443,28,1.7,1871.067,1.788,1.339
1530,518.672,28,1.934,1871.126,1.674,1.33
1540,551.572,28,1.836,1871.181,1.995,1.375
1550,592.698,28,1.696,1871.239,1.838,1.694
1560,595.912,28,1.678,1871.29,1.689,1.353
1570,599.7,28,1.661,1871.349,1.697,1.338
1580,584.659,28,1.726,1871.403,1.68,1.348
1590,583.942,28,1.707,1871.462,1.984,1.351
1600,600.601,28,1.668,1871.513,1.663,1.356
1610,581.531,28,1.726,1871.568,1.672,1.343
1620,607.386,28,1.651,1871.634,1.673,1.408
1630,596.979,28,1.673,1871.685,1.699,1.464
1640,598.659,28,1.677,1871.751,1.799,1.359
1650,512.216,28,1.958,1871.798,1.692,1.321
1660,590.319,28,1.661,1871.853,1.668,1.346
1670,580.686,28,1.738,1871.915,1.723,1.347
1680,577.167,28,1.679,1871.966,1.684,1.357
1690,541.917,32,1.845,1873.351,1.7,1.334
1700,593.859,32,1.682,1873.406,2.068,0
1710,580.99,32,1.726,1873.46,1.662,1.353
1720,466.07,32,2.097,1873.519,1.703,1.387
1730,546.418,32,1.845,1873.577,1.864,1.35
1740,579.979,32,1.703,1873.632,1.705,1.346
1750,607.829,32,1.647,1873.68,1.963,1.511
1760,592.277,32,1.695,1873.746,1.917,1.358
1770,595.096,32,1.676,1873.793,1.737,1.379
1780,535.762,32,1.87,1873.856,1.662,1.357
1790,515.437,32,1.953,1873.912,1.687,1.36
1800,541.301,32,1.863,1873.964,1.677,1.37
1810,509.71,32,1.979,1874.032,1.734,1.34
1820,538.909,32,1.884,1874.082,1.687,1.727
1830,575.209,32,1.776,1874.149,1.854,1.372
1840,562.019,32,1.715,1874.219,1.981,1.338
1850,552.883,32,1.834,1874.293,1.691,1.337
1860,595.912,32,1.686,1874.364,1.811,1.376
1870,512.374,32,1.959,1874.437,1.759,1.624
1880,545.227,32,1.83,1874.507,1.808,1.348
1890,578.536,32,1.715,1874.578,1.914,1.367
1900,587.682,32,1.702,1874.652,1.652,1.357
1910,530.983,32,1.889,1874.719,1.838,1.338
1920,589.831,32,1.697,1874.791,2,1.648
1930,552.792,32,1.803,1874.867,1.848,1.359
1940,592.452,32,1.698,1874.938,1.836,1.364
1950,582.106,36,1.723,1876.356,33.075,3.082
1960,488.448,36,2.047,1876.422,1.929,1.369
1970,542.446,36,1.846,1876.5,1.673,1.539
1980,586.201,36,1.71,1876.574,1.841,1.354
1990,595.77,36,1.676,1876.645,1.718,1.363
2000,588.824,36,1.677,1876.723,1.687,1.671
2010,551.298,36,1.813,1876.785,1.715,1.329
2020,592.768,36,1.692,1876.863,2.074,1.374
2030,592.979,36,1.692,1876.93,1.721,1.338
2040,507.048,36,1.96,1877.004,1.691,1.35
2050,595.628,36,1.687,1877.078,1.705,1.354
2060,585.343,36,1.716,1877.149,1.67,1.348
2070,588.651,36,1.692,1877.223,1.67,1.349
2080,513.005,36,1.967,1877.297,1.792,1.366
2090,546.896,36,1.822,1877.367,1.656,1.769
2100,583.056,36,1.713,1877.446,1.844,1.37
2110,599.413,36,1.657,1877.504,1.949,1.469
2120,598.587,36,1.683,1877.579,1.685,1.376
2130,501.203,36,1.986,1877.653,1.651,1.619
2140,604.303,36,1.654,1877.723,1.674,1.351
2150,600.384,36,1.681,1877.801,1.655,1.77
2160,532.822,36,1.881,1877.872,1.688,1.372
2170,594.955,36,1.676,1877.942,1.732,1.62
2180,537.953,36,1.868,1878.016,1.696,1.362
2190,603.537,36,1.664,1878.083,2.021,1.313
2200,530.307,36,1.883,1878.161,1.652,1.329
2210,530.673,40,1.882,1878.308,1.688,1.347
2220,515.756,40,1.944,1878.386,1.791,1.694
2230,603.61,40,1.655,1878.456,1.674,1.344
2240,584.249,40,1.699,1878.542,1.69,1.688
2250,523.396,40,1.912,1878.614,1.666,1.342
2260,494.071,40,1.971,1878.69,1.709,1.693
2270,569.898,40,1.695,1878.785,1.73,1.361
2280,607.238,40,1.647,1878.855,2.051,1.331
2290,538.039,40,1.853,1878.937,1.824,1.348
2300,581.937,40,1.696,1879.008,1.824,1.368
2310,578.469,40,1.718,1879.077,1.918,1.591
2320,499.675,40,1.998,1879.163,1.831,1.37
2330,574.515,40,1.733,1879.237,1.832,1.371
2340,554.754,40,1.806,1879.315,1.884,1.548
2350,599.341,40,1.666,1879.387,1.703,1.328
