FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,155.183,0,6.442,4302.635,2.651,2.903
20,292.278,0,3.376,4644.28,2.923,1.64
30,112.573,4,8.888,4753.248,2.795,1.838
40,337.849,4,2.952,4767.878,2.896,1.336
50,354.12,4,2.814,4783.346,2.859,0
60,354.56,4,2.816,4799.955,3.306,2.749
70,325.066,4,3.069,4814.125,3.547,3.324
80,328.31,4,3.036,4828.612,3.046,2.139
90,355.366,4,2.806,4842.592,2.818,0
100,316.957,4,3.146,4858.185,3.539,2.924
110,327.204,4,3.045,4872.5,2.864,1.69
120,391.865,4,2.544,4885.82,2.567,1.686
130,297.921,4,3.344,4898.844,2.78,1.615
140,287.538,8,3.471,4974.289,109.622,2.962
150,380.952,8,2.615,4987.359,2.676,1.458
160,304.368,8,3.281,5001.41,2.985,1.507
170,359.842,8,2.77,5015.329,3.426,1.426
180,345.829,8,2.881,4516.406,3.199,3.324
190,341.869,8,2.915,4529.495,3.076,1.854
200,294.057,8,3.391,4543.577,2.89,2.085
210,337.382,8,2.953,4555.867,2.556,1.403
220,317.995,8,3.14,4569.672,2.609,1.721
230,354.409,8,2.813,4583.846,3.2,2.807
240,293.953,8,3.398,4598.659,2.977,1.751
250,344.033,8,2.894,4613.098,3.246,0
260,195.656,12,5.106,4695.17,3.307,3.138
270,350.496,12,2.845,4708.458,3.059,0
280,442.126,12,2.252,4720.046,6.837,6.135
290,417.153,12,2.394,4723.315,2.568,2.43
300,410.357,12,2.422,4726.791,2.443,2.022
310,443.223,12,2.245,4730.128,2.269,2.301
320,409.165,12,2.435,4733.673,2.346,2.05
330,422.083,12,2.36,4736.727,2.056,2.135
340,413.206,12,2.414,4740.263,2.546,0
350,433.125,12,2.303,4743.95,2.136,0
360,392.958,12,2.533,4750.608,2.192,2.215
370,355.454,12,2.804,4764.153,2.08,1.77
380,366.703,16,2.722,5148.796,191.632,3.118
390,459.939,16,2.164,5160.164,2.491,1.485
400,466.418,16,2.134,5168.815,2.133,1.653
410,427.004,16,2.335,5177.489,2.504,1.79
420,443.734,16,2.246,5186.138,2.382,0
430,483.325,16,2.059,5194.797,2.158,1.514
440,459.643,16,2.167,5203.473,2.144,1.465
450,476.349,16,2.089,5212.142,2.177,1.397
460,459.707,16,2.164,5220.825,2.093,1.393
470,481.278,16,2.066,5229.499,2.154,1.787
480,461.021,16,2.159,5238.171,2.147,1.718
490,431.146,16,2.312,5246.852,2.263,1.497
500,451.957,16,2.205,5255.49,2.125,1.409
510,461.638,16,2.157,5264.151,2.302,1.616
520,460.49,20,2.161,5279.208,2.09,3.062
530,455.996,20,2.182,5287.936,2.163,1.423
540,471.988,20,2.113,5296.673,2.118,2.058
550,415.852,20,2.395,5305.422,2.111,2.194
560,447.347,20,2.227,5314.125,2.371,2.217
570,464.554,20,2.143,5322.848,2.207,1.919
580,466.092,20,2.14,5331.59,2.107,2.136
590,471.787,20,2.114,5340.321,2.425,2.137
600,468.647,20,2.123,5349.041,2.11,2.217
610,434.726,20,2.291,5357.777,2.237,2.486
620,403.584,20,2.469,5366.524,2.112,1.85
630,419.393,20,2.375,5375.278,2.319,2.221
640,466.114,20,2.137,5383.986,2.13,2.253
650,465.701,20,2.14,5392.716,2.174,2.459
660,471.876,20,2.113,5401.444,2.115,1.988
670,473.306,20,2.106,5410.193,2.401,1.911
680,467.968,20,2.128,5418.923,2.188,2.156
690,472.702,20,2.107,5427.664,2.179,2.081
700,477.395,20,2.09,5436.395,2.18,2.362
710,461.681,24,2.157,5448.393,2.144,0
720,463.585,24,2.149,5457.181,2.265,2.009
730,462.856,24,2.155,5465.949,2.406,2.142
740,471.276,24,2.116,5474.74,2.138,2.019
750,474.024,24,2.102,5483.536,2.313,2.119
760,461.808,24,2.155,5492.325,2.158,2.481
770,452.94,24,2.196,5501.106,2.142,2.235
780,403.356,24,2.469,5509.913,2.156,1.897
790,467.05,24,2.136,5518.683,2.151,2.081
800,407.199,24,2.447,5527.477,2.16,1.975
810,440.548,24,2.266,5536.242,2.14,2.139
820,469.417,24,2.126,5545.031,2.441,1.744
830,440.063,24,2.266,5553.807,2.15,1.859
840,466.81,24,2.137,5562.605,2.156,2.092
850,439.251,24,2.267,5571.399,2.456,2.132
860,474.024,24,2.103,5580.182,2.108,2.426
870,426.73,24,2.334,5588.989,2.149,2.093
880,453.33,24,2.199,5597.75,2.147,1.878
890,440.917,24,2.262,5606.545,2.182,2.109
900,407.897,28,2.443,5617.221,2.282,3.545
910,457.331,28,2.181,5626.024,2.169,2.336
920,458.022,28,2.176,5634.838,2.214,1.848
930,460.808,28,2.161,5643.643,2.221,2.014
940,456.934,28,2.181,5652.462,2.187,2.084
950,407.034,28,2.448,5661.311,2.199,2.526
960,458.547,28,2.173,5670.086,2.395,1.986
970,458.484,28,2.173,5678.911,2.251,2.23
980,470.943,28,2.115,5687.719,2.532,2.181
990,467.88,28,2.128,5696.541,2.2,2.343
1000,457.101,28,2.177,5705.353,2.174,2.077
1010,433.52,28,2.302,5714.177,2.453,2.141
1020,460.936,28,2.16,5722.978,2.198,2.069
1030,447.467,28,2.227,5731.902,2.314,2.204
1040,455.539,28,2.186,5740.705,2.169,2.264
1050,460.109,28,2.161,5749.521,2.193,0
1060,413.668,28,2.409,5758.327,2.534,2.201
1070,462.92,28,2.152,5767.152,2.177,2.115
1080,467.093,28,2.135,5775.952,2.221,2.425
1090,461.915,28,2.158,5784.768,2.304,1.936
1100,449.236,32,2.218,5793.579,2.205,2.163
1110,444.405,32,2.242,5804.233,2.351,0
1120,455.498,32,2.186,5813.003,2.179,2.208
1130,407.614,32,2.446,5821.782,2.217,2.141
1140,390.229,32,2.555,5830.593,2.242,2.309
1150,389.757,32,2.558,5839.372,2.246,1.917
1160,394.649,32,2.528,5848.216,2.208,2.14
1170,455.602,32,2.185,5856.98,2.292,0
