FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,125.938,0,7.932,4312.88,2.922,3.275
20,409.987,0,2.432,4665.382,2.639,1.29
30,362.529,0,2.747,4679.37,3.136,0
40,317.128,4,3.144,4802.487,2.668,2.929
50,316.356,4,3.154,4817.508,3.368,1.412
60,330.284,4,3.023,4833.334,3.652,2.864
70,336.089,4,2.97,4845.995,2.528,1.5
80,314.951,4,3.166,4860.048,3.003,1.423
90,365.163,4,2.733,4873.466,2.608,1.536
100,322.612,4,3.09,4886.79,2.825,1.835
110,342.325,4,2.91,4901.214,3.775,2.336
120,271.636,4,3.673,4916.017,2.786,1.853
130,342.689,4,2.908,4932.053,3.726,0
140,284.366,8,3.509,5010.739,3.069,3.365
150,350.214,8,2.845,5025.381,2.964,2.23
160,369.14,8,2.7,5040.028,3.108,2.297
170,31.791,8,31.445,4543.2,2.997,2.353
180,343.442,8,2.907,4558.661,2.495,2.938
190,378.301,8,2.634,4572.363,3.02,2.34
200,316.326,8,3.155,4587.393,3.143,2.867
210,311.061,8,3.207,4602.405,3.216,2.598
220,349.553,8,2.852,4616.672,3.118,2.693
230,314.653,8,3.171,4630.374,2.836,2.966
240,374.953,8,2.659,4645.951,3.174,2.722
250,317.894,8,3.141,4659.437,3.002,2.695
260,371.899,12,2.682,4721.088,3.227,3.022
270,318.735,12,3.134,4735.67,3.295,2.022
280,336.905,12,2.954,4750.965,3.558,1.693
290,334.158,12,2.983,4755.321,2.357,1.391
300,398.851,12,2.494,4758.955,2.344,1.953
310,216.497,12,4.611,4762.761,2.487,1.464
320,390.351,12,2.551,4766.85,2.66,1.638
330,406.835,12,2.453,4770.385,2.451,1.528
340,376.138,12,2.65,4774.077,2.373,1.772
350,379.363,12,2.625,4779.48,2.392,1.564
360,448.37,12,2.221,4786.534,2.436,1.644
370,5.03,16,198.76,5066.321,2.557,1.525
380,358.513,16,2.781,5181.213,2.826,1.732
390,400.192,16,2.491,5189.796,2.76,2.211
400,365.992,16,2.724,5198.401,2.327,2.341
410,359.997,16,2.696,5206.962,2.284,2.167
420,388.38,16,2.567,5215.545,2.18,1.679
430,454.628,16,2.191,5224.103,2.544,2.575
440,394.462,16,2.527,5232.698,2.653,2.181
450,386.548,16,2.579,5241.256,2.62,2.385
460,411.252,16,2.424,5249.829,2.224,2.042
470,462.321,16,2.155,5258.408,2.796,2.478
480,392.927,16,2.549,5266.973,2.652,2.254
490,368.473,20,2.706,5275.517,2.919,2.425
500,392.126,20,2.543,5291.679,2.2,1.649
510,387.747,20,2.57,5300.26,2.822,2.157
520,354.007,20,2.816,5308.9,2.724,2.25
530,363.161,20,2.746,5317.487,2.539,2.468
540,409.719,20,2.432,5326.075,2.574,2.611
550,427.46,20,2.332,5334.659,2.233,2.228
560,420.186,20,2.372,5343.249,2.532,2.685
570,418.936,20,2.379,5351.852,2.448,2.089
580,440.451,20,2.262,5360.453,2.255,2.227
590,445.177,20,2.238,5369.066,2.25,2.119
600,396.244,20,2.515,5377.675,2.722,2.407
610,378.229,20,2.58,5386.285,2.665,2.364
620,434.764,20,2.292,5394.905,2.244,2.157
630,417.624,20,2.385,5403.521,2.554,1.737
640,360.75,20,2.719,5412.132,2.742,2.716
650,451.426,24,2.205,5420.746,2.214,1.668
660,395.304,24,2.522,5431.591,2.69,1.772
670,362.24,24,2.724,5440.254,2.354,2.315
680,382.468,24,2.642,5448.897,2.3,2.465
690,444.662,24,2.241,5457.579,2.829,2.088
700,391.512,24,2.545,5466.242,2.256,2.12
710,446.09,24,2.234,5474.886,2.743,2.449
720,361.847,24,2.755,5483.559,2.194,2.497
730,443.892,24,2.245,5492.215,2.74,2.247
740,380.894,24,2.617,5500.889,2.74,2.312
750,447.267,24,2.23,5509.549,2.624,2.335
760,358.307,24,2.782,5518.212,2.526,2.534
770,372.245,24,2.679,5526.883,2.858,2.215
780,447.547,24,2.227,5535.561,2.785,2.368
790,366.65,24,2.775,5544.223,2.602,2.42
800,445.375,24,2.237,5552.887,2.28,2.137
810,380.518,24,2.622,5561.552,2.586,2.28
820,445.474,24,2.237,5570.225,2.665,2.236
830,389.241,24,2.561,5578.9,2.792,2.144
840,444.622,28,2.239,5590.835,2.263,0
850,422.851,28,2.294,5599.556,2.296,2.129
860,385.149,28,2.56,5608.301,2.864,2.329
870,445.157,28,2.241,5617.015,2.35,2.395
880,377.245,28,2.608,5625.803,2.219,1.87
890,404.875,28,2.462,5634.522,2.575,2.906
900,431.518,28,2.312,5643.261,2.648,2.118
910,407.564,28,2.449,5652.004,2.419,2.523
920,408.08,28,2.443,5660.768,2.348,2.083
