FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,52.583,0,19.025,4260.89,2.979,3.508
20,288.567,0,3.459,4615.598,3.72,1.446
30,373.148,4,2.671,4654.732,2.971,0
40,347.536,4,2.864,4668.45,2.692,0
50,329.283,4,3.037,4682.853,2.734,1.575
60,349.101,4,2.851,4697.009,2.832,1.348
70,385.297,4,2.588,4710.156,2.513,0
80,375.912,4,2.648,4722.866,2.698,1.555
90,325.51,4,3.059,4736.765,3.039,1.482
100,373.818,4,2.67,4749.98,2.877,0
110,350.926,4,2.841,4763.321,3.037,1.772
120,318.036,4,3.134,4777.172,2.705,0
130,365.484,4,2.731,4791.513,3.016,1.779
140,394.633,4,2.519,4803.863,2.667,0
150,355.986,4,2.801,4818.331,3.008,1.401
160,327.247,4,3.04,4832.281,2.778,1.365
170,379.449,4,2.629,4846.551,2.422,1.972
180,309.972,4,3.215,4860.467,2.626,1.689
190,413.035,8,2.408,4881.963,2.465,0
200,336.893,8,2.96,4895.735,3.048,1.338
210,333.801,8,2.988,4909.729,3.204,2.238
220,27.838,8,35.904,4410.582,2.786,1.986
230,409.467,8,2.436,4424.96,3.289,0
240,310.087,8,3.211,4437.915,2.816,2.521
250,291.809,8,3.423,4452.478,2.704,2.104
260,329.761,8,3.02,4466.005,2.801,1.352
270,285.445,8,3.5,4480.877,3.099,1.553
280,380.59,8,2.614,4494.185,2.582,0
290,408.597,8,2.44,4507.557,2.85,1.669
300,402.269,8,2.481,4520.988,3.169,0
310,333,8,2.994,4533.924,2.824,1.389
320,411.59,8,2.419,4538.53,2.185,1.385
330,443.971,8,2.245,4541.75,2.199,0
340,372.273,8,2.676,4545.244,2.141,1.328
350,411.726,8,2.418,4548.672,2.325,1.41
360,398.931,12,2.495,4554.579,2.605,0
370,428.945,12,2.317,4558.26,2.568,0
380,461.681,12,2.156,4561.614,2.225,1.382
390,452.12,12,2.208,4565.192,2.074,1.402
400,488.186,12,2.041,4585.442,2.954,1.861
410,431.909,12,2.31,4850.816,2.196,0
420,457.875,12,2.178,4880.898,2.311,1.695
430,398.597,12,2.5,4914.208,2.255,1.441
440,390.808,12,2.551,4944.342,2.113,1.46
450,436.929,12,2.277,4970.606,2.498,1.576
460,446.468,12,2.237,4999.505,2.478,1.676
470,501.153,12,1.984,5021.727,2.386,0
480,485.602,12,2.048,5030.164,2.121,0
490,487.734,16,2.043,5039.179,2.191,0
500,512.164,16,1.941,5047.615,2.139,1.406
510,502.74,16,1.983,5056.056,2.003,1.339
520,508.544,16,1.956,5064.537,2.246,1.364
530,481.533,16,2.067,5072.985,2.283,1.36
540,509.087,16,1.955,5081.423,2.221,1.377
550,510.386,16,1.95,5089.858,1.995,1.475
560,473.395,16,2.104,5098.3,2.065,1.475
570,488.234,16,2.039,5106.735,2.004,1.653
580,503.069,16,1.978,5115.174,2,1.477
590,497.043,16,2.002,5123.609,2.066,1.631
600,482.742,16,2.063,5132.047,1.984,1.595
610,501.203,16,1.986,5140.479,2.011,1.64
620,462.535,16,2.152,5148.911,2.142,1.347
630,500.05,16,1.991,5157.336,1.988,1.394
640,494.193,16,2.014,5165.769,2.016,1.354
650,499.426,16,1.993,5174.208,2.019,1.32
660,478.858,16,2.078,5182.66,2.089,1.353
670,483.465,16,2.058,5191.106,2.098,1.416
680,497.488,16,2.001,5199.543,2.016,1.348
690,439.483,16,2.267,5207.98,1.958,1.35
700,447.187,16,2.228,5216.422,2.027,1.336
710,455.789,16,2.185,5224.857,2.015,1.352
720,95.113,20,10.503,5233.692,2.03,1.342
730,466.048,20,2.142,5242.113,2.051,0
740,350.361,20,2.849,5250.566,2.432,1.358
750,493.364,20,2.015,5259.002,2.03,0
760,457.247,20,2.179,5267.427,2.037,0
770,495.663,20,2.006,5275.848,1.982,0
780,496.894,20,2.002,5284.273,2.047,1.343
790,503.575,20,1.974,5292.71,1.987,1.356
800,443.813,20,2.246,5301.155,2.387,1.365
810,442.948,20,2.248,5309.592,1.954,1.343
820,439.599,20,2.297,5318.029,2.01,1.341
830,430.256,20,2.316,5326.463,1.982,1.34
840,445.534,20,2.239,5334.902,1.99,1.36
