FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,159.99,0,6.243,7599.62,2.625,3.09
20,305.941,0,3.258,7955.382,2.692,1.373
30,338.547,0,2.946,7970.528,3.185,2.031
40,372.828,4,2.674,8002.558,3.61,3.087
50,339.928,4,2.931,8017.218,3.086,1.339
60,314.288,4,3.17,8051.232,2.952,1.38
70,303.196,4,3.283,8066.346,2.914,1.32
80,314.1,4,3.176,8080.347,3.177,1.671
90,419.147,4,2.378,8094.01,3.066,1.348
100,312.178,4,3.196,8108.775,3.025,1.992
110,332.801,4,2.993,8123.372,3.074,1.701
120,290.546,4,3.432,8138.742,3.114,3.08
130,344.448,4,2.894,8153.517,2.766,2.014
140,334.102,4,2.985,8166.981,2.582,3.156
150,324.696,4,3.072,8182.015,3.324,2.081
160,299.025,4,3.334,8196.385,3.141,2.161
170,404.22,4,2.467,8210.762,2.952,1.47
180,382.175,8,2.607,8224.372,3.225,1.695
190,373.664,8,2.665,8243.194,3.646,1.526
200,358.757,8,2.778,8258.907,3.206,1.777
210,341.869,8,2.919,7761.469,3.057,3.085
220,365.07,8,2.732,7775.103,2.875,3.311
230,312.529,8,3.193,7789.706,2.653,2.673
240,311.808,8,3.198,7804.097,3.045,3.385
250,330.218,8,3.021,7818.38,2.921,3.1
260,362.634,8,2.747,7832.329,2.928,1.356
270,351.667,8,2.832,7846.114,2.998,1.497
280,369.017,8,2.699,7860.183,2.962,0
290,313.548,8,3.177,7874.84,2.968,2.258
300,475.783,8,2.092,7881.404,2.158,1.325
310,414.319,8,2.407,7884.918,2.19,1.359
320,444.168,8,2.237,7888.47,2.513,1.528
330,424.016,8,2.349,7891.813,2.386,1.424
340,386.429,8,2.581,7895.286,2.374,1.355
350,359.428,12,2.77,7900.63,2.643,1.808
360,440.917,12,2.258,7904.676,2.296,1.359
370,376.903,12,2.645,7908.539,2.363,1.369
380,324.686,12,3.068,8102.768,2.23,1.537
390,226.747,12,4.394,7972.432,2.938,2.104
400,426.221,12,2.34,7972.164,3.705,2.165
410,365.257,12,2.748,7974.437,2.542,1.378
420,411.506,12,2.422,7985.79,2.714,1.664
430,476.395,12,2.089,7984.911,2.197,1.684
440,474.901,12,2.097,7985.178,2.084,1.467
450,482.09,12,2.066,7985.326,2.131,1.35
460,478.698,12,2.081,7985.597,2.07,1.327
