FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,160.085,0,6.239,4283.985,2.844,3.232
20,217.226,0,4.583,4632.116,3.045,2.939
30,443.656,4,2.243,4645.653,2.454,2.42
40,325.309,4,3.061,4686.447,2.742,1.671
50,305.698,4,3.26,4713.724,3.28,3.316
60,423.101,4,2.354,4725.852,2.708,2.021
70,386.264,4,2.579,4739.125,2.601,1.776
80,385.654,4,2.585,4752.602,2.71,2.008
90,398.47,4,2.504,4766.037,2.49,2.607
100,383.862,4,2.598,4779.55,3.32,1.593
110,319.081,4,3.124,4793.938,2.659,1.676
120,377.031,4,2.642,4809.37,3.476,0
130,385.713,4,2.58,4822.328,2.429,1.837
140,394.898,4,2.523,4836.121,2.818,0
150,346.296,4,2.879,4849.061,3.231,0
160,272.257,4,3.657,4862.426,2.866,1.584
170,420.698,4,2.367,4874.628,2.293,1.34
180,403.828,4,2.467,4887.314,2.867,2.59
190,365.898,8,2.723,4909.404,2.779,3.23
200,349.638,8,2.849,4924.037,2.464,2.926
210,394.929,8,2.524,4936.945,2.569,2.136
220,323.081,8,3.078,4950.233,2.422,0
230,253.839,8,3.933,4452.342,2.855,2.944
240,339.616,8,2.933,4467.397,2.934,1.83
250,402.01,8,2.479,4480.348,2.459,2.404
260,341.939,8,2.921,4495.225,3.295,1.791
270,388.169,8,2.564,4508.835,2.456,1.642
280,404.089,8,2.47,4522.507,2.502,2.194
290,372.37,8,2.671,4535.718,3.13,1.715
300,324.791,8,3.068,4548.997,2.516,1.732
310,321.213,8,3.102,4562.689,2.824,1.689
320,501.58,8,1.984,4569.633,2.096,1.606
330,431.965,8,2.303,4572.982,2.379,1.634
340,316.967,8,3.137,4576.856,3.337,0
350,434.991,12,2.285,4581.955,2.45,0
360,330.918,12,2.975,4585.936,2.52,1.342
370,406.984,12,2.451,4590.395,3.231,2.329
380,400.769,12,2.487,4594.41,3.043,1.644
390,281.524,12,3.536,4607.073,2.613,1.328
400,426.694,12,2.331,4862.511,169.944,2.971
410,381.316,12,2.612,4894.793,2.253,1.354
420,321.326,12,3.103,4925.384,2.28,1.415
430,458.442,12,2.174,4954.556,2.197,1.437
440,415.939,12,2.395,4984.162,2.154,1.648
450,481.928,12,2.064,5006.155,2.746,0
460,446.13,12,2.231,5034.257,2.18,1.378
470,509.762,12,1.949,5048.454,1.992,0
480,418.235,16,2.383,5057.067,2.216,0
490,462.727,16,2.152,5065.389,2.104,1.321
500,462.278,16,2.155,5073.698,2.179,1.331
510,468.274,16,2.127,5082.025,2.433,1.462
520,429.148,16,2.322,5090.387,2.33,1.322
530,503.55,16,1.975,5098.745,1.967,0
540,505.74,16,1.965,5107.069,1.965,0
550,523.204,16,1.904,5115.404,1.925,1.345
560,512.899,16,1.938,5123.742,1.916,0
570,413.582,16,2.413,5132.064,1.982,1.645
580,454.05,16,2.202,5140.371,2.193,1.37
590,518.054,16,1.921,5148.686,1.937,1.359
600,502.841,16,1.975,5156.988,1.913,1.352
610,484.919,16,2.053,5165.295,2.41,1.38
620,505.255,16,1.969,5173.606,1.954,1.32
630,506.74,16,1.964,5181.938,1.964,1.345
640,487.972,16,2.083,5190.272,1.981,0
650,428.247,16,2.325,5198.607,2.086,1.346
660,442.497,16,2.247,5206.909,2.085,1.45
670,385.342,16,2.34,5215.217,1.972,1.598
680,446.867,16,2.23,5223.558,1.971,1.564
690,437.618,16,2.275,5231.893,1.96,1.43
700,428.798,16,2.324,5240.206,1.972,1.336
710,68.272,20,14.637,5249.103,1.943,1.331
720,372.148,20,2.649,5257.414,2.19,0
730,402.01,20,2.478,5265.741,2.178,1.587
740,501.329,20,1.988,5274.123,2.01,1.357
750,504.032,20,1.972,5282.466,1.929,1.32
760,508.621,20,1.957,5290.817,2.006,1.37
770,513.189,20,1.945,5299.152,1.969,1.599
780,506.329,20,1.965,5307.503,1.982,1.617
790,508.285,20,1.958,5315.846,1.991,1.35
800,513.321,20,1.939,5324.165,1.96,1.319
810,490.605,20,2.029,5332.495,1.947,1.34
820,466.244,20,2.135,5340.839,1.976,1.331
830,508.053,20,1.963,5349.168,1.974,1.346
840,513.057,20,1.937,5357.519,1.957,0
850,509.71,20,1.954,5365.864,2.449,1.355
860,506.303,20,1.966,5374.206,1.923,1.33
870,489.908,20,2.034,5382.541,1.927,0
880,504.439,20,1.977,5390.868,2.005,1.342
890,521.023,20,1.91,5399.218,1.97,1.332
900,467.05,20,2.131,5407.558,2.34,1.333
910,509.762,20,1.954,5415.903,2.33,1.352
920,518.457,20,1.917,5424.24,2.311,1.565
930,498.803,20,1.993,5432.596,2.348,1.625
940,510.074,20,1.957,5440.943,2.292,1.544
950,415.231,24,2.4,5449.647,11.855,3.321
960,433.501,24,2.299,5458.041,2.003,1.343
970,432.432,24,2.302,5466.388,2.423,1.396
980,434.065,24,2.293,5474.729,1.962,1.347
990,498.604,24,1.998,5483.087,1.948,1.45
1000,505.996,24,1.966,5491.434,1.946,1.617
1010,510.908,24,1.954,5499.765,1.966,1.603
1020,508.725,24,1.956,5508.084,2.148,1.452
1030,411.472,24,2.421,5516.508,1.947,1.343
1040,495.025,24,2.011,5524.852,2.354,1.37
1050,512.085,24,1.944,5533.199,1.98,1.356
