FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,164.228,0,6.078,4206.458,2.581,2.946
20,329.261,0,3.033,4543.252,2.663,1.393
30,36.361,4,27.494,4571.573,2.6,2.196
40,359.092,4,2.781,4588.329,2.696,1.629
50,325.595,4,3.061,4603.097,3.068,2.269
60,372.814,4,2.722,4638.371,2.666,0
70,339.328,4,2.936,4652.222,2.771,2.232
80,344.329,4,2.894,4665.418,3.113,1.62
90,384.66,4,2.589,4678.668,2.551,1.671
100,382.059,4,2.609,4691.8,2.848,2.122
110,359.919,4,2.76,4704.691,2.729,1.364
120,321.554,4,3.102,4718.196,2.971,0
130,346.069,4,2.881,4731.749,2.57,1.383
140,323.866,4,3.076,4745.069,2.52,1.546
150,414.285,4,2.4,4758.995,3.265,1.547
160,343.218,4,2.902,4772.336,2.41,1.984
170,362.582,4,2.755,4787.025,3.065,2.053
180,337.712,4,2.945,4800.271,3.204,0
190,327.043,8,3.05,4818.538,2.748,2.273
200,262.13,8,3.806,4833.474,3.957,3.299
210,371.388,8,2.688,4846.594,2.784,1.999
220,337.336,8,2.958,4860.295,2.81,2.775
230,341.274,8,2.918,4874.011,2.522,1.552
240,346.596,8,2.88,4887.084,2.594,2.515
250,297.734,8,3.354,4902.567,3.004,3.283
260,387.282,8,2.578,4916.401,2.851,0
270,32.596,8,30.663,4417.561,2.761,2.454
280,336.157,8,2.972,4431.562,2.828,1.383
290,335.39,8,2.973,4444.575,2.6,1.351
300,347.102,8,2.871,4458.084,2.417,1.769
310,346.212,8,2.883,4471.894,2.841,3.003
320,386.041,8,2.581,4485.427,2.578,1.985
330,306.513,8,3.248,4498.022,2.543,1.343
340,346.572,8,2.878,4511.485,2.737,1.609
350,380.619,12,2.62,4529.358,2.529,3.268
360,342.009,12,2.915,4542.693,3.279,1.837
370,364.033,12,2.734,4546.207,2.388,1.338
380,365.738,12,2.721,4550.437,2.958,1.802
390,421.39,12,2.366,4553.853,2.081,1.636
400,356.697,12,2.791,4557.631,3.001,1.404
410,432.545,12,2.303,4561.283,2.467,0
420,449.701,12,2.215,4565.124,2.608,1.787
430,367.458,12,2.712,4568.591,2.589,1.365
440,464.576,12,2.145,4573.974,2.085,2.036
450,323.52,12,3.082,4839.132,1.965,1.424
460,460.151,12,2.165,4865.153,3.008,1.39
470,415.87,16,2.398,4902.63,2.23,2.996
480,372.204,16,2.678,4938.823,3.76,3.367
490,433.839,16,2.299,4969.14,2.308,1.36
500,243.493,16,4.097,5004.319,2.492,1.55
510,429.923,16,2.317,5027.724,3.028,1.617
520,467.749,16,2.122,5056.293,2.212,1.352
530,496.204,16,2.006,5077.363,2.174,1.373
540,498.107,16,1.998,5085.776,2.007,1.359
550,513.743,16,1.937,5094.188,1.955,0
560,504.464,16,1.979,5102.615,1.988,1.365
570,508.027,16,1.961,5111.043,1.94,1.372
580,452.018,16,2.201,5119.444,2.396,1.347
590,506.175,16,1.964,5127.855,1.988,0
600,515.756,16,1.927,5136.276,1.975,1.358
610,501.027,16,1.984,5144.681,2,1.344
620,423.066,16,2.356,5153.116,2.481,1.338
630,516.502,16,1.926,5161.549,2.134,1.332
640,497.216,16,2.001,5169.954,2.191,1.346
650,489.285,16,2.04,5178.347,1.997,1.347
660,463.006,16,2.151,5186.765,1.98,1.342
670,491.69,16,2.025,5195.18,2.1,1.345
680,511.274,16,1.944,5203.618,1.997,0
690,463.585,20,2.149,5212.336,1.946,1.345
