FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,127.008,0,7.865,4243.134,2.741,3.081
20,337.211,0,2.957,4603.98,2.823,1.374
30,74.242,4,13.457,4669.574,4.136,3.546
40,358.835,4,2.773,4684.243,2.573,1.365
50,398.168,4,2.504,4698.14,2.81,1.361
60,359.57,4,2.775,4710.709,2.387,1.606
70,296.516,4,3.355,4723.602,2.505,0
80,376.818,4,2.644,4737.816,2.787,1.995
90,406.901,4,2.448,4749.581,2.564,0
100,352.896,4,2.824,4762.771,2.991,2.273
110,396.197,4,2.511,4775.154,2.578,1.641
120,400.978,4,2.485,4788.171,2.516,0
130,322.945,4,3.084,4801.887,2.804,1.992
140,350.693,4,2.843,4815.065,2.876,1.862
150,360.907,4,2.757,4827.543,2.904,0
160,388.923,4,2.567,4840.566,3.083,2.239
170,301.023,4,3.313,4854.527,2.75,2.149
180,155.422,8,6.423,4880.168,2.706,1.538
190,336.18,8,2.969,4893.907,2.795,1.552
200,434.972,8,2.295,4907.617,3.141,2.585
210,347.174,8,2.869,4921.191,2.762,1.559
220,284.317,8,3.505,4422.243,2.492,1.798
230,318.492,8,3.135,4436.205,3.034,1.346
240,338.078,8,2.95,4450.445,2.925,1.608
250,398.724,8,2.499,4462.92,3.14,1.696
260,298.054,8,3.348,4476.629,3.12,2.584
270,398.232,8,2.501,4489.828,2.867,1.72
280,407.564,8,2.449,4503.75,2.72,1.736
290,371.223,8,2.688,4517.25,3.146,3.374
300,436.186,8,2.281,4531.527,3.487,0
310,345.471,8,2.889,4545.088,2.609,1.385
320,434.235,8,2.291,4548.41,2.229,1.49
330,443.066,8,2.252,4551.902,2.593,1.355
340,255.984,12,3.897,4555.779,2.412,1.54
350,463.822,12,2.14,4564.088,2.194,0
360,425.749,12,2.333,4567.408,2.378,1.336
370,361.037,12,2.756,4570.668,1.974,1.784
380,377.045,12,2.645,4574.349,3.079,1.51
390,509.58,12,1.954,4593.931,2.553,0
400,457.038,12,2.179,4841.881,2.228,0
410,358.089,12,2.786,4872.129,2.231,1.348
420,462.62,12,2.155,4901.451,2.409,1.722
430,356.888,12,2.793,4930.902,2.346,1.425
440,430.182,12,2.315,4961.355,2.247,1.511
450,479.432,12,2.08,4986.235,2.345,1.608
460,448.089,16,2.224,5015.963,2.179,1.33
470,298.606,16,3.339,5045.958,2.026,0
480,439.928,16,2.263,5054.385,1.959,1.397
490,443.302,16,2.251,5062.809,2.049,1.327
