FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,140.934,0,7.09,4227.416,2.464,3.085
20,339.236,0,2.941,4563.356,3.066,1.364
30,352.075,0,2.825,4576.223,2.606,1.908
40,320.996,4,3.102,4657.111,2.615,3.491
50,304.572,4,3.271,4671.475,2.834,2.78
60,401.687,4,2.477,4684.504,3.162,0
70,341.134,4,2.923,4698.484,2.963,1.685
80,374.07,4,2.661,4712.749,2.94,0
90,347.887,4,2.869,4726.25,2.682,1.936
100,361.337,4,2.771,4740.496,2.907,0
110,396.275,4,2.513,4753.829,2.619,1.864
120,339.179,4,2.945,4768.368,3.327,0
130,408.197,4,2.441,4780.835,2.747,1.661
140,335.458,4,2.974,4793.818,2.451,1.519
150,334.896,4,2.98,4806.842,2.833,1.468
160,341.892,4,2.917,4819.859,2.786,0
170,363.385,8,2.743,4833.343,2.827,1.628
180,408.197,8,2.44,4858.367,2.922,2.508
190,356.468,8,2.796,4872.294,3.642,1.514
200,323.185,8,3.084,4885.515,2.656,1.352
210,359.622,8,2.77,4900.313,3.891,1.743
220,342.618,8,2.907,4912.633,2.412,2.015
230,406.273,8,2.453,4927.158,3.397,2.225
240,321.306,8,3.101,4940.653,2.966,1.543
250,342.806,8,2.901,4442.439,2.784,1.454
260,343.784,8,2.902,4456.932,3.379,3.105
270,349.785,8,2.844,4470.947,2.516,0
280,363.557,8,2.741,4485.376,2.872,1.804
290,415.645,8,2.402,4498.572,2.597,1.534
300,354.472,8,2.819,4512.589,2.792,1.398
310,397.899,8,2.505,4525.569,2.546,0
320,363.557,8,2.738,4538.125,2.913,1.865
330,60.086,12,16.633,4557.171,2.644,1.461
340,414.559,12,2.401,4561.692,2.469,0
350,389.514,12,2.564,4566.574,3.931,3.167
360,404.563,12,2.46,4569.991,2.108,1.351
370,464.554,12,2.148,4573.358,2.545,0
380,428.174,12,2.331,4576.682,2.131,1.33
390,380.532,12,2.614,4580.201,2.404,1.34
400,392.65,12,2.541,4583.451,1.97,1.678
410,350.459,12,2.84,4601.564,2.033,1.432
420,426.548,12,2.333,4838.899,2.388,3.589
430,483.653,12,2.055,4863.258,2.265,1.367
440,447.588,12,2.221,4892.405,2.253,1.393
450,442.791,12,2.245,4921.071,2.127,1.66
460,421.532,16,2.363,4961.885,2.38,0
470,446.19,16,2.231,4992.651,2.193,1.372
480,500.776,16,1.987,5018.061,2.294,1.367
490,439.967,16,2.264,5046.794,2.643,1.345
500,468.406,16,2.125,5077.163,2.143,1.492
510,494.951,16,2.013,5104.033,2.13,1.969
520,498.828,16,1.995,5112.776,1.953,1.493
530,503.423,16,1.974,5121.476,1.928,1.665
540,515.251,16,1.932,5130.162,1.971,1.346
550,466.157,16,2.136,5138.857,2.025,1.645
560,422.279,16,2.357,5147.557,2.04,1.325
570,462.043,16,2.156,5156.247,2.013,1.325
580,438.962,16,2.272,5164.95,1.981,1.339
590,450.086,16,2.211,5173.648,1.996,1.335
600,452.919,16,2.204,5182.335,2.044,1.352
610,477.327,16,2.085,5191.042,2.328,1.338
620,462,16,2.155,5199.74,2.029,1.339
630,508.13,16,1.961,5208.446,1.996,1.337
640,508.699,16,1.956,5217.123,2.046,1.352
650,494.193,16,2.014,5225.811,2.196,1.619
660,500.801,16,1.988,5234.504,2.178,1.639
670,502.412,16,1.983,5243.202,2.22,1.662
680,510.96,16,1.948,5251.896,1.978,1.624
690,432.657,20,2.336,5261.062,2.32,0
700,490.124,20,2.031,5269.759,2.396,1.392
710,500.2,20,1.994,5278.456,2.156,1.351
720,507.666,20,1.965,5287.147,1.988,1.334
730,480.839,20,2.069,5295.84,1.985,1.343
740,499.55,20,1.992,5304.536,2.234,1.363
750,514.139,20,1.939,5313.226,1.957,1.353
760,504.821,20,1.969,5321.918,2.225,1.357
770,491.014,20,2.024,5330.603,2.275,1.356
780,497.661,20,1.999,5339.286,2.039,1.327
790,499.052,20,1.995,5347.975,1.994,1.352
800,505.97,20,1.965,5356.678,1.968,1.346
810,497.265,20,2,5365.376,1.984,1.322
820,510.647,20,1.953,5374.078,2.007,1.325
830,498.206,20,1.996,5382.767,1.998,1.356
840,487.472,20,2.041,5391.45,1.985,1.331
850,465.593,20,2.136,5400.144,2.015,1.339
860,495.074,20,2.011,5408.847,2.645,1.363
870,413.753,20,2.407,5417.562,2.052,1.347
880,465.203,20,2.137,5426.258,2.01,0
890,496.5,20,2.003,5434.956,1.958,0
900,480.885,20,2.067,5443.666,1.998,0
910,462.642,20,2.15,5452.364,2.442,1.362
920,102.604,24,9.738,5461.366,2.003,0
930,491.932,24,2.022,5470.235,5.821,1.369
940,499.825,24,1.991,5478.924,2.304,1.372
950,402.139,24,2.477,5487.609,2.17,1.374
960,492.854,24,2.017,5496.298,1.996,1.359
970,504.363,24,1.973,5505.01,2.017,1.36
