FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,118.086,0,8.458,4264.891,2.664,3.376
20,366.569,0,2.721,4618.747,3.167,0
30,331.961,4,3.002,4631.903,2.653,2.292
40,371.637,4,2.68,4721.327,2.884,2.726
50,418.603,4,2.379,4733.889,2.936,1.643
60,382.995,4,2.604,4747.221,2.796,1.419
70,377.8,4,2.642,4761.204,2.871,1.727
80,352.883,4,2.82,4775.274,3.248,1.963
90,331.455,4,3.003,4788.84,3.098,1.749
100,416.32,4,2.393,4801.317,2.367,1.346
110,395.366,4,2.517,4815.293,2.517,0
120,293.807,4,3.392,4827.765,2.554,1.448
130,359.299,4,2.774,4840.248,2.388,0
140,302.709,4,3.301,4854.909,2.618,2.088
150,318.005,4,3.138,4870.343,3.03,1.592
160,400.898,4,2.483,4883.896,3.066,1.769
170,337.576,8,2.951,4905.569,2.666,2.72
180,358.809,8,2.776,4920.968,3.538,2.942
190,408.48,8,2.439,4933.186,2.552,0
200,301.023,8,3.314,4435.188,2.66,2.937
210,382.717,8,2.603,4448.699,2.618,1.75
220,389.438,8,2.561,4461.828,2.738,2.85
230,363.214,8,2.74,4477.392,3.19,3.355
240,332.138,8,3.002,4492.327,2.882,2.808
250,345.185,8,2.888,4504.368,2.364,1.985
260,357.207,8,2.782,4516.724,2.505,1.887
270,415.213,8,2.402,4530.671,3.398,0
280,431.909,8,2.303,4544.229,3.37,1.39
290,435.445,8,2.288,4552.806,2.147,1.687
300,377.858,8,2.64,4556.278,2.048,1.396
310,343.312,8,2.897,4559.915,2.374,1.828
320,485.484,8,2.052,4563.71,3.032,2.926
330,482.3,12,2.066,4570.117,2.056,2.991
340,358.038,12,2.785,4573.759,2.167,1.366
350,449.135,12,2.221,4577.49,2.043,1.424
360,500.701,12,1.986,4581.402,2.224,0
370,117.374,12,8.537,4813.955,2.657,1.716
380,376.974,12,2.645,4841.701,2.233,0
390,447.387,12,2.228,4874.712,2.524,1.547
400,458.8,12,2.175,4903.287,2.209,1.376
410,462.535,12,2.156,4931.255,2.093,1.332
420,458.421,12,2.172,4959.103,2.474,1.635
430,336.168,12,2.964,4985.674,2.104,1.396
440,403.47,12,2.469,5016.397,2.534,1.659
450,436.605,12,2.278,5038.71,2.449,1.35
460,70.055,16,14.264,5047.7,2.17,1.469
470,449.479,16,2.217,5056.181,2.16,0
480,453.968,16,2.196,5064.66,2.189,1.353
490,423.048,16,2.359,5073.134,2.199,1.336
500,495.491,16,2.008,5081.676,1.983,1.345
510,516.956,16,1.929,5090.143,3.179,1.473
520,421.852,16,2.368,5098.661,2.41,1.359
530,519.588,16,1.915,5107.122,1.984,0
540,508.492,16,1.954,5115.615,1.967,0
550,500.3,16,1.987,5124.075,1.994,0
560,517.063,16,1.922,5132.578,2.051,1.356
570,513.505,16,1.944,5141.048,1.951,1.331
