FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,139.548,0,7.154,4266.134,2.716,2.928
20,384.926,0,2.583,4613.403,3.847,2.94
30,429.479,4,2.32,4625.794,2.58,2.064
40,372.537,4,2.668,4703.711,3.275,0
50,308.585,4,3.231,4718.624,3.529,1.606
60,356.354,4,2.795,4730.984,2.407,1.338
70,360.425,4,2.738,4745.198,2.765,2.648
80,360.946,4,2.754,4758.568,2.603,1.811
90,292.903,4,3.396,4773.251,2.994,1.804
100,354.108,4,2.813,4787.449,2.706,1.948
110,413.394,4,2.409,4801.164,2.932,0
120,326.776,4,3.055,4816.726,2.82,2.561
130,368.636,4,2.706,4829.288,2.694,1.346
140,334.594,4,2.979,4842.592,2.503,0
150,350.079,4,2.842,4857.102,2.948,1.67
160,402.544,4,2.474,4871.038,3.074,0
170,344.863,4,2.896,4883.727,2.631,1.789
180,274.356,8,3.608,4911.407,2.775,3.319
190,343.938,8,2.902,4926.358,3.087,2.397
200,413.223,8,2.407,4428.246,2.58,0
210,330.874,8,3.015,4441.481,2.667,1.377
220,207.379,8,4.786,4455.108,2.875,1.338
230,409.283,8,2.434,4469.651,3.62,2.525
240,288.85,8,3.452,4484.42,2.577,2.305
250,375.08,8,2.656,4498.52,2.473,0
260,316.756,8,3.152,4513.593,3.221,2.314
270,379.161,8,2.623,4527.094,2.896,1.475
280,393.298,8,2.529,4540.423,2.792,0
290,416.06,8,2.392,4550.646,2.648,1.661
300,391.16,8,2.541,4554.162,2.233,1.585
310,416.597,8,2.388,4557.657,2.676,1.331
320,460.745,8,2.158,4560.888,2.187,0
330,459.517,8,2.17,4564.102,2.047,1.356
340,374.799,12,2.664,4571.389,2.711,3.179
350,450.593,12,2.212,4574.872,2.83,1.404
360,442.008,12,2.259,4578.015,2.092,1.39
370,307.996,12,3.231,4597.776,2.361,0
380,405.861,12,2.455,4847.587,2.379,3.441
390,456.454,12,2.182,4877.872,2.114,1.638
400,458.064,12,2.175,4907.549,2.144,1.35
