FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,122.13,0,8.173,4277.69,2.584,2.963
20,367.566,0,2.712,4582.378,3.011,2.934
30,10.477,4,95.422,4646.217,2.329,2.06
40,304.497,4,3.284,4664.961,2.915,1.434
50,349.577,4,2.854,4678.295,2.911,1.477
60,363.544,4,2.743,4692.951,3.023,0
70,368.84,4,2.702,4707.02,3.512,2.634
80,321.699,4,3.098,4720.244,3.1,1.644
90,375.319,4,2.655,4735.071,3.07,2.004
100,363.003,4,2.747,4748.389,3.159,0
110,252.883,4,3.945,4762.065,2.791,2.285
120,343.595,4,2.9,4776.661,3.523,1.99
130,396.401,4,2.516,4791.229,3.446,0
140,338.261,4,2.946,4805.089,2.916,0
150,386.264,4,2.585,4817.671,2.933,1.347
160,288.834,4,3.488,4832.714,3.62,1.546
170,360.581,8,2.766,4857.768,2.989,0
180,330.786,8,3.014,4870.843,2.695,2.219
190,334.091,8,2.984,4884.878,2.91,2.001
200,417.171,8,2.387,4898.61,2.868,1.84
210,342.36,8,2.9,4911.343,2.831,2.011
220,348.979,8,2.863,4924.087,2.407,1.387
230,192.164,8,5.178,4427.339,3.221,3.447
240,404.973,8,2.454,4442.825,4.004,1.642
250,346.669,8,2.875,4456.085,2.92,0
260,372.301,8,2.669,4468.331,2.963,0
270,316.156,8,3.149,4482.949,2.651,1.497
280,339.674,8,2.938,4497.405,2.956,1.564
290,375.066,8,2.661,4511.243,2.883,1.909
300,284.293,8,3.512,4525.93,2.874,1.536
310,55.397,12,18.043,4543.211,3.032,0
320,394.571,12,2.52,4547.397,2.652,0
330,406.984,12,2.448,4550.881,2.564,1.343
340,458.547,12,2.178,4554.335,2.366,1.365
350,398.867,12,2.494,4557.43,2.216,1.424
360,354.685,12,2.774,4560.715,2.494,1.363
370,444.306,12,2.241,4564.07,2.265,1.666
380,478.309,12,2.087,4567.418,2.264,1.339
390,393.36,12,2.529,4574.464,2.085,1.376
400,437.292,12,2.283,4824.25,2.795,1.877
410,460.893,12,2.159,4849.544,2.394,1.41
420,414.044,12,2.412,4877.855,2.242,1.349
430,439.387,12,2.261,4905.62,2.488,1.518
440,362.463,16,2.754,4956.197,2.262,3.322
450,411.438,16,2.42,4981.841,2.47,1.392
460,446.748,16,2.229,5010.907,2.174,1.379
470,402.204,16,2.475,5040.656,2.186,1.468
480,458.274,16,2.172,5052.686,2.319,1.415
490,472.545,16,2.107,5061.181,2.04,1.405
500,497.611,16,1.998,5069.659,2.48,0
510,452.509,16,2.198,5078.147,2,0
520,450.775,16,2.209,5086.693,1.996,0
530,498.43,16,1.995,5095.172,2.276,1.389
540,488.472,16,2.038,5103.682,2.381,1.357
550,464.641,16,2.143,5112.192,2.068,0
560,495.467,16,2.007,5120.689,2.092,0
570,508.078,16,1.965,5129.164,2.125,1.339
580,453.289,16,2.194,5137.678,2.067,1.366
590,466.2,16,2.136,5146.198,2.261,1.36
600,508.984,16,1.961,5154.703,1.949,1.373
610,492.49,16,2.021,5163.225,2.004,1.358
620,464.274,16,2.148,5171.707,1.994,1.357
630,492.417,16,2.02,5180.197,1.998,1.38
640,433.219,16,2.297,5188.679,1.978,1.374
650,438.789,16,2.269,5197.189,1.99,1.363
660,416.476,20,2.389,5206.17,1.979,1.367
670,472.679,20,2.11,5215.326,2.132,0
680,488.281,20,2.044,5223.831,2.112,1.386
690,488.711,20,2.045,5232.348,2.205,1.399
700,410.038,20,2.43,5240.868,2.221,1.593
710,506.175,20,1.968,5249.369,2.034,1.413
720,488.639,20,2.036,5257.876,2.04,1.409
730,487.163,20,2.042,5266.395,2.058,1.425
740,459.517,20,2.173,5274.913,2.002,1.471
750,493.925,20,2.015,5283.424,2.027,1.445
760,516.236,20,1.927,5291.937,1.974,1.441
770,493.559,20,2.018,5300.464,1.964,1.449
780,514.695,20,1.937,5308.97,1.953,1.656
790,495.835,20,2.008,5317.458,2.033,1.658
800,501.429,20,1.985,5325.944,2.011,1.639
810,490.388,20,2.028,5334.457,2.017,1.733
820,460.638,20,2.163,5342.965,2.093,1.406
830,459.495,20,2.165,5351.459,2.033,1.452
840,488.687,20,2.035,5359.964,2.043,1.61
850,441.404,20,2.254,5368.485,2.027,1.589
860,435.029,20,2.29,5376.996,2.164,1.602
870,501.58,20,1.982,5385.509,2.149,1.661
880,464.727,20,2.14,5394.036,2.198,0
890,454.587,24,2.194,5403.039,2.049,1.673
900,502.487,24,1.982,5412.219,2.164,0
910,479.639,24,2.072,5420.745,1.943,1.371
920,487.424,24,2.048,5429.276,2.063,1.42
930,494.682,24,2.012,5437.795,2.424,1.431
940,500.35,24,1.991,5446.332,2.304,1.494
950,496.524,24,2.001,5454.831,2.276,1.404
960,495.638,24,2.003,5463.374,2.285,1.415
970,491.836,24,2.021,5471.905,2.3,1.368
980,492.126,24,2.024,5480.397,2.013,1.373
990,495.442,24,2.007,5488.89,1.984,0
1000,453.926,24,2.194,5497.411,2.204,1.458
1010,513.347,24,1.94,5505.949,2.287,1.699
1020,486.808,24,2.047,5514.456,2.065,1.702
1030,506.611,24,1.968,5523.059,1.964,0
1040,506.765,24,1.964,5531.572,1.989,1.7
1050,507.048,24,1.964,5540.087,2.013,1.624
1060,510.882,24,1.946,5548.629,1.97,1.67
1070,488.926,24,2.036,5557.136,2.048,1.719
1080,493.827,24,2.017,5565.646,1.996,1.655
1090,442.713,24,2.25,5574.149,2.153,0
1100,430.997,24,2.311,5582.651,1.992,1.689
1110,432.938,24,2.3,5591.152,1.964,1.4
1120,478.469,28,2.08,5600.185,2.012,1.548
