FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,154.935,0,6.447,4217.271,2.609,2.957
20,365.083,0,2.724,4553.174,3.058,0
30,352.634,4,2.83,4566.053,2.576,1.677
40,371.885,4,2.677,4643.596,2.883,2.722
50,336.033,4,2.97,4657.685,2.809,1.732
60,264.201,4,3.772,4670.818,2.568,1.562
70,381.854,4,2.612,4685.151,2.962,0
80,349.089,4,2.854,4698.218,2.566,2.623
90,374.097,4,2.663,4711.77,5.124,3.001
100,286.115,4,3.49,4728.6,3.68,3.416
110,353.369,4,2.818,4742.591,2.798,1.862
120,365.163,4,2.724,4756.729,2.752,0
130,356.926,4,2.796,4771.661,3.174,0
140,332.38,4,3,4784.34,2.47,0
150,373.274,4,2.67,4797.897,3.027,1.357
160,357.59,4,2.785,4811.841,2.578,0
170,339.812,8,2.939,4832.879,2.901,0
180,357.884,8,2.778,4848.235,3.116,1.315
190,357.449,8,2.78,4861.297,2.739,0
200,354.962,8,2.804,4876.704,2.889,0
210,305.988,8,3.229,4890.33,2.494,2.344
220,426.257,8,2.338,4902.988,2.853,1.352
230,292.937,8,3.402,4915.928,2.438,1.57
240,345.006,8,2.895,4930.102,2.622,1.547
250,370.975,8,2.687,4431.028,2.897,0
260,436.053,8,2.286,4444.641,2.832,1.349
270,363.888,8,2.741,4458.011,3.054,1.619
280,306.786,8,3.22,4472.281,3.544,2.017
290,312.178,8,3.194,4486.68,2.786,2.942
300,329.989,8,3.019,4501.047,3.038,0
310,394.664,8,2.53,4515.021,2.939,3.278
320,346.356,8,2.877,4528.708,2.431,0
330,491.328,12,2.021,4553.727,2.333,2.908
340,453.865,12,2.192,4557.074,2.137,0
350,430.904,12,2.311,4560.28,2.224,1.36
360,415.679,12,2.406,4563.577,2.15,1.481
370,504.949,12,1.974,4566.902,2.39,0
380,440.451,12,2.254,4569.974,1.97,1.326
390,432.339,12,2.301,4573.586,2.757,1.832
400,325.998,12,3.057,4576.798,1.918,1.385
410,409.618,12,2.427,4580.613,2.188,2.205
420,404.58,12,2.468,4599.294,2.184,1.456
430,457.436,12,2.176,4840.18,2.36,0
440,363.385,12,2.744,4867.495,2.145,1.625
450,468.252,16,2.126,4896.006,2.11,1.441
460,443.636,16,2.248,4946.685,2.282,2.021
470,393.283,16,2.536,4978.615,2.88,1.38
480,299.832,16,3.326,5011.105,2.115,1.626
490,486.216,16,2.047,5033.804,2.197,1.433
500,476.735,16,2.085,5062.083,2.139,1.381
510,468.143,16,2.128,5089.047,2.195,1.379
520,518.672,16,1.915,5097.466,1.946,1.336
530,502.487,16,1.981,5105.839,2.012,1.34
540,513.584,16,1.938,5114.248,2.118,1.375
550,500.551,16,1.986,5122.629,1.993,0
560,440.102,16,2.262,5131,2.454,1.362
570,473.709,16,2.101,5139.381,1.984,1.336
580,517.277,16,1.923,5147.758,1.919,1.35
590,519.588,16,1.916,5156.123,1.957,1.352
600,507.151,16,1.966,5164.487,1.984,0
610,507.408,16,1.961,5172.856,1.97,1.396
620,520.671,16,1.912,5181.224,1.949,0
630,498.604,16,1.999,5189.622,1.944,1.466
640,508.388,16,1.958,5197.981,2.001,1.568
650,518.35,16,1.921,5206.35,2.045,1.511
660,514.589,16,1.934,5214.744,1.913,1.323
670,511.221,16,1.949,5223.107,1.97,1.335
680,500.2,20,1.992,5231.526,1.976,1.36
690,472.389,20,2.105,5240.271,2.26,0
700,401.994,20,2.482,5248.675,2.507,1.378
710,515.623,20,1.929,5257.041,1.955,1.364
720,515.092,20,1.932,5265.409,1.945,1.419
730,503.373,20,1.979,5273.783,2.005,1.575
740,510.517,20,1.949,5282.184,2.11,1.574
750,503.145,20,1.976,5290.557,1.957,1.372
760,512.111,20,1.943,5298.934,1.943,1.471
770,502.21,20,1.978,5307.306,1.998,1.335
780,508.828,20,1.958,5315.687,1.984,1.354
790,502.437,20,1.983,5324.057,2.024,1.351
800,496.475,20,2.005,5332.45,2.153,1.345
810,445.315,20,2.233,5340.81,2.302,1.604
820,461.34,20,2.156,5349.184,2.072,1.658
830,455.664,20,2.184,5357.551,1.94,1.351
840,453.515,20,2.194,5365.921,2.168,1.369
850,400.465,20,2.49,5374.289,2.037,1.313
860,501.178,20,1.986,5382.683,2.27,1.578
870,504.286,20,1.971,5391.076,1.946,1.597
880,498.355,20,1.995,5399.471,1.961,1.37
890,506.355,20,1.963,5407.852,1.955,1.368
900,514.086,20,1.936,5416.226,1.996,1.358
910,512.61,20,1.942,5424.592,2.004,1.356
920,491.232,24,2.026,5433.805,1.968,1.349
930,516.342,24,1.926,5442.175,2.944,0
940,508.673,24,1.956,5450.552,1.964,1.397
950,510.517,24,1.949,5458.936,1.968,1.518
960,511.718,24,1.945,5467.315,2.427,1.664
970,446.828,24,2.231,5475.683,2.281,1.683
980,465.376,24,2.14,5484.069,2.254,1.553
990,446.987,24,2.228,5492.458,2.106,1.629
1000,449.014,24,2.214,5500.842,1.925,1.413
1010,461.297,24,2.156,5509.227,2.066,1.377
1020,444.86,24,2.238,5517.613,2.128,1.43
1030,443.675,24,2.243,5526.094,2.061,1.435
1040,499.102,24,1.992,5534.486,1.951,0
1050,494.144,24,2.012,5542.881,1.953,1.392
1060,501.932,24,1.983,5551.266,2.098,1.429
1070,499.5,24,1.992,5559.639,1.99,1.427
1080,510.96,24,1.948,5568.025,1.962,1.649
1090,492.854,24,2.019,5576.411,2.113,1.682
1100,508.414,24,1.958,5584.789,1.958,1.589
1110,506.355,24,1.965,5593.208,1.923,1.392
1120,513.11,24,1.939,5601.594,1.947,1.397
1130,510.699,24,1.948,5609.971,2.128,1.42
1140,462.663,24,2.15,5618.356,1.942,1.41
1150,517.17,24,1.922,5626.728,1.962,0
1160,459.095,28,2.168,5635.588,1.948,1.426
1170,506.688,28,1.966,5644.006,2.689,0
1180,510.569,28,1.948,5652.391,1.929,1.389
1190,519.049,28,1.917,5660.782,1.966,1.388
1200,497.117,28,2.002,5669.179,2.102,1.425
1210,508.182,28,1.956,5677.575,2.009,1.399
1220,509.087,28,1.955,5685.946,1.938,1.398
1230,525.652,28,1.894,5694.342,1.94,1.427
1240,503.145,28,1.984,5702.721,1.998,1.511
1250,516.289,28,1.925,5711.103,1.939,1.672
1260,511.876,28,1.942,5719.488,1.985,1.722
1270,475.466,28,2.093,5727.877,1.916,1.417
1280,515.331,28,1.933,5736.253,1.976,1.48
1290,513.373,28,1.937,5744.655,1.974,1.365
1300,509.528,28,1.951,5753.049,1.975,1.37
1310,506.688,28,1.963,5761.434,2.018,1.394
1320,504.745,28,1.972,5769.819,1.943,0
1330,462.92,28,2.151,5778.209,1.978,1.414
1340,520.318,28,1.913,5786.598,1.954,1.395
1350,519.751,28,1.917,5795.009,1.922,1.555
1360,491.135,28,2.024,5803.441,1.964,1.618
1370,502.892,28,1.979,5811.831,1.981,1.729
1380,516.049,28,1.928,5820.232,1.952,1.497
1390,497.265,28,2.003,5828.643,2.248,1.564
1400,508.182,32,1.964,5837.543,2.132,1.682
1410,495.663,32,2.003,5846.677,1.999,0
1420,492.417,32,2.022,5855.085,1.932,1.601
1430,513.875,32,1.937,5863.457,2.136,1.615
1440,499.451,32,1.992,5871.865,2.012,1.378
1450,473.776,32,2.101,5880.251,1.954,1.375
1460,413.291,32,2.41,5888.633,1.979,1.424
1470,520.021,32,1.918,5897.014,2.258,1.687
1480,508.88,32,1.952,5905.396,2.23,1.602
1490,506.175,32,1.967,5913.783,2.216,1.399
1500,396.197,32,2.514,5922.169,2.256,1.407
1510,411.421,32,2.417,5930.547,2.256,1.449
1520,514.827,32,1.935,5938.954,1.975,1.435
1530,495.663,32,2.052,5947.372,1.954,1.379
1540,517.679,32,1.928,5955.807,1.929,1.498
1550,509.009,32,1.96,5964.236,1.993,1.599
1560,411.997,32,2.417,5972.626,2.241,1.554
1570,498.206,32,2.003,5981.026,1.975,1.397
1580,512.295,32,1.943,5989.43,1.973,1.43
1590,506.406,32,1.97,5997.824,1.972,1.691
1600,453.186,32,2.194,6006.242,2.44,0
1610,491.497,32,2.026,6014.652,1.956,1.421
1620,461.83,32,2.156,6023.05,1.961,1.387
1630,415.559,36,2.371,6031.596,2.41,1.412
1640,411.658,36,2.419,6040.004,2.591,1.424
1650,509.762,36,1.95,6048.409,1.988,1.394
1660,510.204,36,1.952,6056.842,2.124,1.407
1670,512.111,36,1.943,6065.272,1.934,0
1680,505.536,36,1.975,6073.679,2.004,1.404
1690,478.652,36,2.079,6082.096,2.034,1.421
1700,511.378,36,1.952,6090.497,1.946,1.401
1710,520.481,36,1.913,6098.931,1.915,1.388
1720,518.027,36,1.922,6107.339,2.38,1.408
1730,479.363,36,2.079,6115.737,1.926,1.409
1740,481.186,36,2.071,6124.146,1.973,1.407
1750,516.796,36,1.927,6132.574,2.011,1.653
1760,509.321,36,1.958,6140.966,2.103,1.663
1770,483.489,36,2.059,6149.399,1.969,1.637
1780,510.1,36,1.945,6157.817,1.997,1.422
1790,506.175,36,1.964,6166.243,1.938,1.405
1800,519.022,36,1.917,6174.657,1.908,0
1810,521.322,36,1.911,6183.075,1.911,1.432
1820,509.658,36,1.957,6191.489,1.961,1.417
1830,518.215,36,1.92,6199.88,2.216,1.557
1840,527.482,36,1.888,6208.289,1.898,1.607
1850,442.087,36,2.253,6216.704,2.306,1.6
1860,443.4,36,2.246,6225.101,1.951,1.602
1870,117.997,40,8.463,6233.753,2.108,1.4
1880,502.084,40,1.98,6244.453,2.256,1.757
1890,507.949,40,1.96,6252.855,3.293,0
1900,504.821,40,1.971,6261.293,1.953,1.433
1910,445.951,40,2.231,6269.691,1.944,1.415
1920,504.515,40,1.973,6278.081,1.919,1.394
1930,514.827,40,1.933,6286.483,1.985,1.402
1940,509.528,40,1.954,6294.893,1.972,1.407
1950,510.126,40,1.951,6303.303,2.263,1.41
1960,497.785,40,1.999,6311.725,1.921,1.379
1970,461.51,40,2.1,6320.128,1.911,1.421
1980,497.587,40,2,6328.527,1.956,1.405
1990,472.255,40,2.108,6336.938,2.277,1.452
