FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,157.669,0,6.334,4261.374,2.894,2.972
20,311.808,0,3.193,4615.289,3.07,0
30,356.57,0,2.79,4627.962,3.02,1.97
40,301.414,4,3.304,4699.35,3.33,0
50,324.992,4,3.07,4715.218,3.47,0
60,314.406,4,3.176,4730.37,3.143,2.898
70,327.74,4,3.042,4745.432,3.047,3.019
80,323.834,4,3.082,4760.846,3.212,2.796
90,323.74,4,3.08,4775.836,3.634,0
100,262.378,4,3.798,4792.036,3.002,2.815
110,324.865,4,3.071,4809.087,3.435,4.36
120,334.28,4,2.981,4823.897,3.459,3.698
130,319.173,4,3.123,4839.944,2.803,0
140,375.164,4,2.649,4853.57,2.754,2.247
150,379.997,4,2.622,4868.809,2.884,2.857
160,294.742,4,3.385,4883.599,3.292,3.275
170,296.621,8,3.365,4909.073,3.358,2.743
180,296.974,8,3.358,4924.818,3.447,2.307
190,348.117,8,2.864,4427.438,2.861,3.026
200,288.925,8,3.449,4446.93,4.444,0
210,303.887,8,3.28,4463.53,3.783,3.078
220,304.072,8,3.276,4479.523,2.969,1.469
230,291.316,8,3.422,4495.338,3.268,0
240,359.725,8,2.768,4510.883,3.784,0
250,338.112,8,2.945,4526.644,3.454,2.963
260,365.591,8,2.72,4542.14,3.909,0
270,396.92,8,2.51,4545.88,2.611,1.544
280,379.061,8,2.632,4549.887,2.823,1.586
290,390.701,8,2.549,4553.69,2.585,0
300,421.336,8,2.364,4557.899,3.113,2.196
310,304.358,12,3.27,4567.849,8.544,3.567
320,418.568,12,2.376,4571.587,2.686,0
330,5.501,12,181.753,4812.899,2.796,2.555
340,365.39,12,2.726,4854.96,2.479,1.423
350,402.091,12,2.48,4886.205,2.87,2.009
360,404.138,12,2.465,4915.949,2.672,0
370,355.986,12,2.801,4945.21,2.773,2.606
380,390.381,12,2.554,4976.588,2.438,2.177
390,444.603,12,2.24,4996.235,2.33,2.261
400,447.688,12,2.224,5005.111,2.242,2.121
410,458.947,12,2.172,5013.99,2.196,2.548
420,55.755,16,17.927,5026.009,2.252,1.961
430,433.294,16,2.297,5035.665,2.288,0
440,441.657,16,2.258,5044.573,2.272,1.737
450,442.497,16,2.248,5053.508,2.233,0
460,449.924,16,2.215,5062.41,2.272,1.437
470,442.733,16,2.251,5071.319,2.314,1.691
480,376.265,16,2.647,5080.247,2.25,1.457
490,439.715,16,2.266,5089.147,2.298,1.448
500,435.882,16,2.284,5098.066,2.565,1.596
510,445.613,16,2.235,5106.963,2.584,1.437
520,437.292,16,2.279,5115.904,2.254,1.446
530,445.395,16,2.237,5124.832,2.275,1.518
540,402.269,16,2.474,5133.77,2.321,0
550,444.089,16,2.244,5142.672,2.229,1.445
560,365.07,16,2.731,5151.58,2.234,1.618
570,450.288,16,2.213,5160.51,2.51,1.774
580,449.014,16,2.218,5169.406,2.269,1.706
590,446.289,16,2.232,5178.325,2.237,1.408
600,401.075,16,2.484,5187.247,2.365,1.432
610,452.694,16,2.199,5196.162,2.251,1.675
620,410.61,16,2.427,5205.083,2.209,1.411
630,346.813,20,2.874,5215.251,14.635,3.372
640,436.091,20,2.287,5224.136,2.302,1.735
650,430.515,20,2.314,5233.055,2.24,0
660,394.477,20,2.525,5241.97,2.309,2.216
670,358.847,20,2.779,5250.853,2.226,2.596
680,427.716,20,2.329,5259.749,2.571,2.354
690,432.863,20,2.302,5268.666,2.245,2.156
700,419.252,20,2.376,5277.59,2.261,2.171
710,399.074,20,2.496,5286.508,2.276,2.447
720,422.94,20,2.369,5295.37,2.27,1.957
730,382.687,20,2.604,5304.302,2.268,2.043
740,437.886,20,2.275,5313.204,2.276,1.701
750,436.053,20,2.283,5322.093,2.282,2.181
760,437.982,20,2.275,5331.005,2.396,2.445
770,433.294,20,2.298,5339.917,2.297,2.012
780,444.089,20,2.244,5348.85,2.31,2.153
790,430.552,20,2.315,5357.74,2.267,2.508
800,435.559,20,2.286,5366.648,2.321,0
810,434.688,20,2.291,5375.547,2.343,2.359
820,434.405,20,2.294,5384.457,2.292,2.005
830,102.279,24,9.802,5395.111,2.326,2.189
840,433.013,24,2.3,5404.022,2.322,0
850,434.613,24,2.291,5412.911,2.345,2.046
860,391.221,24,2.55,5421.752,2.508,2.203
870,430.496,24,2.315,5430.558,2.33,2.457
880,438.693,24,2.271,5439.409,2.336,2.123
890,424.556,24,2.348,5448.238,2.44,2.447
900,433.501,24,2.298,5457.069,2.356,1.974
910,421.994,24,2.362,5465.886,2.292,2.222
920,400.096,24,2.491,5474.716,2.277,2.144
930,432.432,24,2.303,5483.535,2.68,2.927
940,422.869,24,2.357,5492.407,2.297,2.134
950,439.232,24,2.268,5501.213,2.306,2.227
960,427.131,24,2.338,5510.029,2.315,2.488
970,429.535,24,2.32,5518.877,2.53,2.136
980,433.576,24,2.297,5527.723,2.374,2.472
990,425.026,24,2.345,5536.57,2.589,2.214
1000,433.915,24,2.296,5545.4,2.325,2.204
1010,432.957,24,2.301,5554.211,2.329,2.186
1020,392.634,24,2.538,5563.064,2.274,2.164
1030,415.921,28,2.396,5572.971,2.305,2.304
1040,432.077,28,2.307,5582.008,2.514,1.551
1050,428.467,28,2.325,5590.873,2.337,1.878
1060,428.651,28,2.331,5599.734,2.412,2.139
1070,402.722,28,2.473,5608.603,2.375,2.494
1080,373.315,28,2.668,5617.491,2.33,2.207
1090,433.294,28,2.3,5626.346,2.351,1.671
1100,431.593,28,2.31,5635.229,2.704,2.114
1110,425.586,28,2.339,5644.087,2.379,1.742
1120,425.586,28,2.342,5652.961,2.284,2.212
1130,424.304,28,2.349,5661.831,2.586,2.307
