FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,148.752,0,6.711,4247.335,2.408,3.339
20,340.797,0,2.922,4617.783,2.882,2.916
30,381.621,0,2.614,4630.59,2.583,2.136
40,307.135,4,3.254,4724.966,2.828,3.307
50,311.381,4,3.203,4741.086,3.35,2.389
60,307.626,4,3.238,4756.05,3.228,0
70,299.41,4,3.328,4772.122,3.109,1.638
80,301.932,4,3.302,4786.537,2.722,0
90,285.771,4,3.486,4801.566,3.096,1.449
100,280.426,4,3.555,4816.62,3.177,1.434
110,313.038,4,3.183,4832.328,3.282,3.265
120,329.794,4,3.023,4847.321,3.13,1.748
130,336.304,4,2.97,4862.367,2.741,1.625
140,357.334,4,2.792,4876.779,2.968,1.651
150,322.997,4,3.087,4891.265,3.21,2.3
160,335.447,8,2.97,4916.28,2.862,3.375
170,287.894,8,3.465,4932.419,3.519,3.059
180,279.158,8,3.576,4436.739,2.82,3.444
190,318.654,8,3.132,4451.528,2.94,2.544
200,282.598,8,3.532,4466.216,2.891,2.195
210,299.141,8,3.34,4481.104,3.265,1.76
220,318.35,8,3.128,4496.957,2.823,0
230,306.157,8,3.258,4512.292,3.124,2.446
240,300.824,8,3.314,4527.625,3.095,2.518
250,307.721,8,3.238,4543.819,3.394,2.783
260,351.482,8,2.836,4553.616,2.408,0
270,432.788,8,2.302,4556.963,2.188,2.257
280,399.537,8,2.497,4560.368,2.37,2.53
290,365.925,8,2.721,4564.218,2.297,2.412
300,430.626,8,2.319,4568.024,2.558,2.334
310,381.927,12,2.612,4574.607,2.522,0
320,384.275,12,2.596,4579.272,2.259,0
330,385.134,12,2.589,4591.536,2.161,1.66
340,402.463,12,2.474,4843.851,9.222,3.081
350,427.991,12,2.331,4874.319,2.426,1.442
360,439.348,12,2.268,4905.076,2.371,1.482
370,423.944,12,2.356,4936.143,2.438,1.672
380,419.234,12,2.38,4963.459,2.475,1.71
390,361.128,12,2.758,4994.544,2.386,1.539
400,427.881,12,2.329,5006.727,2.36,1.57
410,461.212,12,2.159,5015.454,2.405,1.39
420,454.607,12,2.192,5024.2,2.206,1.619
430,440.587,16,2.261,5036.206,15.877,3.517
440,393.918,16,2.531,5044.957,2.484,1.64
450,391.742,16,2.544,5053.751,2.251,1.906
460,451.855,16,2.205,5062.529,2.208,2.043
470,450.308,16,2.212,5071.291,2.272,2.139
480,408.13,16,2.442,5080.062,2.219,2.423
490,442.478,16,2.25,5088.826,2.208,1.96
500,458.547,16,2.172,5097.61,2.183,2.01
510,448.35,16,2.222,5106.347,2.587,2.19
520,445.534,16,2.238,5115.169,2.25,1.945
530,456.225,16,2.18,5123.932,2.215,2.052
540,447.648,16,2.226,5132.703,2.177,2.086
550,401.171,16,2.483,5141.484,2.171,2.364
560,447.547,16,2.226,5150.228,2.363,1.916
570,445.216,16,2.236,5158.997,2.279,2.084
580,444.208,16,2.243,5167.756,2.404,2.078
590,446.03,16,2.233,5176.549,2.239,2.362
600,445.712,16,2.239,5185.302,2.227,1.947
610,397.425,16,2.504,5194.073,2.256,2.126
620,370.851,16,2.684,5202.863,2.263,2.344
630,456.809,16,2.18,5211.624,2.754,2.403
640,165.492,20,6.032,5221.559,2.261,3.698
650,444.959,20,2.238,5230.27,2.279,2.019
660,455.042,20,2.19,5239.027,2.282,2.177
670,402.35,20,2.477,5247.754,2.564,2.279
680,450.877,20,2.21,5256.489,2.226,2.138
690,404.531,20,2.462,5265.243,2.247,2.147
700,457.31,20,2.178,5273.945,2.242,2.312
710,447.267,20,2.229,5282.674,2.212,2.052
720,442.929,20,2.248,5291.395,2.438,2.222
730,456.704,20,2.181,5300.131,2.236,2.375
740,448.129,20,2.223,5308.878,2.248,1.894
750,443.4,20,2.248,5317.617,2.392,2.224
760,408.914,20,2.435,5326.396,2.252,2.18
770,440.762,20,2.262,5335.102,2.21,2.444
780,428.082,20,2.327,5343.869,2.243,1.978
790,447.227,20,2.228,5352.594,2.487,2.483
800,451.61,20,2.206,5361.355,2.213,2.122
810,441.209,20,2.257,5370.091,2.239,0
820,449.6,20,2.214,5378.819,2.22,2.161
830,408.463,20,2.438,5387.592,2.329,2.412
840,457.687,20,2.181,5396.327,2.253,1.912
850,168.398,24,5.929,5406.43,2.204,2.188
860,442.85,24,2.249,5415.202,2.331,1.501
870,447.427,24,2.227,5423.969,2.528,1.435
880,448.33,24,2.224,5432.737,2.311,1.491
890,389.727,24,2.558,5441.516,2.742,1.441
900,453.083,24,2.199,5450.312,2.567,1.495
