FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,142.369,0,7.015,6071.961,3.106,3.242
20,321.058,0,3.104,6467.563,3.044,1.386
30,344.59,0,2.89,6481.64,2.775,1.197
40,327.118,4,3.049,6516.067,2.824,1.63
50,340.599,4,2.929,6531.031,2.826,1.298
60,324.486,4,3.076,6544.98,2.483,1.139
70,369.645,4,2.697,6557.928,2.516,1.19
80,307.56,4,3.241,6571.925,2.959,2.238
90,378.215,4,2.626,6585.379,3.198,1.529
100,405.285,4,2.458,6599.364,2.447,0
110,360.036,4,2.769,6613.395,2.789,2.803
120,372.37,4,2.677,6627.881,2.983,2.678
130,331.367,4,3.009,6642.402,3.058,2.952
140,301.905,4,3.303,6143.912,2.752,2.822
150,328.429,4,3.036,6157.269,2.72,0
160,355.505,4,2.805,6171.006,2.651,2.42
170,334.784,4,2.982,6185.152,2.904,2.23
180,358.141,4,2.78,6198.712,2.37,2.11
190,392.418,8,2.539,6217.338,2.986,1.922
200,352.647,8,2.83,6230.626,2.631,1.746
210,352.584,8,2.828,6244.926,3.23,1.662
220,295.736,8,3.374,6259.685,2.757,1.605
230,415.697,8,2.398,6264.067,2.405,0
240,484.543,8,2.053,6267.514,2.315,1.411
250,399.345,8,2.493,6270.904,2.078,1.475
260,320.431,8,3.09,6274.388,2.532,1.216
270,414.817,8,2.404,6278.406,3.497,1.844
280,464.965,8,2.141,6281.766,2.234,1.163
290,405.63,8,2.455,6285.362,2.535,1.243
300,409.97,8,2.429,6289.005,2.07,1.604
310,427.424,8,2.336,6312.568,2.322,2.785
320,352.584,12,2.824,6416.39,3.497,2.829
330,398.057,12,2.498,6347.93,2.416,1.536
340,482.044,12,2.065,6353.768,2.411,1.496
350,486.003,12,2.048,6353.676,2.224,1.457
360,452.591,12,2.199,6353.481,2.068,1.431
370,484.004,12,2.057,6353.339,2.033,1.169
380,483.98,12,2.055,6353.246,2.043,1.17
390,476.19,12,2.091,6353.027,2.07,1.17
400,490.124,12,2.03,6352.865,2.012,1.159
410,455.768,12,2.184,6352.745,2.051,1.149
420,462.065,12,2.155,6352.655,2.067,1.157
430,459.453,12,2.169,6352.495,2.092,1.164
440,436.777,12,2.282,6352.41,2.117,1.157
450,436.224,12,2.285,6352.328,2.033,1.163
460,441.872,12,2.254,6352.179,2.034,1.158
470,475.127,12,2.097,6352.041,2.233,1.163
480,458.779,12,2.17,6351.888,2.013,1.162
