FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,151.044,0,6.612,4262.602,2.986,3.455
20,243.849,0,4.086,4608.096,2.765,1.338
30,97.351,4,10.267,4261.817,2.919,1.625
40,164.047,4,6.079,4278.633,3.356,3.618
50,313.009,4,3.186,4299.166,3.9,3.126
60,345.209,4,2.89,4314.566,3.295,2.794
70,298.606,4,3.341,4330.143,3.475,3.272
80,418.69,8,2.387,4413.809,2.621,1.38
90,316.406,8,3.156,4417.696,2.671,1.502
100,409.735,8,2.43,4421.282,2.276,1.635
110,435.958,8,2.283,4424.744,3.014,1.399
120,408.73,8,2.435,4428.633,2.461,1.911
130,379.607,8,2.628,4446.791,2.798,1.436
140,355.543,12,2.801,4775.202,2.842,3.177
150,342.618,12,2.911,4802.843,2.487,2.768
160,383.936,12,2.595,4824.052,2.422,2.256
170,438.27,12,2.274,4832.698,2.308,2.041
180,426.058,12,2.339,4841.37,2.355,1.96
190,434.16,12,2.296,4850.035,2.388,2.584
200,428.412,12,2.326,4858.7,2.342,2.172
210,379.939,12,2.623,4867.379,2.447,2.205
220,426.003,12,2.341,4876.014,2.778,2.335
230,425.26,12,2.346,4884.668,2.546,1.824
240,366.946,16,2.717,4893.325,2.566,2.294
250,388.515,16,2.568,4923.03,2.55,1.414
260,425.134,16,2.344,4931.72,2.301,2.476
270,418.953,16,2.38,4940.416,2.678,2.219
280,423.101,16,2.356,4949.134,2.322,2.297
290,436.262,16,2.285,4957.833,2.305,2.003
300,432.975,16,2.302,4966.521,2.924,2.2
310,431.76,16,2.309,4975.213,2.849,2.29
320,433.069,16,2.301,4983.904,2.525,2.299
330,433.351,16,2.301,4992.622,2.359,2.106
340,429.701,16,2.319,5001.296,2.837,2.346
350,430.348,16,2.317,5009.999,3.002,2.317
360,421.763,16,2.363,5018.71,2.603,2.702
370,354.597,16,2.812,5027.404,2.328,2.244
380,409.4,20,2.435,5038.147,2.688,1.635
390,424.088,20,2.349,5046.952,2.36,2.363
400,408.38,20,2.441,5055.671,2.393,2.059
410,336.916,20,2.96,5064.354,2.899,2.596
420,386.967,20,2.573,5073.025,2.67,2.563
430,377.729,20,2.639,5081.714,2.366,2.21
440,425.967,20,2.338,5090.384,2.404,2.592
450,399.154,20,2.497,5099.1,2.431,2.042
460,347.307,20,2.871,5107.803,2.482,2.167
470,410.324,20,2.429,5116.494,2.339,2.577
480,423.765,20,2.352,5125.166,2.36,1.997
490,429.185,20,2.322,5133.833,2.504,2.337
500,418.725,20,2.381,5142.535,2.342,2.097
510,419.358,20,2.377,5151.201,2.851,2.229
520,423.531,20,2.353,5159.929,2.422,2.199
530,365.39,20,2.73,5168.616,2.671,2.338
540,398.486,20,2.502,5177.312,2.592,2.078
550,380.59,20,2.62,5185.989,2.392,2.142
560,385.594,24,2.587,5200.178,2.498,1.492
570,411.218,24,2.425,5208.883,2.724,2.628
580,386.16,24,2.579,5217.592,2.656,2.502
590,406.587,24,2.452,5226.32,2.634,2.522
