FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,130.416,0,7.661,4194.001,4.078,1.38
20,268.651,4,3.711,4570.716,2.614,1.721
30,280.458,4,3.554,4585.709,3.233,1.363
40,312.637,4,3.187,4850.532,37.743,3.241
50,260.885,4,3.823,4800.592,2.936,2.823
60,340.217,4,2.933,4815.248,3.189,1.672
70,329.815,4,3.02,4831.108,3.391,2.876
80,340.971,4,2.928,4846.233,3.576,2.488
90,270.717,4,3.69,4861.684,2.497,2.312
100,292.817,4,3.407,4878.071,3.605,1.67
110,256.911,8,3.885,4896.637,3.749,3.01
120,288.16,8,3.462,4914.539,3.654,2.737
130,309.32,8,3.225,4931.231,3.32,1.488
140,306.72,8,3.248,4948.99,3.723,2.112
150,275.763,8,3.622,4453.398,3.277,2.838
160,371.333,8,2.684,4467.229,3.276,1.198
170,301.386,8,3.307,4482.144,3.005,1.267
180,287.257,8,3.479,4497.439,2.926,1.582
190,210.984,8,4.732,4512.743,3.166,1.904
200,371.044,8,2.686,4527.877,3.012,1.286
210,329.696,8,3.026,4542.099,2.941,1.461
220,390.518,8,2.554,4555.666,2.629,1.173
230,380.619,8,2.618,4568.509,3.385,1.352
240,420.61,8,2.365,4572.247,2.684,1.384
250,409.534,8,2.427,4576.193,2.57,1.623
260,321.306,12,3.1,4580.474,4.898,2.221
270,410.728,12,2.429,4584.068,2.377,1.182
280,449.035,12,2.217,4587.733,3.574,2.311
290,466.941,12,2.132,4591.232,2.615,1.467
300,383.627,12,2.601,4594.913,2.481,1.676
310,381.607,12,2.615,4615.736,6.53,3.232
320,426.13,12,2.34,4875.015,2.37,2.864
330,395.444,12,2.521,4906.797,2.359,1.182
340,417.641,12,2.387,4932.819,2.157,1.754
350,467.771,12,2.13,4952.244,2.312,1.188
360,441.287,12,2.258,4960.774,2.326,1.35
370,484.238,12,2.057,4969.311,2.099,1.477
380,477.145,12,2.088,4977.854,2.112,1.302
390,455.705,16,2.186,4986.545,2.195,1.686
400,453.474,16,2.214,4995.09,2.215,1.187
410,448.451,16,2.222,5003.648,2.366,1.721
420,424.773,16,2.346,5012.197,2.574,1.309
430,392.912,16,2.537,5020.748,2.463,1.52
440,333.267,16,2.992,5029.342,2.587,1.361
450,423.137,16,2.355,5037.903,2.232,1.243
460,429.793,16,2.319,5046.458,2.436,1.636
470,474.969,16,2.097,5055.003,2.112,1.184
480,418.48,16,2.381,5063.556,2.303,1.187
490,408.864,16,2.437,5072.099,2.418,1.728
500,473.799,16,2.103,5080.653,2.108,1.185
510,480.215,16,2.074,5089.2,2.139,1.185
520,439.928,16,2.265,5097.795,2.268,1.184
530,477.852,16,2.085,5106.349,2.049,1.545
540,399.457,16,2.495,5114.893,2.426,1.228
550,440.354,16,2.262,5123.448,2.33,1.209
560,426.385,16,2.337,5132,2.315,1.229
570,445.772,16,2.234,5140.559,2.238,1.176
580,447.167,16,2.228,5149.119,2.421,2.103
590,384.32,16,2.594,5157.666,2.094,1.191
600,454.814,20,2.191,5166.365,2.578,1.709
