FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,165.082,0,6.046,4233.259,2.711,3.22
20,371.278,0,2.681,4573.442,3.599,0
30,348.323,4,2.862,4586.362,2.571,1.54
40,339.041,4,2.943,4612.194,2.62,1.171
50,405.154,4,2.457,4625.817,2.966,1.283
60,374.181,4,2.665,4639.468,3.971,1.981
70,287.455,4,3.467,4654.429,2.66,2.43
80,321.471,4,3.096,4668.887,2.931,1.223
90,317.491,4,3.141,4684.811,3.222,1.219
100,389.423,4,2.564,4697.317,2.636,1.165
110,369.59,4,2.696,4710.381,2.789,1.371
120,381.723,4,2.605,4722.831,2.555,2.684
130,361.729,4,2.764,4735.761,2.325,2.53
140,348.044,4,2.866,4749.399,2.471,2.048
150,377.316,4,2.646,4762.984,2.745,1.673
160,384.971,4,2.589,4775.929,2.779,1.196
170,364.737,4,2.732,4789.813,2.996,1.156
180,396.495,4,2.511,4804.247,2.975,1.185
190,289.704,4,3.443,4819.273,3.356,1.171
200,349.369,8,2.857,4835.607,2.779,1.273
210,354.032,8,2.814,4849.762,2.839,2.266
220,352.833,8,2.825,4864.864,2.64,3.203
230,369.099,8,2.7,4878.071,2.463,2.01
240,321.419,8,3.104,4892.476,3.009,2.803
250,320.359,8,3.112,4906.159,2.683,2.764
260,33.043,8,30.253,4408.753,2.941,3.132
270,343.1,8,2.906,4422.613,2.64,1.491
280,240.819,8,4.125,4438.4,4.976,0
290,358.359,8,2.782,4453.114,2.787,1.536
300,388.878,8,2.561,4466.877,2.686,1.432
310,372.135,8,2.679,4480.334,2.769,1.677
320,340.599,8,2.926,4493.715,3.155,1.825
330,347.15,8,2.873,4507.368,2.707,1.464
340,349.663,8,2.845,4521.97,3.366,2.288
350,455.373,8,2.191,4534.375,2.87,2.971
360,489.261,12,2.03,4538.328,2.21,1.485
370,439.425,12,2.267,4542.048,2.415,1.457
380,446.688,12,2.227,4545.41,2.416,1.248
390,392.034,12,2.544,4548.952,2.338,1.164
400,366.421,12,2.722,4552.398,2.334,1.375
410,484.872,12,2.048,4555.722,2.085,1.398
