FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,139.935,0,7.134,4008.043,3.097,3.201
20,377.003,0,2.643,4412.914,2.929,1.2
30,257.865,4,3.865,4198.09,2.78,2.842
40,276.319,4,3.611,4213.116,3.238,1.272
50,318.878,4,3.133,4229.359,3.289,2.224
60,325.298,4,3.066,4245.381,3.297,2.093
70,347.596,4,2.872,4259.269,3.162,1.359
80,330.589,4,3.014,4273.786,3.418,1.561
90,302.27,4,3.296,4288.838,2.886,0
100,305.614,4,3.268,4305.207,2.858,3.063
110,351.383,4,2.832,4320.084,3.172,1.748
120,327.633,4,3.041,4336.972,4.104,0
130,267.387,4,3.732,4352.821,2.712,2.802
140,301.987,4,3.298,4367.291,2.73,1.901
150,268.738,4,3.712,4382.884,2.913,2.123
160,320.359,4,3.116,4399.366,3.186,2.185
170,275.02,8,3.63,4419.912,3.498,1.989
180,325.637,8,3.059,4436.762,3.641,2.841
190,295.159,8,3.376,4452.106,3.224,3.03
200,322.31,8,3.09,4467.692,3.065,1.271
210,348.105,8,2.863,4483.25,3.401,0
220,370.041,8,2.693,4497.934,3.412,2.245
230,291.647,8,3.418,4512.881,3.049,3.233
240,290.63,8,3.433,4529.775,3.156,1.688
250,266.425,8,3.742,4547.506,2.804,2.559
260,307.673,8,3.238,4563.539,3.108,2.93
270,355.303,8,2.805,4578.743,3.37,2.654
280,318.766,8,3.131,4594.111,3.423,1.939
290,285.755,8,3.492,4609.509,3.383,1.344
300,306.899,8,3.251,4625.279,2.9,1.42
310,336.304,8,2.965,4640.82,3.416,3.206
320,286.582,12,3.481,4659.444,3.353,2.979
330,266.503,12,3.742,4675.011,3.126,1.319
340,294.881,12,3.38,4691.344,3.349,1.85
350,293.962,12,3.39,4707.486,3.067,2.108
360,319.468,12,3.124,4723.245,3.688,1.694
370,306.918,12,3.248,4738.63,3.43,1.37
380,305.427,12,3.266,4753.691,2.812,2.478
390,321.306,12,3.105,4769.472,3.056,1.461
400,332.712,12,2.995,4785.324,3.126,1.46
410,303.804,12,3.284,4801.898,3.352,3.232
420,347.186,12,2.876,4817.285,2.998,1.648
430,354.032,12,2.814,4831.956,2.948,1.523
440,328.677,12,3.029,4847.346,2.875,1.398
450,332.005,12,3.001,4862.775,3.234,1.98
460,304.553,12,3.272,4878.319,3.607,2.573
470,313.46,16,3.181,4895.906,3.324,1.68
480,306.523,16,3.256,4910.994,3.169,1.753
490,32.691,16,30.582,4413.417,4.064,3.232
500,327.568,16,3.045,4429.278,3.599,1.375
510,295.316,16,3.38,4445.268,3.475,2.962
520,264.697,16,3.766,4462.415,3.808,1.715
530,294.005,16,3.393,4478.406,3.649,3.191
