FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,143.281,0,6.973,4243.882,2.419,3.468
20,361.311,0,2.761,4588.023,2.657,1.418
30,27.086,4,36.908,4622.705,3.567,2.087
40,342.571,4,2.909,4639.21,2.947,1.374
50,334.292,4,2.98,4654.027,2.75,1.352
60,390.412,4,2.55,4667.127,3.088,1.355
70,383.494,4,2.6,4680.289,2.504,1.767
80,388.939,4,2.559,4693.565,2.83,0
90,400.256,4,2.492,4706.384,3.168,1.369
100,322.737,4,3.089,4718.723,2.586,2.192
110,280.073,4,3.556,4732.396,2.846,2.18
120,315,4,3.168,4746.982,2.778,1.381
130,349.981,4,2.845,4759.955,2.442,1.387
140,306.41,4,3.252,4773.625,2.595,2.425
150,375.15,4,2.656,4789.674,3.315,3
160,385.564,4,2.575,4802.396,2.779,0
170,330.896,4,3.012,4816.047,2.71,2.949
180,363.346,4,2.745,4830.023,2.757,2.788
190,309.77,8,3.222,4843.967,2.308,1.68
200,413.172,8,2.413,4866.253,3.076,2.148
210,367.067,8,2.712,4879.485,2.792,2.053
220,359.881,8,2.768,4893.719,2.907,0
230,288.326,8,3.491,4907.751,2.817,1.641
240,336.01,8,2.972,4921.179,2.315,1.425
250,358.77,8,2.78,4935.007,3.07,1.814
260,295.858,8,3.374,4437.211,3.319,3.135
270,303.168,8,3.286,4453.321,3.8,1.67
280,344.234,8,2.894,4466.913,3.054,1.339
290,353.082,8,2.825,4479.952,3.745,1.353
300,332.901,8,2.992,4492.271,2.61,0
310,375.023,8,2.66,4506.073,3.169,2.618
320,339.213,8,2.937,4520.628,3.435,3.241
330,336.338,8,2.96,4534.11,2.749,2.831
340,376.166,8,2.646,4547.605,2.815,3.124
350,486.145,12,2.042,4558.128,2.749,1.337
360,391.343,12,2.504,4561.768,2.742,1.401
370,441.209,12,2.261,4565.055,2.271,0
380,433.802,12,2.297,4568.355,2.323,1.339
390,453.638,12,2.195,4571.504,1.985,1.35
400,479.226,12,2.077,4574.669,2.251,1.492
410,438.462,12,2.271,4577.765,2.088,1.37
420,518.914,12,1.915,4581.201,2.393,0
430,495.638,12,2.008,4585.493,2.483,1.36
440,126.855,12,7.888,4850.435,2.464,1.724
450,439.773,12,2.266,4879.194,2.278,1.378
460,390.564,12,2.553,4908.463,2.184,1.488
470,440.218,12,2.26,4938.848,2.67,0
480,446.03,12,2.233,4968.319,2.24,1.376
490,467.99,16,2.121,5013.736,2.492,2.515
500,277.446,16,3.583,5039.983,4.097,1.917
510,448.491,16,2.223,5070.723,2.264,1.623
520,497.463,16,2.001,5085.798,2.269,1.347
530,508.699,16,1.956,5094.326,2.144,1.351
540,461.766,16,2.159,5102.852,2.247,1.359
550,493.048,16,2.019,5111.394,2.332,1.375
560,501.128,16,1.987,5119.93,1.982,1.355
570,452.264,16,2.207,5128.458,1.992,1.398
580,460.851,16,2.16,5137,1.99,1.362
590,491.521,16,2.027,5145.541,1.929,1.383
600,414.645,16,2.401,5154.08,2.016,1.563
610,504.21,16,1.976,5162.626,1.997,1.362
620,501.882,16,1.983,5171.189,2.004,1.482
630,491.763,16,2.023,5179.732,1.989,1.608
640,494.144,16,2.013,5188.278,2.181,1.66
650,488.186,16,2.038,5196.844,1.99,1.649
660,453.926,16,2.195,5205.4,2.01,1.614
670,484.191,16,2.056,5213.948,2.003,1.687
680,449.64,16,2.216,5222.488,1.989,1.599
690,488.091,16,2.04,5231.039,2.069,1.71
700,463.049,16,2.152,5239.578,2.032,1.592
710,102.438,20,9.754,5248.438,1.989,1.468
720,499.925,20,1.993,5257.111,4.36,0
730,453.453,20,2.196,5265.657,2.006,1.346
740,485.861,20,2.05,5274.211,1.981,1.366
750,454.731,20,2.191,5282.757,2.018,1.375
760,491.884,20,2.024,5291.295,1.962,1.478
770,442.184,20,2.253,5299.845,1.987,1.603
780,498.48,20,1.998,5308.418,2.288,1.334
790,479.639,20,2.074,5316.979,2.34,1.396
800,440.8,20,2.257,5325.541,1.989,1.361
810,494.022,20,2.021,5334.1,2.047,1.377
820,491.787,20,2.023,5342.666,2.03,1.364
830,496.229,20,2.008,5351.221,2.146,1.468
840,450.938,20,2.212,5359.787,2.319,1.348
850,440.315,20,2.263,5368.349,2.159,1.364
860,422.547,20,2.358,5376.902,1.971,1.602
870,502.386,20,1.981,5385.475,2.042,1.646
880,499.176,20,1.995,5394.04,2.041,1.639
890,503.804,20,1.976,5402.625,1.977,1.645
900,493.413,20,2.015,5411.179,2.032,1.495
910,461.318,20,2.158,5419.745,2.05,1.342
920,455.602,20,2.229,5428.301,2.145,1.341
930,481.812,20,2.066,5436.867,2.142,1.649
940,486.239,20,2.048,5445.433,2.02,1.576
950,492.465,24,2.022,5454.503,1.974,3.232
960,483.255,24,2.06,5463.066,2.436,1.344
970,473.149,24,2.104,5471.628,2.033,1.609
980,495.491,24,2.008,5480.193,2.055,1.69
990,494.756,24,2.012,5488.773,2.062,1.666
1000,499.027,24,1.994,5497.331,1.998,1.631
1010,486.689,24,2.044,5505.912,1.976,1.618
1020,490.653,24,2.028,5514.484,2.358,1.595
1030,499.351,24,2,5523.128,2.357,1.685
