FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,139.983,0,7.134,4272.552,3.316,3.086
20,378.186,0,2.634,4627.829,2.809,3.099
30,146.222,4,6.835,4658.289,2.881,1.945
40,330.568,4,3.014,4671.626,3.05,1.334
50,315.726,4,3.158,4685.843,3.341,1.74
60,338.444,4,2.945,4702.052,2.698,2.534
70,305.465,4,3.274,4716.369,2.694,2.035
80,387.417,4,2.573,4728.918,2.468,0
90,407.731,4,2.446,4742.317,2.945,2.423
100,356.379,4,2.799,4755.049,2.888,1.493
110,370.233,4,2.691,4768.798,3.264,0
120,340.449,4,2.928,4782.493,3.027,2.44
130,345.089,4,2.891,4796.614,3.064,3.094
140,312.96,4,3.189,4810.884,3.085,2.159
150,348.359,4,2.862,4826.141,3.071,1.751
160,308.176,4,3.239,4840.436,2.873,1.544
170,397.646,4,2.505,4853.464,2.933,1.602
180,410.965,4,2.423,4866.963,2.581,2.381
190,318.979,8,3.129,4885.703,3.148,2.385
200,356.163,8,2.8,4899.214,2.667,1.336
210,331.653,8,3.012,4913.912,3.354,2.839
220,301.159,8,3.309,4927.758,2.559,1.913
230,326.275,8,3.058,4941.87,3.004,2.471
240,337.075,8,2.958,4443.752,3.175,3.477
250,391.145,8,2.545,4456.762,2.575,1.612
260,389.347,8,2.563,4470.666,2.601,1.92
270,347.996,8,2.863,4483.356,2.47,1.334
280,301.759,8,3.309,4497.878,2.993,1.857
290,347.584,8,2.864,4511.936,3.279,2.108
300,336.349,8,2.969,4526.551,2.785,2.127
310,329.424,8,3.028,4540.224,3.045,1.826
320,285.731,8,3.489,4554.371,3.064,2.079
330,441.989,8,2.251,4563.073,2.484,1.777
340,411.167,8,2.427,4566.647,2.533,1.685
350,482.532,8,2.067,4570.278,2.663,1.562
360,482.439,12,2.069,4575.589,2.467,0
370,447.227,12,2.236,4579.033,2.504,1.359
380,425.949,12,2.329,4582.254,2.136,1.356
390,417.293,12,2.388,4585.582,2.255,1.363
400,406.157,12,2.455,4589.856,4.078,2.03
410,373.343,12,2.673,4609.689,3.059,1.367
420,386.698,12,2.569,4883.169,2.299,3.423
430,403.845,12,2.425,4912.745,2.463,1.335
440,444.721,12,2.239,4943.251,2.233,1.343
450,441.228,12,2.256,4972.847,2.624,1.421
460,401.494,12,2.485,4998.345,2.292,1.349
470,435.123,12,2.29,5027.604,2.231,1.378
480,486.003,16,2.049,5057.644,2.433,3.176
490,500.425,16,1.991,5066.23,2.062,1.391
500,495.688,16,2.009,5074.811,2.024,1.349
510,489.452,16,2.033,5083.398,2.04,1.367
520,475.082,16,2.095,5092.026,2.054,1.371
530,455.789,16,2.182,5100.607,2.032,1.319
540,441.833,16,2.253,5109.194,2.491,1.372
550,484.332,16,2.056,5117.792,1.979,1.341
560,486.145,16,2.048,5126.363,2.29,1.351
570,476.1,16,2.092,5134.943,2.015,1.35
580,502.513,16,1.981,5143.525,2.026,1.351
590,487.662,16,2.041,5152.106,2.183,1.338
600,488.043,16,2.039,5160.69,2.049,1.351
610,483.208,16,2.06,5169.271,2.068,1.357
620,500.551,16,1.988,5177.852,2.223,1.353
630,487.163,16,2.042,5186.428,2.25,1.333
640,493.778,16,2.021,5195.014,2.071,1.348
650,499.95,16,1.991,5203.599,2.035,1.348
660,494.218,16,2.014,5212.207,2.313,1.435
670,492.271,16,2.021,5220.793,2.105,1.352
680,499.251,16,1.999,5229.378,2.184,1.734
690,485.201,16,2.052,5237.964,2.215,1.594
700,453.515,16,2.195,5246.551,2.011,1.586
710,454.69,20,2.185,5255.138,2.032,1.514
720,486.05,20,2.048,5263.924,2.082,1.542
730,475.534,20,2.094,5272.508,2.045,1.353
740,485.272,20,2.051,5281.096,2.084,1.358
750,472.121,20,2.109,5289.677,2.346,1.36
760,498.654,20,1.996,5298.277,2.028,1.376
770,506.894,20,1.969,5306.862,2.238,1.621
780,490.028,20,2.031,5315.445,2.241,1.347
790,498.927,20,1.994,5324.033,2.029,1.522
800,485.531,20,2.051,5332.62,2.025,1.472
810,484.52,20,2.054,5341.205,2.119,1.767
820,453.391,20,2.196,5349.792,2.039,1.645
830,450.653,20,2.209,5358.373,2.258,1.363
840,478.858,20,2.079,5366.962,2.029,1.371
850,481.024,20,2.07,5375.555,2.07,1.361
860,447.347,20,2.227,5384.146,2.08,1.345
870,420.858,20,2.366,5392.745,1.979,1.336
880,495.295,20,2.009,5401.348,2.088,1.348
890,488.95,20,2.034,5409.953,2.017,0
900,430.533,20,2.311,5418.555,2.459,1.346
