FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,168.478,0,5.923,4236.386,2.709,2.976
20,362.687,0,2.748,4588.363,3.461,2.157
30,117.941,4,8.473,4624.114,2.91,2.624
40,351.89,4,2.836,4638.466,3.306,1.422
50,353.22,4,2.824,4652.568,2.696,1.385
60,314.1,4,3.179,4666.621,3.021,1.339
70,338.891,4,2.94,4679.802,2.732,1.902
80,382.98,4,2.597,4693.904,3.163,1.817
90,360.881,4,2.762,4708.753,2.791,2.141
100,417.084,4,2.393,4722.073,3.145,1.681
110,340.716,4,2.927,4735.912,3.096,1.561
120,394.462,4,2.523,4749.249,3.018,1.526
130,407.282,4,2.446,4762.738,3.421,0
140,361.167,4,2.761,4777.179,3.25,1.773
150,361.899,4,2.752,4789.658,2.962,0
160,270.526,4,3.683,4803.916,2.446,1.996
170,344.709,4,2.897,4817.926,2.792,1.593
180,377.872,4,2.64,4832.447,2.816,0
190,397.535,8,2.509,4855.034,2.392,1.48
200,331.686,8,3.009,4868.5,3.244,1.609
210,351.321,8,2.836,4882.028,2.641,0
220,390.335,8,2.549,4894.85,2.951,1.794
230,346.957,8,2.869,4908.401,2.903,1.453
240,391.252,8,2.543,4409.92,2.776,1.862
250,353.182,8,2.82,4423.001,2.899,1.647
260,378.201,8,2.636,4437.058,3.03,1.345
270,329.565,8,3.025,4450.286,2.827,1.679
280,346.512,8,2.869,4464.176,2.963,1.484
290,373.874,8,2.663,4477.252,2.616,1.626
300,320.842,8,3.109,4489.907,2.54,1.565
310,397.836,8,2.507,4502.979,2.965,1.937
320,353.02,8,2.829,4516.421,2.832,1.778
330,350.103,8,2.853,4529.208,2.646,1.373
340,420.716,8,2.368,4535.01,2.328,1.568
350,459.095,8,2.167,4538.15,2.076,1.34
360,445.534,12,2.239,4550.43,2.312,3.317
370,473.395,12,2.097,4553.676,2.006,1.586
380,442.341,12,2.28,4557.302,2.353,1.354
390,470.655,12,2.115,4560.459,2.415,0
400,441.034,12,2.253,4566.327,1.95,1.366
410,366.999,12,2.715,4823.612,2.553,1.908
420,380.851,12,2.618,4853.415,2.503,1.384
430,470.102,12,2.118,4880.963,2.179,1.371
440,418.008,12,2.381,4911.58,2.4,1.526
450,455.456,12,2.188,4942.318,2.475,1.682
460,353.757,12,2.819,4971.573,2.492,1.375
470,443.223,12,2.249,4999.607,2.137,1.481
480,504.668,16,1.973,5036.311,2.132,0
490,499.625,16,1.992,5044.921,2.243,1.589
500,503.804,16,1.977,5053.532,2.222,1.377
510,449.519,16,2.221,5062.145,2.232,1.354
520,516.716,16,1.924,5070.811,2.022,1.629
530,434.386,16,2.293,5079.422,1.972,1.606
