FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,137.906,0,7.242,4228.758,3.02,3.35
20,400.737,0,2.487,4568.866,2.853,2.947
30,333.156,4,2.985,4582.005,2.972,1.46
40,335.098,4,2.98,4610.782,2.87,0
50,328.073,4,3.041,4625.342,3.276,2.041
60,365.885,4,2.724,4640.533,3.117,2.89
70,320.441,4,3.111,4654.367,3.351,1.437
80,323.866,4,3.075,4668.484,2.929,1.636
90,370.028,4,2.693,4681.565,2.672,1.344
100,370.645,4,2.684,4695.216,2.98,0
110,324.149,4,3.073,4708,2.421,2.194
120,383.347,4,2.6,4720.812,2.356,1.785
130,348.238,4,2.861,4733.871,2.711,0
140,304.655,4,3.272,4747.247,2.883,0
150,389.575,4,2.559,4759.846,2.545,1.755
160,409.87,4,2.428,4772.38,2.408,0
170,302.608,4,3.294,4785.712,2.84,1.921
180,350.619,4,2.841,4799.162,2.635,1.85
190,354.233,4,2.819,4812.868,2.708,1.512
200,350.643,8,2.845,4831.873,2.824,0
210,354.761,8,2.813,4845.455,2.798,1.34
220,332.602,8,2.995,4858.98,3.256,1.465
230,305.083,8,3.27,4872.453,3.008,2.132
240,407.365,8,2.448,4885.357,2.403,1.581
250,384.63,8,2.59,4897.768,2.699,1.463
260,338.995,8,2.943,4909.914,2.376,1.569
270,369.59,8,2.695,4411.008,2.913,0
280,436.433,8,2.283,4423.914,3.02,1.814
290,309.626,8,3.222,4438.076,3.169,0
300,409.937,8,2.433,4452.065,2.742,1.405
310,373.469,8,2.668,4465.379,2.421,1.395
320,344.59,8,2.902,4479.865,3.438,1.429
330,373.958,8,2.664,4492.443,2.312,1.352
340,396.118,8,2.515,4505,2.62,2.289
350,362.056,8,2.756,4520.292,3.174,2.594
360,497.983,8,1.999,4531.849,2.665,1.369
370,426.148,12,2.334,4536.567,2.362,0
380,436.281,12,2.283,4540.217,2.552,1.365
390,431.909,12,2.301,4543.524,2.049,1.372
400,427.515,12,2.33,4546.998,2.607,1.648
410,503.119,12,1.978,4550.133,2,0
420,384.971,12,2.594,4553.902,2.92,1.454
430,408.614,12,2.442,4557.217,2.146,1.382
440,454.422,12,2.194,4560.806,2.32,1.354
450,5.517,12,181.22,4821.262,2.347,1.76
460,418.165,12,2.382,4857.266,2.606,1.352
470,409.383,12,2.433,4886.869,2.38,1.328
480,283.801,12,3.51,4916.039,3.906,1.715
490,462.942,16,2.153,4946.145,2.253,1.342
500,363.517,16,2.739,4986.476,2.306,1.757
510,457.415,16,2.183,5012.384,2.352,1.569
520,465.181,16,2.141,5040.685,2.382,1.595
530,409.819,16,2.434,5070.185,2.09,1.352
540,456.267,16,2.184,5083.054,1.974,1.352
550,436.338,16,2.282,5091.673,1.973,1.36
