FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,139.26,0,7.172,4253.932,2.554,3.431
20,378.201,0,2.636,4591.825,2.631,1.643
30,7.47,4,133.814,4687.145,3.215,1.637
40,299.079,4,3.338,4711.637,2.575,1.368
50,369.113,4,2.699,4724.036,2.456,1.494
60,354.736,4,2.812,4739.347,3.921,3.171
70,328.623,4,3.037,4753.52,3.308,2.533
80,321.079,4,3.108,4767.705,2.708,1.394
90,360.802,4,2.762,4781.664,2.998,1.435
100,391.252,4,2.547,4795.604,3.051,2.152
110,397.046,4,2.508,4809.531,2.737,1.968
120,338.352,4,2.91,4823.762,2.948,2.027
130,373.357,4,2.666,4838.75,3.166,3.057
140,350.865,4,2.843,4852.792,2.862,3.04
150,200.012,8,4.994,4877.134,3.306,3.1
160,240.338,8,4.154,4893.146,3.509,1.335
170,351.519,8,2.838,4907.661,3.302,1.362
180,324.128,8,3.073,4921.973,2.946,1.341
190,321.792,8,3.102,4936.159,2.714,1.682
200,370.357,8,2.691,4438.192,3.459,2.396
210,321.833,8,3.094,4452.258,2.87,1.717
220,256.062,8,3.894,4466.423,3.007,2.433
230,410.105,8,2.427,4480.192,3.294,0
240,329.131,8,3.027,4494.544,3.08,2.982
250,343.077,8,2.909,4507.785,2.861,2.299
260,318.056,8,3.136,4521.687,3.047,2.103
270,371.099,8,2.686,4536.062,3.424,3.055
280,376.081,8,2.651,4549.431,2.633,1.77
290,445.494,8,2.234,4555.034,2.325,1.647
300,476.485,8,2.087,4558.766,2.49,1.374
310,396.385,12,2.515,4564.901,15.916,3.525
320,417.136,12,2.389,4568.824,2.628,1.401
330,437.369,12,2.28,4572.502,2.431,1.375
340,391.803,12,2.543,4576.416,2.612,1.893
350,447.367,12,2.23,4579.926,2.603,1.348
360,378,12,2.641,4600.436,4.462,3.198
370,410.071,12,2.431,4843.429,3.463,3.477
380,429.96,12,2.314,4877.24,2.959,1.559
390,431.965,12,2.309,4907.423,2.447,1.363
400,404.187,12,2.475,4939.508,2.43,1.392
410,394.851,12,2.52,4970.139,2.65,1.461
420,404.826,16,2.459,5001.714,2.673,2.153
430,433.727,16,2.295,5032.658,2.235,0
440,439.425,16,2.267,5041.364,2.254,1.491
450,438.443,16,2.273,5050.083,2.758,1.358
460,442.243,16,2.253,5058.747,2.248,1.512
470,346.44,16,2.837,5067.43,2.503,1.376
480,459.369,16,2.169,5076.171,2.943,1.755
490,469.263,16,2.123,5084.873,2.097,1.647
500,426.53,16,2.334,5093.561,2.28,1.525
510,461.106,16,2.161,5102.26,2.677,1.37
520,464.274,16,2.146,5110.998,2.154,1.336
530,433.839,16,2.297,5119.701,2.15,1.501
540,475.76,16,2.098,5128.387,2.452,1.382
550,392.188,16,2.543,5137.093,2.163,1.363
560,476.531,16,2.091,5145.795,2.143,1.346
570,401.155,16,2.484,5154.479,2.438,1.38
580,463.908,16,2.147,5163.178,2.523,1.438
590,350.853,16,2.841,5171.869,2.467,1.669
600,472.634,16,2.108,5180.56,2.164,1.429
610,472.077,16,2.11,5189.267,2.118,1.372
620,375.164,16,2.657,5197.979,2.129,1.501
630,97.7,20,10.228,5207.01,2.601,1.345
640,439.464,20,2.268,5215.681,2.243,0
650,453.762,20,2.196,5224.392,2.248,1.382
660,432.133,20,2.305,5233.084,2.273,1.391
670,288.409,20,3.458,5241.826,2.35,1.654
680,466.418,20,2.136,5250.53,2.138,1.373
690,442.145,20,2.253,5259.233,2.099,1.379
700,470.854,20,2.115,5267.924,2.41,1.701
710,377.601,20,2.637,5276.623,2.448,1.399
720,466.027,20,2.138,5285.302,2.204,1.402
730,469.859,20,2.12,5294.009,2.312,1.495
740,459.622,20,2.167,5302.703,2.644,1.379
750,475.421,20,2.095,5311.393,2.616,1.406
760,471.387,20,2.114,5320.096,2.134,1.381
770,403.894,20,2.468,5328.791,2.414,1.649
780,409.92,20,2.431,5337.486,2.155,1.437
790,466.941,20,2.133,5346.173,2.142,1.482
