FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,57.667,0,17.331,4245.289,2.903,3.081
20,359.881,0,2.775,4591.835,2.9,0
30,64.448,4,15.511,4668.507,2.862,1.749
40,384.601,4,2.59,4682.065,2.834,1.426
50,391.16,4,2.547,4694.768,2.886,1.53
60,356.354,4,2.795,4708.56,2.76,1.993
70,250.991,4,3.94,4722.267,2.588,1.74
80,313.716,4,3.211,4737.86,3.234,1.846
90,277.616,4,3.595,4754.159,3.295,2.145
100,318.796,4,3.128,4769.259,3.488,1.878
110,396.448,4,2.549,4784.616,2.592,2.354
120,329.348,4,3.024,4797.99,2.731,1.401
130,388.666,4,2.563,4812.657,2.937,1.329
140,391.665,4,2.546,4825.945,2.702,1.35
150,350.68,4,2.845,4839.084,2.533,1.467
160,360.607,4,2.769,4851.897,2.687,2.767
170,384.867,8,2.592,4884.626,2.958,3.442
180,385.327,8,2.582,4897.79,2.432,1.424
190,306.401,8,3.252,4912.058,3.483,3.445
200,367.904,8,2.704,4925.965,3.102,2.877
210,302.261,8,3.296,4428.922,3.108,3.47
220,378.544,8,2.626,4441.633,2.967,1.349
230,340.808,8,2.923,4456.151,2.774,1.431
240,388.184,8,2.57,4470.269,2.938,1.84
250,342.126,8,2.919,4483.658,3.361,3.491
260,370.727,8,2.688,4497.62,2.549,1.601
270,355.252,8,2.802,4510.425,3.124,1.422
280,319.806,8,3.111,4523.824,2.622,0
290,386.982,8,2.576,4536.288,2.613,2.142
300,470.743,8,2.117,4547.508,2.703,1.504
310,468.626,8,2.122,4550.764,2.192,1.337
320,67.036,12,14.905,4556.985,2.214,1.429
330,411.404,12,2.422,4562.204,2.177,0
340,393.082,12,2.535,4565.56,2.309,1.347
350,480.977,12,2.068,4568.699,2.005,1.696
360,381.301,12,2.612,4571.919,2.359,1.376
370,438.924,12,2.268,4575.062,2.042,0
380,321.275,12,3.098,4593.905,2.716,1.333
390,391.129,12,2.549,4831.709,3.034,3.529
400,358.474,12,2.784,4861.682,2.412,1.334
410,441.462,12,2.254,4891.108,2.175,1.357
420,365.297,12,2.729,4920.707,2.253,1.705
430,440.684,12,2.259,4951.269,2.412,1.357
440,452.489,12,2.199,4975.321,2.201,1.357
450,410.256,16,2.426,5031.831,8.347,3.51
460,479.294,16,2.076,5041.857,2.35,1.523
470,483.933,16,2.058,5050.334,2.004,1.375
480,496.894,16,2.003,5058.817,2.021,1.472
490,451.794,16,2.205,5067.292,2.064,1.666
500,444.899,16,2.235,5075.782,2.031,1.572
510,450.065,16,2.213,5084.267,2.018,1.725
520,490.076,16,2.032,5092.788,2.144,1.684
530,495.712,16,2.008,5101.264,2.143,1.593
540,507.382,16,1.964,5109.719,2.468,1.669
550,384.571,16,2.531,5118.207,2.054,1.672
560,382.76,16,2.595,5126.673,2.039,1.378
570,447.487,16,2.225,5135.157,2.332,1.382
580,500.45,16,1.987,5143.616,2.279,0
590,395.523,16,2.519,5152.101,2.037,1.344
600,497.562,16,1.999,5160.581,2.054,0
610,487.972,16,2.037,5169.056,2.114,1.345
620,421.621,16,2.364,5177.548,2.171,1.361
630,493.51,16,2.016,5186.027,2.188,1.349
640,502.689,16,1.98,5194.502,1.984,1.336
650,496.697,16,2.01,5202.98,2.226,1.353
660,489.093,16,2.035,5211.464,2.078,1.346
670,510.856,20,1.953,5219.948,2.119,1.337
680,491.739,20,2.022,5229.238,10.936,0
690,392.095,20,2.542,5237.725,2.026,1.392
700,429.646,20,2.317,5246.201,1.994,1.347
710,438.481,20,2.27,5254.68,2.098,1.399
720,488.974,20,2.038,5263.198,2.185,1.388
730,453.186,20,2.195,5271.684,2.031,1.366
740,479.157,20,2.079,5280.18,2.175,1.348
750,487.282,20,2.048,5288.673,2.035,1.329
760,500.075,20,1.99,5297.156,2.013,1.347
770,398.66,20,2.499,5305.651,2.174,1.341
780,507.795,20,1.964,5314.146,2.41,1.358
790,508.208,20,1.959,5322.651,2.859,1.366
800,500,20,1.998,5331.13,2.063,1.604
810,469.792,20,2.119,5339.601,2.093,1.433
820,482.952,20,2.063,5348.09,2.004,1.412
830,501.203,20,1.984,5356.579,1.976,1.496
840,505.663,20,1.97,5365.07,2.016,1.467
850,480.515,20,2.071,5373.576,2.05,1.661
860,487.543,20,2.042,5382.063,2.047,1.665
870,494.022,20,2.013,5390.552,2.469,0
880,492.465,20,2.019,5399.047,2.016,0
890,499.7,20,1.99,5407.538,1.991,0
900,488.281,24,2.038,5416.363,2.016,1.335
910,435.654,24,2.286,5425.394,2.81,1.349
920,422.101,24,2.358,5433.885,2.154,1.366
930,447.848,24,2.223,5442.391,2.019,1.361
940,485.154,24,2.051,5450.882,2.219,1.365
950,493.827,24,2.016,5459.364,2.029,1.378
960,494.951,24,2.017,5467.841,2.354,1.687
970,477.601,24,2.083,5476.332,2.272,1.369
980,497.364,24,2.003,5484.83,2.458,1.354
990,493.632,24,2.017,5493.312,2.071,1.372
1000,504.949,24,1.973,5501.799,2.067,1.35
1010,490.966,24,2.029,5510.294,2.185,1.361
1020,452.96,24,2.197,5518.771,2.035,1.391
1030,481.835,24,2.065,5527.353,2.397,1.348
1040,502.841,24,1.977,5535.844,2.049,1.391
1050,446.668,24,2.228,5544.335,2.023,1.398
1060,428.798,24,2.324,5552.846,2.538,1.381
1070,445.395,24,2.236,5561.317,2.226,1.376
1080,496.845,24,2.002,5569.835,2.016,1.367
1090,480.769,24,2.069,5578.326,2.015,1.352
1100,495.417,24,2.009,5586.818,2.278,1.369
1110,411.896,24,2.417,5595.304,2.198,1.374
1120,506.611,24,1.965,5603.796,2.014,1.414
1130,503.17,28,1.978,5612.826,1.986,3.185
1140,482.207,28,2.063,5621.33,2.547,1.342
1150,491.401,28,2.027,5629.817,2.069,1.344
1160,489.021,28,2.036,5638.325,2.005,1.339
1170,498.629,28,1.996,5646.807,2.01,1.362
1180,487.662,28,2.047,5655.313,2.008,1.336
1190,505.051,28,1.973,5663.812,1.992,1.366
1200,391.604,28,2.505,5672.307,2.048,1.387
1210,426.949,28,2.334,5680.822,1.982,1.502
1220,500.3,28,1.992,5689.322,2.079,1.387
1230,458.652,28,2.17,5697.839,2.205,1.364
1240,449.014,28,2.218,5706.338,2.203,1.366
1250,496.352,28,2.005,5714.847,2.163,1.369
1260,450.349,28,2.215,5723.352,2.032,1.366
1270,471.72,28,2.107,5731.859,2.011,1.389
1280,480.33,28,2.072,5740.366,2.112,1.38
1290,458.085,28,2.177,5748.869,2.012,1.363
1300,479.593,28,2.073,5757.393,2.02,0
1310,427.369,28,2.302,5765.922,2.049,1.366
1320,385.401,28,2.585,5774.423,2.096,1.34
1330,474.586,28,2.095,5782.923,2.233,1.365
1340,495.614,28,2.015,5791.426,2.005,1.354
1350,487.948,28,2.041,5799.933,2.097,1.37
1360,457.771,32,2.173,5809.026,2.031,0
1370,487.924,32,2.038,5817.55,2.578,1.385
1380,486.098,32,2.047,5826.062,2.069,1.528
1390,458.001,32,2.174,5834.564,2.1,1.524
1400,481.533,32,2.066,5843.083,2.011,1.72
1410,425.514,32,2.342,5851.588,2.08,1.622
1420,471.009,32,2.114,5860.095,2.071,1.646
1430,479.317,32,2.077,5868.6,2.048,1.702
1440,492.951,32,2.02,5877.091,2.282,1.651
1450,499.077,32,1.994,5885.594,2.372,1.65
1460,499.975,32,1.997,5894.099,2.269,1.718
1470,496.524,32,2.005,5902.6,2.033,1.692
1480,460.13,32,2.17,5911.114,2.055,1.559
1490,497.438,32,2,5919.598,2.043,1.686
1500,490.388,32,2.028,5928.112,2.054,1.706
1510,394.602,32,2.526,5936.609,2.336,1.403
1520,462.129,32,2.154,5945.125,2.407,1.37
1530,422.066,32,2.361,5953.644,2.068,1.389
1540,442.067,32,2.257,5962.14,2.088,1.391
1550,489.452,32,2.034,5970.668,2.026,1.394
1560,495.663,32,2.008,5979.161,2.031,1.387
1570,432.601,32,2.303,5987.658,1.972,1.361
1580,491.376,32,2.031,5996.159,2.078,1.419
1590,430.441,36,2.315,6005.29,2.072,1.346
1600,486.571,36,2.047,6013.788,3.496,0
1610,479.892,36,2.074,6022.297,2.065,1.58
1620,419.059,36,2.534,6030.816,2.044,1.408
1630,492.562,36,2.018,6039.331,2.313,0
1640,493.097,36,2.016,6047.834,2.303,0
1650,483.77,36,2.056,6056.341,2.044,0
1660,490.461,36,2.025,6064.844,2.173,1.412
1670,490.052,36,2.029,6073.346,2.021,0
1680,471.498,36,2.109,6081.857,2.21,1.419
1690,447.047,36,2.227,6090.36,2.055,1.422
1700,489.069,36,2.038,6098.863,2.047,1.427
1710,480.031,36,2.073,6107.371,2.25,1.419
1720,454.442,36,2.19,6115.882,2.198,1.465
1730,489.309,36,2.04,6124.371,2.072,1.414
1740,425.622,36,2.338,6132.882,1.999,1.419
1750,438.078,36,2.275,6141.39,2.052,1.43
1760,491.401,36,2.024,6149.904,2.043,1.466
1770,482.114,36,2.064,6158.438,2.044,1.405
1780,481.209,36,2.067,6166.94,1.999,1.404
1790,489.596,36,2.033,6175.446,2.118,1.414
1800,492.078,36,2.029,6183.954,2.076,1.422
1810,495.516,36,2.008,6192.461,2.012,1.383
1820,497.537,40,1.998,6201.445,2.166,0
1830,495.27,40,2.007,6210.422,2.378,1.399
1840,497.686,40,2,6218.934,2.295,1.505
1850,493.072,40,2.019,6227.445,2.095,1.409
1860,502.866,40,1.979,6235.951,2.024,1.41
1870,488.162,40,2.036,6244.448,1.978,1.415
1880,490.99,40,2.027,6252.951,2.04,1.426
1890,494.12,40,2.014,6261.462,2.068,1.398
1900,491.232,40,2.032,6269.958,2.074,1.435
1910,495.761,40,2.007,6278.472,2.281,1.412
1920,483.138,40,2.062,6286.96,2.066,1.412
1930,486.571,40,2.048,6295.469,2.031,1.423
1940,482.183,40,2.065,6303.987,2.215,1.412
1950,485.178,40,2.049,6312.498,2.079,1.392
1960,478.606,40,2.079,6321.017,2.206,1.413
1970,427.734,40,2.33,6329.54,2.044,1.411
1980,433.839,40,2.299,6338.058,2.03,1.404
1990,451.671,40,2.202,6346.569,2.055,1.414
2000,494.976,40,2.009,6355.084,2.007,1.623
2010,437.216,40,2.277,6120.31,2.11,1.669
2020,475.308,40,2.095,5743.654,2.102,1.653
2030,485.72,40,2.052,5658.271,2.103,1.422
2040,458.484,40,2.171,5564.686,2.333,1.431
2050,485.013,44,2.053,5057.236,2.36,0
2060,471.609,44,2.11,4763.487,2.428,1.426
2070,466.875,44,2.132,4690.637,2.125,1.415
2080,426.512,44,2.336,4690.391,2.315,1.449
2090,466.527,44,2.133,4690.086,2.032,1.402
2100,432.938,44,2.303,4689.814,2.183,1.449
2110,412.865,44,2.415,4689.788,2.384,1.411
2120,435.597,44,2.289,4689.608,2.041,1.723
2130,461.872,44,2.158,4689.361,2.021,1.442
2140,456.684,44,2.182,4689.112,2.281,1.42
2150,452.141,44,2.202,4688.912,2.434,1.466
2160,488.663,44,2.038,4688.653,2.513,1.535
2170,483.536,44,2.057,4687.476,2.048,1.399
2180,490.34,44,2.03,4687.245,2.092,1.458
2190,496.352,44,2.009,4687.067,2.028,1.412
2200,408.814,44,2.436,4686.857,2.163,1.392
2210,462.257,44,2.153,4681.948,2.036,1.423
2220,446.967,44,2.232,4681.75,2.043,1.41
2230,429.83,44,2.318,4681.791,2.429,1.556
2240,468.384,44,2.124,4681.664,2.493,1.419
2250,438.847,44,2.267,4681.583,2.292,1.42
2260,450.694,44,2.211,4681.446,2.034,1.417
2270,467.355,48,2.131,4682.209,2.086,3.148
2280,489.333,48,2.031,4682.084,2.135,0
2290,491.159,48,2.025,4681.996,2.164,1.408
2300,486.405,48,2.048,4681.884,2.241,1.401
2310,379.579,48,2.626,4682.155,2.241,1.698
2320,436.815,48,2.281,4682.712,2.355,1.466
2330,453.988,48,2.194,4682.401,2.214,1.385
2340,420.751,48,2.366,4682.569,2.157,1.417
2350,485.932,48,2.05,4682.877,2.429,1.711
2360,444.761,48,2.24,4683.19,2.334,1.418
2370,442.067,48,2.253,4683.497,2.278,1.404
2380,444.701,48,2.242,4683.629,2.058,1.405
2390,467.88,48,2.128,4677.481,2.291,1.439
2400,384.615,48,2.589,4677.264,2.224,1.722
2410,485.625,48,2.05,4676.92,2.292,1.428
2420,488.711,48,2.033,4676.944,2.196,1.406
2430,479.18,48,2.078,4676.345,2.099,1.4
2440,471.098,48,2.114,4676.182,2.374,1.41
2450,467.792,48,2.13,4675.191,2.037,1.563
2460,426.53,48,2.338,4675.137,2.041,1.725
2470,488.568,48,2.04,4675.189,2.164,1.452
2480,498.455,48,1.997,4675.258,2.201,1.432
2490,345.925,52,2.881,4675.756,2.228,0
2500,477.623,52,2.087,4675.835,2.142,1.398
2510,435.256,52,2.287,4675.884,2.384,1.43
2520,460.851,52,2.162,4676.007,2.118,1.42
2530,473.866,52,2.102,4676.123,2.142,1.63
2540,437.713,52,2.277,4676.191,2.272,1.42
2550,473.709,52,2.104,4676.248,2.138,1.378
2560,477.145,52,2.085,4676.303,2.002,1.416
2570,454.174,52,2.193,4676.428,2.491,1.727
2580,422.869,52,2.355,4676.553,2.274,1.418
2590,484.731,52,2.049,4676.64,2.25,0
2600,393.267,52,2.536,4676.678,2.096,0
2610,457.917,52,2.176,4676.638,2.242,1.421
2620,410.846,52,2.424,4676.7,2.182,1.376
2630,446.269,52,2.23,4676.734,2.447,1.71
2640,427.022,52,2.333,4676.785,2.274,1.444
