FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,145.958,0,6.841,4254.323,3.095,3.484
20,339.478,0,2.939,4605.562,3.03,1.588
30,238.447,4,4.144,4688.949,3.12,2.237
40,320.359,4,3.108,4704.322,2.961,1.536
50,304.433,4,3.279,4718.07,2.495,1.995
60,352.001,4,2.833,4731.346,2.99,1.541
70,341.297,4,2.921,4745.036,2.615,0
80,339.743,4,2.937,4757.893,2.485,1.72
90,380.967,4,2.616,4770.373,2.726,1.807
100,399.297,4,2.5,4783.26,2.965,1.376
110,311.294,4,3.195,4795.951,2.404,0
120,320.236,4,3.108,4810.978,2.989,2.644
130,363.583,4,2.739,4824.357,2.753,0
140,393.825,4,2.528,4837.553,2.748,0
150,336.395,4,2.962,4851.441,2.926,1.733
160,346.62,4,2.871,4864.761,2.882,0
170,383.465,8,2.598,4887.426,14.419,3.586
180,365.043,8,2.729,4901.216,2.57,1.326
190,322.362,8,3.093,4915.477,3.413,1.594
200,340.913,8,2.923,4929.005,2.759,1.894
210,365.965,8,2.724,4430.957,3.355,0
220,345.244,8,2.893,4444.167,2.563,2.015
230,402.658,8,2.475,4457.104,2.889,1.364
240,370.865,8,2.688,4469.139,2.956,0
250,351.087,8,2.835,4481.388,2.33,0
260,386.429,8,2.571,4495.504,3.062,0
270,327.247,8,3.043,4508.818,2.755,1.94
280,326.659,8,3.052,4522.344,2.604,0
290,364.007,8,2.735,4535.298,2.402,1.43
300,421.923,8,2.359,4549.163,3.041,2.012
310,468.713,8,2.123,4552.458,2.313,1.796
320,471.009,8,2.111,4555.748,2.377,1.385
330,492.951,8,2.012,4558.754,2.05,1.333
340,411.675,12,2.417,4566.019,2.22,3.449
350,405.039,12,2.455,4569.531,2.608,1.386
360,427.387,12,2.328,4572.744,2.214,1.356
370,435.123,12,2.292,4575.947,2.513,1.343
380,195.691,12,5.096,4588.521,3.476,3.509
390,414.456,12,2.397,4823.599,2.082,1.36
400,428.504,12,2.328,4853.969,2.312,1.356
410,465.94,12,2.137,4881.701,2.212,1.355
420,457.582,12,2.168,4909.782,2.301,1.645
430,439.715,12,2.267,4936.726,2.149,1.363
440,468.384,12,2.121,4965.241,2.711,1.365
450,445.851,12,2.228,4990.041,2.217,1.356
460,461.808,12,2.15,5018.572,2.165,1.655
470,499.525,16,1.994,5044.996,1.957,2.879
480,514.748,16,1.934,5053.373,1.948,1.339
490,485.319,16,2.052,5061.753,1.989,1.351
500,508.078,16,1.964,5070.108,1.962,1.356
510,500.225,16,1.99,5078.49,1.953,1.6
520,512.374,16,1.94,5086.92,2.169,1.592
530,502.816,16,1.979,5095.297,1.988,1.59
540,500.35,16,1.989,5103.678,1.97,1.379
550,511.928,16,1.944,5112.056,1.983,1.322
560,510.569,16,1.954,5120.436,2.112,1.331
570,507.074,16,1.968,5128.812,1.986,1.315
580,469.307,16,2.122,5137.192,1.974,1.368
590,489.62,16,2.033,5145.565,2.038,1.336
600,471.098,16,2.114,5153.942,2.17,1.346
610,494.854,16,2.01,5162.317,1.985,0
620,503.778,16,1.972,5170.687,2.022,0
630,443.125,16,2.248,5179.07,2.478,1.339
640,437.675,16,2.274,5187.447,2.003,0
650,432.021,16,2.291,5195.839,2.013,0
660,452.161,16,2.2,5204.225,1.986,0
670,487.068,16,2.041,5212.602,2.103,0
680,497.141,16,2.004,5220.977,1.962,1.358
690,494.34,16,2.011,5229.352,2.059,0
700,82.007,20,12.184,5238.86,2.006,1.383
710,415.127,20,2.397,5247.239,1.98,0
720,504.134,20,1.976,5255.614,2.031,1.339
730,460.66,20,2.162,5264.005,2.043,1.341
740,478.469,20,2.08,5272.385,2.005,1.355
750,488.759,20,2.034,5280.766,2.006,1.361
760,500.651,20,1.989,5289.139,2.006,1.318
770,462.492,20,2.152,5297.523,1.991,1.354
780,431.072,20,2.312,5305.891,2.241,1.342
790,440.18,20,2.262,5314.266,2.336,1.356
800,488.663,20,2.037,5322.653,1.983,1.352
810,487.567,20,2.044,5331.028,2.023,1.349
820,492.102,20,2.023,5339.41,2.015,1.327
830,484.426,20,2.051,5347.786,2.156,1.338
840,509.736,20,1.951,5356.154,2.018,1.342
850,495.983,20,2.012,5364.543,2.048,0
860,488.281,20,2.042,5372.917,1.998,1.371
870,494.927,20,2.008,5381.309,2.072,0
880,453.721,20,2.197,5389.691,2.035,1.343
890,478.423,20,2.082,5398.069,2.209,1.361
900,498.157,20,1.999,5406.452,2.287,1.385
910,486.523,20,2.046,5414.833,2.155,1.376
920,510.204,20,1.951,5423.185,2.217,1.352
930,500.751,24,1.985,5431.893,11.241,3.192
940,435.369,24,2.287,5440.283,2.003,1.636
950,501.102,24,1.986,5448.655,2.008,1.315
960,496.056,24,2.005,5457.033,2.168,1.346
970,465.614,24,2.138,5465.396,2.026,1.353
