FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,154.825,0,6.451,4278.01,5.342,3.585
20,380.575,0,2.619,4618.588,3.586,1.328
30,13.172,4,75.899,4675.045,2.746,2.052
40,348.008,4,2.873,4694.656,3.086,1.362
50,364.14,4,2.741,4708.54,2.851,1.65
60,318.634,4,3.131,4721.882,3.159,1.73
70,355.556,4,2.803,4734.898,2.685,1.651
80,298.356,4,3.339,4748.905,3.124,1.76
90,321.419,4,3.106,4763.046,2.813,1.325
100,326.936,4,3.047,4777.224,2.863,1.579
110,302.508,4,3.298,4790.324,2.487,1.669
120,386.429,4,2.582,4803.451,2.636,1.529
130,356.888,4,2.79,4816.893,3.03,2.607
140,246.676,4,4.037,4831.336,3.394,3.462
150,290.901,4,3.424,4845.556,2.411,0
160,290.841,4,3.431,4859.624,2.501,1.887
170,382.585,4,2.604,4873.027,2.708,0
180,348.991,8,2.854,4901.729,2.815,3.428
190,401.623,8,2.48,4915.207,3.115,1.348
200,330.458,8,3.013,4929.073,2.577,1.588
210,349.993,8,2.845,4431.04,2.77,3.487
220,358.938,8,2.774,4444.623,2.904,2.27
230,312.422,8,3.193,4458.588,2.949,1.792
240,412.099,8,2.42,4473.421,3.601,1.997
250,370.879,8,2.687,4486.113,3.177,1.346
260,354.61,8,2.81,4499.097,2.562,1.343
270,316.056,8,3.161,4515.063,4.771,3.547
280,336.01,8,2.969,4528.905,2.891,1.342
290,340.855,8,2.922,4542.475,2.922,1.331
300,443.38,8,2.249,4547.575,2.008,0
310,476.054,8,2.088,4550.641,2.181,1.34
320,503.956,8,1.973,4553.913,2.216,1.512
330,476.009,8,2.088,4557.172,2.27,1.329
340,417.728,12,2.386,4564.943,20.012,3.071
350,455.436,12,2.191,4568.495,2.648,1.591
360,478.492,12,2.081,4571.634,2.086,1.344
370,417.728,12,2.379,4577.015,2.104,1.821
380,113.008,12,8.858,4828.089,2.937,3.074
390,387.717,12,2.569,4859.024,2.283,1.361
400,451.957,12,2.202,4888.257,2.354,1.341
410,393.577,12,2.533,4919.575,2.152,1.367
420,470.433,12,2.115,4947.987,2.168,1.355
430,364.924,12,2.776,4973.37,2.52,1.7
440,462.599,12,2.147,5004.792,2.258,1.78
450,397.219,12,2.482,5030.266,2.23,1.61
460,494.535,16,2.013,5038.809,2.076,1.328
470,374.308,16,2.659,5048.093,2.015,0
480,458.989,16,2.169,5056.636,2.626,1.323
490,499.75,16,1.99,5065.173,2.027,1.343
500,501.354,16,1.985,5073.732,2.014,1.325
510,482.532,16,2.063,5082.289,1.994,1.329
520,494.829,16,2.012,5090.889,2.011,1.327
530,465.289,16,2.138,5099.435,2.092,1.336
540,449.115,16,2.219,5107.975,1.995,1.309
550,449.681,16,2.214,5116.527,1.996,0
560,423.155,16,2.354,5125.067,2.107,0
570,487.662,16,2.04,5133.616,1.981,0
580,485.508,16,2.052,5142.164,2.011,1.337
590,496.327,16,2.009,5150.708,2.014,1.361
600,498.231,16,1.998,5159.273,2.031,1.332
610,497.512,16,2.001,5167.823,2.038,1.37
620,496.796,16,2.004,5176.367,1.97,1.327
630,479.18,16,2.08,5184.929,2.196,1.364
640,479.294,16,2.079,5193.491,2.036,1.327
650,486.665,16,2.047,5202.045,2.24,1.366
660,463.306,16,2.151,5210.604,2.256,1.351
670,447.007,16,2.228,5219.145,2.025,1.354
680,486.098,16,2.048,5227.714,2.043,1.349
690,484.027,16,2.056,5236.254,2.57,1.338
700,487.686,20,2.04,5246.221,9.22,3.435
710,488.854,20,2.035,5254.776,2.081,1.708
720,488.281,20,2.039,5263.327,1.993,1.372
730,500.4,20,1.988,5271.88,2.01,1.34
740,494.144,20,2.014,5280.403,2.047,1.339
750,443.105,20,2.249,5288.953,1.998,1.336
760,449.236,20,2.218,5297.511,2.013,1.342
770,446.209,20,2.233,5306.065,2.023,1.333
780,482.021,20,2.065,5314.633,2.042,1.336
790,493.608,20,2.018,5323.175,2.029,1.337
800,397.33,20,2.507,5331.716,2.287,1.347
810,494.169,20,2.013,5340.264,2.023,1.612
820,498.082,20,1.999,5348.792,2.045,1.658
