FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,153.074,0,6.525,4269.701,2.654,3.459
20,348.165,0,2.862,4618.697,3.592,1.79
30,318.36,0,3.133,4632.845,2.97,1.67
40,259.7,4,3.84,4716.728,3.11,2.154
50,294.403,4,3.389,4732.375,3.403,1.407
60,321.554,4,3.098,4747.556,3.448,1.926
70,321.668,4,3.105,4763.953,3.85,1.756
80,277.701,4,3.593,4779.755,3.496,3.18
90,291.138,4,3.427,4796.705,3.456,2.929
100,347.717,4,2.865,4812.568,2.866,1.477
110,265.013,4,3.765,4828.401,3.207,1.536
120,336.27,4,2.968,4844.233,3.239,1.54
130,326.392,4,3.055,4859.302,3.041,1.657
140,313.863,4,3.178,4876.326,3.52,1.823
150,290.765,8,3.432,4904.148,2.984,3.194
160,346.188,8,2.879,4920.406,3.31,1.703
170,299.276,8,3.334,4424.103,3.948,1.469
180,339.766,8,2.931,4440.391,3.711,0
190,261.015,8,3.823,4456.244,3.025,2.594
200,299.94,8,3.322,4472.275,3.045,1.594
210,302.929,8,3.291,4488.798,3.559,2.554
220,240.333,8,4.151,4506.216,3.454,2.834
230,340.356,8,2.926,4521.537,3.216,1.418
240,380.373,8,2.622,4536.688,5.924,0
250,437.025,8,2.28,4540.541,2.397,1.444
260,397.093,8,2.513,4544.283,2.697,1.684
270,401.703,8,2.484,4547.792,2.577,1.39
280,329.674,8,3.025,4551.812,2.633,1.748
290,434.669,12,2.293,4561.039,2.391,3.204
300,402.544,12,2.479,4564.653,2.725,1.456
310,409.702,12,2.424,4587.226,2.753,3.07
320,353.582,12,2.82,4844.497,2.659,1.695
330,395.867,12,2.523,4877.845,3.157,3.082
340,317.299,12,3.141,4910.525,3.16,2.138
350,341.682,12,2.923,4941.138,3.158,2.072
360,432.115,12,2.307,4955.127,2.491,2.342
370,425.767,12,2.34,4963.807,2.343,2.423
380,428.688,12,2.325,4972.503,2.907,2.346
390,440.917,12,2.262,4981.184,2.646,2.704
400,403.828,16,2.469,4993.122,15.494,3.644
410,387.612,16,2.572,5001.831,2.772,1.412
420,360.127,16,2.802,5010.629,2.722,2.713
430,376.194,16,2.651,5019.372,2.627,1.749
440,408.547,16,2.44,5028.124,2.401,1.715
450,425.369,16,2.343,5036.856,2.371,1.593
460,377.188,16,2.606,5045.607,2.466,1.8
470,402.139,16,2.479,5054.331,2.487,1.424
480,415.628,16,2.398,5063.068,2.622,2.983
490,425.315,16,2.343,5071.807,2.792,1.62
500,420.362,16,2.37,5080.547,2.731,1.426
510,372.953,16,2.674,5089.294,2.67,1.711
520,422.369,16,2.36,5098.077,2.351,1.683
530,384.645,16,2.593,5106.84,2.666,2.992
540,429.849,16,2.319,5115.576,2.644,1.822
550,375.657,16,2.652,5124.317,2.755,1.429
560,396.699,16,2.512,5133.06,2.376,1.514
570,417.362,16,2.387,5141.784,2.674,2.222
580,421.87,16,2.362,5150.522,2.574,1.46
590,417.449,20,2.385,5160.757,2.731,3.774
600,412.201,20,2.418,5169.487,2.416,1.638
610,409.098,20,2.44,5178.218,2.771,2.326
620,352.821,20,2.826,5186.93,2.563,2.413
630,417.293,20,2.389,5195.667,2.421,2.363
640,409.836,20,2.433,5204.37,2.876,2.377
650,371.443,20,2.685,5213.114,2.401,2.102
660,357.564,20,2.743,5221.844,2.778,1.807
670,345.519,20,2.926,5230.564,2.703,2.69
680,407.864,20,2.444,5239.297,2.679,2.71
690,408.18,20,2.44,5248.011,2.397,2.607
700,363.333,20,2.744,5256.762,2.872,2.077
710,361.441,20,2.758,5265.472,2.602,1.91
720,398.819,20,2.505,5274.227,2.707,2.516
730,409.635,20,2.434,5282.944,2.694,2.453
740,408.563,20,2.438,5291.666,2.87,2.458
750,371.968,20,2.68,5300.422,2.461,2.31
760,362.621,20,2.709,5309.155,2.366,2.034
770,141.385,24,7.064,5319.229,2.362,2.64
780,350.177,24,2.848,5328.008,2.914,1.557
790,321.419,24,3.103,5336.755,2.988,3.541
800,392.819,24,2.537,5345.518,2.895,2.885
810,392.172,24,2.543,5354.326,2.795,3.149
820,415.645,24,2.398,5363.092,2.986,3.414
830,363.689,24,2.742,5371.857,2.902,2.263
840,368.08,24,2.707,5380.618,2.389,1.525
850,346.26,24,2.881,5389.409,2.446,2.83
860,385.267,24,2.588,5398.159,2.837,2.799
870,409.115,24,2.436,5406.882,2.756,3.225
880,354.359,24,2.82,5415.682,2.697,2.741
890,407.398,24,2.447,5424.436,2.436,2.57
900,400.561,24,2.488,5433.219,2.366,1.83
910,405.268,24,2.459,5441.98,2.7,3.282
920,394.213,24,2.529,5450.752,2.872,2.519
930,327.536,24,3.045,5459.515,2.45,2.494
940,376.719,24,2.646,5468.28,2.496,2.12
