FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,158.469,0,6.3,4206.829,2.79,3.106
20,415.076,0,2.397,4541.781,2.747,1.379
30,348.736,0,2.86,4556.509,2.65,2.73
40,335.177,4,2.968,4650.385,3.516,2.451
50,342.747,4,2.916,4665.601,3.47,1.561
60,349.077,4,2.851,4680.26,2.864,1.867
70,278.497,4,3.578,4695.364,2.945,1.781
80,355.745,4,2.804,4710.178,3.694,0
90,311.915,4,3.197,4723.36,2.882,1.371
100,296.033,4,3.369,4738.812,3.681,1.566
110,386.473,4,2.579,4753.082,3.288,0
120,351.37,4,2.835,4766.122,2.998,0
130,347.041,4,2.873,4779.069,2.831,0
140,373.986,4,2.663,4793.274,3.126,0
150,322.914,4,3.087,4807.121,2.763,1.755
160,258.318,8,3.863,4835.654,3.564,3.609
170,290.647,8,3.432,4851.618,3.068,1.659
180,323.269,8,3.081,4865.977,3.933,1.497
190,341.997,8,2.912,4880.898,3.322,1.734
200,320.195,8,3.112,4894.482,2.983,1.773
210,351.333,8,2.837,4908.848,2.751,0
220,350.091,8,2.846,4923.966,2.663,1.501
230,300.824,8,3.317,4427.834,3.214,1.724
240,317.47,8,3.139,4442.893,3.675,1.407
250,348.032,8,2.863,4457.423,2.895,1.409
260,294.421,8,3.386,4471.873,2.671,0
270,324.076,8,3.078,4486.368,2.942,1.408
280,314.149,8,3.173,4501.408,2.771,1.513
290,376.039,8,2.645,4515.807,2.887,0
300,285.812,8,3.49,4532.32,3.664,1.67
310,383.024,12,2.601,4553.651,3.265,3.117
320,423.442,12,2.353,4557.678,3.254,2.324
330,419.78,12,2.372,4561.04,2.616,2.628
340,412.048,12,2.41,4564.354,2.271,0
350,374.939,12,2.661,4567.873,2.267,2.221
360,429.756,12,2.312,4571.398,2.425,0
370,369.891,12,2.698,4575,2.185,2.767
380,431.09,12,2.311,4578.59,2.33,2.249
390,376.832,12,2.653,4590.264,2.522,2.255
400,401.091,12,2.481,4841.651,9.165,3.696
410,357.923,12,2.75,4872.116,2.553,2.272
420,400.721,16,2.482,4925.868,2.4,2.068
430,414.869,16,2.409,5001.706,2.463,1.814
440,369.045,16,2.7,5028.725,2.482,1.399
450,299.473,16,3.334,5057.285,2.676,1.761
460,411.506,16,2.42,5066.184,2.964,1.72
470,450.572,16,2.209,5075.033,2.259,1.416
480,461.744,16,2.158,5083.879,2.189,1.453
490,459.686,16,2.168,5092.743,2.183,1.434
500,462.471,16,2.156,5101.602,2.438,1.667
510,454.959,16,2.19,5110.448,2.188,1.41
520,462.342,16,2.152,5119.35,2.16,1.432
530,456.454,16,2.182,5128.216,2.213,1.407
540,418.655,16,2.379,5137.104,2.224,1.692
550,455.415,16,2.188,5145.936,2.142,1.431
560,449.035,16,2.216,5154.813,2.195,0
570,464.77,16,2.144,5163.683,2.247,1.413
580,460.511,16,2.163,5172.553,2.474,1.397
590,432.077,16,2.306,5181.403,2.23,1.738
600,455.581,16,2.187,5190.251,2.219,1.424
610,443.912,16,2.241,5199.132,2.176,0
620,453.597,20,2.195,5208.952,2.492,2.634
630,450.288,20,2.212,5217.817,2.218,1.983
640,415.593,20,2.397,5226.692,2.198,2.169
650,375.545,20,2.689,5235.532,2.211,2.147
660,441.365,20,2.258,5244.412,2.71,2.415
670,444.089,20,2.244,5253.248,2.236,2.196
680,459.58,20,2.168,5262.121,2.434,2.175
