FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,163.803,0,6.096,4229.756,2.613,3.048
20,435.654,0,2.285,4580.963,2.782,2.751
30,359.183,4,2.775,4595.245,2.724,2.646
40,379.32,4,2.629,4698.379,3.194,1.61
50,407.432,4,2.444,4711.622,2.747,1.967
60,378.344,4,2.637,4725.366,2.739,1.982
70,369.631,4,2.696,4738.237,3.316,0
80,245.646,4,4.054,4753.02,2.769,2.29
90,379.535,4,2.622,4767.837,3.566,1.564
100,326.083,4,3.059,4781.481,2.609,2.076
110,423.352,4,2.344,4793.062,2.764,0
120,353.932,4,2.818,4807.235,2.555,0
130,341.239,4,2.917,4820.279,2.7,1.386
140,331.576,4,3.008,4833.887,2.447,1.438
150,395.585,4,2.518,4846.347,2.339,2.001
160,346.536,8,2.879,4866.536,2.939,1.562
170,280.089,8,3.56,4883.864,2.783,1.477
180,419.727,8,2.375,4899.153,2.781,1.371
190,427.223,8,2.333,4912.948,3.363,0
200,331.895,8,3.006,4927.146,2.581,1.402
210,382.717,8,2.605,4427.614,2.942,0
220,326.02,8,3.055,4439.753,2.901,1.378
230,319.908,8,3.116,4452.945,2.813,1.602
240,358.166,8,2.782,4466.223,2.379,1.535
250,362.924,8,2.746,4479.608,2.679,1.562
260,358.295,8,2.784,4492.624,2.502,1.857
270,341.974,8,2.922,4506.847,2.611,2.062
280,404.302,8,2.469,4520.118,3.024,1.909
290,312.832,8,3.188,4533.257,2.949,1.851
300,330.94,8,3.01,4546.084,2.597,1.722
310,444.563,8,2.238,4551.514,2.451,1.85
320,356.85,12,2.795,4555.168,2.161,1.399
330,456.1,12,2.183,4561.256,2.142,1.776
340,390.046,12,2.556,4564.745,2.354,1.397
350,431.798,12,2.301,4568.07,2.319,1.387
360,432.339,12,2.31,4572.325,4.662,3.179
370,496.155,12,2.006,4575.341,1.975,1.4
380,394.54,12,2.53,4580.218,2.217,1.642
390,302.252,12,3.302,4820.067,2.406,1.363
400,427.15,12,2.33,4845.209,2.212,1.412
410,470.035,12,2.116,4874.133,3.061,1.413
420,412.814,12,2.409,4904.917,2.196,0
430,474.068,12,2.098,4933.646,2.782,1.398
440,377.344,12,2.645,4962.821,2.26,1.753
450,455.519,16,2.191,5006.047,2.3,1.492
460,358.693,16,2.782,5036.085,2.66,1.696
470,498.082,16,1.998,5053.667,1.981,1.401
480,430.015,16,2.316,5062.097,1.944,1.386
490,499.027,16,1.994,5070.54,2.521,1.431
500,506.971,16,1.963,5078.993,1.915,1.51
510,492.49,16,2.02,5087.419,2.131,1.68
520,511.091,16,1.953,5095.905,2.014,1.663
530,506.56,16,1.965,5104.336,1.951,1.517
540,508.156,16,1.956,5112.786,1.952,1.361
550,506.817,16,1.964,5121.244,2.318,1.402
560,509.035,16,1.955,5129.681,2.38,1.348
570,501.228,16,1.986,5138.129,2.324,1.391
580,502.21,16,1.98,5146.573,2.369,1.396
590,495.221,16,2.007,5155.008,2.346,0
600,504.261,16,1.977,5163.465,2.398,1.467
610,474.383,16,2.096,5171.888,1.973,1.406
620,507.151,16,1.962,5180.334,1.96,1.379
630,502.513,16,1.983,5188.793,2.033,1.467
640,508.854,16,1.957,5197.248,2.073,1.387
650,400.128,16,2.493,5205.688,2.33,1.433
660,434.896,16,2.29,5214.127,2.508,1.397
670,420.327,16,2.372,5222.589,2.253,1.541
680,415.904,20,2.397,5231.196,1.99,1.418
690,463.456,20,2.147,5239.799,4.622,1.439
700,460.745,20,2.162,5248.258,2.186,1.438
710,436.357,20,2.284,5256.72,2.377,1.421
720,396.983,20,2.511,5265.174,2.243,1.565
730,425.369,20,2.342,5273.721,2.121,1.43
740,494.34,20,2.013,5282.188,2.031,1.397
750,459.517,20,2.168,5290.634,1.997,1.404
760,499.301,20,1.991,5299.075,1.988,0
770,457.457,20,2.18,5307.529,1.98,1.455
780,508.75,20,1.959,5315.971,2.267,1.434
790,501.706,20,1.965,5324.413,1.971,0
800,504.821,20,1.971,5332.884,1.946,1.489
810,502.639,20,1.98,5341.34,1.929,1.453
820,497.191,20,2.001,5349.792,2.371,1.444
830,505.842,20,1.969,5358.25,2.361,1.537
840,505.868,20,1.967,5366.709,2.338,1.696
850,504.796,20,1.972,5375.163,2.246,1.691
860,520.4,20,1.91,5383.614,2.469,0
870,477.441,20,2.084,5392.097,2.347,1.443
880,493.413,20,2.017,5400.554,2.387,1.444
890,508.208,20,1.956,5408.987,2.271,1.386
900,512.059,20,1.944,5417.452,2.05,1.433
910,505.357,20,1.968,5425.9,2.009,0
920,413.479,24,2.411,5434.606,2.384,3.133
930,456.767,24,2.181,5443.887,2.198,1.534
940,467.246,24,2.132,5452.353,2.395,1.441
950,500.5,24,1.988,5460.886,2.176,1.713
960,508.932,24,1.955,5469.35,2.007,1.689
970,512.768,24,1.939,5477.819,1.963,1.632
980,515.198,24,1.93,5486.273,1.939,1.435
990,516.342,24,1.927,5494.748,1.997,1.461
1000,433.445,24,2.297,5503.199,2.016,1.395
1010,510.204,24,1.95,5511.665,1.986,0
1020,511.326,24,1.949,5520.112,2.022,1.43
1030,520.508,24,1.918,5528.644,1.932,1.408
1040,511.745,24,1.945,5537.105,1.987,1.414
1050,475.263,24,2.095,5545.547,1.997,1.442
1060,491.232,24,2.025,5554.008,1.987,1.586
1070,505.791,24,1.968,5562.468,1.965,1.718
