FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,138.539,0,7.209,4249.6,2.505,3.35
20,384.423,0,2.594,4607.122,2.966,1.424
30,367.215,0,2.717,4619.125,2.311,1.34
40,283.559,4,3.515,4707.175,80.379,2.937
50,377.458,4,2.639,4719.629,2.476,0
60,316.586,4,3.15,4732.324,2.345,1.816
70,315.318,4,3.159,4746.503,2.396,1.509
80,369.045,4,2.699,4759.43,2.699,1.45
90,396.999,4,2.508,4774.003,2.865,2.504
100,362.621,4,2.746,4788.647,3.158,2.92
110,404.285,4,2.467,4800.978,2.512,0
120,353.519,4,2.821,4814.535,2.563,2.02
130,324.17,4,3.071,4827.953,2.998,0
140,380.938,4,2.609,4842.986,3.078,0
150,346.789,4,2.877,4856.405,2.798,1.749
160,371.071,4,2.683,4869.532,2.518,1.627
170,50.109,8,19.947,4892.303,2.514,0
180,331.972,8,3.005,4909.016,3.296,1.85
190,365.203,8,2.729,4922.764,2.849,1.826
200,408.047,8,2.443,4423.941,2.551,1.439
210,310.627,8,3.213,4437.404,2.408,1.374
220,395.679,8,2.525,4451.209,3.065,1.372
230,351.989,8,2.83,4465.034,3.349,2.815
240,341.495,8,2.925,4477.772,2.371,1.336
250,373.329,8,2.671,4489.604,2.577,1.36
260,394.882,8,2.521,4503.788,3.014,2.897
270,314.683,8,3.166,4517.38,2.697,0
280,298.766,8,3.335,4530.979,2.851,1.316
290,303.628,8,3.288,4544.552,2.673,1.478
300,432.975,8,2.303,4549.2,2.505,1.349
310,512.847,8,1.938,4552.211,1.964,1.347
320,433.727,8,2.297,4555.636,2.338,1.477
330,454.091,8,2.192,4559.385,2.804,1.411
340,491.159,12,2.024,4567.039,2.207,2.989
350,427.168,12,2.332,4570.743,2.595,1.425
360,416.58,12,2.396,4574.66,2.639,1.372
370,268.984,12,3.695,4594.642,3.634,2.981
380,458.001,12,2.172,4850.863,2.46,0
390,440.296,12,2.263,4878.805,2.117,1.355
400,473.462,12,2.106,4906.706,2.086,1.364
410,473.979,12,2.093,4934.643,2.762,1.625
420,507.022,12,1.96,4960.373,2.138,1.436
430,454.773,12,2.187,4988.446,2.454,1.335
440,459.053,12,2.172,5017.382,2.246,1.36
450,508.725,12,1.953,5027.373,1.893,1.331
460,515.756,16,1.929,5035.787,1.939,1.342
470,464.274,16,2.146,5045.315,2.2,2.544
480,459.263,16,2.17,5053.744,2.414,1.37
490,462.577,16,2.154,5062.161,2.128,1.624
500,512.059,16,1.944,5070.611,2.13,1.601
510,521.322,16,1.912,5079.023,2.054,1.607
520,509.295,16,1.952,5087.481,2.002,1.578
530,504.464,16,1.979,5095.897,1.958,1.313
540,513.005,16,1.942,5104.311,1.913,1.361
550,528.067,16,1.89,5112.725,1.967,1.322
560,504.923,16,1.969,5121.137,1.966,1.391
570,406.207,16,2.455,5129.565,1.931,1.329
580,519.157,16,1.919,5137.98,2.405,1.321
590,519.615,16,1.913,5146.393,2.303,0
600,515.889,16,1.931,5154.812,2.24,1.329
610,511.718,16,1.947,5163.22,2.27,1.354
620,516.023,16,1.932,5171.635,2.302,1.547
630,509.684,16,1.95,5180.059,2.377,1.577
640,519.94,16,1.915,5188.474,2.36,0
650,514.907,16,1.933,5196.892,2.316,1.329
660,516.289,16,1.931,5205.311,2.328,0
670,516.556,16,1.922,5213.725,2.319,1.324
680,520.4,16,1.912,5222.143,1.946,1.333
690,513.69,16,1.941,5230.553,1.952,1.464
700,171.474,20,5.823,5239.652,1.897,2.986
710,466.396,20,2.136,5248.062,2.17,1.35
720,438.52,20,2.27,5256.549,2.477,1.379
730,510.465,20,1.949,5264.981,1.982,1.57
740,463.027,20,2.151,5273.403,2.13,1.4
750,450.167,20,2.201,5281.829,2.295,1.658
760,522.603,20,1.909,5290.26,1.952,1.456
770,522.03,20,1.91,5298.682,1.911,1.545
780,517.732,20,1.923,5307.112,1.97,1.314
790,520.996,20,1.916,5315.536,2.012,1.338
800,511.221,20,1.945,5323.961,1.962,1.343
810,525.045,20,1.899,5332.387,1.905,1.354
820,463.8,20,2.144,5340.814,2.16,1.386
830,463.07,20,2.151,5349.246,1.973,1.348
840,523.478,20,1.905,5357.682,1.908,0
850,517.518,20,1.923,5366.114,1.975,1.372
860,512.584,20,1.942,5374.536,2.042,1.382
870,513.321,20,1.942,5382.966,1.95,1.478
