FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,143.115,0,6.983,4254.971,2.872,3.406
20,362.871,0,2.747,4601.898,3.225,1.368
30,334.919,0,2.978,4615.367,2.687,2.406
40,331.093,4,3.014,4700.173,2.901,1.585
50,331.642,4,3.005,4714.143,3.002,2.341
60,309.387,4,3.225,4727.838,2.874,1.492
70,315.856,4,3.157,4741.433,2.516,1.39
80,418.638,4,2.377,4755.306,2.552,1.44
90,314.07,4,3.179,4768.453,2.871,1.898
100,357.13,4,2.792,4782.353,3.445,2.663
110,343.867,4,2.898,4796.671,3.108,1.589
120,339.236,4,2.941,4811.461,2.995,1.479
130,409.534,4,2.429,4824.6,2.854,1.379
140,279.58,4,3.573,4839.622,3.186,2.416
150,335.357,4,2.972,4853.766,2.976,1.742
160,378.286,8,2.632,4867.241,3.295,2.386
170,416.268,8,2.394,4898.541,2.66,1.352
180,345.59,8,2.882,4914.296,3.086,2.3
190,267.344,8,3.74,4929.458,3.166,2.385
200,368.297,8,2.701,4432.619,2.608,2.067
210,405.449,8,2.453,4445.346,2.657,1.705
220,369.29,8,2.701,4459.673,3.026,1.903
230,382.585,8,2.592,4472.473,2.515,2.032
240,371.899,8,2.682,4486.928,3.349,3.143
250,370.315,8,2.693,4500.188,2.754,1.39
260,365.39,8,2.73,4512.593,2.686,1.681
270,357.692,8,2.788,4526.682,2.998,2.049
280,361.794,8,2.761,4540.746,3.123,2.159
290,421.301,8,2.37,4548.13,2.639,1.606
300,391.298,8,2.542,4551.992,2.82,1.624
310,488.998,8,2.036,4555.342,2.069,1.354
320,317.158,12,3.147,4565.979,2.677,3.091
330,415.196,12,2.403,4569.753,2.346,1.49
340,453.659,12,2.197,4573.311,2.472,1.49
350,421.745,12,2.369,4585.257,2.269,1.596
360,372.19,12,2.68,4824.554,169.965,3.122
370,391.007,12,2.543,4856.211,2.405,1.398
380,446.269,12,2.236,4886.98,2.36,1.492
390,429.849,12,2.317,4917.918,2.363,1.402
400,389.894,12,2.559,4948.99,2.285,1.639
410,343.607,12,2.899,4978.976,2.397,1.811
420,466.962,12,2.136,5006.549,2.278,1.482
430,482.137,16,2.066,5015.128,2.12,1.338
440,318.553,16,3.132,5025.537,2.588,0
450,401.703,16,2.48,5034.117,2.804,1.342
460,447.588,16,2.226,5042.698,2.21,1.349
470,429.812,16,2.318,5051.341,2.221,1.635
480,460.278,16,2.164,5059.929,2.126,1.337
490,457.75,16,2.176,5068.499,2.074,1.368
500,470.544,16,2.117,5077.08,2.053,1.349
510,429.775,16,2.319,5085.657,2.549,1.366
520,485.555,16,2.051,5094.274,2.096,1.329
530,474.586,16,2.094,5102.855,2.096,1.335
540,410.965,16,2.424,5111.411,2.265,1.374
550,447.087,16,2.228,5119.987,2.038,1.339
560,423.066,16,2.355,5128.559,2.027,1.342
570,433.163,16,2.3,5137.132,2.096,1.619
580,466.636,16,2.133,5145.723,2.081,1.655
590,478.675,16,2.081,5154.293,2.07,1.601
600,486.429,16,2.047,5162.883,2.118,1.353
610,474.992,16,2.095,5171.444,2.059,1.336
620,483.162,16,2.061,5180.025,2.066,1.34
630,480.931,16,2.072,5188.606,2.342,1.334
640,489.213,16,2.036,5197.183,2.253,1.351
650,468.362,20,2.125,5206.561,2.511,3.476
660,448.531,20,2.221,5215.157,2.243,1.347
670,480.215,20,2.074,5223.812,2.851,1.359
680,479.8,20,2.077,5232.397,2.186,1.346
690,445.375,20,2.24,5240.982,2.051,1.335
700,482.23,20,2.066,5249.567,2.23,1.331
710,432.582,20,2.303,5258.142,2.085,1.744
720,462.385,20,2.152,5266.725,2.534,1.357
730,467.946,20,2.129,5275.308,2.412,1.341
740,483.395,20,2.061,5283.902,2.315,1.356
750,471.254,20,2.114,5292.484,2.101,1.657
760,395.914,20,2.518,5301.073,2.119,1.66
770,495.295,20,2.011,5309.662,2.05,1.33
780,377.415,20,2.641,5318.247,2.085,1.325
790,482.207,20,2.066,5326.844,2.131,1.344
800,436.338,20,2.287,5335.425,2.142,1.363
810,418.358,20,2.385,5344.024,2.049,1.358
820,420.628,20,2.37,5352.621,2.081,1.354
830,483.279,20,2.065,5361.185,2.11,1.573
840,479.363,20,2.075,5369.786,2.117,1.367
850,476.781,20,2.089,5378.374,2.291,1.335
860,482.439,20,2.065,5386.963,2.299,1.37
870,479.019,24,2.079,5396.405,2.204,3.42
880,473.866,24,2.102,5404.991,2.245,1.374
890,461.042,24,2.16,5413.586,2.068,1.334
900,420.61,24,2.365,5422.16,2.859,1.386
910,448.089,24,2.224,5430.755,2.265,1.638
920,434.783,24,2.291,5439.333,2.09,1.646
930,473.934,24,2.1,5447.918,2.064,1.357
940,481.116,24,2.069,5456.494,2.052,1.33
950,479.892,24,2.076,5465.074,2.574,1.343
960,487.496,24,2.043,5473.651,2.273,1.363
970,477.441,24,2.086,5482.248,2.324,1.341
980,389.075,24,2.561,5490.819,2.38,1.666
990,475.15,24,2.093,5499.411,2.098,1.341
1000,423.442,24,2.354,5508.009,2.096,1.355
1010,488.854,24,2.037,5516.562,2.053,1.348
1020,433.783,24,2.297,5525.102,2.078,1.341
1030,486.713,24,2.047,5533.734,2.449,1.696
1040,482.323,24,2.069,5542.266,2.064,1.456
1050,363.901,24,2.739,5550.818,2.084,1.359
1060,488.591,24,2.039,5559.356,2.389,1.345
1070,475.466,24,2.095,5567.896,2.085,1.357
1080,422.904,24,2.356,5576.425,2.087,1.351
1090,466.962,28,2.133,5586.297,2.947,0
1100,458.358,28,2.172,5594.827,2.188,1.378
1110,464.016,28,2.147,5603.382,2.311,1.349
1120,459.411,28,2.169,5611.907,2.279,1.351
1130,475.24,28,2.098,5620.513,2.068,1.338
1140,432.04,28,2.306,5629.049,2.172,1.364
1150,433.971,28,2.296,5637.598,2.148,1.34
1160,483.582,28,2.06,5646.134,2.076,1.447
1170,484.754,28,2.054,5654.645,2.338,1.482
1180,484.004,28,2.058,5663.166,2.063,1.368
1190,470.721,28,2.116,5671.718,2.135,1.5
1200,434.764,28,2.292,5680.257,2.774,1.361
1210,489.093,28,2.037,5688.786,2.084,1.408
1220,479.432,28,2.078,5697.331,2.093,1.703
1230,448.612,28,2.221,5705.866,2.038,1.607
1240,485.885,28,2.049,5714.415,2.119,1.354
1250,440.257,28,2.261,5722.961,2.1,1.335
1260,430.552,28,2.313,5731.502,2.068,1.37
1270,476.281,28,2.09,5740.058,2.056,1.357
1280,484.332,28,2.057,5748.579,2.055,1.358
1290,488.95,28,2.037,5757.126,2.088,1.342
1300,413.616,32,2.409,5766.291,2.155,1.34
1310,405.17,32,2.459,5774.843,3.294,1.362
1320,461.042,32,2.161,5783.387,2.139,1.352
1330,483.863,32,2.057,5791.997,2.341,1.341
1340,422.565,32,2.36,5800.537,2.547,1.36
1350,372.717,32,2.674,5809.057,2.375,1.714
1360,478.286,32,2.083,5817.598,2.277,1.473
1370,482.859,32,2.061,5826.143,2.154,1.344
1380,436.053,32,2.285,5834.688,2.09,1.357
1390,475.828,32,2.094,5843.239,2.319,1.369
1400,480.862,32,2.072,5851.768,2.536,1.696
1410,418.743,32,2.379,5860.322,2.369,1.366
1420,477.783,32,2.087,5868.863,2.356,1.34
1430,391.896,32,2.542,5877.4,2.117,1.342
1440,471.276,32,2.113,5885.941,2.035,1.628
1450,386.877,32,2.577,5894.49,2.36,1.359
1460,427.204,32,2.333,5903.046,2.264,1.361
1470,413.223,32,2.411,5911.571,2.067,1.34
1480,483.512,32,2.06,5920.115,2.078,1.342
1490,484.684,32,2.055,5928.659,2.063,1.34
1500,470.522,32,2.117,5937.196,2.071,1.359
1510,447.107,32,2.229,5945.741,2.097,1.344
1520,413.907,36,2.408,5954.778,2.058,3.148
1530,470.699,36,2.115,5963.368,2.457,1.345
1540,445.454,36,2.236,5971.902,2.407,1.679
1550,477.874,36,2.083,5980.448,2.075,1.35
1560,479.57,36,2.075,5988.988,2.168,1.332
1570,477.464,36,2.086,5997.529,2.324,1.336
1580,419.006,36,2.379,6006.072,2.765,1.364
1590,480.515,36,2.074,6014.613,2.217,1.669
1600,474.068,36,2.101,6023.155,2.03,1.693
1610,485.178,36,2.052,6031.689,2.251,1.367
1620,457.059,36,2.178,6040.226,2.087,1.352
1630,442.184,36,2.253,6048.766,2.109,1.365
1640,471.631,36,2.113,6057.318,2.741,1.358
1650,485.578,36,2.052,6065.858,2.18,1.335
1660,444.148,36,2.243,6074.403,2.068,1.349
1670,451.121,36,2.208,6082.936,2.351,1.659
1680,379.291,36,2.628,6091.472,2.287,1.674
1690,442.38,36,2.253,6100.001,2.337,1.499
1700,417.973,36,2.385,6108.534,2.526,1.435
1710,408.38,36,2.441,6117.082,2.407,1.363
1720,469.021,36,2.124,6125.621,2.62,1.354
1730,473.709,36,2.103,6134.165,2.386,1.625
1740,403.112,40,2.473,6143.236,14.296,3.516
1750,459.263,40,2.17,6151.786,2.201,1.386
1760,393.778,40,2.534,6160.327,2.202,1.325
1770,415.007,40,2.408,6168.864,2.338,1.788
1780,458.505,40,2.173,6177.41,2.186,1.393
1790,473.709,40,2.103,6186.019,2.189,1.335
1800,438.02,40,2.275,6194.562,2.26,1.337
1810,426.058,40,2.338,6203.103,2.088,1.349
1820,467.268,40,2.132,6211.659,2.058,1.35
1830,443.105,40,2.249,6220.197,2.039,1.61
1840,482.532,40,2.062,6228.745,2.055,1.593
1850,486.216,40,2.048,6237.301,2.052,1.436
1860,487.353,40,2.043,6245.865,2.522,1.318
1870,477.989,40,2.084,6254.425,2.339,1.334
1880,449.438,40,2.215,6262.981,2.263,1.314
1890,478.332,40,2.081,6271.538,2.102,0
1900,456.976,40,2.18,6280.105,2.105,1.338
1910,482.789,40,2.063,6288.662,2.09,1.339
1920,478.813,40,2.081,6297.217,2.133,1.342
1930,472.858,40,2.107,6305.778,2.137,1.332
1940,481.626,40,2.069,6314.326,2.226,1.34
1950,408.497,40,2.44,6322.871,2.122,1.616
1960,405.597,44,2.458,6331.986,2.121,1.486
1970,454.876,44,2.19,6340.547,2.198,0
1980,397.298,44,2.509,6349.107,2.185,1.364
1990,454.256,44,2.193,6357.648,2.213,1.329
2000,410.341,44,2.429,6366.261,2.21,1.351
2010,380.822,44,2.588,6035.312,2.156,1.659
2020,467.968,44,2.129,5730.764,2.411,1.329
2030,460.045,44,2.165,5639.629,2.204,1.321
2040,473.261,44,2.104,5490.398,2.113,1.337
2050,471.587,44,2.111,5216.663,2.175,1.471
2060,430.441,44,2.311,4939.797,2.108,1.69
2070,411.641,44,2.421,4701.378,2.07,1.358
2080,402.69,44,2.477,4700.342,2.607,1.338
2090,418.498,44,2.379,4700.203,2.131,1.88
2100,449.378,44,2.217,4700.129,2.496,1.342
2110,486.618,44,2.044,4699.941,2.164,1.347
2120,395.023,44,2.522,4699.49,2.139,1.352
2130,466.875,44,2.132,4699.365,2.153,1.406
2140,418.183,44,2.381,4699.129,2.223,1.322
2150,403.584,44,2.47,4698.954,2.266,1.326
2160,438.731,44,2.269,4698.741,2.311,1.34
2170,433.633,44,2.279,4696.671,2.487,1.678
2180,445.673,48,2.239,4696.877,2.203,0
2190,412.49,48,2.413,4696.697,2.892,1.734
2200,476.508,48,2.093,4696.484,2.303,1.351
2210,449.458,48,2.218,4696.424,2.234,1.359
2220,478.194,48,2.084,4696.295,2.146,1.331
2230,482.625,48,2.064,4696.285,2.126,1.331
2240,454.607,48,2.192,4696.029,2.266,1.481
2250,475.851,48,2.093,4695.947,2.104,1.344
2260,479.708,48,2.076,4696.078,2.1,1.323
2270,472.97,48,2.107,4695.815,2.455,1.366
2280,483.349,48,2.059,4695.614,2.391,1.474
2290,438.789,48,2.273,4695.649,2.092,1.347
2300,447.608,48,2.226,4695.89,2.029,1.332
2310,415.697,48,2.397,4696.116,2.151,1.351
2320,406.918,48,2.447,4695.217,2.079,1.602
2330,473.238,48,2.107,4695.453,2.331,1.495
2340,420.274,48,2.368,4695.73,2.278,1.326
2350,457.896,48,2.176,4695.877,2.383,1.333
2360,455.726,48,2.187,4689.834,2.12,1.328
2370,430.182,48,2.316,4689.481,2.488,1.627
2380,475.715,48,2.094,4689.175,2.22,1.359
2390,445.891,52,2.235,4688.868,2.395,1.356
2400,378.1,52,2.635,4689.221,2.248,0
2410,454.856,52,2.193,4689.015,2.186,1.339
2420,436.948,52,2.28,4688.754,2.457,1.373
2430,457.457,52,2.178,4688.776,2.327,1.693
2440,464.123,52,2.146,4688.309,2.507,1.327
2450,463.693,52,2.145,4688.381,2.84,1.333
2460,440.49,52,2.265,4688.404,2.218,1.325
2470,376.591,52,2.647,4688.479,2.331,1.676
2480,399.792,52,2.493,4688.522,2.478,1.333
2490,448.712,52,2.221,4688.562,2.443,1.338
2500,447.828,52,2.223,4688.608,2.196,1.666
2510,378.258,52,2.638,4688.654,2.413,1.339
2520,413.343,52,2.41,4688.692,2.262,1.415
2530,462.963,52,2.152,4688.772,2.293,1.456
2540,399.138,52,2.496,4688.751,2.276,1.323
2550,392.665,52,2.54,4688.82,2.075,1.326
2560,460.045,52,2.166,4688.836,2.154,1.486
2570,470.301,52,2.118,4688.855,2.35,1.337
2580,450.572,52,2.211,4688.916,2.644,1.311
2590,446.588,52,2.232,4688.993,2.442,1.333
2600,442.948,52,2.249,4689.009,2.061,1.587
2610,461.531,56,2.159,4689.736,4.989,0
2620,422.03,56,2.361,4689.776,2.163,1.345
2630,419.692,56,2.375,4689.843,2.161,1.357
2640,409.45,56,2.436,4690.028,2.206,1.549
2650,462.129,56,2.155,4690.054,2.396,1.453
2660,336.451,56,2.983,4690.052,2.362,1.654
2670,429.019,56,2.32,4690.038,2.316,1.368
2680,432.115,56,2.299,4689.999,2.313,1.649
2690,430.57,56,2.315,4689.967,2.144,1.318
2700,426.658,56,2.336,4690.075,2.081,1.324
2710,476.372,56,2.091,4690.146,2.241,1.376
2720,466.157,56,2.137,4690.192,2.471,1.336
2730,447.527,56,2.224,4690.254,2.098,1.483
2740,460.426,56,2.166,4690.318,2.305,1.349
2750,455.456,56,2.187,4690.431,2.142,1.327
2760,457.164,56,2.18,4690.485,2.347,1.33
2770,426.913,56,2.334,4690.521,2.292,1.578
2780,398.851,56,2.5,4690.555,2.203,1.329
2790,448.712,56,2.22,4690.674,2.263,1.328
2800,450.877,56,2.208,4690.797,2.484,1.36
2810,434.179,56,2.292,4690.884,2.164,1.464
2820,433.651,60,2.298,4691.748,2.442,3.506
2830,428.669,60,2.326,4691.876,3.088,1.336
2840,411.946,60,2.422,4691.846,2.108,1.344
2850,454.009,60,2.193,4691.867,2.405,1.326
2860,464.684,60,2.143,4691.945,2.328,1.616
2870,422.601,60,2.36,4691.94,2.479,1.361
2880,443.243,60,2.251,4691.935,2.125,1.322
2890,471.498,60,2.111,4691.995,2.124,1.338
2900,480.354,60,2.073,4692.068,2.064,1.318
2910,472.188,60,2.112,4692.122,2.107,1.341
2920,492.975,60,2.02,4692.232,2.068,1.341
2930,430.052,60,2.313,4692.287,2.066,1.322
2940,445.851,60,2.234,4692.366,2.072,1.405
2950,438.039,60,2.274,4692.404,2.082,1.687
2960,474.721,60,2.097,4692.462,2.127,1.71
2970,442.811,60,2.252,4692.501,2.071,1.344
2980,450.288,60,2.211,4692.665,2.197,1.328
2990,448.752,60,2.22,4692.591,2.321,1.334
3000,418.043,60,2.384,4692.639,2.112,1.37
3010,481.278,60,2.069,4692.707,2.108,1.467
3020,487.972,60,2.04,4692.837,2.05,1.347
3030,490.292,60,2.032,4692.913,2.085,1.338
3040,308.328,64,3.234,4693.914,2.091,0
3050,479.386,64,2.077,4694.11,2.354,1.639
3060,448.853,64,2.22,4694.207,2.134,1.683
3070,441.034,64,2.256,4694.394,2.338,1.335
3080,478.813,64,2.081,4694.557,2.365,1.328
3090,475.783,64,2.093,4694.55,3.839,1.873
3100,470.212,64,2.115,4694.675,2.162,1.454
3110,421.994,64,2.362,4694.709,2.272,1.339
3120,420.097,64,2.372,4694.862,2.357,1.386
3130,419.657,64,2.375,4694.986,2.085,1.336
3140,477.213,64,2.087,4695.122,2.295,1.378
3150,484.473,64,2.056,4695.205,2.254,1.66
3160,454.876,64,2.19,4695.258,2.117,1.651
3170,476.667,64,2.088,4695.392,2.419,1.354
3180,480.4,64,2.073,4695.401,2.124,1.313
3190,468.472,64,2.125,4695.389,2.098,1.334
3200,479.524,64,2.077,4695.46,2.178,1.327
3210,490.292,64,2.031,4695.564,2.081,1.335
3220,484.308,64,2.057,4695.653,2.246,1.345
3230,448.27,64,2.223,4695.706,2.086,1.367
3240,422.351,64,2.36,4695.78,2.103,1.384
3250,62.284,68,16.046,4696.378,2.062,1.595
3260,387.612,68,2.571,4696.629,2.247,1.593
3270,465.506,68,2.141,4696.618,2.259,1.668
3280,452.489,68,2.202,4696.645,2.192,1.338
3290,429.461,68,2.32,4696.759,2.55,1.33
3300,449.721,68,2.216,4696.824,2.137,1.383
3310,478.675,68,2.081,4696.877,2.064,1.669
3320,486.642,68,2.047,4696.967,2.087,1.459
3330,487.377,68,2.043,4697.014,2.048,1.47
3340,426.876,68,2.334,4697.094,2.255,1.38
3350,366.717,68,2.719,4697.277,2.086,1.367
3360,470.411,68,2.117,4697.348,2.243,1.383
3370,451.753,68,2.205,4697.379,2.08,1.587
3380,454.773,68,2.191,4697.486,2.117,1.698
3390,485.743,68,2.05,4697.547,2.422,1.341
3400,481.719,68,2.068,4697.649,2.124,1.322
3410,474.744,68,2.097,4697.744,2.106,1.35
3420,471.231,68,2.114,4697.835,2.079,1.346
3430,448.853,68,2.22,4697.91,2.168,1.37
3440,446.468,68,2.232,4698.012,2.203,1.687
3450,466.875,68,2.135,4698.146,2.252,1.348
3460,480.284,68,2.074,4698.242,2.124,1.363
3470,448.009,72,2.224,4699.346,2.186,1.354
3480,451.916,72,2.203,4699.398,2.27,0
3490,412.235,72,2.417,4699.527,2.137,1.348
3500,445.931,72,2.23,4699.635,2.421,1.331
3510,484.66,72,2.055,4699.678,2.464,1.363
3520,455.332,72,2.184,4699.643,2.076,1.337
3530,485.178,72,2.053,4699.672,2.076,1.654
3540,482.649,72,2.064,4699.74,2.428,1.682
3550,490.653,72,2.034,4699.716,2.084,1.478
3560,483.582,72,2.064,4699.806,2.096,1.383
3570,476.849,72,2.088,4699.806,2.083,1.359
3580,486.571,72,2.047,4699.83,2.079,1.373
3590,483.723,72,2.059,4699.863,2.073,1.347
3600,462.492,72,2.154,4699.867,2.096,1.358
3610,451.937,72,2.205,4699.875,2.053,1.333
3620,416.701,72,2.391,4699.894,2.172,1.343
3630,426.548,72,2.336,4699.966,2.047,1.33
3640,470.876,72,2.116,4699.97,2.207,1.34
3650,479.272,72,2.078,4700.029,2.069,1.345
3660,477.646,72,2.086,4700.003,2.082,1.337
3670,440.548,72,2.253,4700.009,2.114,1.651
3680,486.476,72,2.048,4700.004,2.451,1.346
3690,458.148,76,2.174,4700.661,2.206,0
3700,474.586,76,2.099,4700.809,2.1,1.407
3710,469.065,76,2.124,4700.867,2.12,1.362
3720,489.38,76,2.035,4700.936,2.416,1.353
3730,477.259,76,2.087,4700.97,2.485,1.344
3740,448.43,76,2.226,4700.974,2.123,1.381
3750,415.731,76,2.398,4700.943,2.29,1.69
3760,424.052,76,2.35,4700.96,2.078,1.339
3770,411.083,76,2.426,4700.944,2.512,1.38
