FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,132.48,0,7.543,4218.545,2.8,3.115
20,356.366,0,2.801,4566.288,3.757,1.371
30,302.792,4,3.257,4580.833,2.646,2.144
40,367.282,4,2.706,4656.708,2.734,1.331
50,364.312,4,2.736,4671.439,2.728,2.366
60,343.206,4,2.907,4685.935,2.68,3.256
70,292.774,4,3.404,4700.792,3.174,1.631
80,286.73,4,3.441,4715.694,2.848,2.306
90,358.95,4,2.776,4732.156,3.458,1.66
100,361.454,4,2.758,4745.565,2.851,2.437
110,308.651,4,3.191,4759.12,2.759,1.822
120,380.387,4,2.617,4773.506,2.697,0
130,396.999,4,2.509,4786.873,3.004,2.244
140,323.175,4,3.079,4800.549,2.862,1.416
150,345.949,4,2.881,4814.902,2.478,1.388
160,389.742,4,2.561,4828.253,2.92,0
170,426.712,8,2.333,4856.286,2.604,3.081
180,318.827,8,3.13,4870.42,3.136,1.364
190,341.483,8,2.919,4883.635,3.338,2.205
200,408.68,8,2.437,4898.217,2.908,0
210,350.803,8,2.843,4911.425,2.769,1.334
220,358.886,8,2.775,4925.576,2.857,1.494
230,383.171,8,2.602,4427.063,2.666,3.143
240,344.685,8,2.896,4440.557,2.764,1.351
250,408.063,8,2.442,4453.409,3.029,1.536
260,353.294,8,2.824,4466.216,2.522,1.451
270,303.021,8,3.256,4479.767,2.487,1.525
280,344.851,8,2.892,4494.821,3.245,1.956
290,409.333,8,2.433,4508.16,2.61,2.05
300,361.873,8,2.75,4520.488,2.917,1.444
310,359.583,8,2.773,4533.715,2.676,1.511
320,378.229,8,2.637,4546.781,2.723,0
330,459.263,12,2.166,4553.265,2.524,0
340,467.617,12,2.13,4556.676,3.146,1.606
350,413.343,12,2.415,4560.255,2.193,1.324
360,437.733,12,2.275,4563.59,2.147,1.345
370,458.8,12,2.172,4566.868,2.279,1.617
380,409.149,12,2.436,4570.064,2.031,1.377
390,420.521,12,2.366,4573.302,2.242,1.338
400,446.488,12,2.228,4578.617,2.314,1.367
410,344.923,12,2.887,4827.463,2.276,1.755
420,444.761,12,2.244,4854.22,2.187,1.457
430,453.371,12,2.194,4884.318,2.294,1.503
440,462.065,12,2.155,4913.448,2.418,1.451
450,460.278,16,2.166,4943.735,2.416,1.607
460,462.257,16,2.153,4999.528,2.552,0
470,398.963,16,2.498,5028.912,2.266,1.339
480,405.745,16,2.452,5057.547,2.452,1.489
490,494.829,16,2.011,5067.682,2.01,1.336
500,500.225,16,1.998,5076.157,2.006,1.355
510,506.714,16,1.964,5084.63,1.986,1.332
520,504.108,16,1.976,5093.153,1.99,1.467
530,489.069,16,2.035,5101.64,1.996,1.646
540,497.166,16,2.001,5110.113,1.991,1.699
550,471.854,16,2.11,5118.584,2.004,1.696
560,489.716,16,2.033,5127.031,1.965,1.65
570,505.306,16,1.969,5135.507,1.96,1.634
580,468.669,16,2.124,5143.974,2.02,1.664
590,504.261,16,1.973,5152.453,2.005,1.662
600,506.817,16,1.963,5160.927,1.983,1.606
610,499.077,16,1.994,5169.404,2.031,1.333
620,452.653,16,2.2,5177.889,2.046,1.356
630,448.33,16,2.22,5186.362,1.972,1.351
640,381.592,16,2.583,5194.833,2.172,1.349
650,492.927,16,2.019,5203.316,2.262,1.347
660,500.826,16,1.987,5211.799,2.135,1.619
670,499.376,16,1.993,5220.27,2.017,1.451
680,489.093,20,2.037,5229.074,2.205,1.343
690,445.991,20,2.234,5237.679,2.421,1.699
700,492.684,20,2.018,5246.162,2.063,1.66
710,503.398,20,1.978,5254.637,1.998,1.616
720,504.058,20,1.981,5263.114,2.02,1.641
730,502.614,20,1.981,5271.592,2.07,1.692
740,497.29,20,2.001,5280.069,1.994,1.608
750,486.831,20,2.043,5288.572,1.946,1.595
760,491.715,20,2.025,5297.059,2.031,1.666
770,498.977,20,1.995,5305.543,1.967,1.616
780,490.653,20,2.031,5314.026,2.578,1.337
790,498.405,20,1.997,5322.498,2.494,1.388
800,365.992,20,2.687,5330.984,2.035,1.389
810,394.804,20,2.523,5339.479,2.091,1.35
820,498.132,20,1.998,5347.964,1.955,1.344
830,500.075,20,1.992,5356.446,2.078,1.341
840,446.289,20,2.237,5364.917,2.057,1.34
850,456.475,20,2.183,5373.413,2.053,1.334
860,443.991,20,2.24,5381.902,2.01,1.335
870,442.693,20,2.249,5390.373,1.98,1.32
880,495.27,20,2.011,5398.866,2.05,1.349
890,490.172,20,2.03,5407.355,1.987,1.309
900,482.602,20,2.063,5415.835,2.309,1.339
910,416.025,24,2.4,5424.71,2.06,1.337
920,479.685,24,2.073,5433.366,2.094,1.349
930,508.518,24,1.961,5441.854,2.001,0
940,498.678,24,1.99,5450.333,2.04,0
950,509.424,24,1.953,5458.832,2.278,1.362
960,396.149,24,2.516,5467.322,1.988,1.363
970,506.483,24,1.971,5475.937,2.232,1.367
980,493.389,24,2.023,5484.44,2.259,1.357
990,508.776,24,1.956,5492.934,1.995,1.43
1000,461.744,24,2.155,5501.416,2.001,1.364
1010,495.344,24,2.015,5509.91,2.018,1.356
1020,426.84,24,2.334,5518.401,2.085,1.34
1030,485.437,24,2.049,5526.969,2.067,1.362
1040,514.827,24,1.933,5535.466,2.006,1.418
1050,458.631,24,2.175,5543.945,2.287,1.509
1060,449.378,24,2.217,5552.442,2.078,1.345
1070,428.945,24,2.324,5560.92,2.005,1.469
1080,503.677,24,1.976,5569.427,1.985,1.503
1090,386.862,24,2.576,5577.91,2.177,1.664
1100,493.316,24,2.019,5586.399,2.053,1.464
1110,499.5,24,1.994,5594.886,2.038,1.663
1120,497.389,24,2.003,5603.372,2.027,1.352
1130,490.846,24,2.028,5611.863,2.011,1.498
1140,215.717,28,4.623,5621.052,2,3.192
1150,500.125,28,1.988,5629.537,2.54,1.661
1160,487.686,28,2.041,5638.04,2.079,1.351
1170,484.215,28,2.055,5646.529,2.03,1.321
1180,485.39,28,2.051,5655.011,2.278,1.368
1190,492.053,28,2.023,5663.503,2.252,1.33
1200,426.021,28,2.338,5671.979,2.017,1.352
1210,503.931,28,1.974,5680.482,2.22,1.37
1220,479.019,28,2.078,5688.962,2.023,1.346
1230,483.863,28,2.057,5697.461,2.031,1.36
1240,486.169,28,2.048,5705.935,2.047,1.346
1250,463.8,28,2.145,5714.428,1.986,1.347
1260,506.663,28,1.967,5722.926,1.996,1.338
1270,497.413,28,2.001,5731.405,1.985,1.343
1280,495.442,28,2.006,5739.903,2.019,1.349
1290,492.078,28,2.02,5748.386,2.015,1.346
1300,472.277,28,2.106,5756.888,2.022,1.37
1310,499.575,28,1.995,5765.395,2.076,1.337
1320,496.549,28,2.004,5773.873,2.076,1.336
1330,447.989,28,2.223,5782.367,2.03,1.347
1340,440.567,28,2.26,5790.843,2.528,1.359
1350,488.926,28,2.034,5799.344,2.369,1.359
1360,392.034,28,2.542,5807.832,1.98,1.462
1370,494.658,32,2.018,5816.669,1.989,3.143
1380,485.838,32,2.049,5825.747,2.021,1.35
1390,495.958,32,2.012,5834.25,2.074,1.345
1400,457.687,32,2.173,5842.741,2.111,1.36
1410,492.344,32,2.021,5851.226,2.013,1.363
1420,425.206,32,2.34,5859.721,2.494,1.379
1430,506.765,32,1.964,5868.206,2.035,1.656
1440,469.616,32,2.12,5876.706,2.027,1.624
1450,449.519,32,2.218,5885.193,2.02,1.504
1460,466.744,32,2.132,5893.664,2.031,1.458
1470,498.678,32,1.998,5902.164,1.98,1.467
1480,457.813,32,2.175,5910.644,2.003,1.688
1490,465.636,32,2.137,5919.15,2.029,1.743
1500,499.176,32,1.994,5927.642,2.034,1.696
1510,495.589,32,2.007,5936.13,2.058,1.673
1520,508.518,32,1.953,5944.617,1.938,1.657
1530,466.657,32,2.133,5953.099,2.037,1.671
1540,437.311,32,2.278,5961.607,2.012,1.591
1550,491.014,32,2.027,5970.105,1.987,1.642
1560,499.65,32,1.991,5978.588,2.281,1.332
1570,492.126,32,2.025,5987.098,2.023,1.34
1580,495.761,32,2.006,5995.581,2.018,1.391
1590,473.306,32,2.101,6004.077,2.031,1.316
1600,504.312,36,1.971,6012.681,2.345,0
