FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,151.233,0,6.6,4224.356,2.88,2.943
20,286.903,0,3.454,4582.35,2.781,1.375
30,21.9,4,45.654,4671.645,2.938,1.433
40,387.252,4,2.574,4685.795,2.939,1.407
50,302.728,4,3.29,4700.642,3.847,3.194
60,443.243,4,2.247,4715.605,3.216,0
70,403.568,4,2.469,4728.175,2.847,1.671
80,425.242,4,2.34,4740.509,2.626,1.606
90,364.219,4,2.727,4754.058,2.562,2.049
100,337.507,4,2.95,4768.116,2.545,0
110,383.597,4,2.6,4782.413,3.377,2.905
120,405.022,4,2.461,4796.436,2.703,2.414
130,349.443,4,2.853,4810.924,3.076,1.678
140,420.045,4,2.371,4822.955,2.93,1.361
150,384.29,4,2.596,4836.505,2.77,2.056
160,109.613,8,9.115,4865.659,2.62,1.376
170,305.437,8,3.261,4879.465,2.628,1.728
180,381.359,8,2.616,4892.419,2.783,0
190,313.529,8,3.183,4907.243,3.232,1.746
200,308.318,8,3.227,4922.248,2.937,1.476
210,400.336,8,2.49,4424.487,2.755,1.402
220,356.366,8,2.792,4437.947,2.671,1.353
230,360.568,8,2.764,4450.255,2.538,1.565
240,312.891,8,3.16,4464.642,3.778,3.029
250,298.098,8,3.347,4482.839,5.272,0
260,411.489,8,2.421,4497.485,2.613,1.804
270,343.501,8,2.903,4511.857,3.156,1.998
280,332.502,8,3.001,4525.458,3.088,1.907
290,341.565,8,2.913,4538.516,2.616,1.371
300,373.832,8,2.667,4547.845,2.259,1.497
310,67.96,12,14.708,4553.647,2.007,1.535
320,418.41,12,2.379,4560.349,2.424,3.339
330,458.505,12,2.169,4563.628,2.119,1.364
340,375.94,12,2.644,4567.01,2.104,1.389
350,392.065,12,2.543,4570.677,2.245,0
360,442.263,12,2.253,4574.18,2.403,1.347
370,473.575,12,2.103,4586.379,2.393,1.656
380,439.039,12,2.266,4824.788,174.266,2.971
390,447.989,12,2.217,4855.508,2.445,1.349
400,456.725,12,2.182,4882.057,2.174,1.642
410,452.284,12,2.201,4910.425,2.24,1.349
420,460.49,12,2.162,4939.462,1.994,1.349
430,457.729,12,2.176,4965.197,2.613,1.376
440,380.055,16,2.623,5017.595,2.216,2.992
450,513.69,16,1.941,5025.913,1.972,1.617
460,504.515,16,1.978,5034.193,1.972,1.333
470,490.581,16,2.03,5042.465,1.964,1.341
480,505.331,16,1.972,5050.761,2.019,1.32
490,443.557,16,2.249,5059.033,2.457,1.358
500,469.506,16,2.12,5067.301,1.973,1.324
510,508.208,16,1.961,5075.561,1.956,1.342
520,506.303,16,1.963,5083.934,1.947,0
530,515.039,16,1.934,5092.214,1.966,1.364
540,518.054,16,1.921,5100.498,1.927,1.349
550,502.614,16,1.98,5108.777,1.964,1.64
560,505.74,16,1.972,5117.054,1.981,1.607
570,506.278,16,1.964,5125.332,1.98,1.361
580,515.331,16,1.932,5133.6,1.916,1.343
590,472.411,16,2.107,5141.889,1.96,1.308
600,516.582,16,1.926,5150.187,1.92,1.346
