FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,166.478,0,6.007,4241.459,2.85,2.946
20,355.771,0,2.801,4592.677,5.49,1.694
30,306.88,4,3.251,4688.155,2.729,1.334
40,388.184,4,2.564,4701.982,2.909,1.654
50,320.328,4,3.15,4717.318,3.093,1.516
60,327.022,4,3.05,4732.715,3.279,1.744
70,296.991,4,3.356,4747.311,3.015,1.518
80,306.805,4,3.25,4762.309,3.12,1.383
90,319.56,4,3.126,4776.372,2.446,1.657
100,369.85,4,2.693,4789.1,2.504,1.654
110,368.677,4,2.704,4802.751,3.365,3.014
120,397.362,4,2.506,4815.062,2.623,1.612
130,389.499,4,2.56,4827.826,2.694,1.66
140,423.872,4,2.343,4840.649,3.038,2.122
150,342.747,4,2.906,4855.112,2.786,0
160,377.544,8,2.638,4874.66,2.636,2.955
170,302.728,8,3.297,4892.002,4.015,1.452
180,350.14,8,2.847,4907.327,3.108,1.683
190,404.711,8,2.462,4919.97,2.905,1.9
200,376.861,8,2.648,4932.25,3.042,1.586
210,349.418,8,2.858,4432.346,2.665,3.256
220,437.178,8,2.277,4444.673,2.356,1.683
230,326.52,8,3.056,4458.372,2.38,1.7
240,395.444,8,2.519,4472.721,2.815,1.517
250,378.258,8,2.635,4485.853,2.57,1.525
260,272.933,8,3.653,4500.368,3.769,1.492
270,407.93,8,2.441,4515.137,2.496,0
280,321.244,8,3.101,4529.045,3.526,1.977
290,321.73,8,3.097,4542.826,2.686,1.912
300,494.486,8,2.017,4550.789,2.641,1.635
310,368.8,8,2.724,4555.709,4.775,3.392
320,204.591,12,4.87,4561.916,2.15,1.715
330,439.406,12,2.263,4565.254,2.305,1.35
340,485.72,12,2.05,4568.291,2.537,1.365
350,473.575,12,2.102,4571.601,3.115,1.349
360,457.959,12,2.173,4574.888,2.421,1.349
370,432.32,12,2.299,4578.4,2.275,1.354
380,425.804,12,2.339,4598.276,2.007,1.974
390,456.475,12,2.184,4851.688,2.19,0
400,466.07,12,2.139,4879.428,2.451,1.631
410,372.37,12,2.675,4910.355,2.181,1.387
420,372.856,12,2.673,4940.077,2.413,1.527
430,356.506,12,2.796,4973.537,2.57,1.45
440,460.808,12,2.16,5002.089,2.845,1.332
450,424.899,16,2.345,5034.354,10.093,3.295
460,423.298,16,2.355,5042.734,2.326,1.341
470,461.106,16,2.161,5051.117,2.174,1.67
480,400.272,16,2.463,5059.489,2.152,1.608
490,456.913,16,2.181,5067.865,2.467,1.541
500,462.535,16,2.154,5076.254,2.405,1.346
510,522.139,16,1.908,5084.695,1.988,1.472
520,495.368,16,2.015,5093.13,1.954,1.562
530,505.919,16,1.967,5101.521,2.001,1.596
540,484.144,16,2.054,5109.898,2.01,1.63
550,512.138,16,1.943,5118.273,1.943,1.319
560,509.84,16,1.955,5126.634,1.969,1.329
570,440.005,16,2.263,5135.02,2.055,1.356
580,462.15,16,2.153,5143.398,1.946,1.352
590,436.11,16,2.284,5151.781,2.233,1.639
600,418.375,16,2.384,5160.163,1.959,1.677
610,443.145,16,2.251,5168.538,1.965,1.565
620,426.639,16,2.336,5176.9,1.97,1.324
630,425.568,16,2.339,5185.29,1.962,1.346
640,447.748,16,2.225,5193.651,1.982,1.345
650,508.699,16,1.959,5202.037,1.951,1.327
660,374.195,16,2.66,5210.409,1.943,0
670,506.303,16,1.963,5218.78,2.252,1.629
680,458.968,20,2.171,5227.615,1.935,1.324
690,462.535,20,2.154,5235.981,2.172,1.333
700,467.902,20,2.129,5244.376,2.242,1.335
710,419.27,20,2.376,5252.744,2.307,1.353
720,511.143,20,1.955,5261.177,2.794,1.643
730,510.022,20,1.951,5269.557,2.104,1.342
