FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,138.068,0,7.231,4226.243,2.248,2.938
20,362.647,0,2.748,4567.677,3.06,1.723
30,330.044,4,3.021,4581.052,2.853,1.661
40,315.129,4,3.163,4666.937,3.801,3.014
50,277.462,4,3.595,4683.326,3.463,1.706
60,307.806,4,3.216,4698.797,3.124,1.679
70,318.279,4,3.133,4714.23,3.399,3.449
80,340.356,4,2.932,4731.371,3.581,2.634
90,315.467,4,3.16,4746.946,3.221,2.186
100,282.646,4,3.53,4763.3,3.188,1.704
110,311.013,4,3.209,4778.422,3.272,2.276
120,250.645,4,3.989,4794.384,3.297,3.286
130,271.835,4,3.667,4810.501,3.186,1.841
140,282,4,3.538,4826.775,3.094,1.958
150,262.151,8,3.797,4856.698,3.323,3.195
160,323.353,8,3.081,4872.801,3.527,2.751
170,296.305,8,3.369,4888.906,3.957,3.085
180,312.93,8,3.189,4904.976,3.484,2.809
190,301.395,8,3.312,4919.643,3.283,4.242
200,246.999,8,4.04,4425.166,3.625,3.058
210,314.782,8,3.17,4441.976,3.621,2.886
220,344.756,8,2.896,4456.392,3.238,2.766
230,327.386,8,3.043,4471.629,3.622,3.463
240,305.848,8,3.263,4487.834,3.703,4.491
250,278.102,8,3.586,4504.818,3.892,0
260,319.234,8,3.126,4520.316,3.282,2.916
270,308.48,8,3.232,4536.368,3.732,2.898
280,413.548,12,2.409,4553.311,3.716,3.431
290,390.564,12,2.554,4557.069,2.596,1.683
300,308.785,12,3.228,4561.22,2.776,2.797
310,370.741,12,2.691,4565.025,2.482,1.708
320,362.871,12,2.747,4568.997,2.294,1.591
330,363.491,12,2.737,4573.223,3.125,1.962
340,355.568,12,2.802,4577.214,2.517,1.451
350,5.584,12,179.05,4810.322,2.488,1.622
360,372.8,12,2.677,4855.086,2.852,1.48
370,392.927,12,2.544,4887.511,2.903,1.758
380,24.457,16,40.844,4986.82,2.922,3.007
390,344.27,16,2.895,5004.534,2.523,3.08
400,384.408,16,2.593,5013.323,2.632,2.24
410,419.851,16,2.373,5022.094,2.346,2.314
420,423.531,16,2.353,5030.865,2.636,2.129
430,434.047,16,2.295,5039.63,2.395,2.507
440,417.066,16,2.389,5048.39,2.393,2.068
450,324.338,16,3.073,5057.183,2.391,2.464
460,417.763,16,2.386,5065.95,2.61,2.105
470,360.36,16,2.767,5074.721,2.808,2.199
480,389.438,16,2.559,5083.508,2.354,1.96
490,416.545,16,2.392,5092.286,2.381,2.219
500,347.054,16,2.873,5101.07,2.75,2.219
510,347.162,16,2.871,5109.838,2.757,2.442
520,424.322,16,2.345,5118.666,2.721,3.211
530,423.298,16,2.355,5127.436,2.569,2.219
540,352.46,16,2.83,5136.19,2.33,2.568
550,53.617,20,18.641,5145.862,2.659,2.306
560,420.574,20,2.37,5155.008,2.422,0
570,348.444,20,2.861,5163.781,2.48,2.253
580,404.204,20,2.466,5172.537,2.378,2.438
590,385.966,20,2.582,5181.306,2.714,2.179
600,415.058,20,2.4,5190.069,2.386,2.184
610,336.383,20,2.965,5198.814,2.942,3.039
620,425.08,20,2.345,5207.579,2.635,2.401
630,423.352,20,2.355,5216.354,2.359,2.251
640,390.488,20,2.552,5225.113,2.491,2.288
650,355.834,20,2.801,5233.875,2.767,2.741
660,426.167,20,2.338,5242.633,2.365,2.205
670,419.111,20,2.378,5251.399,2.377,2.309
680,378.315,20,2.636,5260.163,2.942,2.294
690,420.415,20,2.37,5268.926,2.329,2.014
700,419.34,20,2.376,5277.695,2.432,2.849
710,423.173,20,2.355,5286.46,2.369,2.232
720,417.781,20,2.385,5295.218,2.413,2.071
730,373.106,20,2.673,5303.993,2.537,2.23
740,392.742,24,2.539,5313.871,2.42,2.299
750,406.984,24,2.448,5322.676,2.52,1.505
760,399.505,24,2.495,5331.467,2.684,2.284
770,391.328,24,2.547,5340.282,3.116,2.426
780,361.651,24,2.757,5349.084,2.591,2.33
790,424.358,24,2.349,5357.946,2.42,3.379
800,326.829,24,3.051,5366.732,2.791,2.796
810,336.746,24,2.996,5375.676,2.416,2.135
820,404.809,24,2.461,5384.478,2.404,2.479
830,407.249,24,2.448,5393.243,2.743,2.526
840,364.498,24,2.734,5402.068,2.898,2.762
850,328.202,24,3.004,5410.875,2.41,2.527
860,423.747,24,2.349,5419.645,2.436,2.646
870,375.714,24,2.654,5428.489,3.01,2.352
880,346.921,24,2.872,5437.293,2.92,2.475
890,411.811,24,2.46,5446.089,2.838,2.746
900,415.697,24,2.398,5454.891,2.372,2.427
910,344.947,24,2.891,5463.71,2.97,2.475
920,406.851,28,2.449,5472.523,2.421,2.107
930,322.196,28,3.096,5482.626,2.832,3.117
940,347.427,28,2.87,5491.426,2.794,2.211
950,380.851,28,2.617,5500.297,2.623,2.212
960,402.739,28,2.474,5509.109,2.439,2.51
970,400.834,28,2.486,5517.93,2.808,2.388
980,399.872,28,2.492,5526.742,2.586,2.466
990,331.697,28,3.007,5535.564,2.447,2.315
1000,404.744,28,2.462,5544.374,2.701,2.026
1010,409.903,28,2.431,5553.184,2.622,2.438
1020,337.371,28,2.956,5562.006,2.511,2.365
1030,411.117,28,2.424,5570.897,2.507,2.578
1040,404.024,28,2.467,5579.721,2.467,2.092
1050,405.4,28,2.458,5588.535,2.505,2.027
1060,341.986,28,2.915,5597.327,2.621,2.281
1070,310.646,28,3.212,5606.144,2.441,2.248
1080,394.96,28,2.525,5614.965,2.411,2.255
1090,353.794,28,2.768,5623.786,2.47,2.346
1100,416.632,28,2.392,5632.6,2.538,2.554
1110,404.138,32,2.465,5642.865,3.022,3.551
1120,402.722,32,2.475,5651.726,3.074,2.991
1130,401.849,32,2.48,5660.569,2.54,2.507
1140,372.814,32,2.674,5669.425,2.542,2.105
1150,388.41,32,2.569,5678.282,2.533,2.798
1160,403.779,32,2.468,5687.116,2.509,2.698
1170,360.153,32,2.768,5695.957,3.141,2.89
1180,325.892,32,3.06,5704.821,2.982,3.113
1190,404.498,32,2.463,5713.668,2.596,2.677
1200,396.149,32,2.517,5722.536,2.576,2.464
1210,390.518,32,2.552,5731.379,2.494,2.751
1220,400,32,2.491,5740.237,2.551,2.613
1230,390.503,32,2.552,5749.083,3.065,3.34
1240,379.492,32,2.626,5757.955,2.623,2.924
1250,393.468,32,2.533,5766.791,2.536,2.414
1260,343.041,32,2.906,5775.634,3.019,2.59
1270,372.87,32,2.674,5784.471,2.934,2.875
1280,57.142,36,17.491,5794.241,3.029,2.817
1290,391.405,36,2.547,5803.294,2.576,1.927
1300,385.758,36,2.584,5812.149,2.938,3.094
1310,353.182,36,2.823,5820.974,2.723,2.793
1320,384.32,36,2.593,5829.808,2.699,3.331
