FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,104.446,0,9.545,4279.435,2.393,2.958
20,354.572,0,2.812,4612.489,3.631,0
30,8.835,4,113.108,4696.597,2.445,2.047
40,280.946,4,3.543,4717.67,3.69,0
50,294.994,4,3.375,4733.333,3.529,1.777
60,294.031,4,3.394,4748.322,3.383,2.764
70,323.897,4,3.081,4763.647,2.879,1.724
80,284.876,4,3.499,4779.587,3.692,1.58
90,345.913,4,2.883,4793.153,2.959,1.681
100,350.3,4,2.839,4807.538,3.051,0
110,253.55,4,3.933,4823.535,3.236,3.344
120,381.432,4,2.617,4838.105,2.673,1.376
130,264.117,4,3.785,4852.759,3.209,2.305
140,302.033,4,3.304,4866.733,2.787,1.99
150,134.439,8,7.428,4893.993,3.244,2.959
160,296.789,8,3.361,4909.681,3.43,2.064
170,332.989,8,2.993,4925.02,4.217,0
180,310.183,8,3.215,4941.605,3.984,3.32
190,321.378,8,3.105,4444.165,3.679,0
200,253.453,8,3.936,4459.623,3.356,0
210,273.403,8,3.635,4475.315,3.438,1.677
220,334.571,8,2.984,4490.032,3.263,1.647
230,299.554,8,3.325,4504.595,2.787,0
240,295.77,8,3.37,4522.707,6.415,0
250,270.321,8,3.688,4537.425,3.347,1.993
260,339.836,8,2.934,4552.753,2.977,1.491
270,458.106,8,2.171,4559.42,2.617,0
280,453.885,8,2.19,4563.175,2.508,1.433
290,365.083,12,2.728,4569.761,2.969,2.792
300,373.972,12,2.671,4573.827,3.41,2.133
310,434.802,12,2.29,4577.309,2.252,0
320,401.655,12,2.479,4580.91,2.561,2.208
330,415.507,12,2.398,4584.604,2.498,2.755
340,402.593,12,2.484,4598.303,2.912,2.236
350,399.265,12,2.499,4842,8.985,3.165
360,360.815,12,2.764,4871.645,2.433,2.25
370,367.309,12,2.711,4901.726,2.693,2.549
380,404.187,12,2.456,4932.449,2.614,2.142
390,402.674,12,2.477,4960.631,2.921,2.801
400,353.97,12,2.812,4992.996,2.744,2.237
410,401.429,16,2.481,5018.567,2.236,3.397
420,452.94,16,2.2,5027.162,2.512,0
430,463.006,16,2.154,5035.764,2.207,2.54
440,448.793,16,2.22,5044.391,2.253,1.923
450,398.819,16,2.498,5053.014,2.308,2.166
460,407.664,16,2.44,5061.666,2.232,2.463
470,453.947,16,2.195,5070.286,2.208,2.093
480,453.556,16,2.197,5078.915,2.202,2.195
490,415.144,16,2.4,5087.519,2.502,2.168
500,452.694,16,2.201,5096.143,2.557,2.066
510,438.251,16,2.273,5104.744,2.189,2.188
520,444.82,16,2.239,5113.393,2.224,2.183
530,445.295,16,2.237,5122.026,2.424,0
540,450.694,16,2.21,5130.625,2.272,2.512
550,430.515,16,2.314,5139.255,2.233,2.056
560,450.999,16,2.209,5147.881,2.29,2.166
570,451.162,16,2.208,5156.5,2.201,2.117
580,454.133,16,2.194,5165.102,2.199,2.351
590,450.146,16,2.214,5173.734,2.221,1.956
600,461.17,16,2.16,5182.35,2.244,2.101
610,418.831,20,2.384,5191.924,2.227,3.792
620,420.504,20,2.369,5200.523,2.414,1.479
630,444.405,20,2.243,5209.113,2.41,1.444
640,444.148,20,2.243,5217.734,2.471,1.432
650,418.113,20,2.382,5226.355,2.291,1.671
660,448.189,20,2.223,5234.961,2.204,1.447
670,390.183,20,2.552,5243.567,2.414,1.477
680,450.43,20,2.212,5252.132,2.524,1.539
690,412.95,20,2.413,5260.755,2.309,1.444
700,369.973,20,2.693,5269.343,2.408,1.615
710,435.085,20,2.29,5277.964,2.299,1.467
720,433.482,20,2.298,5286.556,2.299,1.734
730,408.664,20,2.437,5295.167,2.19,1.535
740,412.116,20,2.418,5303.757,2.49,1.492
750,393.964,20,2.531,5312.356,2.515,1.921
760,456.976,20,2.181,5320.954,2.255,1.834
770,450.106,20,2.207,5329.557,2.191,1.703
780,408.38,20,2.439,5338.172,2.266,1.452
790,450.653,20,2.21,5346.755,2.194,1.438
800,450.329,20,2.211,5355.372,2.212,1.414
810,451.488,20,2.206,5363.975,2.467,1.473
820,449.035,24,2.221,5374.019,2.302,3.337
830,447.928,24,2.225,5382.652,2.687,1.462
840,393.933,24,2.525,5391.264,2.433,1.739
850,454.03,24,2.195,5399.889,2.549,1.496
860,437.025,24,2.277,5408.48,2.29,1.663
870,441.618,24,2.257,5417.114,2.282,1.558
880,413.685,24,2.412,5425.725,2.405,1.625
890,446.19,24,2.233,5434.337,2.516,1.467
900,409.165,24,2.433,5442.987,2.236,1.448
910,446.588,24,2.23,5451.57,2.215,1.669
920,449.903,24,2.213,5460.19,2.325,1.454
930,445.097,24,2.237,5468.798,2.458,1.418
940,446.309,24,2.232,5477.434,2.235,1.434
950,424.953,24,2.348,5486.049,2.286,1.538
960,405.318,24,2.458,5494.684,2.486,1.551
970,409.45,24,2.436,5503.291,2.384,1.789
980,423.711,24,2.351,5511.884,2.279,1.409
990,446.07,24,2.232,5520.51,2.237,1.463
1000,440.82,24,2.26,5529.125,2.238,1.529
1010,414.13,24,2.406,5537.739,2.417,1.448
1020,76.597,28,13.045,5547.285,2.602,1.882
1030,439.039,28,2.268,5556.235,2.332,0
1040,442.674,28,2.25,5564.867,2.29,2.203
1050,403.714,28,2.468,5573.528,2.306,2.419
1060,448.41,28,2.221,5582.174,2.53,2.273
1070,442.87,28,2.249,5590.789,2.37,2.26
1080,402.609,28,2.475,5599.467,2.296,1.973
1090,391.083,28,2.547,5608.105,2.29,2.264
1100,444.464,28,2.242,5616.734,2.239,2.372
1110,397.804,28,2.507,5625.395,3.394,2.133
