FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,119.171,0,8.371,6106.166,3.691,3.292
20,341.693,4,2.918,6292.689,2.656,2.902
30,326.691,4,3.049,6305.779,2.572,2.402
40,335.514,4,2.968,6320.239,3.094,2.434
50,309.473,4,3.216,6334.047,2.711,1.85
60,343.1,4,2.908,6346.563,2.691,1.75
70,326.36,4,3.052,6359.594,2.524,1.591
80,270.658,8,3.689,6402.544,2.75,1.822
90,427.131,8,2.337,6406.826,2.612,1.515
100,426.967,8,2.335,6413.409,2.084,1.358
110,201.988,8,4.941,6444.07,2.103,1.376
120,72.596,8,13.664,6540.513,2.195,1.307
130,433.219,12,2.3,6495.197,116.127,0
140,499.476,12,1.997,6495.306,2.283,1.348
150,495.86,12,2.008,6495.477,2.151,1.313
160,420.946,12,2.368,6495.624,2.402,1.444
170,377.915,12,2.639,6495.809,2.369,1.295
180,425.641,12,2.342,6495.987,2.366,1.321
190,487.805,12,2.041,6496.188,2.151,1.585
200,441.618,12,2.184,6496.387,2.038,1.605
210,425.749,12,2.34,6496.614,2.189,1.623
220,365.203,12,2.73,6496.658,2.404,1.316
230,410.038,12,2.431,6496.79,2.528,1.89
240,341.157,12,2.928,6496.888,2.693,2.178
250,406.62,12,2.451,6496.949,2.947,0.012
260,347.826,12,2.865,6497.081,2.514,1.668
270,410.846,12,2.426,6497.253,2.027,1.33
280,495.688,12,2.008,6497.481,2.044,0
290,445.712,16,2.237,6497.729,2.022,1.592
300,260.797,16,3.824,6499.201,2.635,3.596
310,502.765,16,1.979,6499.497,1.961,1.4
320,494.315,16,2.012,6499.646,2.018,1.335
330,403.568,16,2.471,6499.813,2.013,1.354
340,353.87,16,2.821,6500.04,2.571,1.31
350,362.766,16,2.753,6500.198,2.494,1.544
360,497.191,16,2.002,6500.559,2.566,1.742
370,472.434,16,2.106,6500.615,2.009,0
380,486.452,16,2.047,6500.821,1.999,1.624
390,469.77,16,2.12,6500.888,1.989,1.588
400,444.8,16,2.231,6501.138,2.181,1.518
410,455.249,16,2.192,6501.189,2.216,1.326
420,443.203,16,2.246,6501.338,2.289,1.372
430,432.957,16,2.3,6501.392,2.056,0
440,434.179,16,2.292,6501.576,2.028,1.331
450,445.177,16,2.238,6501.869,1.978,1.325
460,499.251,16,1.995,6502.115,2.025,0
470,491.642,16,2.022,6502.278,2.113,1.351
480,490.412,16,2.03,6502.345,1.971,1.339
490,392.249,16,2.538,6502.623,2.316,0
500,251.237,20,3.972,6505.462,2.071,0
510,431.872,20,2.307,6505.592,2.238,1.334
520,482.556,20,2.063,6505.767,2.034,1.376
530,495.467,20,2.007,6505.948,2.036,1.353
540,449.357,20,2.214,6506.009,1.98,1.316
550,493.803,20,2.018,6506.326,2.005,1.392
560,496.327,20,2.009,6506.225,1.99,1.452
570,457.519,20,2.177,6506.31,1.982,1.474
580,506.098,20,1.964,6506.557,2.01,1.335
590,503.449,20,1.975,6506.726,1.97,1.582
600,453.844,20,2.196,6506.876,1.973,1.639
610,507.872,20,1.963,6507.06,2.357,1.321
620,463.994,20,2.146,6507.178,2.308,1.326
630,487.615,20,2.041,6507.378,1.994,1.332
640,487.9,20,2.037,6507.501,2.126,1.342
650,427.57,20,2.33,6507.623,2.189,1.341
660,468.011,20,2.132,6507.996,2.016,1.336
670,449.782,20,2.217,6508.161,2.244,0
680,448.672,20,2.219,6508.871,2.193,1.338
690,506.817,20,1.966,6508.554,2.016,1.333
700,502.386,24,1.979,6508.703,2.034,1.313
710,448.672,24,2.212,6512.808,3.595,1.602
720,460.978,24,2.159,6512.898,2.131,1.337
730,492.562,24,2.02,6513.029,2.033,1.316
740,495.172,24,2.01,6513.305,1.966,1.383
750,431.109,24,2.313,6513.376,2.295,1.344
760,421.977,24,2.359,6513.519,1.982,0
770,434.65,24,2.29,6513.622,2.006,0
780,450.248,24,2.215,6513.9,1.978,1.33
790,497.216,24,2.007,6513.987,2.221,1.333
800,458.779,24,2.171,6514.184,2.032,1.363
810,497.587,24,1.999,6514.398,2.169,1.451
820,497.141,24,2.003,6514.505,2.273,1.319
830,483.045,24,2.061,6514.565,2.27,1.346
840,507.151,24,1.965,6514.719,2.356,1.338
850,485.178,24,2.052,6514.947,2.072,1.317
860,492.078,24,2.021,6515.182,2.059,1.329
870,503.575,24,1.977,6515.471,2.036,1.329
880,503.525,24,1.982,6515.6,2.045,1.316
890,493.413,24,2.023,6515.621,2.605,1.331
900,441.891,28,2.255,6515.832,2.302,1.794
910,460.278,28,2.164,6515.946,2.108,1.343
920,420.574,28,2.369,6516.24,1.994,1.384
930,433.238,28,2.298,6516.486,2.019,1.399
940,434.292,28,2.297,6516.73,1.987,1.313
950,443.872,28,2.243,6516.832,1.987,1.387
960,429.258,28,2.322,6517.196,2.063,1.59
970,488.95,28,2.038,6517.412,2.038,1.605
980,498.728,28,1.998,6517.718,2.208,1.463
990,498.878,28,1.998,6517.854,2.054,1.494
1000,506.047,28,1.97,6518.062,2.007,1.613
1010,501.128,28,1.985,6518.267,1.966,1.704
1020,486.003,28,2.05,6518.466,2.33,1.61
1030,507.485,28,1.966,6518.695,2.018,1.593
1040,493.17,28,2.024,6518.916,1.984,1.613
