FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,188.733,0,15.208,1839.318,4.73,0.038
20,300.544,0,3.308,1839.823,1.777,0
30,582.785,0,1.707,1839.838,2.354,1.292
40,595.344,0,1.684,1839.859,1.666,1.305
50,374.223,4,2.685,1845.029,1.932,0
60,599.377,4,1.675,1845.05,1.934,1.302
70,580.956,4,1.737,1845.07,1.659,1.427
80,603.064,4,1.657,1845.089,1.752,1.311
90,507.82,4,1.962,1845.113,1.992,1.61
100,598.48,4,1.67,1845.128,1.684,1.318
110,601.576,4,1.655,1845.144,1.673,1.433
120,581.463,4,1.721,1845.162,1.804,1.346
130,591.401,4,1.71,1845.182,1.788,1.295
140,603.974,4,1.654,1845.205,1.893,1.306
150,581.058,4,1.696,1845.22,1.757,1.285
160,601.323,4,1.674,1845.24,1.675,1.366
170,600.24,4,1.664,1845.26,1.685,1.304
180,602.119,4,1.66,1845.281,1.689,1.326
190,605.18,4,1.66,1845.305,1.732,1.306
200,551.633,4,1.801,1845.32,1.724,1.304
210,580.417,4,1.708,1845.34,1.728,1.32
220,591.436,4,1.702,1845.36,1.865,1.308
230,589.866,4,1.693,1845.371,1.706,1.395
240,527.816,4,1.897,1845.395,1.706,1.328
250,509.217,8,1.982,1845.414,1.679,1.307
260,577.501,8,1.733,1850.565,1.925,0
270,587.889,8,1.701,1850.585,1.943,1.333
280,587.786,8,1.702,1850.604,1.748,1.315
290,544.455,8,1.821,1850.62,1.786,1.338
300,557.165,8,1.798,1850.642,1.689,1.325
310,598.802,8,1.669,1850.658,1.893,1.579
320,579.441,8,1.724,1850.677,1.684,1.327
330,601.793,8,1.662,1850.7,1.679,1.297
340,589.379,8,1.686,1850.72,1.698,1.31
350,576.868,8,1.731,1850.742,1.674,1.464
360,506.765,8,1.991,1850.752,1.692,1.304
370,520.562,8,1.914,1850.772,1.693,1.454
380,546.807,8,1.815,1850.795,1.686,1.312
390,524.907,8,1.939,1850.811,1.692,1.31
400,600.204,8,1.659,1850.828,1.688,1.458
410,597.621,8,1.675,1850.845,1.704,1.316
420,525.238,8,1.871,1850.866,1.831,1.713
430,537.663,8,1.863,1850.89,1.734,1.326
440,569.509,8,1.751,1850.906,1.883,1.32
450,521.512,8,1.93,1850.929,1.692,1.341
460,547.405,8,1.811,1850.945,1.676,1.284
470,546.508,8,1.825,1850.96,1.757,1.313
480,474.113,12,2.114,1853.548,1.705,0
490,593.225,12,1.692,1853.568,1.73,1.324
500,595.664,12,1.693,1853.587,1.952,1.531
510,526.537,12,1.904,1853.607,1.662,1.364
520,590.04,12,1.687,1853.626,1.695,1.598
530,516.076,12,1.953,1853.642,1.737,1.302
540,508.932,12,1.967,1853.661,1.645,1.296
550,566.284,12,1.762,1853.679,1.686,1.316
560,608.31,12,1.648,1853.699,1.662,1.301
570,594.99,12,1.667,1853.718,1.713,1.331
580,531.039,12,1.901,1853.741,1.758,1.323
590,590.807,12,1.7,1853.765,1.954,1.565
600,540.891,12,1.855,1853.795,1.975,1.317
610,576.469,12,1.726,1853.822,1.758,1.297
620,593.895,12,1.682,1853.854,1.837,1.6
630,516.129,12,1.94,1853.881,1.64,1.334
640,593.507,12,1.67,1853.912,1.657,1.407
650,540.745,12,1.84,1853.94,1.695,1.307
660,598.193,12,1.659,1853.975,1.665,1.585
670,585.72,12,1.686,1854.01,1.704,1.317
680,511.718,12,1.954,1854.033,1.729,1.352
690,583.839,12,1.697,1854.068,1.945,1.343
700,596.196,12,1.663,1854.092,1.842,1.315
710,579.139,12,1.731,1854.119,1.685,1.616
720,37.318,16,27.089,1856.716,1.83,1.333
730,525.155,16,1.889,1856.738,1.895,0
740,588.27,16,1.703,1856.769,1.684,1.32
750,540.103,16,1.838,1856.793,1.717,1.322
760,556.514,16,1.771,1856.826,1.705,1.321
770,599.664,16,1.666,1856.859,1.734,1.334
780,525.486,16,1.927,1856.883,1.788,1.307
790,580.484,16,1.711,1856.918,1.844,1.543
800,586.029,16,1.707,1856.941,1.882,1.347
810,512.426,16,1.949,1856.974,1.936,1.356
820,530.307,16,1.893,1856.998,1.702,1.343
830,526.648,16,1.895,1857.045,1.717,1.327
840,503.753,16,1.987,1857.104,1.692,1.317
850,530.138,16,1.919,1857.149,1.716,1.348
860,602.156,16,1.659,1857.208,1.737,1.604
870,580.754,16,1.737,1857.262,1.949,1.332
880,517.732,16,1.929,1857.309,2.052,1.608
890,578.269,16,1.745,1857.372,1.843,1.329
900,497.092,16,2.038,1857.419,1.862,1.347
910,601.251,16,1.661,1857.477,1.69,1.358
920,601.431,16,1.652,1857.536,1.756,1.352
930,590.528,16,1.705,1857.583,1.654,1.317
940,579.744,16,1.723,1857.645,1.715,1.322
950,584.419,16,1.684,1857.692,1.942,1.328
960,595.699,16,1.724,1857.747,1.722,1.323
970,401.881,20,2.568,1861.625,1.669,1.368
980,580.72,20,1.72,1861.692,2.837,0
990,513.69,20,1.953,1861.738,1.699,1.399
1000,601.359,20,1.668,1861.793,1.703,1.322
1010,540.103,20,1.863,1861.856,1.69,1.323
1020,583.499,20,1.718,1861.903,1.755,1.323
1030,498.008,20,2.022,1861.965,1.723,1.372
1040,495.983,20,2.031,1862.02,2.107,1.334
1050,596.908,20,1.676,1862.067,1.686,1.675
1060,602.083,20,1.669,1862.125,1.966,1.332
1070,585.035,20,1.706,1862.176,1.9,1.499
1080,513.822,20,1.944,1862.234,1.82,1.376
1090,611.172,20,1.653,1862.292,1.702,1.333
1100,594.566,20,1.67,1862.351,1.677,1.314
1110,535.475,20,1.872,1862.406,1.688,1.303
1120,599.233,20,1.676,1862.455,1.732,1.351
1130,587.613,20,1.693,1862.515,2.008,1.326
1140,583.362,20,1.698,1862.572,1.645,1.323
1150,588.685,20,1.703,1862.625,1.82,1.354
1160,505.689,20,1.986,1862.684,2.012,1.658
1170,598.659,20,1.68,1862.735,1.7,1.342
1180,605.473,20,1.658,1862.805,1.673,1.475
1190,590.528,20,1.702,1862.86,1.66,1.335
1200,599.7,20,1.667,1862.918,1.7,1.685
1210,580.114,24,1.748,1864.311,32.202,3.034
1220,592.979,24,1.681,1864.374,1.707,1.335
1230,601.323,24,1.67,1864.428,1.74,1.304
1240,606.907,24,1.65,1864.483,1.956,1.683
1250,604.485,24,1.651,1864.545,1.742,1.33
1260,531.265,24,1.889,1864.6,1.838,1.659
1270,576.469,24,1.714,1864.655,1.955,1.34
1280,529.886,24,1.884,1864.717,1.673,1.38
1290,571.527,24,1.757,1864.764,1.854,1.355
1300,602.991,24,1.655,1864.842,1.76,1.316
1310,545.852,24,1.849,1864.905,1.862,1.362
1320,548.005,24,1.796,1864.952,1.927,1.361
1330,556.731,24,1.791,1865.014,1.733,1.363
1340,586.201,24,1.697,1865.061,1.696,1.332
1350,545.703,24,1.828,1865.123,1.712,1.592
1360,501.002,24,2.001,1865.175,1.677,1.337
1370,520.616,24,1.896,1865.233,1.734,1.628
1380,577.234,24,1.748,1865.295,1.658,1.329
1390,565.291,24,1.76,1865.35,1.675,1.436
1400,583.669,24,1.716,1865.409,1.668,1.345
1410,592.768,24,1.679,1865.459,1.947,1.394
1420,578.068,24,1.728,1865.518,1.831,1.337
1430,593.049,24,1.684,1865.573,1.756,1.313
1440,586.889,24,1.718,1865.631,1.936,1.445
1450,590.388,24,1.673,1865.69,1.667,1.34
1460,587.648,24,1.701,1865.741,1.847,1.709
1470,31.267,28,31.952,1867.125,1.682,1.347
1480,531.067,28,1.888,1867.176,2.377,0
1490,545.197,28,1.83,1867.234,1.864,1.361
1500,580.181,28,1.72,1867.293,1.711,1.32
1510,577.601,28,1.725,1867.341,1.996,1.352
1520,590.947,28,1.692,1867.396,1.73,1.343
1530,584.317,28,1.72,1867.451,1.665,1.621
1540,506.098,28,1.974,1867.516,1.796,1.359
1550,531.463,28,1.876,1867.571,1.664,1.592
1560,606.502,28,1.659,1867.63,1.67,1.325
1570,584.761,28,1.697,1867.689,1.736,1.63
1580,604.887,28,1.651,1867.743,1.718,1.334
1590,599.341,28,1.671,1867.802,2.014,1.346
1600,596.054,28,1.672,1867.861,1.642,1.531
1610,588.478,28,1.698,1867.919,1.672,1.632
1620,498.132,28,1.999,1867.974,1.859,1.358
1630,601.395,28,1.659,1868.029,1.657,1.343
1640,604.741,28,1.655,1868.083,1.693,1.351
