FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,196.294,0,16.937,1867.103,1.904,3.068
20,305.923,0,3.257,1867.701,2.006,0
30,610.874,4,1.625,1867.74,1.632,1.297
40,445.097,4,2.244,1872.95,1.905,0
50,605.877,4,1.647,1872.997,1.647,1.264
60,590.005,4,1.694,1873.032,1.692,1.298
70,522.958,4,1.894,1873.079,1.665,1.565
80,605.034,4,1.651,1873.122,1.666,1.262
90,548.366,4,1.803,1873.165,1.67,1.272
100,608.939,4,1.639,1873.212,1.675,1.292
110,556.855,4,1.798,1873.247,1.808,1.594
120,596.588,4,1.678,1873.29,1.945,1.288
130,598.695,4,1.67,1873.333,1.639,1.61
140,515.198,4,1.924,1873.372,1.644,1.28
150,559.785,4,1.795,1873.419,1.803,1.523
160,598.408,4,1.682,1873.46,1.674,1.274
170,508.569,4,1.96,1873.503,1.681,1.306
180,608.976,4,1.643,1873.55,1.672,1.289
190,610.874,4,1.642,1873.588,1.689,1.587
200,599.233,4,1.663,1873.635,1.916,1.257
210,597.229,4,1.673,1873.68,1.648,1.513
220,545.703,4,1.821,1873.724,1.662,1.318
230,609.013,4,1.637,1873.762,1.643,1.266
240,564.079,4,1.777,1873.805,1.927,1.29
250,310.54,8,3.209,1878.946,1.878,0
260,601.504,8,1.652,1878.992,1.687,1.512
270,583.942,8,1.696,1879.031,1.927,1.259
280,601.214,8,1.677,1879.082,1.662,1.268
290,524.576,8,1.935,1879.125,1.699,1.286
300,503.651,8,1.993,1879.164,1.812,1.591
310,587.82,8,1.695,1879.203,1.69,1.288
320,521.485,8,1.919,1879.242,1.838,1.583
330,590.11,8,1.695,1879.289,1.706,1.305
340,494.56,8,2.023,1879.335,1.948,1.326
350,608.162,8,1.635,1879.374,1.756,1.262
360,515.756,8,1.927,1879.417,1.797,1.288
370,600.528,8,1.658,1879.462,1.804,1.503
380,593.437,8,1.667,1879.506,1.674,1.255
390,600.781,8,1.66,1879.549,1.667,1.294
400,594.424,8,1.69,1879.594,1.767,1.277
410,605.62,8,1.647,1879.641,1.672,1.303
420,600.348,8,1.659,1879.685,1.699,1.274
430,549.602,8,1.86,1879.727,2.079,1.29
440,592.979,8,1.692,1879.771,1.817,1.316
450,577.767,8,1.732,1879.821,1.66,1.264
460,508.182,8,1.947,1879.864,1.712,1.268
470,598.229,8,1.669,1879.911,1.679,1.283
