FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,20.983,0,47.64,4366.928,2.957,2.354
20,364.033,4,2.738,4839.712,3.74,2.358
30,345.197,4,2.888,4854.216,3.05,2.738
40,394.508,4,2.528,4867.358,2.916,1.545
50,346.428,4,2.855,4881.164,2.834,1.767
60,365.698,4,2.73,4893.974,2.866,1.446
70,421.781,4,2.364,4906.334,2.313,1.442
80,372.051,4,2.679,4918.916,2.843,2.359
90,404.449,4,2.455,4931.789,2.555,0
100,333.233,4,3.126,4944.831,3.302,2.376
110,7.927,8,126.081,5027.936,2.148,2.328
120,386.145,8,2.638,4530.035,3.824,2.785
130,413.633,8,2.427,4542.432,2.546,0
140,372.259,8,2.678,4555.855,2.917,0
150,323.206,8,3.085,4570.849,2.741,2.181
160,401.268,8,2.486,4585.037,2.855,1.373
170,373.72,8,2.668,4599.448,3.403,2.36
180,375.587,8,2.623,4614.038,3.097,1.819
190,335.345,8,2.973,4629.384,2.707,1.479
200,355.796,8,2.803,4644.212,2.825,1.198
210,345.375,8,2.889,4658.856,2.92,2.181
220,324.749,8,3.069,4673.444,3.467,2.181
230,438.693,12,2.269,4747.316,2.339,2.356
240,416.858,12,2.392,4750.732,2.199,2.417
250,384.025,12,2.599,4754.604,2.349,2.338
260,418.095,12,2.387,4758.17,2.397,2.097
270,372.232,12,2.677,4762.687,2.339,1.659
280,415.489,12,2.401,4769.696,2.362,1.064
290,325.383,12,3.058,4790.41,3.145,2.227
300,431.481,16,2.31,5093.991,3.184,2.771
310,455.104,16,2.189,5102.415,2.324,1.052
320,407.282,16,2.453,5110.912,2.563,1.259
330,528.43,16,1.886,5119.301,2.536,1.149
340,494.218,16,2.011,5127.71,1.895,0
350,538.184,16,1.848,5136.122,2.229,1.043
360,550.63,16,1.81,5144.524,2.213,1.36
370,534.874,16,1.86,5152.935,1.868,1.05
380,542.388,16,1.838,5161.342,1.952,0
390,523.013,16,1.905,5169.742,1.839,1.055
400,411.913,16,2.418,5178.166,1.826,0
410,450.248,16,2.214,5186.587,1.857,1.063
420,537.982,16,1.853,5194.983,1.945,1.207
430,544.455,16,1.828,5203.389,1.843,1.049
440,535.045,16,1.858,5211.802,1.971,0
450,531.434,16,1.872,5220.221,1.862,1.048
460,529.605,16,1.88,5228.628,1.876,1.379
470,460.554,16,2.163,5237.049,2.254,1.053
480,446.568,20,2.231,5248.132,2.023,0
490,476.94,20,2.089,5256.553,2.054,1.333
500,474.901,20,2.098,5264.951,2.058,1.477
510,479.685,20,2.077,5273.36,2.081,1.486
520,536.855,20,1.854,5281.891,2.014,1.506
530,538.358,20,1.848,5290.289,1.837,1.049
540,528.933,20,1.881,5298.698,1.84,1.045
550,457.854,20,2.177,5307.103,1.843,1.043
560,458.19,20,2.175,5315.512,1.818,1.369
570,521.757,20,1.908,5323.909,2.07,1.051
580,541.213,20,1.841,5332.319,1.839,1.05
590,527.343,20,1.887,5340.726,1.972,1.053
600,526.233,20,1.891,5349.134,1.871,1.345
610,543.596,20,1.828,5357.541,1.884,1.052
620,542.299,20,1.838,5365.946,1.835,0
630,462.62,20,2.153,5374.364,2.301,1.047
640,532.17,20,1.876,5382.763,1.842,1.248
650,528.095,20,1.882,5391.17,1.933,1.178
660,507.202,20,1.965,5399.601,1.859,1.046
670,541.712,20,1.837,5408.012,1.851,0
680,537.75,20,1.854,5416.422,1.862,1.046
690,543.478,20,1.833,5424.827,1.836,1.174
700,496.056,24,2.008,5435.894,2.762,0
710,437.56,24,2.277,5444.39,2.019,1.046
720,519.13,24,1.918,5452.779,1.887,1.046
730,538.213,24,1.849,5461.163,1.86,1.051
740,527.732,24,1.886,5469.57,2.06,1.175
