FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,143.445,0,6.964,4346.731,3.236,3.094
20,342.818,0,2.908,4696.844,3.007,1.567
30,373.148,4,2.673,4710.312,2.846,1.601
40,325.436,4,3.065,4726.856,2.997,1.339
50,317.178,4,3.149,4741.211,3.119,1.364
60,336.519,4,2.964,4756.646,3.437,1.715
70,316.817,4,3.143,4771.398,3.094,1.377
80,382.146,4,2.611,4785.607,3.102,1.644
90,318.026,4,3.134,4800.717,3.017,1.752
100,285.144,4,3.5,4815.969,3.263,1.471
110,330.251,4,3.015,4830.556,2.549,1.45
120,360.114,4,2.771,4844.981,2.576,1.708
130,285.559,4,3.494,4859.785,2.959,2.701
140,335.661,4,2.967,4875.471,3.187,1.919
150,309.339,4,3.223,4891.015,3.205,1.827
160,280.686,4,3.555,4905.727,2.64,1.414
170,293.781,4,3.365,4920.651,3.195,1.515
180,306.288,4,3.257,4936.882,3.805,1.357
190,242.037,8,4.126,4954.278,3.62,1.803
200,351.05,8,2.841,4969.542,3.761,2.547
210,333.968,8,2.981,4984.136,2.805,2.115
220,308.699,8,3.236,4998.769,3.143,1.907
230,314.971,8,3.168,5013.303,2.852,1.531
240,32.07,8,31.17,4516.313,3.441,0
250,336.519,8,2.961,4531.56,3.099,1.582
260,338.524,8,2.951,4546.051,2.905,1.59
270,333.879,8,2.991,4560.786,3.376,1.339
280,357.347,8,2.788,4575.163,2.738,1.337
290,352.759,8,2.825,4590.073,2.722,0
300,330.71,8,3.013,4605.327,3.138,1.591
310,396.087,8,2.516,4619.262,2.782,1.724
320,335.503,8,2.97,4633.662,2.879,2.702
330,317.632,8,3.141,4649.112,3.197,2.507
340,374.042,8,2.657,4663.697,2.72,1.963
350,308.214,12,3.233,4679.066,2.999,2.433
360,319.99,12,3.119,4694.99,2.655,0
370,268.025,12,3.718,4710.012,2.842,2.427
380,442.635,12,2.253,4723.409,3.724,2.069
390,382.57,12,2.609,4726.92,2.487,1.483
400,385.728,12,2.586,4730.47,2.25,1.41
410,433.332,12,2.294,4734.133,2.579,1.438
420,247.653,12,4.01,4737.878,2.312,1.44
430,432.077,12,2.303,4742.183,2.74,1.602
440,374.602,12,2.66,4746.135,2.518,1.374
450,421.905,12,2.361,4752.17,2.604,1.522
460,473.261,12,2.109,4759.561,2.294,1.728
470,107.227,16,9.327,5060.42,2.95,2.435
480,383.436,16,2.593,5093.633,2.526,1.359
490,373.692,16,2.669,5126.118,2.699,1.974
500,403.388,16,2.469,5159.677,2.574,1.428
510,386.518,16,2.577,5193.026,2.536,1.519
520,412.643,16,2.408,5221.494,3.594,1.691
530,430.404,16,2.314,5253.574,2.439,1.492
540,456.642,16,2.181,5281.094,2.454,1.931
550,463.092,16,2.15,5289.55,2.29,1.645
560,450.532,16,2.209,5298.008,2.128,1.354
570,437.254,16,2.278,5306.458,2.622,1.331
580,461.446,16,2.157,5314.917,2.163,1.336
590,456.871,16,2.179,5323.381,2.199,1.672
600,469.77,16,2.119,5331.847,2.249,1.351
610,458.926,16,2.169,5340.303,2.176,0
620,419.727,16,2.371,5348.773,2.171,1.337
630,454.112,16,2.191,5357.224,2.358,1.342
640,446.409,16,2.23,5365.683,2.163,1.605
650,461.51,16,2.162,5374.137,2.343,1.331
660,452.264,20,2.201,5382.66,2.919,1.351
670,405.745,20,2.455,5391.117,2.275,1.358
680,452.12,20,2.202,5399.57,2.196,1.319
690,445.494,20,2.24,5408.031,2.204,1.332
700,449.741,20,2.214,5416.498,2.286,1.338
710,459.855,20,2.167,5424.961,2.228,1.625
720,449.863,20,2.212,5433.419,2.205,1.347
730,454.03,20,2.194,5441.88,2.416,1.376
740,441.482,20,2.255,5450.336,2.309,1.345
750,457.059,20,2.18,5458.795,2.176,1.647
760,407.432,20,2.445,5467.274,2.259,1.53
770,445.494,20,2.237,5475.724,2.35,1.362
780,442.517,20,2.256,5484.181,2.164,1.334
790,443.046,20,2.247,5492.642,2.148,1.342
800,458.989,20,2.173,5501.099,2.232,1.337
810,456.1,20,2.185,5509.567,2.505,1.68
