FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,167.33,0,5.966,4303.152,3.373,2.92
20,369.495,0,2.692,4641.375,2.714,1.593
30,394.929,0,2.521,4655.687,2.702,2.075
40,280.348,4,3.558,4674.62,3.12,1.86
50,274.672,4,3.63,4690.366,3.263,2.43
60,326.872,4,3.055,4728.223,2.753,1.748
70,329.153,4,3.027,4742.822,3.064,1.351
80,358.359,4,2.78,4757.82,2.912,2.538
90,376.378,4,2.647,4772.946,4.423,3.349
100,340.611,4,2.931,4786.747,2.658,1.812
110,323.468,4,3.084,4801.594,3.296,2.927
120,387.447,4,2.573,4815.704,3.174,1.431
130,338.306,4,2.947,4829.547,3.382,1.521
140,294.586,4,3.384,4844.813,3.011,1.361
150,358.243,4,2.781,4860.543,3.611,1.39
160,345.638,4,2.887,4874.708,2.713,1.369
170,288.101,4,3.46,4888.695,3.167,1.806
180,282.255,8,3.53,4904.821,3.02,1.865
190,356.824,8,2.794,4919.432,2.756,1.39
200,341.74,8,2.916,4934.668,2.669,1.99
210,321.11,8,3.106,4949.483,2.938,1.993
220,384.911,8,2.588,4964.156,3.033,1.887
230,333.823,8,2.987,4978.855,2.917,3.072
240,281.278,8,3.544,4993.873,3.973,2.694
250,333.556,8,2.992,5008.805,3.297,2.328
260,288.193,8,3.466,5024.601,3,2.388
270,352.46,8,2.831,4526.832,2.784,1.76
280,277.531,8,3.594,4541.341,2.657,1.482
290,298.918,8,3.337,4557.275,3.381,3.135
300,267.852,8,3.73,4571.811,2.83,1.878
310,300.851,8,3.313,4586.549,2.843,2.07
320,351.642,8,2.834,4602.234,2.861,2.195
330,373.093,12,2.675,4616.779,3.573,2.179
340,297.371,12,3.353,4631.907,2.978,1.877
350,333.389,12,2.982,4647.809,4.059,2.017
360,302.489,12,3.297,4664.666,3.418,1.729
370,298.713,12,3.341,4680.165,3.068,2.413
380,321.461,12,3.104,4696.879,3.268,2.838
390,330.382,12,3.019,4712.423,2.997,1.439
400,189.104,12,5.266,4730.4,5.124,3.486
410,420.133,12,2.37,4734.134,2.569,1.6
420,340.913,12,2.922,4737.919,2.455,2.495
430,374.686,12,2.69,4741.487,3.081,1.332
440,432.713,12,2.301,4745.416,2.674,2.195
450,354.711,12,2.811,4748.904,2.432,1.331
460,319.765,12,3.119,4752.786,2.39,1.696
470,322.539,12,3.09,4758.171,2.262,1.642
480,354.862,12,2.811,4766.039,2.901,2.991
490,104.742,16,9.556,5053.31,3.373,1.352
500,379.867,16,2.621,5088.38,2.674,1.349
510,393.005,16,2.539,5123.532,3.368,2.891
520,385.683,16,2.582,5157.716,2.843,1.445
530,377.117,16,2.648,5193.58,2.795,1.415
540,389.454,16,2.559,5228.451,2.941,1.879
550,366.394,16,2.722,5258.762,2.5,2.229
560,392.711,16,2.534,5293.169,2.467,1.354
570,446.728,16,2.23,5316.107,2.35,1.476
580,421.834,16,2.36,5324.663,2.515,1.34
590,452.039,16,2.204,5333.216,2.291,1.345
600,448.732,16,2.22,5341.764,2.224,1.699
610,452.448,16,2.202,5350.308,2.218,1.339
620,333,20,2.994,5358.899,2.242,1.323
630,415.921,20,2.396,5367.437,2.449,1.671
640,364.578,20,2.735,5375.977,2.586,1.371
650,427.131,20,2.334,5384.534,2.349,1.781
660,422.404,20,2.359,5393.095,2.384,1.423
670,428.522,20,2.324,5401.729,2.316,1.557
680,429.516,20,2.32,5410.285,2.268,1.338
690,428.155,20,2.327,5418.836,2.24,1.316
700,421.55,20,2.365,5427.369,2.32,1.592
710,420.84,20,2.369,5435.93,2.312,1.359
720,449.883,20,2.215,5444.483,2.251,1.345
730,401.542,20,2.481,5453.03,2.274,1.64
740,442.576,20,2.25,5461.586,2.263,0
750,440.49,20,2.262,5470.131,2.234,1.342
760,414.01,20,2.408,5478.673,2.538,1.627
770,396.857,20,2.511,5487.234,2.511,1.575
780,392.603,20,2.539,5495.801,2.403,1.499
790,434.688,20,2.293,5504.343,2.274,1.32
800,438.5,20,2.273,5512.885,2.636,1.342
810,439.367,20,2.268,5521.44,2.528,1.365
820,445.058,20,2.238,5529.992,2.293,1.384
830,436.205,20,2.284,5538.535,2.356,1.334
840,385.238,24,2.588,5547.099,2.433,1.633
850,423.119,24,2.355,5555.658,2.346,1.345
860,329.121,24,3.03,5564.293,2.5,1.448
870,447.407,24,2.226,5572.857,2.319,1.49
880,437.464,24,2.276,5581.414,2.259,1.582
890,453.968,24,2.195,5589.967,2.165,1.336
900,438.924,24,2.27,5598.526,2.411,1.361
910,439.734,24,2.264,5607.076,2.25,1.622
920,426.639,24,2.336,5615.621,2.26,1.324
930,445.613,24,2.236,5624.179,2.321,1.36
940,451.284,24,2.206,5632.723,2.32,1.588
950,421.088,24,2.366,5641.284,2.256,1.322
960,400.465,24,2.489,5649.846,2.276,1.335
970,447.588,24,2.227,5658.39,2.285,1.56
980,413.445,24,2.411,5666.949,2.257,1.367
990,421.39,24,2.365,5675.509,2.511,1.418
1000,441.248,24,2.258,5684.062,2.293,1.426
1010,443.636,24,2.246,5692.624,2.445,1.337
1020,392.295,24,2.541,5701.185,2.281,1.379
1030,445.177,24,2.239,5709.822,2.43,1.786
1040,395.101,24,2.521,5718.371,2.393,1.327
1050,411.913,28,2.42,5726.939,2.425,1.458
1060,435.692,28,2.285,5735.582,2.284,1.555
1070,394.228,28,2.528,5744.147,2.304,1.578
1080,436.662,28,2.282,5752.715,2.313,1.346
1090,439.812,28,2.265,5761.274,2.293,1.332
1100,429.295,28,2.321,5769.835,2.513,1.585
1110,429.295,28,2.318,5778.404,2.382,1.486
1120,441.189,28,2.258,5786.967,2.287,1.822
1130,401.091,28,2.485,5795.533,2.269,1.368
1140,432.526,28,2.304,5804.098,2.324,1.353
1150,432.208,28,2.305,5812.666,2.304,1.607
1160,382.834,28,2.603,5821.23,2.515,1.395
1170,434.82,28,2.29,5829.791,2.264,1.751
1180,438.001,28,2.275,5838.348,2.265,1.341
1190,415.645,28,2.398,5846.905,2.43,1.525
1200,407.963,28,2.443,5855.48,2.407,1.455
1210,431.165,28,2.31,5864.08,2.532,1.367
1220,441.599,28,2.256,5872.674,2.267,1.618
1230,438.174,28,2.275,5881.261,2.279,1.359
1240,391.206,28,2.548,5889.841,2.252,1.339
1250,443.616,28,2.246,5898.454,2.289,1.397
1260,419.745,32,2.374,5907.06,2.264,1.408
1270,393.174,32,2.536,5915.654,2.515,1.375
1280,404.727,32,2.462,5924.248,2.571,1.636
1290,416.545,32,2.393,5932.837,2.352,1.351
1300,420.592,32,2.369,5941.456,2.405,1.441
1310,426.148,32,2.339,5950.146,2.635,1.443
1320,440.199,32,2.264,5958.731,2.24,1.436
1330,448.149,32,2.227,5967.315,2.244,1.605
1340,390.061,32,2.553,5975.944,2.28,0
1350,444.78,32,2.239,5984.524,2.395,1.357
1360,397.093,32,2.51,5993.121,2.356,1.638
1370,433.388,32,2.299,6001.72,2.267,1.579
1380,447.527,32,2.226,6010.314,2.337,1.523
1390,436.567,32,2.28,6018.913,2.259,1.354
1400,395.695,32,2.521,6027.523,2.314,1.38
1410,431.667,32,2.307,6036.105,2.248,1.408
1420,427.57,32,2.331,6044.717,2.746,1.41
1430,372.634,32,2.674,6053.316,2.536,1.456
1440,404.236,32,2.464,6061.913,2.499,1.377
1450,394.197,32,2.528,6070.521,2.292,1.405
1460,439.831,32,2.265,6079.115,2.25,1.354
1470,411.32,36,2.423,6087.745,2.599,1.369
1480,389.378,36,2.56,6096.345,2.372,1.376
1490,412.763,36,2.414,6104.938,2.363,1.352
1500,417.589,36,2.386,6113.544,2.401,1.501
1510,439.001,36,2.27,6122.233,2.293,1.421
1520,439.986,36,2.263,6130.824,2.438,1.428
