FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,160.699,0,6.219,4326.34,3.163,3.086
20,394.649,0,2.527,4664.346,3.302,5.1
30,296.639,4,3.361,4929.155,3.2,3.122
40,324.665,4,3.07,4945.794,3.331,1.869
50,289.981,4,3.437,4961.562,3.13,2.322
60,305.399,4,3.269,4977.521,3.339,2.954
70,291.019,4,3.428,4992.334,3.247,2.62
80,311.944,8,3.198,4548.35,3.906,3.202
90,288.65,8,3.452,4564.575,3.407,1.787
100,353.857,8,2.813,4579.888,3.666,1.849
110,302.042,8,3.301,4596.688,3.755,1.934
120,291.86,8,3.383,4611.896,3.739,1.727
130,325.956,8,3.059,4626.866,3.169,2.136
140,315.637,8,3.16,4643.607,3.379,0
150,339.501,8,2.936,4659.181,3.299,1.644
160,321.906,8,3.1,4674.392,3.213,1.906
170,299.374,8,3.334,4690.718,3.131,3.043
180,365.35,8,2.727,4706.503,3.602,2.757
190,225.18,12,4.402,4994.826,7.499,3.197
200,387.372,12,2.609,5003.535,2.891,1.921
210,5.638,16,177.357,5019.22,2.289,2.154
220,428.449,16,2.326,5028.047,2.288,1.478
230,411.37,16,2.423,5036.756,2.337,2.092
240,429.849,16,2.317,5045.487,2.303,2.337
250,359.415,16,2.775,5054.225,2.39,2.134
260,422.066,16,2.362,5063.009,2.6,2.504
270,412.78,16,2.412,5071.742,2.303,2.187
280,436.167,16,2.285,5080.467,2.326,1.94
290,427.15,16,2.333,5089.165,2.351,2.156
300,374.56,16,2.661,5097.933,2.491,2.34
310,397.125,16,2.511,5106.658,2.402,2.166
320,427.058,16,2.334,5115.391,2.32,2.226
330,412.49,16,2.42,5124.149,2.564,2.32
340,431.146,20,2.312,5132.872,2.403,2.048
350,405.252,20,2.46,5147.474,2.73,1.456
360,390.198,20,2.555,5156.281,2.672,2.062
370,419.569,20,2.375,5164.983,2.375,2.431
380,370.549,20,2.684,5173.728,2.693,2.334
390,406.951,20,2.449,5182.457,2.519,2.154
400,421.567,20,2.364,5191.189,2.349,2.193
410,418.778,20,2.38,5199.909,2.604,2.272
420,423.693,20,2.352,5208.654,2.694,2.496
430,404.4,20,2.459,5217.388,2.342,2.328
440,370,20,2.695,5226.113,2.79,2.144
450,428.522,20,2.325,5234.856,2.372,2.709
460,419.322,20,2.376,5243.596,2.425,2.209
470,426.439,20,2.337,5252.353,2.426,2.038
480,417.345,20,2.388,5261.079,2.339,2.202
490,414.714,20,2.402,5269.835,2.366,2.565
500,5.591,24,178.859,5283.98,2.492,2.251
510,421.265,24,2.366,5292.834,2.637,1.455
520,362.371,24,2.751,5301.657,2.788,2.229
530,396.306,24,2.513,5310.423,2.692,2.327
540,421.39,24,2.366,5319.188,2.403,1.727
550,390.518,24,2.551,5327.964,2.427,2.385
560,408.747,24,2.438,5336.728,2.532,2.324
570,416.719,24,2.392,5345.497,2.378,2.358
580,417.554,24,2.387,5354.252,2.402,2.291
590,405.466,24,2.461,5363.045,2.813,2.552
600,363.425,24,2.744,5371.836,2.443,2.728
610,377.415,24,2.641,5380.629,2.689,2.655
620,415.162,24,2.401,5389.392,2.53,2.349
630,392.172,28,2.542,5401.407,101.136,3.856
640,412.592,28,2.416,5410.3,2.612,1.9
650,376.35,28,2.648,5419.099,2.62,2.722
660,389.257,28,2.556,5427.895,2.406,2.148
670,409.534,28,2.435,5436.673,2.516,2.269
680,417.432,28,2.386,5445.453,2.46,2.505
690,419.41,28,2.376,5454.272,2.846,2.385
700,417.049,28,2.39,5463.059,2.721,2.017
710,420.663,28,2.366,5471.844,2.38,2.484
720,377.074,28,2.645,5480.667,2.758,2.349
730,411.455,28,2.423,5489.47,2.836,2.054
740,417.868,28,2.385,5498.255,2.515,2.579
750,382.497,28,2.606,5507.052,2.513,2.296
760,363.227,28,2.748,5515.855,2.784,2.385
770,414.938,28,2.402,5524.655,2.721,2.274
780,413.07,28,2.414,5533.455,2.444,2.19
790,394.836,32,2.524,5548.256,2.797,3.067
800,370.631,32,2.683,5557.067,2.927,2.97
810,385.55,32,2.591,5565.899,3.002,2.674
820,359.028,32,2.782,5574.731,2.728,2.615
830,409.886,32,2.432,5583.582,2.496,2.122
840,380.04,32,2.622,5592.425,2.484,2.9
850,405.104,32,2.46,5601.258,2.507,2.481
860,352.373,32,2.827,5610.071,2.653,2.527
870,347.234,32,2.871,5618.909,2.748,2.489
880,399.553,32,2.485,5627.74,2.991,2.549
890,406.322,32,2.453,5636.568,2.816,2.355
900,328.472,32,3.038,5645.402,2.795,2.526
910,364.777,36,2.732,5654.232,2.858,2.674
920,388.697,36,2.564,5666.425,2.488,1.529
930,406.901,36,2.45,5675.27,2.843,2.515
940,338.788,36,2.946,5684.107,2.502,2.751
950,331.016,36,3.014,5692.957,2.658,2.846
960,360.698,36,2.764,5701.789,2.614,2.82
970,391.405,36,2.547,5710.65,2.514,2.433
980,377.344,36,2.637,5719.529,2.572,2.281
990,381.709,36,2.609,5728.356,2.86,1.967
1000,400.352,36,2.491,5737.204,2.66,2.474
1010,393.67,36,2.533,5746.03,2.543,2.838
1020,403.372,36,2.471,5754.887,2.562,2.826
1030,359.015,36,2.777,5763.801,2.507,2.058
1040,335.931,36,2.971,5772.659,2.5,2.761
1050,394.431,36,2.526,5781.512,2.62,2.954
1060,361.546,36,2.758,5790.366,2.737,2.585
1070,395.946,40,2.516,5802.446,2.547,1.843
1080,388.848,40,2.564,5811.325,2.692,2.363
1090,393.933,40,2.53,5820.185,2.771,2.61
1100,396.778,40,2.512,5829.056,2.543,2.911
1110,396.244,40,2.516,5837.934,3.076,2.796
1120,395.054,40,2.523,5846.807,2.543,2.742
1130,386.175,40,2.581,5855.699,2.695,2.426
1140,399.218,40,2.497,5864.578,2.606,2.395
1150,398.502,40,2.502,5873.446,2.543,2.927
1160,398.375,40,2.502,5882.317,2.629,2.452
1170,355.859,40,2.8,5891.192,2.491,2.323
1180,395.413,40,2.522,5900.055,2.739,2.773
1190,392.234,40,2.541,5908.942,2.508,2.781
1200,397.519,40,2.508,5917.803,2.59,2.422
1210,399.09,40,2.495,5926.664,2.572,2.378
1220,396.967,40,2.511,5935.541,2.826,2.264
1230,393.159,44,2.535,5946.869,2.753,1.851
1240,394.68,44,2.525,5955.661,2.783,2.555
1250,392.372,44,2.542,5964.441,2.828,1.977
1260,396.118,44,2.517,5973.207,2.598,2.294
1270,379.622,44,2.625,5982.001,2.551,2.861
1280,350.68,44,2.843,5990.77,2.974,3.022
1290,351.729,44,2.834,5999.533,2.77,2.95
1300,369.946,44,2.694,6008.356,2.773,3.313
1310,350.189,44,2.846,6017.129,2.532,2.743
1320,394.228,44,2.527,6025.882,2.816,3.129
1330,389.272,44,2.561,6034.682,2.577,2.692
1340,391.85,44,2.545,6043.449,2.584,2.513
1350,394.914,44,2.526,6052.224,2.991,2.828
1360,342.677,44,2.91,6061.024,2.575,2.547
1370,385.253,44,2.588,6069.82,2.531,1.97
1380,187.631,48,5.323,6084.696,2.822,3.099
1390,381.723,48,2.612,6093.545,4.732,1.633
1400,387.537,48,2.572,6102.359,2.627,2.626
1410,387.913,48,2.572,6111.172,2.921,2.438
1420,392.588,48,2.539,6119.932,2.572,2.4
1430,386.1,48,2.582,6128.75,2.672,2.073
1440,383.966,48,2.595,6137.527,2.866,2.789
1450,388.651,48,2.565,6146.348,2.596,2.535
1460,389.151,48,2.561,6155.174,2.622,2.532
1470,366.341,48,2.72,6163.99,3.051,2.625
1480,386.967,48,2.578,6172.82,2.639,2.244
1490,298.089,52,3.346,6182.126,2.773,2.715
1500,385.966,52,2.582,6190.957,2.738,2.521
1510,387.702,52,2.572,6199.768,2.609,2.417
1520,384.143,52,2.596,6208.583,2.647,2.611
1530,384.305,52,2.594,6217.403,2.613,2.499
1540,346.524,52,2.881,6226.238,2.568,2.915
1550,367.579,52,2.711,6235.047,2.936,2.967
1560,350.005,52,2.855,6243.856,2.56,2.869
1570,377.102,52,2.641,6252.673,2.765,2.868
1580,389.955,52,2.557,6261.451,2.602,2.691
1590,337.143,52,2.964,6270.306,2.996,3.098
1600,350.459,52,2.846,6279.128,2.805,3.121
1610,390.031,52,2.556,6287.941,2.558,2.378
1620,352.945,52,2.825,6296.761,2.668,2.519
1630,390.839,52,2.55,6305.577,2.53,2.55
1640,382.497,52,2.606,6314.382,2.57,2.533
1650,342.971,52,2.905,6323.205,2.575,3.038
1660,384.157,52,2.595,6332.045,2.61,2.538
1670,367.148,52,2.718,6340.84,2.607,2.536
1680,340.379,56,2.93,6351.779,2.765,1.62
1690,357.603,56,2.79,6360.613,2.772,2.749
1700,380.923,56,2.617,6369.562,3.584,2.92
1710,384.823,56,2.589,6378.37,2.916,2.575
1720,341.845,56,2.917,6387.201,2.672,3.035
1730,342.196,56,2.911,6396.041,2.795,3.144
1740,375.474,56,2.654,6404.849,2.689,2.284
1750,336.123,56,2.971,6413.691,2.81,3.313
1760,374.602,56,2.661,6422.512,2.777,2.974
1770,385.639,56,2.586,6431.344,2.613,2.721
1780,378.472,56,2.632,6440.164,2.921,2.979
1790,376.18,56,2.652,6448.997,2.996,2.981
1800,373.329,56,2.674,6457.8,2.678,2.783
1810,379.694,56,2.626,6466.644,2.631,2.661
1820,378.358,56,2.635,6475.462,2.904,2.674
1830,322.414,56,3.093,6484.292,2.652,2.31
1840,302.325,60,3.3,6494.643,2.652,4.478
1850,376.067,60,2.65,6503.584,3.047,3.315
1860,377.686,60,2.638,6512.414,2.956,2.608
1870,327.375,60,3.046,6521.26,2.701,2.645
1880,357.603,60,2.788,6530.1,2.631,2.564
1890,377.615,60,2.64,6538.942,2.67,2.649
1900,339.374,60,2.939,6547.79,2.692,2.27
1910,365.097,60,2.731,6556.635,2.61,2.595
1920,362.582,60,2.749,6565.494,2.605,2.264
1930,383.465,60,2.6,6574.364,2.651,3.04
1940,382.015,60,2.609,6583.191,2.709,3.208
1950,383.112,60,2.603,6592.015,2.689,2.948
1960,381.986,60,2.611,6600.867,2.729,2.652
1970,368.161,60,2.708,6609.673,3.039,3.161
1980,329.142,60,3.03,6618.519,2.637,2.65
1990,375.516,60,2.652,6627.385,2.646,2.505
2000,379.075,60,2.631,6636.205,2.702,2.641
2010,346.176,64,2.877,6396.976,2.838,0
2020,376.563,64,2.646,5997.276,2.83,3.324
2030,336.61,64,2.959,5889.624,2.747,2.337
2040,294.629,64,3.385,5780.759,2.719,2.483
2050,353.619,64,2.817,5563.616,2.878,3.194
2060,345.722,64,2.887,5362.833,2.845,3.235
2070,216.816,64,4.62,5014.38,2.755,2.703
2080,330.743,64,3.013,4853.144,2.995,2.376
2090,367.175,64,2.717,4853.123,2.767,2.722
2100,343.584,64,2.902,4852.99,2.772,2.421
2110,363.65,64,2.74,4852.893,2.829,0
2120,372.745,64,2.675,4852.837,3.043,2.424
2130,7.892,68,126.694,4856.644,2.65,2.273
2140,302.444,68,3.297,4856.709,3.503,1.609
2150,312.188,68,3.195,4856.618,3.09,3.466
2160,329.522,68,3.026,4856.564,3.016,2.67
2170,373.315,68,2.672,4856.542,2.636,2.332
2180,374.518,68,2.662,4856.414,3.025,2.639
2190,372.981,68,2.673,4847.077,2.685,2.368
2200,361.089,68,2.76,4847.418,2.729,2.425
2210,373.762,68,2.668,4847.714,2.678,2.326
2220,371.126,68,2.687,4847.777,3.228,3.123
2230,373.664,68,2.667,4848.092,3,2.644
2240,335.143,68,2.973,4848.426,2.687,2.892
2250,343.006,68,2.906,4848.695,3.178,3.05
2260,4.841,72,206.482,4854.897,3.082,2.54
2270,328.256,72,3.039,4855.334,2.728,1.663
2280,304.081,72,3.318,4855.647,3.269,3.051
2290,324.076,72,3.078,4855.987,3.058,3.42
2300,345.113,72,2.888,4856.307,3.388,3.323
2310,189.484,72,5.257,4857.379,3.773,3.33
2320,228.514,72,4.365,4856.953,3.58,3.09
2330,289.645,72,3.446,4857.268,3.366,3.482
2340,278.257,72,3.599,4857.6,3.977,4.397
2350,327.557,76,3.047,4859.733,55.758,5.255
2360,335.3,76,2.976,4860.062,3.432,3.123
2370,224.936,76,4.44,4860.462,3.264,3.196
2380,295.727,76,3.37,4860.802,3.552,3.113
2390,270.871,76,3.678,4861.17,3.931,3.792
2400,259.74,76,3.84,4861.529,3.823,4.212
2410,247.752,76,4.022,4861.904,3.887,3.781
2420,275.687,76,3.619,4862.421,3.274,2.914
2430,255.794,76,3.898,4862.754,4.31,5.571
2440,245.604,76,4.062,4863.05,3.51,3.27
2450,214.754,76,4.645,4863.457,3.958,3.355
2460,283.809,76,3.523,4863.833,4.49,4.109
2470,325.457,80,3.062,4870.934,3.87,1.986
2480,319.53,80,3.139,4871.325,3.604,3.164
2490,337.439,80,2.956,4871.724,3.035,3.154
2500,315.189,80,3.164,4872.123,3.665,3.359
2510,340.287,80,2.934,4872.247,3.434,2.979
2520,304.683,80,3.273,4872.588,3.153,0
2530,286.837,84,3.47,4873.575,3.288,2.242
2540,303.269,84,3.293,4873.934,3.168,1.971
2550,259.329,84,3.846,4874.425,3.433,3.036
2560,329.196,84,3.027,4874.794,3.37,3.253
2570,289.788,84,3.442,4875.182,2.884,2.994
2580,340.971,84,2.928,4875.574,3.255,3.183
2590,287.844,84,3.46,4875.944,2.872,2.815
2600,341.157,84,2.926,4876.326,2.898,2.93
2610,295.648,84,3.377,4876.712,2.994,2.512
2620,344.104,84,2.896,4877.029,3.028,3.313
2630,330.611,84,3.016,4877.243,3.248,5.093
2640,301.187,84,3.315,4877.618,3.102,3.062
2650,280.489,84,3.559,4877.976,3.341,2.816
2660,349.54,84,2.855,4878.323,3.859,2.832
2670,347.343,84,2.872,4878.67,2.926,3.202
2680,342.63,88,2.909,4879.519,3.361,2.514
2690,296.789,88,3.362,4879.945,2.925,3.223
2700,297.77,88,3.343,4880.435,3.539,2.612
2710,303.813,88,3.28,4880.829,3.538,3.459
2720,350.435,88,2.848,4881.132,3.217,2.878
2730,275.733,88,3.618,4881.534,2.916,3.876
2740,268.586,88,3.668,4881.925,3.007,2.927
2750,137.994,88,6.304,4882.317,3.703,2.683
2760,167.811,88,5.94,4882.707,6.576,5.307
2770,313.598,88,3.184,4362.775,32.128,4.676
2780,256.621,88,3.888,4363.07,2.929,3.199
2790,336.168,88,2.967,4363.124,3.251,2.406
2800,288.284,88,3.453,4363.416,3.506,2.242
2810,307.73,92,3.242,4366.89,6.113,4.262
2820,333.478,92,2.99,4367.129,3.784,3.45
2830,339.616,92,2.938,4367.422,3.13,2.969
2840,351.198,92,2.839,4367.701,3.462,3.679
2850,343.053,92,2.903,4367.994,2.858,2.844
2860,328.44,92,3.038,4368.305,2.91,3.089
2870,341.099,92,2.924,4368.557,2.809,2.676
2880,271.783,92,3.67,4368.793,3.506,3.77
2890,336.95,92,2.959,4369.011,2.898,2.901
2900,335.999,92,2.967,4369.231,2.866,2.97
2910,338.719,92,2.945,4369.477,2.874,2.275
2920,181.802,96,5.491,4370.076,2.936,2.739
2930,335.751,96,2.977,4373.023,115.668,4.854
2940,289.059,96,3.455,4373.288,2.906,3.227
2950,319.112,96,3.123,4373.545,2.938,2.782
2960,271.687,96,3.672,4373.833,2.908,2.329
2970,306.054,96,3.328,4374.089,2.949,2.883
2980,270.256,96,3.688,4374.386,3.081,3.197
2990,292.244,96,3.409,4374.668,8.141,5.892
3000,273.748,96,3.647,4374.948,3.218,3.113
3010,312.305,96,3.198,4375.282,3.061,3.039
3020,260.62,96,3.829,4375.762,3.088,2.968
3030,344.187,96,2.899,4375.853,3.083,3.631
3040,328.526,100,3.033,4376.624,3.1,3.241
3050,323.008,100,3.084,4376.905,3.175,3.419
3060,293.324,100,3.374,4377.188,3.542,3.606
3070,279.275,100,3.568,4377.358,3.114,0
3080,303.841,100,3.282,4377.641,3.103,2.516
3090,306.852,100,3.246,4377.9,3.258,0
3100,313.391,100,3.182,4378.202,3.756,3.989
3110,351.321,100,2.838,4378.446,2.908,2.821
3120,315.647,100,3.159,4378.732,3.072,3.291
3130,326.062,100,3.059,4378.994,2.881,3.316
3140,343.018,100,2.909,4379.239,2.853,2.765
3150,280.93,100,3.545,4379.51,2.87,2.678
3160,349.883,100,2.85,4379.772,3.021,2.378
3170,342.771,100,2.907,4380.043,2.922,3.59
3180,340.46,100,2.929,4380.322,2.861,3.3
3190,293.988,100,3.391,4380.578,3.064,2.617
3200,321.151,104,3.106,4381.308,5.034,2.925
3210,290.301,104,3.434,4381.635,3.016,1.679
3220,299.464,104,3.322,4381.922,3.088,1.367
3230,333,104,2.996,4382.114,3.004,2.927
3240,295.264,104,3.378,4382.476,3.301,3.365
3250,333.489,104,2.994,4382.848,3.309,2.976
3260,273.142,104,3.654,4383.206,2.957,2.683
3270,327.912,104,3.043,4383.575,2.967,1.376
3280,291.477,104,3.415,4383.949,2.95,2.006
3290,276.045,104,3.617,4384.32,2.935,2.989
3300,325.648,104,3.064,4384.672,3.234,1.986
3310,310.241,104,3.215,4385.053,3.047,1.272
3320,325.669,104,3.062,4385.415,3.357,1.441
3330,340.136,104,2.931,4385.78,2.939,2.994
3340,311.983,104,3.192,4386.14,3.397,2.99
3350,345.34,104,2.888,4386.483,2.96,2.627
3360,322.456,108,3.09,4388.728,4.42,3.391
3370,290.326,108,3.436,4389.108,3.641,2.381
3380,333.056,108,2.994,4389.353,3.413,1.565
3390,341.764,108,2.919,4389.599,3.046,1.597
3400,277.639,108,3.594,4389.964,3.496,2.89
3410,274.018,108,3.641,4390.295,3.097,2.851
3420,291.231,108,3.425,4390.706,2.991,2.288
3430,332.657,108,2.998,4391.057,3.311,1.504
3440,316.927,108,3.132,4391.408,3.251,1.666
3450,285.323,108,3.499,4391.804,3.024,2.594
3460,332.303,108,3.001,4392.088,3.354,2.556
3470,335.909,108,2.97,4392.403,2.982,1.814
3480,297.168,108,3.351,4392.737,3.051,1.988
3490,314.495,112,3.17,4394.273,3.11,1.328
3500,319.193,112,3.125,4394.647,3.126,2.772
3510,335.166,112,2.975,4395.042,3.112,2.984
3520,294.872,112,3.374,4395.429,2.954,2.796
3530,298.525,112,3.342,4395.794,2.986,1.767
3540,338.112,112,2.953,4396.147,3.504,2.653
3550,331.939,112,3.003,4396.538,3.82,2.102
3560,329.544,112,3.027,4396.92,3.011,2.789
3570,343.926,112,2.899,4397.277,2.976,2.707
3580,291.078,112,3.422,4397.659,2.927,2.818
3590,343.03,112,2.907,4397.989,2.984,1.858
3600,298.525,112,3.342,4398.359,2.989,2.723
3610,293.401,112,3.395,4398.731,2.938,1.944
3620,300.255,112,3.323,4399.116,3.028,1.769
3630,344.293,112,2.896,4399.467,3.696,1.402
3640,321.264,116,3.105,4400.426,3.056,1.869
3650,231.927,116,4.295,4400.85,3.088,1.552
3660,311.74,116,3.2,4401.206,3.06,1.306
3670,270.468,116,3.694,4401.572,2.997,1.788
3680,336.202,116,2.966,4401.813,3.484,1.339
3690,336.576,116,2.964,4402.192,3.384,1.709
3700,334.975,116,2.977,4402.541,3.691,1.648
3710,329.826,116,3,4402.924,3.081,1.775
