FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,140.418,0,7.113,4319.718,2.958,3.072
20,317.41,0,3.137,4671.898,3.23,1.397
30,288.584,4,3.462,4766.302,147.386,3.094
40,359.247,4,2.768,4781.682,3.127,3.42
50,311.488,4,3.196,4796.766,3.352,2.826
60,322.362,4,3.091,4812.114,3.072,2.889
70,339.075,4,2.939,4826.685,2.782,2.234
80,276.167,4,3.61,4842.317,3.336,2.371
90,311.672,4,3.201,4857.668,3.25,1.42
100,289.796,4,3.442,4873.139,3.319,1.798
110,336.146,4,2.964,4888.761,3.346,1.364
120,320.667,4,3.11,4903.918,2.863,1.39
130,279.908,4,3.567,4919.687,2.892,1.422
140,341.402,8,2.923,5010.509,3.192,1.762
150,340.067,8,2.936,4512.512,3.177,1.657
160,262.757,8,3.76,4527.633,3.671,1.754
170,287.422,8,3.466,4544.561,4.684,3.073
180,304.516,8,3.27,4560.487,3.24,1.706
190,327.461,8,3.05,4576.987,3.466,1.734
200,294.586,8,3.384,4592.263,3.317,1.856
210,316.426,8,3.155,4609.098,3.453,3.484
220,313.175,8,3.185,4625.153,3.32,3.123
230,356.557,8,2.798,4640.815,3.95,3.091
240,378.115,12,2.637,4724.115,3.244,3.216
250,379.204,12,2.628,4727.805,2.644,2.244
260,415.334,12,2.406,4731.493,2.59,2.374
270,422.208,12,2.36,4735.384,2.567,2.193
280,306.833,12,3.252,4739.311,2.509,0
290,339.582,12,2.936,4743.638,2.858,2.257
300,391.083,12,2.551,4749.155,2.55,2.439
310,350.791,12,2.838,4756.512,2.37,2.537
320,4.984,16,200.606,5037.952,3.381,2.953
330,354.108,16,2.815,5130.137,2.283,1.742
340,378.358,16,2.631,5139.294,2.747,1.454
350,434.613,16,2.292,5148.41,2.248,1.721
360,435.066,16,2.289,5157.54,2.276,0
370,443.4,16,2.246,5166.666,2.51,1.443
380,446.508,16,2.231,5175.788,2.268,1.637
390,424.088,16,2.35,5184.91,2.282,1.434
400,384.645,16,2.59,5194.051,2.674,1.563
410,436.338,16,2.283,5203.176,2.25,1.433
420,434.197,16,2.296,5212.303,2.259,1.443
430,444.583,16,2.242,5221.409,2.224,1.714
440,444.425,16,2.242,5230.536,2.24,1.429
450,443.066,20,2.248,5239.667,2.251,1.422
460,420.84,20,2.368,5252.692,2.256,1.424
470,423.298,20,2.354,5261.815,2.32,0
480,432.769,20,2.303,5270.945,2.641,2.207
490,432.863,20,2.302,5280.056,2.291,2.131
500,432.957,20,2.301,5289.171,2.309,2.303
510,377.929,20,2.636,5298.321,2.255,2.347
520,416.597,20,2.393,5307.476,2.792,2.422
530,436.243,20,2.282,5316.563,2.519,2.379
540,414.336,20,2.405,5325.718,2.282,2.14
550,438.885,20,2.27,5334.824,2.311,2.263
560,381.214,20,2.611,5343.977,2.262,2.091
570,436.719,20,2.281,5353.064,2.442,2.18
580,433.445,20,2.3,5362.192,2.432,2.22
590,434.953,20,2.291,5371.302,2.605,2.003
600,438.193,20,2.274,5380.443,2.311,2.198
610,437.675,20,2.279,5389.565,2.391,2.587
620,356.354,20,2.797,5398.712,2.312,2.164
630,433.689,20,2.299,5407.793,2.62,2.356
640,448.109,20,2.223,5416.92,2.738,2.184
650,408.48,24,2.442,5430.729,2.383,0
660,433.351,24,2.299,5439.915,2.379,2.183
670,423.657,24,2.353,5449.105,2.348,2.183
680,409.417,24,2.434,5458.276,2.39,2.142
690,386.011,24,2.582,5467.41,2.356,2.193
700,421.834,24,2.363,5476.57,2.307,2.18
710,428.046,24,2.327,5485.727,2.325,2.061
720,426.312,24,2.337,5494.881,2.353,2.255
730,396.306,24,2.516,5504.057,2.383,2.213
740,377.858,24,2.637,5513.243,2.359,2.251
750,427.478,24,2.332,5522.38,2.36,2.209
760,420.698,24,2.369,5531.466,2.335,2.458
770,429.332,24,2.321,5540.53,2.37,2.282
780,425.822,24,2.343,5549.478,2.329,2.402
790,380.706,24,2.617,5558.477,2.334,1.984
800,430.83,24,2.313,5567.42,2.339,2.549
810,425.55,24,2.344,5576.363,2.436,0
820,327.729,28,3.042,5587.986,3.225,3.717
830,428.064,28,2.327,5596.951,2.44,2.629
840,422.761,28,2.358,5605.928,2.413,2.387
850,421.905,28,2.363,5614.91,2.398,2.694
860,419.992,28,2.373,5623.918,2.429,2.268
870,419.604,28,2.375,5632.901,2.343,2.65
880,413.377,28,2.412,5641.882,2.392,2.313
890,398.899,28,2.504,5650.899,2.701,2.647
900,420.893,28,2.374,5659.881,2.341,2.243
910,425.822,28,2.342,5668.863,2.365,2.585
920,424.665,28,2.346,5677.86,2.37,2.124
930,423.962,28,2.349,5686.864,2.407,2.578
940,407.797,28,2.441,5695.857,2.643,0
950,423.46,28,2.354,5704.83,2.408,2.648
960,375.291,28,2.656,5713.84,2.365,2.129
970,343.678,28,2.871,5722.845,2.381,2.733
980,396.857,28,2.511,5731.85,2.65,2.325
990,423.119,28,2.355,5740.818,2.333,1.986
1000,397.125,32,2.51,5753.05,2.448,0
1010,385.401,32,2.591,5762.101,2.69,2.628
1020,420.309,32,2.371,5771.127,2.417,2.293
1030,378.058,32,2.635,5780.258,2.443,2.638
1040,415.041,32,2.4,5789.298,2.801,2.98
1050,394.882,32,2.524,5798.299,2.669,2.57
1060,411.556,32,2.421,5807.346,2.43,1.848
1070,412.609,32,2.415,5816.384,2.402,2.463
1080,412.729,32,2.412,5825.42,2.392,0
1090,408.831,32,2.437,5834.472,2.53,2.672
1100,400.962,32,2.486,5843.502,2.44,2.122
1110,372.828,32,2.675,5852.524,2.403,2.642
1120,397.33,32,2.508,5861.567,2.394,2.425
1130,416.788,32,2.39,5870.612,2.77,2.544
1140,412.882,32,2.413,5879.643,2.456,2.453
1150,368.419,32,2.705,5888.68,2.422,2.004
1160,396.621,32,2.512,5897.728,2.423,2.505
1170,348.359,36,2.861,5909.843,70.099,4.103
1180,410.391,36,2.427,5918.862,2.389,2.41
1190,423.693,36,2.351,5927.904,2.801,2.49
1200,350.14,36,2.883,5936.917,2.393,2.035
1210,359.221,36,2.775,5945.93,2.48,2.473
1220,415.991,36,2.395,5954.97,2.43,2.289
1230,404.531,36,2.461,5963.976,2.542,2.185
1240,414.542,36,2.406,5972.981,2.437,2.696
1250,409.97,36,2.43,5982.002,2.854,2.763
1260,364.87,36,2.732,5991.021,2.4,2.262
1270,410.796,36,2.425,6000.041,2.443,2.16
1280,371.996,36,2.678,6009.063,2.403,2.375
1290,382.775,36,2.605,6018.08,2.941,2.803
1300,411.929,36,2.417,6027.159,2.432,0
1310,411.235,36,2.423,6036.165,2.487,2.779
1320,364.631,36,2.734,6045.179,2.446,2.133
1330,419.41,36,2.375,6054.202,2.451,2.977
1340,407.315,40,2.446,6063.776,4.317,3.25
1350,371.844,40,2.68,6072.836,3.257,2.677
