FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,146.505,0,6.815,4313.543,2.76,2.936
20,343.289,0,2.903,4661.796,2.851,2
30,381.665,0,2.614,4675.386,2.49,1.796
40,331.466,4,3.004,4855.682,2.952,2.386
50,357.654,4,2.789,4869.811,3.088,2.053
60,326.915,4,3.048,4883.56,2.977,1.678
70,326.296,4,3.056,4897.792,2.932,2.138
80,346.164,4,2.878,4911.063,2.79,1.49
90,399.313,4,2.493,4924.746,2.686,0
100,361.847,8,2.76,4937.226,2.61,1.622
110,290.875,8,3.431,4584.931,2.643,1.453
120,373.455,8,2.69,4598.988,2.85,1.381
130,402.22,8,2.479,4612.308,2.474,0
140,336.689,8,2.947,4625.723,2.852,0
150,407.914,8,2.444,4638.799,3.199,1.507
160,350.25,8,2.847,4650.865,2.397,1.64
170,369.987,8,2.695,4666.312,3.696,1.65
180,480.584,12,2.072,4734.597,4.283,3.505
190,432.638,12,2.302,4737.893,2.182,1.356
200,508.259,12,1.953,4740.955,1.98,1.335
210,408.48,12,2.444,4744.068,2.191,1.352
220,440.412,12,2.259,4749.801,2.686,1.368
230,410.661,12,2.43,4756.68,2.01,1.339
240,455.83,12,2.186,4777.307,3.018,1.461
250,422.476,16,2.363,5044.569,2.286,0
260,434.688,16,2.292,5053.167,1.974,1.358
270,451.04,16,2.209,5061.731,2.015,1.35
280,435.275,16,2.288,5070.323,1.981,0
290,436.853,16,2.281,5078.906,1.937,1.372
300,445.494,16,2.235,5087.462,1.992,1.369
310,493.364,16,2.016,5096.028,1.98,1.408
320,495.565,16,2.008,5104.608,2.163,1.393
330,510.465,16,1.951,5113.175,2.04,1.48
340,207.224,20,4.817,5129.711,2.022,1.647
350,486.239,20,2.048,5138.32,2.222,1.385
360,425.767,20,2.34,5146.929,2.616,1.373
370,386.115,20,2.578,5155.535,2.204,1.373
380,457.352,20,2.177,5164.098,2.338,1.427
390,491.957,20,2.025,5172.68,2.012,1.388
400,486.665,20,2.049,5181.221,1.994,1.369
410,498.331,20,1.997,5189.826,2.005,1.374
420,495.786,20,2.008,5198.418,2.08,1.357
430,494.976,20,2.011,5206.997,2.198,1.369
440,504.388,20,1.973,5215.567,2.275,1.352
450,497.117,20,2.005,5224.127,2.258,1.469
460,482.928,24,2.062,5238.014,4.643,3.52
470,489.069,24,2.036,5246.579,2.043,1.409
480,496.524,24,2.004,5255.167,2.025,1.426
490,491.449,24,2.031,5263.747,2.033,1.428
500,400.705,24,2.486,5272.319,1.985,1.444
510,503.956,24,1.975,5280.879,2.017,1.416
520,455.083,24,2.186,5289.459,2.079,0
530,506.227,24,1.964,5298.014,2.032,0
540,497.067,24,2.003,5306.561,2.02,1.418
550,487.638,24,2.04,5315.096,2.053,1.403
560,502.033,24,1.983,5323.612,2.119,1.393
570,510.465,24,1.949,5332.156,1.962,1.443
580,441.56,24,2.256,5340.682,2.489,1.423
590,501.203,24,1.986,5349.202,2.034,1.399
600,432.04,24,2.304,5357.721,2.182,1.428
610,431.183,24,2.309,5366.235,1.99,1.396
620,4.97,28,201.175,5380.109,2.294,1.382
630,488.424,28,2.041,5388.719,2.197,1.448
640,392.403,28,2.54,5397.267,2.192,1.414
650,494.291,28,2.012,5405.784,2.319,0
660,488.234,28,2.044,5414.324,2.204,1.382
670,502.816,28,1.985,5422.846,2.009,1.424
680,490.292,28,2.03,5431.383,2.022,1.421
690,496.549,28,2.005,5439.906,2,1.405
700,492.805,28,2.025,5448.431,2.049,0
710,501.781,28,1.984,5456.988,1.986,1.398
720,513.769,28,1.943,5465.533,1.986,1.425
730,500.025,28,1.99,5474.061,2.032,1.426
740,434.783,28,2.292,5482.595,2.455,1.401
750,434.405,28,2.294,5491.14,2.301,1.463
760,27.219,32,36.729,5508.987,1.974,1.604
770,486.334,32,2.047,5517.553,2.047,1.69
780,486.736,32,2.045,5526.089,2.032,1.423
790,500.701,32,1.988,5534.657,2.02,1.405
800,419.375,32,2.375,5543.198,2.313,1.421
810,493.998,32,2.015,5551.756,2.055,1.703
820,510.725,32,1.949,5560.329,1.959,1.619
830,507.64,32,1.961,5568.9,1.997,1.401
840,503.17,32,1.978,5577.452,1.974,1.4
850,442.243,32,2.252,5586.033,1.979,1.386
860,13.82,36,72.348,5596.585,1.96,1.4
870,494.511,36,2.015,5605.171,2.023,0
880,490.966,36,2.026,5613.76,1.988,1.626
890,492.951,36,2.02,5622.334,1.998,1.708
900,426.712,36,2.335,5630.892,1.949,1.574
910,512.794,36,1.941,5639.442,1.976,1.654
920,502.285,36,1.982,5647.999,2.012,1.617
930,466.353,36,2.135,5656.546,2.072,1.623
940,515.437,36,1.933,5665.1,2.006,1.654
950,506.022,36,1.967,5673.682,2.049,1.669
960,504.566,36,1.972,5682.267,1.938,1.402
970,514.297,36,1.936,5690.815,1.95,1.412
980,471.676,36,2.111,5699.404,1.979,1.405
990,508.156,36,1.962,5707.953,1.968,0
1000,501.153,36,1.988,5716.531,1.977,0
1010,415.956,36,2.394,5725.1,2.069,1.399
1020,428.155,36,2.327,5733.69,2.054,1.39
1030,478.24,36,2.082,5742.337,2.691,1.405
1040,461.233,36,2.159,5750.912,1.991,1.417
1050,506.15,36,1.966,5759.486,2.062,1.413
1060,506.047,36,1.966,5768.041,2.008,1.415
1070,488.424,40,2.038,5776.671,1.965,1.431
1080,440.859,40,2.259,5785.239,2.534,1.521
1090,501.958,40,1.983,5793.792,2.058,1.63
1100,445.494,40,2.235,5802.347,2.057,1.657
1110,509.113,40,1.956,5810.9,1.986,1.619
1120,487.638,40,2.041,5819.474,1.971,1.699
1130,505.484,40,1.969,5828.045,2.049,1.673
1140,398.089,40,2.503,5836.627,2.328,1.546
1150,492.126,40,2.024,5845.194,2.033,1.38
