FrameNr.,FPS,agentCount,FrameTime in ms,System Memory in MB, CPU Frame Time in ms, GPU Frame Time in ms
10,144.03,0,6.935,4329.306,2.642,3.293
20,342.924,0,2.907,4680.377,2.846,1.567
30,393.484,0,2.528,4693.868,2.691,3.257
40,349.491,4,2.853,4932.996,3.336,2.943
50,288.309,4,3.458,4948.387,3.3,0
60,307.022,4,3.257,4962.518,2.683,1.354
70,313.254,4,3.185,4977.958,3.014,1.984
80,377.045,4,2.639,4992.478,2.807,2.925
90,311.585,8,3.199,4636.949,6.711,3.475
100,289.503,8,3.445,4652.701,3.604,2.796
110,284.86,8,3.498,4668.082,3.162,2.047
120,302.828,8,3.29,4683.808,3.21,1.843
130,262.103,8,3.807,4698.88,2.849,2.578
140,328.418,8,3.041,4714.234,3.076,1.714
150,5.61,12,178.237,4762.224,4.019,3.024
160,350.422,12,2.845,4777.807,2.613,1.584
170,435.445,12,2.288,4986.236,6.83,3.05
180,420.61,12,2.37,4995.297,2.384,1.729
190,398.026,12,2.505,5004.356,2.685,1.518
200,30.157,16,33.151,5016.426,2.199,1.583
210,399.584,16,2.496,5025.539,2.441,1.428
220,450.836,16,2.208,5034.597,2.167,1.42
230,453.453,16,2.197,5043.685,2.206,1.676
240,453.432,16,2.202,5052.752,2.433,1.402
250,452.981,16,2.197,5061.807,2.231,0
260,459.306,16,2.169,5070.902,2.251,1.379
270,349.663,16,2.855,5079.995,2.468,1.693
280,453.823,16,2.195,5089.05,2.469,1.78
290,458.274,16,2.176,5098.132,2.166,1.608
300,451.753,16,2.204,5107.186,2.356,1.406
310,457.185,16,2.178,5116.265,2.209,1.437
320,422.922,16,2.355,5125.353,2.243,1.512
330,445.494,16,2.236,5134.408,2.192,1.531
340,395.71,16,2.518,5143.511,2.185,1.391
350,382.907,16,2.6,5152.554,2.56,1.407
360,456.371,16,2.184,5161.643,2.452,0
370,458.821,16,2.171,5170.715,2.252,1.387
380,461.127,16,2.161,5179.783,2.199,1.682
390,408.58,20,2.438,5201.262,2.276,3.426
400,445.196,20,2.236,5210.289,2.226,0
410,431.499,20,2.309,5219.35,2.252,2.181
420,435.559,20,2.288,5228.409,2.494,2.427
430,456.621,20,2.181,5237.433,2.301,1.997
440,449.499,20,2.214,5246.471,2.296,2.039
450,451.773,20,2.205,5255.527,2.259,2.218
460,419.217,20,2.378,5264.593,2.242,2.366
470,372.038,24,2.68,5277.469,2.248,2.013
480,442.537,24,2.254,5286.532,2.275,1.978
490,446.409,24,2.231,5295.612,2.272,2.204
500,445.414,24,2.236,5304.674,2.487,2.175
510,452.12,24,2.208,5313.749,2.229,2.547
520,397.393,24,2.511,5322.867,2.257,2.31
530,438.251,24,2.275,5331.93,2.331,2.441
540,444.761,24,2.24,5340.994,2.243,2.038
550,443.498,24,2.247,5350.056,2.539,2.2
560,416.719,24,2.391,5359.142,2.246,2.224
570,451.671,24,2.206,5368.199,2.282,2.019
580,397.994,24,2.503,5377.3,2.251,2.202
590,440.684,24,2.26,5386.342,2.257,2.029
600,427.241,24,2.333,5395.444,2.311,1.987
610,372.953,24,2.672,5404.493,2.705,2.722
620,451.141,24,2.207,5413.546,2.276,2.164
630,411.54,24,2.421,5422.638,2.257,2.194
640,214.643,28,4.652,5439.457,2.374,2.357
650,446.468,28,2.232,5448.567,2.272,1.43
660,383.112,28,2.602,5457.667,2.326,1.429
670,433.727,28,2.298,5466.754,2.256,1.433
680,442.968,28,2.25,5475.851,2.256,1.451
690,390.092,28,2.555,5484.946,2.228,1.672
700,443.125,28,2.25,5494.03,2.254,1.771
710,441.131,28,2.259,5503.124,2.255,1.444
720,397.156,28,2.509,5512.219,2.293,1.456
730,448.451,28,2.222,5521.3,2.724,1.457
740,439.097,28,2.272,5530.391,2.305,1.697
750,404.744,28,2.461,5539.49,2.442,1.468
760,432.994,32,2.306,5553.042,2.343,0
770,442.38,32,2.252,5562.161,2.452,1.985
780,437.924,32,2.275,5571.263,2.496,2.529
790,410.206,32,2.428,5580.351,2.312,1.91
800,439.676,32,2.266,5589.453,2.301,2.227
810,385.282,32,2.585,5598.585,2.227,2.218
820,433.107,32,2.301,5607.697,2.282,2.22
830,444.069,32,2.244,5616.799,2.294,2.269
840,443.813,32,2.244,5625.934,2.492,2.017
850,440.393,32,2.263,5635.048,2.317,2.169
860,436.872,32,2.281,5644.178,2.284,2.446
870,435.844,32,2.287,5653.283,2.753,2.312
880,436.357,32,2.283,5662.389,2.355,2.393
890,349.871,32,2.85,5671.524,2.536,2.121
900,356.506,32,2.797,5680.623,2.309,2.449
910,21.99,36,45.466,5690.865,2.281,2.232
920,429.019,36,2.322,5700.018,2.912,1.481
930,422.351,36,2.36,5709.149,2.329,2.396
940,427.332,36,2.33,5718.284,2.32,2.045
950,438.847,36,2.269,5727.377,2.279,2.189
960,434.141,36,2.294,5736.533,2.288,2.291
970,437.771,36,2.275,5745.647,2.478,2.298
980,428.412,36,2.322,5754.77,2.566,2.47
990,377.815,36,2.64,5763.857,2.912,2.731
1000,434.65,36,2.293,5772.992,2.606,2.093
1010,427.625,36,2.329,5782.132,2.3,2.656
1020,439.155,36,2.268,5791.237,2.596,0
1030,430.942,36,2.313,5800.469,2.4,2.158
1040,402.042,36,2.478,5809.576,2.626,2.148
1050,422.351,36,2.359,5818.717,2.318,2.17
1060,437.905,36,2.278,5827.808,2.295,2.512
1070,433.839,36,2.297,5836.905,2.5,2.122
1080,332.127,36,3.001,5846.053,2.388,2.417
1090,438.635,36,2.27,5855.176,2.32,2.217
1100,226.495,40,4.408,5870.013,2.383,2.416
1110,421.088,40,2.368,5879.214,2.485,1.468
1120,432.246,40,2.305,5888.388,2.304,2.171
1130,436.796,40,2.28,5897.535,2.338,2.425
1140,418.463,40,2.381,5906.691,2.261,1.933
1150,443.164,40,2.248,5915.852,2.298,2.227
1160,366.986,40,2.715,5925.027,2.47,2.584
1170,429.793,40,2.316,5934.19,2.373,2.127
1180,420.929,40,2.365,5943.343,2.586,2.498
1190,426.84,40,2.332,5952.485,2.321,0
1200,431.406,40,2.309,5961.656,2.381,2.226
1210,375.037,40,2.657,5970.829,2.351,1.871
1220,430.071,40,2.316,5979.978,2.5,2.361
1230,333.289,40,2.992,5989.146,2.738,2.365
1240,425.514,44,2.339,6000.637,2.428,0
1250,433.332,44,2.299,6009.825,2.367,2.462
1260,431.109,44,2.311,6019.035,2.339,1.988
1270,383.686,44,2.596,6028.234,2.315,2.278
1280,431.891,44,2.306,6037.43,2.424,2.182
1290,424.232,44,2.348,6046.622,2.29,2.402
1300,429.148,44,2.322,6055.824,2.363,2.292
1310,430.923,44,2.312,6065.014,2.43,2.329
1320,381.694,44,2.61,6074.203,2.521,2.572
1330,415.593,44,2.396,6083.396,2.353,2.024
1340,407.249,44,2.45,6092.593,2.342,2.734
1350,433.689,44,2.295,6101.778,2.377,1.94
1360,427.15,44,2.332,6110.979,2.332,2.261
1370,382.424,44,2.605,6120.181,2.313,1.995
1380,430.478,44,2.314,6129.38,2.32,2.388
1390,417.119,44,2.388,6138.57,2.664,2.434
1400,426.548,44,2.334,6147.761,2.363,2.224
1410,423.496,44,2.352,6156.941,2.324,2.214
1420,423.729,48,2.353,6168.093,2.766,1.497
1430,418.218,48,2.382,6177.288,2.381,2.231
1440,420.062,48,2.372,6186.468,2.816,2.575
1450,320.297,48,3.112,6195.66,2.693,2.532
1460,420.982,48,2.366,6204.833,2.393,2.495
1470,371.872,48,2.678,6214.011,2.363,0
1480,421.195,48,2.365,6223.219,2.453,2.26
1490,423.657,48,2.349,6232.403,2.343,0
1500,411.896,48,2.415,6241.589,2.382,2.216
1510,419.868,48,2.372,6250.769,2.391,2.239
1520,380.633,48,2.618,6259.984,2.38,2.271
1530,417.171,48,2.388,6269.183,2.361,2.004
1540,415.231,48,2.403,6278.349,2.722,2.225
1550,409.299,48,2.434,6287.544,2.373,2.239
1560,395.085,48,2.522,6296.717,2.737,2.162
1570,421.195,48,2.365,6305.916,2.348,2.247
1580,415.231,48,2.4,6315.107,2.346,2.254
1590,389.135,52,2.561,6325.479,3.008,3.145
1600,371.099,52,2.685,6334.647,2.385,2.258
1610,415.472,52,2.398,6343.816,2.421,2.415
1620,419.71,52,2.373,6352.987,2.466,2.497
1630,404.891,52,2.461,6362.164,2.448,2.36
1640,419.481,52,2.375,6371.337,2.415,1.842
1650,419.921,52,2.373,6380.514,2.373,2.327
1660,395.007,52,2.522,6389.675,2.348,2.228
1670,425.786,52,2.32,6398.861,2.648,2.316
1680,417.084,52,2.388,6408.022,2.384,2.228
1690,371.706,52,2.681,6417.184,2.381,2.203
1700,407.93,52,2.441,6426.376,2.375,0
1710,400.32,52,2.487,6435.548,2.382,2.59
1720,418.113,52,2.381,6444.75,2.366,0
1730,419.657,52,2.373,6453.892,2.383,2.589
1740,384.763,52,2.588,6463.084,2.36,0
1750,400.753,52,2.486,6472.273,2.368,2.388
1760,416.077,52,2.395,6481.428,3.03,2.557
1770,418.148,52,2.382,6490.603,2.417,2.76
1780,327.193,56,3.05,6501.804,2.53,2.04
1790,410.307,56,2.428,6511.027,2.794,1.525
1800,409.249,56,2.433,6520.239,2.469,2.236
1810,402.188,56,2.477,6529.421,2.591,3.113
1820,411.133,56,2.423,6538.617,2.391,2.546
1830,409.232,56,2.431,6547.812,2.448,2.152
1840,409.987,56,2.43,6557.033,2.421,2.382
1850,376.279,56,2.649,6566.212,2.384,2.061
1860,376.081,56,2.651,6575.424,2.372,2.692
1870,404.875,56,2.461,6584.63,2.492,2.419
1880,413.121,56,2.412,6593.842,2.404,2.251
1890,366.878,56,2.716,6603.068,2.439,2.405
1900,397.014,56,2.51,6612.284,2.384,2.219
1910,416.233,56,2.395,6621.52,2.688,2.695
1920,414.869,56,2.401,6630.742,2.541,2.439
1930,367.134,56,2.714,6639.921,2.414,2.571
1940,413.223,56,2.411,6649.148,2.386,2.421
1950,410.206,56,2.429,6658.358,2.71,2.176
1960,377.259,60,2.644,6669.807,2.532,3.481
1970,401.768,60,2.478,6679.068,2.499,0
1980,362.529,60,2.754,6688.31,2.415,2.51
1990,397.425,60,2.507,6697.541,2.467,2.436
2000,406.025,60,2.456,6706.761,2.796,2.373
2010,365.778,60,2.724,6402.648,2.474,2.431
2020,349.871,60,2.847,6039.424,2.511,0
2030,402.674,60,2.472,5928.493,2.606,0
2040,380.894,60,2.62,5813.797,2.519,2.598
2050,331.246,60,3.011,5618.878,2.764,2.799
2060,359.997,60,2.769,5416.513,2.915,2.942
2070,403.942,60,2.468,5093.067,2.461,2.533
2080,373.427,60,2.67,4924.238,2.572,2.455
2090,401.719,60,2.481,4919.126,2.763,2.277
2100,406.058,60,2.454,4918.776,2.578,2.392
2110,369.031,60,2.708,4918.668,2.447,2.396
2120,389.332,64,2.561,4924.544,2.867,2.617
2130,383.715,64,2.595,4924.532,2.856,1.609
2140,391.865,64,2.544,4924.569,2.689,2.792
2150,381.709,64,2.608,4924.707,2.479,2.444
2160,389.56,64,2.555,4922.344,2.621,0
2170,368.813,64,2.703,4917.568,2.652,2.919
2180,402.658,64,2.474,4917.956,2.756,3.025
2190,404.089,64,2.466,4918.321,2.532,2.602
2200,404.024,64,2.467,4918.935,2.556,2.611
